hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3028.0,4095.0,2931.0,4095.0,4095.0,2423.0,2895.0,4095.0,-1.74,9.03,7.2,0.03,0.1,-0.0,0.0,I-love-you
3043.0,4095.0,2928.0,4095.0,4095.0,2427.0,2897.0,4095.0,-1.47,9.56,6.84,-0.02,-0.2,-0.2,0.0,I-love-you
3036.0,4095.0,2935.0,4095.0,4095.0,2419.0,2885.0,4095.0,-1.76,9.12,8.15,0.0,-0.26,-0.4,0.0,I-love-you
3036.0,4095.0,2919.0,4095.0,4095.0,2421.0,2893.0,4095.0,-2.7,8.78,7.73,0.02,-0.15,-0.44,0.0,I-love-you
3039.0,4095.0,2935.0,4095.0,4095.0,2422.0,2895.0,4095.0,-2.41,8.72,7.72,0.05,-0.19,-0.35,0.0,I-love-you
3030.0,4095.0,2929.0,4095.0,4095.0,2432.0,2902.0,4095.0,-2.72,8.69,7.64,0.12,-0.25,-0.33,0.0,I-love-you
3031.0,4095.0,2922.0,4095.0,4095.0,2432.0,2896.0,4095.0,-2.78,8.76,7.72,-0.06,-0.26,-0.33,0.0,I-love-you
3040.0,4095.0,2931.0,4095.0,4095.0,2435.0,2899.0,4095.0,-3.3,8.39,8.5,0.04,-0.16,-0.29,0.0,I-love-you
3047.0,4095.0,2922.0,4095.0,4095.0,2431.0,2899.0,4095.0,-2.8,8.82,7.64,0.02,-0.1,-0.14,0.0,I-love-you
3037.0,4095.0,2927.0,4095.0,4095.0,2435.0,2905.0,4095.0,-3.07,8.34,8.2,-0.01,-0.02,-0.08,0.0,I-love-you
3042.0,4095.0,2923.0,4095.0,4095.0,2434.0,2903.0,4095.0,-2.87,8.32,8.17,0.01,0.19,0.02,0.0,I-love-you
3040.0,4095.0,2925.0,4095.0,4095.0,2437.0,2903.0,4095.0,-2.52,8.81,7.79,0.01,0.14,-0.05,0.0,I-love-you
3049.0,4095.0,2929.0,4095.0,4095.0,2433.0,2901.0,4095.0,-2.76,9.0,7.76,-0.02,0.11,-0.06,0.0,I-love-you
3029.0,4095.0,2927.0,4095.0,4095.0,2435.0,2900.0,4095.0,-2.6,8.56,7.88,-0.08,0.04,0.0,0.0,I-love-you
3034.0,4095.0,2926.0,4095.0,4095.0,2431.0,2903.0,4095.0,-2.17,8.68,7.91,-0.15,0.07,0.15,0.0,I-love-you
3035.0,4095.0,2933.0,4095.0,4095.0,2437.0,2922.0,4095.0,-1.85,9.08,7.93,-0.13,-0.08,0.02,0.0,I-love-you
3038.0,4095.0,2928.0,4095.0,4095.0,2437.0,2910.0,4095.0,-1.45,8.94,8.46,-0.07,-0.15,0.01,0.0,I-love-you
3035.0,4095.0,2934.0,4095.0,4095.0,2443.0,2914.0,4095.0,-1.64,9.49,7.87,0.04,-0.18,-0.18,0.0,I-love-you
3031.0,4095.0,2926.0,4095.0,4095.0,2445.0,2913.0,4095.0,-1.89,9.4,8.28,0.01,-0.3,-0.27,0.0,I-love-you
3027.0,4095.0,2934.0,4095.0,4095.0,2439.0,2965.0,4095.0,-1.94,9.56,8.24,0.03,-0.18,-0.52,0.0,I-love-you
3038.0,4095.0,2930.0,4095.0,4095.0,2442.0,2910.0,4095.0,-2.71,9.21,8.92,0.1,-0.03,-0.54,0.0,I-love-you
3043.0,4095.0,2933.0,4095.0,4095.0,2445.0,2924.0,4095.0,-2.32,8.32,8.5,0.37,-0.05,-0.57,0.0,I-love-you
3039.0,4095.0,2928.0,4095.0,4095.0,2439.0,2981.0,4095.0,-2.9,7.71,8.19,0.3,0.04,-0.37,0.0,I-love-you
3038.0,4095.0,2931.0,4095.0,4095.0,2448.0,2925.0,4095.0,-3.76,8.34,7.94,-0.04,0.33,-0.14,0.0,I-love-you
3028.0,4095.0,2928.0,4095.0,4095.0,2448.0,2927.0,4095.0,-3.07,8.04,7.87,-0.02,0.46,0.02,0.0,I-love-you
