hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,1958.0,2932.0,4095.0,3367.0,3088.0,2235.0,2656.0,-0.88,9.52,0.47,-0.02,0.01,-0.03,a
4095.0,1952.0,2933.0,4095.0,3363.0,3079.0,2239.0,2654.0,-0.82,9.59,0.52,-0.02,-0.02,0.01,a
4095.0,1965.0,2937.0,4095.0,3376.0,3088.0,2239.0,2659.0,-0.82,9.63,0.6,-0.01,-0.05,0.01,a
4095.0,1954.0,2927.0,4095.0,3367.0,3087.0,2239.0,2663.0,-0.9,9.55,0.45,-0.03,-0.02,0.01,a
4095.0,1957.0,2928.0,4095.0,3362.0,3088.0,2241.0,2657.0,-0.85,9.64,0.47,-0.05,0.0,-0.0,a
4095.0,1951.0,2943.0,4095.0,3374.0,3092.0,2244.0,2663.0,-0.84,9.59,0.59,-0.03,0.03,-0.04,a
4095.0,1953.0,2944.0,4095.0,3361.0,3088.0,2243.0,2660.0,-0.94,9.54,0.47,-0.01,-0.02,-0.01,a
4095.0,1958.0,2944.0,4095.0,3369.0,3088.0,2247.0,2672.0,-0.99,9.58,0.48,-0.0,-0.0,0.01,a
4095.0,1956.0,2931.0,4095.0,3375.0,3097.0,2253.0,2659.0,-0.96,9.63,0.57,-0.03,-0.06,0.03,a
4095.0,1959.0,2926.0,4095.0,3375.0,3103.0,2246.0,2669.0,-0.74,9.66,0.48,-0.03,-0.03,-0.02,a
4095.0,1958.0,2928.0,4095.0,3371.0,3095.0,2255.0,2670.0,-0.82,9.57,0.55,-0.01,0.0,-0.03,a
4095.0,1953.0,2931.0,4095.0,3374.0,3091.0,2251.0,2675.0,-0.96,9.42,0.51,-0.02,0.07,-0.06,a
4095.0,1943.0,2937.0,4095.0,3371.0,3106.0,2256.0,2673.0,-1.0,9.47,0.48,-0.01,0.05,-0.02,a
4095.0,1950.0,2931.0,4095.0,3363.0,3097.0,2257.0,2669.0,-0.93,9.62,0.47,0.01,-0.05,0.01,a
4095.0,1952.0,2938.0,4095.0,3379.0,3103.0,2259.0,2672.0,-0.88,9.64,0.34,-0.01,-0.05,0.02,a
4095.0,1955.0,2935.0,4095.0,3375.0,3101.0,2254.0,2676.0,-0.8,9.69,0.48,-0.03,-0.03,-0.01,a
4095.0,1942.0,2928.0,4095.0,3370.0,3107.0,2262.0,2672.0,-0.96,9.59,0.42,-0.04,0.03,-0.02,a
4095.0,1947.0,2930.0,4095.0,3363.0,3104.0,2263.0,2677.0,-0.83,9.54,0.52,-0.06,0.03,-0.03,a
4095.0,1949.0,2938.0,4095.0,3382.0,3110.0,2266.0,2686.0,-1.02,9.49,0.57,-0.03,0.05,-0.02,a
4095.0,1956.0,2942.0,4095.0,3388.0,3103.0,2265.0,2688.0,-0.8,9.61,0.54,-0.02,-0.04,0.01,a
4095.0,1952.0,2933.0,4095.0,3376.0,3109.0,2267.0,2688.0,-0.95,9.55,0.4,-0.02,-0.01,0.01,a
4095.0,1950.0,2929.0,4095.0,3371.0,3107.0,2267.0,2685.0,-0.84,9.66,0.53,-0.07,-0.05,0.02,a
4095.0,1955.0,2943.0,4095.0,3374.0,3113.0,2273.0,2688.0,-0.87,9.51,0.58,-0.04,0.03,-0.04,a
4095.0,1961.0,2941.0,4095.0,3391.0,3111.0,2273.0,2683.0,-0.97,9.49,0.39,-0.03,0.05,-0.05,a
4095.0,1949.0,2928.0,4095.0,3386.0,3113.0,2269.0,2688.0,-1.02,9.44,0.46,-0.04,0.05,-0.04,a
4095.0,1953.0,2927.0,4095.0,3391.0,3108.0,2274.0,2688.0,-1.02,9.5,0.55,-0.0,0.01,-0.0,a
4095.0,1943.0,2928.0,4095.0,3380.0,3111.0,2273.0,2693.0,-1.07,9.48,0.48,-0.01,-0.01,0.0,a
4095.0,1955.0,2922.0,4095.0,3390.0,3115.0,2275.0,2694.0,-0.96,9.56,0.53,-0.0,-0.06,-0.0,a
4095.0,1950.0,2927.0,4095.0,3388.0,3110.0,2278.0,2689.0,-0.75,9.67,0.53,-0.03,-0.1,0.02,a
4095.0,1949.0,2928.0,4095.0,3393.0,3120.0,2278.0,2702.0,-0.96,9.59,0.52,-0.01,-0.07,0.0,a
4095.0,1953.0,2921.0,4095.0,3381.0,3111.0,2283.0,2697.0,-0.91,9.61,0.53,0.01,-0.02,0.01,a
4095.0,1952.0,2931.0,4095.0,3391.0,3118.0,2281.0,2701.0,-0.92,9.71,0.41,0.02,-0.02,0.01,a
4095.0,1963.0,2925.0,4095.0,3388.0,3120.0,2283.0,2701.0,-0.94,9.71,0.44,0.01,-0.05,0.01,a
4095.0,1947.0,2934.0,4095.0,3399.0,3118.0,2283.0,2704.0,-0.98,9.69,0.4,-0.02,-0.02,-0.01,a
4095.0,1962.0,2929.0,4095.0,3391.0,3120.0,2285.0,2709.0,-0.98,9.48,0.33,-0.05,0.02,-0.02,a
4095.0,1949.0,2931.0,4095.0,3387.0,3117.0,2286.0,2703.0,-0.86,9.58,0.53,-0.08,0.02,-0.04,a
4095.0,1951.0,2933.0,4095.0,3386.0,3123.0,2287.0,2698.0,-0.96,9.51,0.37,-0.09,0.09,-0.11,a
4095.0,1951.0,2937.0,4095.0,3393.0,3117.0,2286.0,2706.0,-1.29,9.52,0.51,-0.07,0.01,-0.02,a
4095.0,1954.0,2925.0,4095.0,3387.0,3127.0,2288.0,2706.0,-0.96,9.44,0.55,-0.06,-0.03,0.01,a
4095.0,1950.0,2925.0,4095.0,3381.0,3120.0,2288.0,2704.0,-0.82,9.58,0.45,-0.03,-0.01,-0.02,a
4095.0,1950.0,2932.0,4095.0,3407.0,3123.0,2294.0,2709.0,-0.91,9.48,0.42,-0.04,0.06,-0.06,a
4095.0,1953.0,2930.0,4095.0,3402.0,3125.0,2288.0,2704.0,-1.14,9.54,0.57,-0.0,0.05,-0.0,a
4095.0,1953.0,2930.0,4095.0,3405.0,3121.0,2290.0,2709.0,-1.0,9.57,0.38,0.01,0.0,-0.03,a
4095.0,1952.0,2935.0,4095.0,3395.0,3130.0,2293.0,2711.0,-1.07,9.54,0.38,0.0,0.01,-0.0,a
4095.0,1942.0,2928.0,4095.0,3386.0,3131.0,2294.0,2719.0,-0.96,9.66,0.42,-0.0,-0.01,0.01,a
4095.0,1955.0,2928.0,4095.0,3408.0,3132.0,2294.0,2708.0,-1.11,9.62,0.47,0.01,-0.03,0.02,a
4095.0,1950.0,2935.0,4095.0,3408.0,3133.0,2292.0,2717.0,-0.89,9.61,0.3,0.0,-0.04,-0.01,a
4095.0,1954.0,2927.0,4095.0,3402.0,3123.0,2300.0,2717.0,-1.15,9.54,0.45,-0.02,-0.04,0.03,a
4095.0,1945.0,2929.0,4095.0,3394.0,3127.0,2297.0,2716.0,-0.97,9.53,0.47,-0.05,-0.06,0.02,a
4095.0,1961.0,2928.0,4095.0,3406.0,3132.0,2295.0,2715.0,-1.18,9.37,0.37,-0.05,0.0,-0.01,a
4095.0,1963.0,2925.0,4095.0,3392.0,3141.0,2302.0,2723.0,-1.0,9.52,0.56,-0.05,-0.0,-0.02,a
4095.0,1955.0,2921.0,4095.0,3406.0,3122.0,2300.0,2722.0,-1.12,9.53,0.4,-0.02,0.01,-0.02,a
4095.0,1953.0,2933.0,4095.0,3394.0,3136.0,2303.0,2711.0,-1.01,9.52,0.4,-0.04,0.0,-0.0,a
4095.0,1957.0,2930.0,4095.0,3408.0,3131.0,2305.0,2719.0,-0.99,9.52,0.48,-0.02,-0.01,0.01,a
4095.0,1954.0,2915.0,4095.0,3406.0,3129.0,2299.0,2723.0,-0.93,9.56,0.52,-0.02,-0.03,0.0,a
4095.0,1962.0,2924.0,4095.0,3408.0,3133.0,2305.0,2720.0,-1.01,9.5,0.44,0.01,0.02,-0.01,a
4095.0,1951.0,2929.0,4095.0,3408.0,3139.0,2304.0,2721.0,-1.11,9.56,0.45,-0.01,0.01,-0.01,a
4095.0,1951.0,2928.0,4095.0,3407.0,3143.0,2310.0,2723.0,-1.05,9.56,0.44,0.0,-0.02,-0.0,a
4095.0,1952.0,2933.0,4095.0,3405.0,3136.0,2305.0,2734.0,-0.96,9.67,0.49,-0.01,-0.08,0.04,a
4095.0,1950.0,2939.0,4095.0,3399.0,3139.0,2307.0,2730.0,-0.94,9.59,0.28,-0.03,-0.06,0.02,a
4095.0,1941.0,2928.0,4095.0,3393.0,3134.0,2307.0,2734.0,-0.94,9.46,0.37,-0.05,0.02,-0.01,a
4095.0,1945.0,2941.0,4095.0,3406.0,3140.0,2313.0,2729.0,-0.93,9.54,0.55,-0.06,-0.02,-0.03,a
4095.0,1951.0,2932.0,4095.0,3411.0,3141.0,2304.0,2732.0,-0.91,9.53,0.46,-0.04,-0.02,0.01,a
4095.0,1957.0,2929.0,4095.0,3423.0,3137.0,2310.0,2735.0,-1.01,9.45,0.37,-0.03,0.04,-0.04,a
4095.0,1951.0,2934.0,4095.0,3408.0,3137.0,2311.0,2736.0,-1.11,9.5,0.5,-0.03,0.04,-0.03,a
4095.0,1946.0,2933.0,4095.0,3408.0,3149.0,2309.0,2730.0,-1.02,9.44,0.37,-0.04,-0.0,-0.02,a
4095.0,1953.0,2933.0,4095.0,3415.0,3139.0,2306.0,2734.0,-1.11,9.45,0.4,-0.01,0.01,-0.02,a
4095.0,1952.0,2937.0,4095.0,3408.0,3145.0,2315.0,2730.0,-0.96,9.53,0.51,0.0,-0.02,-0.0,a
4095.0,1949.0,2938.0,4095.0,3427.0,3143.0,2313.0,2734.0,-0.98,9.54,0.4,0.01,-0.03,0.01,a
4095.0,1949.0,2933.0,4095.0,3410.0,3139.0,2313.0,2736.0,-0.97,9.51,0.4,-0.02,-0.01,-0.01,a
4095.0,1951.0,2927.0,4095.0,3423.0,3140.0,2307.0,2737.0,-1.15,9.58,0.33,-0.03,0.01,-0.01,a
4095.0,1954.0,2928.0,4095.0,3427.0,3142.0,2311.0,2738.0,-1.05,9.63,0.41,-0.01,-0.01,0.03,a
4095.0,1950.0,2928.0,4095.0,3420.0,3145.0,2310.0,2745.0,-0.97,9.39,0.32,-0.05,0.0,-0.01,a
4095.0,1945.0,2930.0,4095.0,3411.0,3146.0,2311.0,2738.0,-1.03,9.51,0.55,-0.06,0.01,-0.03,a
4095.0,1953.0,2927.0,4095.0,3413.0,3152.0,2319.0,2736.0,-1.07,9.49,0.54,-0.02,-0.02,0.0,a
4095.0,1949.0,2938.0,4095.0,3422.0,3138.0,2319.0,2743.0,-0.92,9.58,0.4,-0.01,-0.05,0.02,a
4095.0,1953.0,2928.0,4095.0,3408.0,3145.0,2310.0,2741.0,-0.95,9.51,0.44,-0.03,-0.01,-0.02,a
4095.0,1943.0,2939.0,4095.0,3409.0,3152.0,2310.0,2738.0,-1.04,9.62,0.62,-0.02,-0.05,0.01,a
4095.0,1963.0,2928.0,4095.0,3414.0,3141.0,2317.0,2742.0,-0.85,9.6,0.42,0.01,-0.03,-0.01,a
4095.0,1961.0,2928.0,4095.0,3421.0,3147.0,2320.0,2745.0,-1.06,9.52,0.36,-0.01,-0.03,-0.0,a
4095.0,1962.0,2928.0,4095.0,3410.0,3152.0,2318.0,2747.0,-1.03,9.67,0.46,-0.0,-0.04,0.02,a
4095.0,1952.0,2923.0,4095.0,3427.0,3151.0,2320.0,2737.0,-0.97,9.68,0.23,-0.0,0.0,0.01,a
