hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3317.0,3137.0,3269.0,3284.0,2972.0,3245.0,2654.0,2832.0,0.01,9.62,-0.76,-0.09,0.01,0.0,a
3069.0,3135.0,3265.0,3618.0,2955.0,3216.0,2595.0,2851.0,0.09,9.38,-0.5,-0.18,-0.14,-0.09,a
2791.0,3132.0,3270.0,3975.0,2957.0,3200.0,2559.0,2880.0,0.22,9.75,-0.34,-0.05,0.18,0.2,a
2672.0,3126.0,3265.0,4095.0,2960.0,3190.0,2548.0,2916.0,0.2,9.59,-0.57,-0.13,0.3,0.04,a
2525.0,3119.0,3263.0,4095.0,2978.0,3194.0,2542.0,2930.0,0.69,9.92,-0.52,-0.03,0.01,0.06,a
2147.0,3121.0,3261.0,4095.0,3058.0,3211.0,2549.0,2941.0,-0.49,9.36,-0.43,-0.41,0.44,-0.21,a
2163.0,3125.0,3254.0,4095.0,3088.0,3216.0,2559.0,2928.0,-0.35,9.49,-0.67,-0.05,0.03,-0.05,a
2244.0,3123.0,3268.0,4095.0,3097.0,3229.0,2559.0,2850.0,-0.38,9.52,-0.97,-0.15,-0.25,-0.0,a
2557.0,3120.0,3258.0,4095.0,3091.0,3238.0,2658.0,2918.0,0.98,9.62,-0.93,-0.35,-0.18,-0.19,a
3101.0,3042.0,3248.0,4095.0,3151.0,3249.0,2888.0,3095.0,0.46,9.83,0.65,-0.73,-0.11,-0.09,a
3223.0,2743.0,3259.0,4095.0,3110.0,3313.0,2810.0,3117.0,-0.04,9.6,-0.03,-0.53,0.13,-0.34,a
3408.0,2699.0,3248.0,4095.0,3105.0,3349.0,2755.0,3001.0,-1.41,9.15,-0.32,0.05,-0.03,0.68,a
3375.0,3055.0,3261.0,4095.0,3021.0,3265.0,2544.0,2797.0,0.3,9.29,-0.78,0.36,0.02,1.17,a
3233.0,3108.0,3264.0,4095.0,2913.0,3159.0,2458.0,2736.0,1.85,10.2,1.74,1.18,0.35,0.33,a
3399.0,3113.0,3258.0,3815.0,2893.0,3127.0,2451.0,2771.0,-0.26,9.83,0.64,0.11,0.49,-0.59,a
3420.0,3113.0,3254.0,3372.0,2900.0,3138.0,2462.0,2829.0,2.62,11.11,-0.83,1.13,-0.17,-0.39,a
3299.0,3122.0,3261.0,3312.0,2911.0,3152.0,2467.0,2870.0,0.19,9.61,-1.69,0.77,0.42,-0.73,a
3136.0,3120.0,3262.0,3375.0,2922.0,3167.0,2478.0,2933.0,0.99,10.0,-2.41,0.89,0.82,-0.74,a
2874.0,3133.0,3268.0,3542.0,2938.0,3178.0,2491.0,2999.0,0.01,9.65,-3.13,-0.3,0.86,-0.81,a
2735.0,3152.0,3280.0,4095.0,2977.0,3201.0,2509.0,2987.0,-1.53,7.78,-1.06,-0.32,-0.58,-0.26,a
3059.0,3146.0,3281.0,4095.0,3058.0,3249.0,2609.0,2802.0,-0.45,10.75,-1.79,-0.59,0.42,-0.26,a
3177.0,3119.0,3250.0,4095.0,3109.0,3415.0,2845.0,2931.0,-0.35,10.9,-0.21,-0.96,0.56,-0.26,a
3178.0,3123.0,3268.0,4095.0,3087.0,3390.0,2663.0,2841.0,-0.85,9.49,-1.15,-0.61,0.32,-0.11,a
