hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,2465.0,2385.0,3646.0,3215.0,3441.0,2605.0,3107.0,1.59,9.63,-0.61,-0.02,-0.85,0.27,a
4095.0,2465.0,2381.0,3667.0,3216.0,3447.0,2608.0,3115.0,-1.01,9.69,-0.48,0.07,0.41,0.0,a
4095.0,2461.0,2391.0,3695.0,3223.0,3461.0,2605.0,3110.0,2.52,9.65,-1.66,-0.96,-4.16,0.37,a
4095.0,2463.0,2409.0,3657.0,3235.0,3485.0,2618.0,3122.0,1.54,9.25,0.86,-0.69,-1.68,-0.16,a
4095.0,2466.0,2433.0,3779.0,3248.0,3498.0,2612.0,3142.0,1.0,9.63,1.19,-0.28,-0.47,-0.31,a
4095.0,2474.0,2452.0,3861.0,3257.0,3484.0,2608.0,3153.0,1.94,9.28,1.43,0.1,1.12,-0.29,a
4095.0,2467.0,2450.0,3858.0,3254.0,3469.0,2605.0,3152.0,-0.47,8.96,1.13,0.4,2.5,-0.41,a
4095.0,2463.0,2448.0,3817.0,3253.0,3471.0,2605.0,3150.0,0.64,9.42,0.68,0.06,0.49,-0.12,a
4095.0,2471.0,2455.0,3875.0,3274.0,3471.0,2609.0,3151.0,0.09,9.53,0.35,0.55,2.02,-0.05,a
4095.0,2467.0,2448.0,3856.0,3263.0,3473.0,2610.0,3152.0,-1.64,9.75,-1.62,0.47,1.91,-0.06,a
4095.0,2466.0,2448.0,3776.0,3239.0,3472.0,2604.0,3149.0,-0.1,9.61,-1.17,-0.08,0.29,0.1,a
4095.0,2461.0,2455.0,3749.0,3249.0,3457.0,2585.0,3157.0,0.69,9.89,-1.27,-0.14,-0.51,0.15,a
4095.0,2459.0,2483.0,3773.0,3274.0,3440.0,2559.0,3182.0,0.03,9.92,-2.51,-0.78,-4.1,0.5,a
4095.0,2461.0,2481.0,3843.0,3248.0,3421.0,2557.0,3184.0,2.86,9.66,0.56,-0.56,-2.23,0.05,a
4095.0,2467.0,2499.0,3735.0,3245.0,3408.0,2544.0,3189.0,1.86,9.68,1.05,-0.32,-0.4,0.18,a
4095.0,2463.0,2519.0,3730.0,3277.0,3427.0,2555.0,3194.0,1.58,9.47,0.35,-0.11,-0.05,-0.11,a
4095.0,2462.0,2524.0,3840.0,3283.0,3409.0,2539.0,3209.0,1.74,10.3,0.53,-0.13,-0.07,-0.21,a
4095.0,2461.0,2534.0,3951.0,3281.0,3344.0,2482.0,3229.0,-0.15,9.35,1.25,-0.1,0.21,-0.51,a
4095.0,2466.0,2539.0,4095.0,3253.0,3255.0,2419.0,3181.0,-1.07,8.89,0.72,0.03,0.27,-0.08,a
4095.0,2465.0,2507.0,3568.0,3179.0,3280.0,2421.0,3059.0,1.01,10.0,-0.85,1.73,0.43,0.36,a
4095.0,2471.0,2515.0,3418.0,3163.0,3346.0,2466.0,3024.0,0.65,9.8,-0.03,0.35,-0.07,0.2,a
4095.0,2458.0,2463.0,3355.0,3193.0,3487.0,2608.0,3044.0,0.79,10.26,-1.04,0.15,0.08,0.1,a
4095.0,2448.0,2366.0,3265.0,3209.0,3583.0,2687.0,3060.0,0.86,9.74,-0.76,-0.04,-0.17,0.11,a
4095.0,2459.0,2282.0,3158.0,3216.0,3621.0,2725.0,3058.0,1.73,10.27,-1.57,-1.1,-0.07,-0.05,a
4095.0,2462.0,2341.0,3239.0,3209.0,3547.0,2650.0,3057.0,0.86,9.34,1.68,-0.93,0.19,0.04,a
4095.0,2469.0,2414.0,3324.0,3186.0,3493.0,2607.0,3036.0,0.71,9.46,1.86,-0.51,0.65,-0.31,a
4095.0,2482.0,2437.0,3345.0,3184.0,3469.0,2595.0,3038.0,1.36,9.9,1.64,-0.31,0.27,-0.23,a
4095.0,2481.0,2448.0,3376.0,3212.0,3495.0,2593.0,3071.0,0.48,9.12,2.16,0.45,0.17,0.06,a
4095.0,2473.0,2458.0,3409.0,3232.0,3504.0,2596.0,3088.0,0.17,9.77,0.76,0.65,0.12,0.09,a
4095.0,2469.0,2451.0,3415.0,3243.0,3498.0,2589.0,3088.0,0.51,9.52,0.2,0.68,0.06,0.03,a
4095.0,2477.0,2454.0,3411.0,3247.0,3504.0,2594.0,3083.0,0.43,9.63,-0.47,0.64,0.15,-0.05,a
4095.0,2465.0,2453.0,3431.0,3252.0,3509.0,2596.0,3083.0,1.47,9.29,0.08,0.78,0.79,-0.31,a
4095.0,2473.0,2459.0,3439.0,3249.0,3520.0,2597.0,3088.0,-0.85,9.08,-3.19,0.95,1.54,-0.5,a
4095.0,2480.0,2465.0,3442.0,3246.0,3510.0,2603.0,3099.0,0.06,9.5,-3.69,-0.64,0.67,-0.31,a
4095.0,2474.0,2460.0,3475.0,3248.0,3503.0,2602.0,3111.0,-0.23,9.04,-0.85,-0.93,-0.22,-0.08,a
4095.0,2471.0,2463.0,3507.0,3247.0,3502.0,2608.0,3118.0,-0.45,9.37,0.39,-0.91,0.1,-0.33,a
4095.0,2478.0,2465.0,3537.0,3248.0,3503.0,2613.0,3120.0,-0.52,9.65,1.33,0.48,-0.16,0.13,a
4095.0,2475.0,2458.0,3536.0,3249.0,3506.0,2611.0,3120.0,0.92,10.56,-0.54,1.0,-0.41,0.31,a
4095.0,2480.0,2470.0,3553.0,3248.0,3505.0,2608.0,3113.0,0.5,9.76,-1.58,0.95,-0.69,0.19,a
4095.0,2480.0,2466.0,3540.0,3255.0,3507.0,2599.0,3106.0,1.91,9.79,-2.73,0.85,-2.03,0.65,a
4095.0,2474.0,2466.0,3568.0,3251.0,3511.0,2608.0,3107.0,0.62,10.07,-4.07,0.17,0.33,-0.25,a
4095.0,2467.0,2462.0,3565.0,3258.0,3517.0,2619.0,3119.0,0.19,9.14,-3.0,-0.08,3.29,-0.82,a
4095.0,2479.0,2470.0,3549.0,3248.0,3516.0,2611.0,3126.0,1.66,9.5,-1.94,0.2,2.14,-0.31,a
4095.0,2469.0,2448.0,3538.0,3263.0,3515.0,2621.0,3126.0,0.42,9.67,-3.69,0.55,0.87,0.06,a
