hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3775.0,3575.0,2622.0,4095.0,2624.0,2461.0,2544.0,2361.0,-1.26,9.83,5.64,-0.02,-0.04,-0.15,a
3791.0,3600.0,2622.0,4095.0,2634.0,2459.0,2544.0,2369.0,-1.33,9.77,5.7,-0.01,-0.03,-0.18,a
3803.0,3583.0,2617.0,4095.0,2635.0,2459.0,2551.0,2371.0,-1.26,9.71,5.69,-0.02,-0.04,-0.17,a
3789.0,3577.0,2610.0,4095.0,2632.0,2457.0,2545.0,2371.0,-1.3,9.6,5.84,-0.02,-0.03,-0.17,a
3783.0,3607.0,2610.0,4095.0,2629.0,2463.0,2549.0,2374.0,-1.38,9.66,5.74,-0.01,-0.03,-0.16,a
3788.0,3583.0,2608.0,4095.0,2636.0,2462.0,2547.0,2374.0,-1.4,9.67,5.76,-0.0,0.01,-0.14,a
3791.0,3600.0,2615.0,4095.0,2640.0,2475.0,2550.0,2376.0,-1.19,9.6,5.81,0.01,-0.02,-0.14,a
3790.0,3583.0,2625.0,4095.0,2637.0,2467.0,2554.0,2377.0,-1.32,9.62,5.59,0.08,0.0,-0.18,a
3791.0,3602.0,2625.0,4095.0,2629.0,2463.0,2553.0,2378.0,-1.24,9.7,5.63,-0.01,-0.11,-0.13,a
3792.0,3604.0,2613.0,4095.0,2642.0,2470.0,2551.0,2379.0,-1.3,9.68,5.87,-0.05,-0.02,-0.15,a
3804.0,3607.0,2622.0,4095.0,2642.0,2465.0,2557.0,2381.0,-1.42,9.77,5.66,0.03,-0.06,-0.14,a
3808.0,3602.0,2618.0,4095.0,2643.0,2469.0,2559.0,2386.0,-1.13,9.72,5.68,0.01,-0.06,-0.15,a
3813.0,3600.0,2608.0,4095.0,2646.0,2467.0,2559.0,2386.0,-1.24,9.64,5.79,-0.01,-0.01,-0.17,a
3794.0,3579.0,2615.0,4095.0,2642.0,2478.0,2559.0,2384.0,-1.37,9.61,5.81,0.01,-0.05,-0.17,a
3792.0,3600.0,2613.0,4095.0,2645.0,2475.0,2559.0,2395.0,-1.26,9.68,5.75,0.08,-0.04,-0.2,a
3796.0,3605.0,2621.0,4095.0,2655.0,2471.0,2559.0,2390.0,-1.48,9.7,5.7,0.05,-0.02,-0.17,a
3799.0,3583.0,2604.0,4095.0,2642.0,2474.0,2559.0,2394.0,-1.2,9.71,5.6,0.01,-0.05,-0.14,a
3807.0,3600.0,2615.0,4095.0,2654.0,2480.0,2559.0,2391.0,-1.26,9.73,5.7,0.01,0.01,-0.14,a
