hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,3687.0,3230.0,3990.0,2452.0,2272.0,2491.0,2199.0,-2.16,9.57,4.76,0.05,-0.01,-0.11,0.0,a
4095.0,3683.0,3216.0,3965.0,2454.0,2259.0,2475.0,2195.0,-1.42,9.63,4.64,0.05,-0.19,-0.14,0.0,a
4095.0,3682.0,3221.0,4000.0,2434.0,2288.0,2475.0,2214.0,-1.87,9.64,4.79,-0.04,0.07,-0.14,0.0,a
4095.0,3689.0,3231.0,3990.0,2448.0,2282.0,2477.0,2212.0,-1.92,9.58,4.89,0.05,-0.21,-0.14,0.0,a
4095.0,3695.0,3232.0,3981.0,2458.0,2281.0,2483.0,2206.0,-1.53,9.67,4.58,0.05,-0.04,-0.14,0.0,a
4095.0,3694.0,3228.0,3994.0,2450.0,2288.0,2482.0,2218.0,-1.81,9.65,4.65,-0.0,0.08,-0.13,0.0,a
4095.0,3709.0,3229.0,3990.0,2447.0,2295.0,2476.0,2210.0,-1.68,9.71,4.66,0.03,-0.04,-0.17,0.0,a
4095.0,3693.0,3226.0,3999.0,2449.0,2277.0,2480.0,2207.0,-1.76,9.68,4.68,-0.03,0.07,-0.16,0.0,a
4095.0,3683.0,3218.0,3984.0,2463.0,2281.0,2496.0,2215.0,-1.93,9.59,4.69,0.01,-0.07,-0.14,0.0,a
4095.0,3689.0,3249.0,3984.0,2454.0,2282.0,2494.0,2212.0,-1.58,9.68,4.65,0.03,-0.01,-0.18,0.0,a
4095.0,3687.0,3235.0,3986.0,2465.0,2288.0,2498.0,2209.0,-1.69,9.66,4.84,-0.06,0.0,-0.16,0.0,a
4095.0,3682.0,3223.0,4014.0,2451.0,2287.0,2489.0,2214.0,-1.81,9.6,4.95,0.04,-0.0,-0.2,0.0,a
4095.0,3695.0,3236.0,4012.0,2461.0,2288.0,2485.0,2239.0,-1.91,9.67,4.71,0.01,0.04,-0.15,0.0,a
4095.0,3693.0,3223.0,3984.0,2462.0,2299.0,2501.0,2224.0,-1.78,9.64,4.77,0.05,-0.12,-0.17,0.0,a
4095.0,3694.0,3223.0,4007.0,2468.0,2289.0,2497.0,2226.0,-1.73,9.67,4.75,0.02,0.04,-0.18,0.0,a
4095.0,3695.0,3217.0,4019.0,2454.0,2288.0,2493.0,2230.0,-1.96,9.56,4.89,0.02,0.05,-0.18,0.0,a
4095.0,3679.0,3231.0,3975.0,2461.0,2300.0,2502.0,2226.0,-1.87,9.58,4.77,0.06,-0.05,-0.16,0.0,a
4095.0,3694.0,3229.0,4011.0,2453.0,2290.0,2493.0,2226.0,-1.86,9.68,4.63,0.02,0.01,-0.13,0.0,a
4095.0,3684.0,3231.0,3983.0,2453.0,2305.0,2489.0,2240.0,-1.81,9.63,4.81,0.0,0.02,-0.14,0.0,a
4095.0,3707.0,3229.0,3984.0,2475.0,2285.0,2521.0,2224.0,-1.72,9.62,4.6,0.03,0.03,-0.18,0.0,a
4083.0,3554.0,3059.0,4095.0,2486.0,2320.0,2482.0,2267.0,-2.0,9.57,4.51,-0.02,-0.02,-0.12,0.0,a
4095.0,3539.0,3043.0,4095.0,2481.0,2306.0,2496.0,2265.0,-2.15,9.66,4.79,0.05,0.06,-0.19,0.0,a
4095.0,3539.0,3053.0,4095.0,2486.0,2320.0,2498.0,2275.0,-2.22,9.45,4.72,0.04,-0.0,-0.15,0.0,a
4071.0,3533.0,3034.0,4095.0,2495.0,2318.0,2506.0,2262.0,-2.33,9.66,4.45,0.13,0.0,-0.17,0.0,a
4094.0,3561.0,3051.0,4095.0,2496.0,2323.0,2503.0,2269.0,-2.12,9.63,4.34,-0.05,-0.04,-0.08,0.0,a
4095.0,3547.0,3039.0,4095.0,2494.0,2322.0,2497.0,2273.0,-2.02,9.62,4.55,-0.04,0.05,-0.14,0.0,a
4087.0,3553.0,3040.0,4095.0,2486.0,2337.0,2491.0,2281.0,-2.2,9.51,4.77,-0.03,0.0,-0.16,0.0,a
4077.0,3548.0,3053.0,4095.0,2492.0,2321.0,2497.0,2269.0,-2.23,9.5,4.63,0.02,-0.02,-0.14,0.0,a
4071.0,3554.0,3046.0,4095.0,2507.0,2325.0,2507.0,2275.0,-2.14,9.59,4.57,-0.02,-0.02,-0.14,0.0,a
4087.0,3563.0,3038.0,4095.0,2510.0,2330.0,2503.0,2273.0,-2.11,9.55,4.82,-0.04,0.03,-0.14,0.0,a
4080.0,3552.0,3047.0,4095.0,2491.0,2343.0,2495.0,2283.0,-2.28,9.56,4.86,0.03,0.02,-0.15,0.0,a
4095.0,3568.0,3045.0,4095.0,2504.0,2330.0,2503.0,2283.0,-2.22,9.54,4.58,0.06,-0.03,-0.15,0.0,a
4062.0,3557.0,3043.0,4095.0,2505.0,2325.0,2518.0,2273.0,-2.04,9.59,4.46,0.05,0.02,-0.15,0.0,a
4091.0,3557.0,3046.0,4095.0,2494.0,2329.0,2483.0,2289.0,-2.1,9.53,4.58,-0.03,0.01,-0.15,0.0,a
4077.0,3551.0,3037.0,4095.0,2511.0,2325.0,2506.0,2290.0,-2.27,9.53,4.7,0.03,0.01,-0.18,0.0,a
4067.0,3548.0,3043.0,4095.0,2511.0,2327.0,2502.0,2288.0,-2.17,9.46,4.52,0.04,-0.02,-0.15,0.0,a
4086.0,3563.0,3036.0,4095.0,2511.0,2335.0,2509.0,2288.0,-2.17,9.61,4.46,-0.01,0.0,-0.13,0.0,a
4075.0,3554.0,3047.0,4095.0,2503.0,2340.0,2500.0,2295.0,-2.02,9.57,4.77,-0.02,0.03,-0.15,0.0,a
4077.0,3553.0,3053.0,4095.0,2513.0,2329.0,2499.0,2288.0,-2.28,9.55,4.81,0.01,0.02,-0.17,0.0,a
4095.0,3547.0,3033.0,4095.0,2502.0,2340.0,2505.0,2287.0,-2.23,9.44,4.71,0.06,-0.01,-0.17,0.0,a
4095.0,3411.0,3241.0,4045.0,2548.0,2279.0,2480.0,2235.0,-2.48,9.54,4.9,0.07,-0.02,-0.16,0.0,a
4095.0,3395.0,3248.0,4049.0,2551.0,2298.0,2473.0,2224.0,-2.29,9.65,4.66,0.03,0.02,-0.14,0.0,a
4095.0,3383.0,3248.0,4069.0,2555.0,2295.0,2479.0,2224.0,-2.2,9.46,4.98,-0.03,0.02,-0.17,0.0,a
4095.0,3381.0,3248.0,4080.0,2546.0,2299.0,2477.0,2230.0,-2.48,9.6,5.06,0.05,0.02,-0.18,0.0,a
4095.0,3385.0,3248.0,4047.0,2559.0,2298.0,2485.0,2245.0,-2.24,9.39,4.92,0.05,0.01,-0.15,0.0,a
4095.0,3388.0,3233.0,4075.0,2559.0,2308.0,2485.0,2235.0,-2.55,9.73,4.61,0.04,-0.01,-0.17,0.0,a
4095.0,3393.0,3253.0,4068.0,2559.0,2289.0,2491.0,2237.0,-2.26,9.4,4.95,0.01,0.06,-0.14,0.0,a
4095.0,3392.0,3252.0,4057.0,2580.0,2303.0,2497.0,2237.0,-2.41,9.55,4.9,-0.04,-0.02,-0.14,0.0,a
4095.0,3379.0,3248.0,4083.0,2559.0,2304.0,2481.0,2244.0,-2.37,9.47,4.82,0.07,0.02,-0.16,0.0,a
4095.0,3385.0,3243.0,4089.0,2586.0,2308.0,2495.0,2245.0,-2.26,9.54,4.78,-0.03,-0.04,-0.12,0.0,a
4095.0,3382.0,3248.0,4095.0,2559.0,2307.0,2492.0,2239.0,-2.32,9.54,5.02,0.03,0.05,-0.18,0.0,a
4095.0,3379.0,3248.0,4095.0,2559.0,2315.0,2491.0,2255.0,-2.33,9.44,5.04,0.02,-0.0,-0.16,0.0,a
4095.0,3380.0,3233.0,4095.0,2582.0,2307.0,2447.0,2256.0,-2.49,9.62,4.59,0.07,-0.03,-0.14,0.0,a
4095.0,3396.0,3247.0,4095.0,2587.0,2298.0,2503.0,2245.0,-2.15,9.39,4.76,0.0,0.04,-0.15,0.0,a
4095.0,3390.0,3246.0,4095.0,2559.0,2306.0,2496.0,2253.0,-2.32,9.56,4.88,-0.03,-0.02,-0.15,0.0,a
4095.0,3384.0,3248.0,4095.0,2582.0,2321.0,2507.0,2247.0,-2.33,9.41,5.01,0.07,0.06,-0.18,0.0,a
4095.0,3380.0,3247.0,4095.0,2597.0,2320.0,2509.0,2250.0,-2.42,9.54,4.68,0.03,-0.06,-0.12,0.0,a
4095.0,3381.0,3231.0,4095.0,2587.0,2318.0,2505.0,2263.0,-2.23,9.46,4.66,0.06,0.04,-0.15,0.0,a
4095.0,3393.0,3259.0,4095.0,2586.0,2318.0,2512.0,2256.0,-2.19,9.52,4.82,-0.06,-0.01,-0.13,0.0,a
4095.0,3407.0,3235.0,4095.0,2592.0,2314.0,2503.0,2262.0,-2.45,9.55,4.92,0.03,0.05,-0.17,0.0,a
4095.0,3436.0,3183.0,4095.0,2622.0,2315.0,2497.0,2173.0,-1.99,9.61,4.75,0.0,-0.07,-0.15,0.0,a
4095.0,3440.0,3190.0,4095.0,2610.0,2333.0,2495.0,2173.0,-1.96,9.44,5.23,0.08,-0.0,-0.19,0.0,a
4095.0,3431.0,3178.0,4095.0,2614.0,2321.0,2503.0,2183.0,-2.09,9.6,5.07,-0.03,-0.13,-0.12,0.0,a
4095.0,3427.0,3179.0,4095.0,2617.0,2323.0,2512.0,2183.0,-2.14,9.63,4.95,0.17,-0.0,-0.19,0.0,a
4095.0,3445.0,3191.0,4095.0,2615.0,2324.0,2524.0,2191.0,-1.75,9.49,4.99,-0.04,-0.13,-0.11,0.0,a
4095.0,3429.0,3199.0,4095.0,2624.0,2327.0,2506.0,2190.0,-2.07,9.69,5.02,0.05,0.07,-0.19,0.0,a
4095.0,3440.0,3187.0,4095.0,2624.0,2333.0,2502.0,2198.0,-2.16,9.49,5.01,0.05,-0.02,-0.17,0.0,a
4095.0,3415.0,3187.0,4095.0,2625.0,2331.0,2511.0,2193.0,-2.01,9.69,4.78,0.04,-0.07,-0.14,0.0,a
4095.0,3423.0,3191.0,4095.0,2639.0,2331.0,2517.0,2198.0,-1.9,9.56,4.98,0.02,0.09,-0.17,0.0,a
4095.0,3429.0,3189.0,4095.0,2637.0,2333.0,2517.0,2201.0,-2.04,9.73,5.0,-0.05,0.08,-0.14,0.0,a
4095.0,3423.0,3187.0,4095.0,2629.0,2340.0,2514.0,2198.0,-2.09,9.52,5.1,0.03,0.07,-0.16,0.0,a
4095.0,3434.0,3184.0,4095.0,2639.0,2338.0,2527.0,2196.0,-2.08,9.69,4.78,-0.03,-0.05,-0.11,0.0,a
4095.0,3431.0,3184.0,4095.0,2640.0,2346.0,2503.0,2210.0,-1.78,9.64,4.92,-0.01,0.03,-0.15,0.0,a
4095.0,3429.0,3195.0,4095.0,2633.0,2330.0,2518.0,2211.0,-1.88,9.58,5.27,-0.04,0.05,-0.19,0.0,a
4095.0,3419.0,3187.0,4095.0,2646.0,2346.0,2518.0,2207.0,-2.21,9.46,5.25,0.04,-0.0,-0.23,0.0,a
4095.0,3440.0,3185.0,4095.0,2637.0,2343.0,2518.0,2199.0,-2.32,9.51,5.07,0.01,0.0,-0.17,0.0,a
4095.0,3431.0,3194.0,4095.0,2594.0,2346.0,2512.0,2206.0,-2.21,9.5,4.9,0.04,0.03,-0.12,0.0,a
4095.0,3429.0,3184.0,4095.0,2644.0,2345.0,2517.0,2205.0,-1.84,9.64,4.85,-0.07,-0.03,-0.09,0.0,a
4095.0,3429.0,3197.0,4095.0,2646.0,2338.0,2527.0,2206.0,-1.94,9.45,5.17,-0.0,0.05,-0.15,0.0,a
4095.0,3440.0,3186.0,4095.0,2635.0,2352.0,2519.0,2218.0,-2.06,9.69,5.01,0.03,-0.06,-0.13,0.0,a
4095.0,3301.0,2996.0,4081.0,2546.0,2322.0,2473.0,2254.0,-2.62,9.76,4.48,0.09,0.03,-0.16,0.0,a
4095.0,3290.0,2995.0,4079.0,2559.0,2317.0,2487.0,2247.0,-2.32,9.44,4.45,0.09,0.01,-0.14,0.0,a
4095.0,3303.0,2997.0,4081.0,2559.0,2336.0,2470.0,2255.0,-1.94,9.88,4.28,-0.08,-0.08,-0.13,0.0,a
4095.0,3294.0,3007.0,4068.0,2559.0,2299.0,2481.0,2258.0,-2.01,9.43,4.58,0.12,0.07,-0.21,0.0,a
4095.0,3283.0,3003.0,4078.0,2586.0,2320.0,2493.0,2250.0,-2.31,9.43,4.4,-0.01,-0.07,-0.12,0.0,a
4095.0,3293.0,2990.0,4095.0,2559.0,2331.0,2483.0,2256.0,-2.36,9.72,4.14,0.07,-0.0,-0.17,0.0,a
4095.0,3295.0,2992.0,4082.0,2588.0,2322.0,2494.0,2257.0,-2.12,9.38,4.45,-0.06,0.05,-0.12,0.0,a
4095.0,3281.0,2994.0,4068.0,2589.0,2336.0,2486.0,2273.0,-2.3,9.67,4.48,-0.04,-0.03,-0.16,0.0,a
4095.0,3289.0,2991.0,4095.0,2586.0,2338.0,2482.0,2257.0,-2.35,9.42,4.58,0.02,0.04,-0.16,0.0,a
4095.0,3302.0,2994.0,4091.0,2602.0,2326.0,2496.0,2261.0,-2.32,9.58,4.35,-0.02,-0.04,-0.13,0.0,a
4095.0,3302.0,2993.0,4095.0,2592.0,2333.0,2499.0,2270.0,-2.22,9.52,4.52,0.04,0.05,-0.18,0.0,a
4095.0,3294.0,3007.0,4095.0,2590.0,2335.0,2491.0,2267.0,-2.32,9.49,4.61,-0.04,-0.02,-0.15,0.0,a
4095.0,3288.0,2992.0,4082.0,2595.0,2327.0,2500.0,2261.0,-2.53,9.58,4.5,0.09,0.03,-0.16,0.0,a
4095.0,3307.0,2996.0,4074.0,2580.0,2339.0,2495.0,2273.0,-2.08,9.43,4.4,0.0,-0.02,-0.12,0.0,a
4095.0,3296.0,2995.0,4079.0,2595.0,2329.0,2496.0,2267.0,-2.47,9.76,4.29,0.04,0.01,-0.16,0.0,a
4095.0,3285.0,3008.0,4082.0,2599.0,2343.0,2486.0,2267.0,-2.0,9.32,4.68,0.0,0.05,-0.15,0.0,a
4095.0,3293.0,2991.0,4095.0,2587.0,2342.0,2500.0,2281.0,-2.43,9.74,4.15,-0.02,-0.08,-0.16,0.0,a
4095.0,3303.0,3008.0,4095.0,2590.0,2343.0,2492.0,2270.0,-2.38,9.38,4.44,0.04,0.06,-0.17,0.0,a
4095.0,3298.0,2997.0,4095.0,2592.0,2342.0,2483.0,2281.0,-2.34,9.61,4.33,-0.08,-0.09,-0.1,0.0,a
4095.0,3287.0,2998.0,4095.0,2591.0,2343.0,2494.0,2278.0,-2.0,9.45,4.7,0.02,0.07,-0.17,0.0,a
4095.0,3386.0,3132.0,3989.0,2594.0,2322.0,2532.0,2256.0,-2.24,9.33,4.17,0.01,0.03,-0.13,0.0,a
4095.0,3386.0,3132.0,3989.0,2594.0,2322.0,2532.0,2256.0,-2.24,9.33,4.17,0.01,0.03,-0.13,0.0,a
4095.0,3373.0,3126.0,3984.0,2607.0,2314.0,2537.0,2246.0,-2.42,9.74,4.21,-0.01,0.03,-0.16,0.0,a
4095.0,3355.0,3138.0,3979.0,2599.0,2313.0,2542.0,2250.0,-2.1,9.31,4.75,-0.08,0.05,-0.15,0.0,a
4095.0,3371.0,3126.0,3991.0,2606.0,2319.0,2535.0,2254.0,-2.63,9.75,4.39,-0.01,-0.08,-0.15,0.0,a
4095.0,3376.0,3125.0,3989.0,2615.0,2326.0,2544.0,2261.0,-2.3,9.41,4.52,0.05,0.04,-0.15,0.0,a
4095.0,3357.0,3138.0,3988.0,2610.0,2333.0,2542.0,2262.0,-2.27,9.64,4.48,-0.01,-0.03,-0.15,0.0,a
4095.0,3376.0,3131.0,3988.0,2619.0,2334.0,2540.0,2278.0,-2.4,9.42,4.56,0.06,0.05,-0.19,0.0,a
4095.0,3373.0,3131.0,3978.0,2615.0,2329.0,2551.0,2255.0,-2.56,9.51,4.29,0.0,-0.06,-0.14,0.0,a
4095.0,3347.0,3133.0,3995.0,2610.0,2337.0,2539.0,2270.0,-2.4,9.55,4.23,0.08,0.06,-0.14,0.0,a
4095.0,3377.0,3133.0,3986.0,2613.0,2335.0,2544.0,2273.0,-2.17,9.51,4.31,-0.04,0.01,-0.13,0.0,a
4095.0,3372.0,3141.0,3989.0,2619.0,2323.0,2554.0,2271.0,-2.38,9.63,4.43,0.05,0.03,-0.18,0.0,a
