hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,2951.0,1655.0,4095.0,2830.0,2384.0,2638.0,2244.0,-2.73,9.25,6.01,0.01,-0.01,-0.15,0.0,a
4095.0,2955.0,1669.0,4095.0,2831.0,2384.0,2640.0,2249.0,-2.75,9.25,5.99,0.02,-0.0,-0.15,0.0,a
4095.0,2943.0,1667.0,4095.0,2830.0,2376.0,2639.0,2245.0,-2.71,9.25,6.08,0.02,-0.01,-0.15,0.0,a
4095.0,2945.0,1665.0,4095.0,2831.0,2379.0,2640.0,2243.0,-2.77,9.23,6.07,0.02,-0.0,-0.16,0.0,a
4095.0,2951.0,1661.0,4095.0,2827.0,2381.0,2636.0,2243.0,-2.76,9.25,5.97,0.02,-0.0,-0.14,0.0,a
4095.0,2951.0,1673.0,4095.0,2831.0,2383.0,2641.0,2246.0,-2.74,9.3,5.93,0.02,0.0,-0.16,0.0,a
4095.0,2949.0,1665.0,4095.0,2829.0,2379.0,2639.0,2241.0,-2.71,9.24,6.11,0.01,-0.01,-0.15,0.0,a
4095.0,2954.0,1659.0,4095.0,2831.0,2374.0,2633.0,2243.0,-2.68,9.3,5.97,0.03,0.01,-0.15,0.0,a
4095.0,2944.0,1664.0,4095.0,2826.0,2382.0,2640.0,2247.0,-2.71,9.26,5.95,-0.0,-0.01,-0.17,0.0,a
4095.0,2943.0,1657.0,4095.0,2832.0,2374.0,2640.0,2243.0,-2.75,9.27,6.07,0.02,-0.0,-0.16,0.0,a
4095.0,2947.0,1664.0,4095.0,2832.0,2381.0,2640.0,2246.0,-2.79,9.26,6.01,0.0,0.02,-0.15,0.0,a
4095.0,2944.0,1661.0,4095.0,2830.0,2375.0,2638.0,2245.0,-2.64,9.26,5.96,0.01,0.01,-0.15,0.0,a
4095.0,2960.0,1651.0,4095.0,2830.0,2377.0,2629.0,2238.0,-2.79,9.23,6.02,0.02,0.01,-0.15,0.0,a
4095.0,2962.0,1651.0,4095.0,2827.0,2368.0,2630.0,2235.0,-2.75,9.27,5.96,0.01,-0.01,-0.16,0.0,a
4095.0,2973.0,1659.0,4095.0,2829.0,2368.0,2634.0,2235.0,-2.71,9.31,5.92,0.01,0.0,-0.15,0.0,a
4095.0,2986.0,1661.0,4095.0,2832.0,2377.0,2636.0,2236.0,-2.7,9.23,6.05,0.01,0.0,-0.15,0.0,a
4095.0,2995.0,1653.0,4095.0,2823.0,2374.0,2630.0,2239.0,-2.76,9.29,5.95,0.01,0.01,-0.15,0.0,a
4095.0,2989.0,1663.0,4095.0,2831.0,2374.0,2634.0,2240.0,-2.72,9.28,6.04,0.01,0.0,-0.15,0.0,a
4095.0,2991.0,1658.0,4095.0,2825.0,2371.0,2630.0,2239.0,-2.71,9.27,6.01,0.02,-0.01,-0.16,0.0,a
4095.0,2981.0,1658.0,4095.0,2830.0,2377.0,2635.0,2240.0,-2.71,9.28,5.98,0.01,-0.01,-0.15,0.0,a
4095.0,2983.0,1657.0,4095.0,2828.0,2375.0,2634.0,2240.0,-2.77,9.24,6.03,0.02,0.0,-0.15,0.0,a
4095.0,2977.0,1666.0,4095.0,2830.0,2375.0,2634.0,2240.0,-2.89,9.21,5.93,0.01,-0.01,-0.12,0.0,a
4095.0,2993.0,1664.0,4095.0,2824.0,2368.0,2631.0,2231.0,-3.1,9.18,5.82,-0.06,-0.04,0.08,0.0,a
4095.0,2987.0,1676.0,4095.0,2830.0,2376.0,2635.0,2237.0,-2.94,9.21,5.66,-0.06,-0.08,0.26,0.0,a
4095.0,2989.0,1662.0,4095.0,2831.0,2368.0,2634.0,2234.0,-1.37,9.49,6.28,-0.16,-0.11,0.28,0.0,a
4095.0,2991.0,1652.0,4095.0,2831.0,2373.0,2637.0,2238.0,-0.97,9.59,6.45,-0.11,-0.07,0.09,0.0,a
4095.0,2992.0,1658.0,4095.0,2831.0,2375.0,2637.0,2239.0,-0.99,9.62,6.5,-0.12,-0.09,-0.05,0.0,a
4095.0,3002.0,1666.0,4095.0,2832.0,2371.0,2639.0,2240.0,-0.93,9.57,6.67,-0.15,-0.12,-0.1,0.0,a
4095.0,2985.0,1664.0,4095.0,2832.0,2375.0,2639.0,2240.0,-0.85,9.57,6.73,-0.09,-0.13,-0.21,0.0,a
4095.0,2992.0,1654.0,4095.0,2829.0,2368.0,2634.0,2235.0,-1.13,9.42,6.92,-0.07,-0.12,-0.28,0.0,a
4095.0,2982.0,1657.0,4095.0,2827.0,2375.0,2636.0,2239.0,-1.43,9.29,7.16,-0.12,-0.06,-0.3,0.0,a
4095.0,2977.0,1658.0,4095.0,2831.0,2376.0,2635.0,2237.0,-1.27,9.34,7.12,-0.09,-0.09,-0.33,0.0,a
4095.0,2987.0,1666.0,4095.0,2832.0,2378.0,2637.0,2240.0,-1.49,9.21,7.55,-0.06,-0.1,-0.41,0.0,a
