hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3159.0,3395.0,3113.0,4095.0,3813.0,3183.0,3243.0,3476.0,-1.39,9.69,2.46,-0.08,0.01,0.01,1.0,a
3158.0,3397.0,3126.0,4095.0,3819.0,3185.0,3249.0,3475.0,-1.23,9.64,2.57,-0.12,-0.01,0.01,1.0,a
3159.0,3399.0,3120.0,4095.0,3824.0,3185.0,3248.0,3475.0,-1.22,9.65,2.68,-0.12,-0.02,0.0,1.0,a
3153.0,3385.0,3125.0,4095.0,3811.0,3186.0,3248.0,3476.0,-1.28,9.58,2.72,-0.11,-0.02,-0.01,1.0,a
3169.0,3391.0,3127.0,4095.0,3815.0,3189.0,3249.0,3481.0,-1.3,9.62,2.66,-0.09,0.0,0.01,1.0,a
3174.0,3395.0,3120.0,4095.0,3822.0,3184.0,3239.0,3477.0,-1.3,9.64,2.6,-0.12,-0.02,-0.0,1.0,a
3163.0,3404.0,3120.0,4095.0,3823.0,3187.0,3247.0,3483.0,-1.26,9.58,2.79,-0.12,0.0,0.01,1.0,a
3155.0,3389.0,3117.0,4095.0,3815.0,3185.0,3241.0,3472.0,-1.28,9.55,2.94,-0.1,0.01,0.01,1.0,a
3164.0,3399.0,3127.0,4095.0,3820.0,3193.0,3244.0,3467.0,-1.05,9.59,2.95,-0.07,-0.0,-0.02,1.0,a
3153.0,3379.0,3119.0,4095.0,3818.0,3184.0,3243.0,3478.0,-1.05,9.54,2.88,-0.09,-0.04,-0.03,1.0,a
3162.0,3380.0,3120.0,4095.0,3812.0,3186.0,3243.0,3481.0,-1.12,9.6,2.82,-0.05,-0.01,-0.03,1.0,a
3169.0,3394.0,3122.0,4095.0,3817.0,3184.0,3239.0,3472.0,-1.18,9.58,2.82,-0.08,-0.04,-0.02,1.0,a
3166.0,3391.0,3121.0,4095.0,3821.0,3185.0,3243.0,3472.0,-1.18,9.63,2.78,-0.1,-0.02,-0.02,1.0,a
3163.0,3382.0,3115.0,4095.0,3817.0,3183.0,3245.0,3469.0,-1.13,9.61,2.79,-0.11,-0.06,-0.01,1.0,a
3162.0,3393.0,3120.0,4095.0,3821.0,3188.0,3247.0,3474.0,-1.22,9.45,3.05,-0.07,-0.08,0.01,1.0,a
3167.0,3395.0,3124.0,4095.0,3830.0,3195.0,3248.0,3470.0,-1.21,9.52,2.95,0.02,-0.06,0.02,1.0,a
3163.0,3387.0,3126.0,4095.0,3826.0,3199.0,3246.0,3479.0,-0.93,9.63,2.89,-0.06,-0.11,0.01,1.0,a
3161.0,3387.0,3120.0,4095.0,3834.0,3200.0,3248.0,3481.0,-0.82,9.62,2.86,-0.09,-0.07,0.03,1.0,a
3165.0,3387.0,3125.0,4095.0,3843.0,3203.0,3245.0,3473.0,-1.11,9.53,3.07,-0.07,-0.01,0.06,1.0,a
3159.0,3393.0,3122.0,4095.0,3843.0,3202.0,3246.0,3474.0,-1.04,9.57,2.97,-0.02,-0.04,0.08,1.0,a
3164.0,3386.0,3120.0,4095.0,3845.0,3211.0,3248.0,3474.0,-0.94,9.57,2.94,-0.01,-0.01,0.11,1.0,a
3160.0,3381.0,3126.0,4095.0,3834.0,3203.0,3243.0,3472.0,-0.67,9.6,3.0,-0.03,-0.03,0.12,1.0,a
3157.0,3381.0,3120.0,4095.0,3834.0,3202.0,3238.0,3479.0,-0.39,9.48,3.08,0.1,-0.02,-0.01,1.0,a
3175.0,3381.0,3135.0,4095.0,3841.0,3184.0,3229.0,3469.0,-0.7,9.68,2.78,-0.09,-0.11,0.05,1.0,a
3154.0,3375.0,3127.0,4095.0,3826.0,3187.0,3235.0,3472.0,-0.56,9.76,2.73,0.11,0.04,0.08,1.0,a
3159.0,3392.0,3120.0,4095.0,3825.0,3188.0,3242.0,3473.0,-0.33,9.56,2.69,0.15,-0.04,0.01,1.0,a
3165.0,3383.0,3123.0,4095.0,3830.0,3194.0,3236.0,3473.0,-0.39,9.68,2.39,-0.05,-0.01,0.02,1.0,a
3163.0,3379.0,3133.0,4095.0,3844.0,3191.0,3241.0,3472.0,0.13,9.86,2.55,0.03,-0.08,-0.06,1.0,a
3167.0,3387.0,3135.0,4095.0,3840.0,3199.0,3247.0,3475.0,-0.06,9.93,2.38,-0.0,-0.03,-0.11,1.0,a
3163.0,3377.0,3135.0,4095.0,3839.0,3190.0,3245.0,3471.0,-0.15,9.68,2.66,-0.03,-0.1,-0.24,1.0,a
3161.0,3390.0,3133.0,4095.0,3846.0,3184.0,3246.0,3477.0,-0.11,9.73,2.71,-0.07,-0.11,-0.28,1.0,a
3152.0,3379.0,3127.0,4095.0,3842.0,3166.0,3239.0,3471.0,-0.86,9.48,2.7,-0.02,-0.09,-0.36,1.0,a
3148.0,3370.0,3135.0,4095.0,3847.0,3171.0,3237.0,3471.0,-0.93,9.3,2.83,-0.04,-0.25,-0.41,1.0,a
3150.0,3378.0,3129.0,4095.0,3835.0,3163.0,3233.0,3460.0,-0.96,9.58,2.59,0.12,-0.17,-0.43,1.0,a
3139.0,3393.0,3133.0,4095.0,3850.0,3175.0,3242.0,3466.0,-1.12,9.59,2.48,0.02,-0.43,-0.58,1.0,a
3142.0,3381.0,3129.0,4095.0,3847.0,3181.0,3236.0,3459.0,-1.27,9.59,2.54,0.25,-0.15,-0.52,1.0,a
3131.0,3376.0,3130.0,4095.0,3845.0,3191.0,3239.0,3462.0,-1.76,9.46,2.4,0.1,-0.1,-0.44,1.0,a
3141.0,3379.0,3130.0,4061.0,3845.0,3190.0,3242.0,3453.0,-1.98,9.73,2.27,-0.03,-0.25,-0.45,1.0,a
3141.0,3365.0,3136.0,4001.0,3853.0,3187.0,3248.0,3451.0,-2.24,9.45,2.19,-0.04,-0.15,-0.38,1.0,a
3141.0,3386.0,3125.0,3673.0,3847.0,3193.0,3242.0,3453.0,-2.43,9.26,2.21,0.1,-0.18,-0.37,1.0,a
3134.0,3375.0,3130.0,3632.0,3847.0,3189.0,3245.0,3467.0,-2.72,9.88,1.55,0.07,0.03,-0.28,1.0,a
3141.0,3363.0,3135.0,3664.0,3860.0,3200.0,3249.0,3460.0,-2.58,9.45,1.73,-0.07,-0.13,-0.27,1.0,a
3141.0,3367.0,3125.0,3775.0,3855.0,3197.0,3241.0,3456.0,-2.8,9.62,1.94,-0.07,0.05,-0.15,1.0,a
3146.0,3382.0,3137.0,4026.0,3856.0,3199.0,3235.0,3455.0,-3.07,9.48,1.96,-0.15,-0.02,-0.1,1.0,a
3135.0,3370.0,3137.0,4095.0,3876.0,3202.0,3247.0,3458.0,-2.27,9.4,1.98,-0.16,-0.04,-0.12,1.0,a
3135.0,3375.0,3131.0,4095.0,3881.0,3202.0,3247.0,3461.0,-1.8,9.55,2.0,-0.21,-0.0,-0.18,1.0,a
3147.0,3376.0,3137.0,4095.0,3877.0,3200.0,3246.0,3454.0,-2.59,9.24,2.67,-0.2,0.01,-0.24,1.0,a
3131.0,3366.0,3129.0,4095.0,3869.0,3195.0,3243.0,3466.0,-3.5,9.15,2.74,-0.09,0.0,-0.23,1.0,a
3146.0,3376.0,3120.0,4095.0,3871.0,3199.0,3245.0,3451.0,-3.54,9.11,2.6,-0.07,0.01,-0.13,1.0,a
3135.0,3365.0,3122.0,4095.0,3856.0,3191.0,3246.0,3452.0,-3.81,9.34,1.89,-0.08,-0.02,-0.01,1.0,a
3138.0,3376.0,3131.0,4095.0,3858.0,3200.0,3242.0,3456.0,-3.23,9.29,1.8,-0.03,-0.04,0.07,1.0,a
3136.0,3365.0,3135.0,4095.0,3856.0,3203.0,3238.0,3443.0,-2.74,9.49,1.7,-0.28,0.0,0.15,1.0,a
3130.0,3365.0,3129.0,4095.0,3878.0,3211.0,3248.0,3455.0,-2.46,9.24,2.48,-0.36,0.04,0.14,1.0,a
3129.0,3378.0,3124.0,4095.0,3872.0,3214.0,3245.0,3452.0,-2.38,9.13,2.97,-0.32,0.01,0.07,1.0,a
3141.0,3362.0,3127.0,4095.0,3885.0,3216.0,3235.0,3443.0,-2.76,9.22,3.12,-0.27,0.06,0.06,1.0,a
3145.0,3360.0,3127.0,4095.0,3863.0,3215.0,3245.0,3449.0,-3.14,9.04,3.37,-0.29,0.02,0.13,1.0,a
3126.0,3383.0,3138.0,4095.0,3856.0,3214.0,3242.0,3451.0,-2.46,9.19,3.41,-0.16,0.0,0.18,1.0,a
3149.0,3370.0,3123.0,4095.0,3885.0,3217.0,3247.0,3442.0,-2.23,9.17,3.26,-0.15,0.03,0.2,1.0,a
3131.0,3363.0,3136.0,4095.0,3867.0,3216.0,3242.0,3440.0,-2.09,9.37,2.89,-0.12,0.01,0.17,1.0,a
3127.0,3360.0,3124.0,4095.0,3869.0,3216.0,3246.0,3451.0,-2.14,9.27,3.02,-0.18,0.0,0.17,1.0,a
3137.0,3361.0,3125.0,4095.0,3871.0,3216.0,3244.0,3447.0,-1.94,9.32,3.11,-0.21,0.03,0.16,1.0,a
3141.0,3365.0,3122.0,4095.0,3879.0,3218.0,3252.0,3442.0,-1.87,9.25,3.33,-0.2,0.04,0.15,1.0,a
3146.0,3376.0,3126.0,4095.0,3883.0,3217.0,3241.0,3440.0,-1.64,9.26,3.49,-0.15,0.04,0.11,1.0,a
3129.0,3361.0,3123.0,4095.0,3863.0,3216.0,3245.0,3443.0,-1.6,9.22,3.45,-0.17,0.01,0.07,1.0,a
3136.0,3364.0,3125.0,4095.0,3875.0,3222.0,3247.0,3449.0,-1.63,9.26,3.36,-0.17,0.02,0.04,1.0,a
3137.0,3365.0,3135.0,4095.0,3873.0,3215.0,3242.0,3440.0,-1.53,9.24,3.46,-0.17,0.05,0.04,1.0,a
3135.0,3366.0,3133.0,4095.0,3882.0,3217.0,3248.0,3444.0,-1.64,9.28,3.34,-0.21,0.05,0.03,1.0,a
3133.0,3374.0,3131.0,4095.0,3888.0,3217.0,3239.0,3441.0,-1.68,9.23,3.55,-0.21,0.02,0.04,1.0,a
3131.0,3356.0,3127.0,4095.0,3866.0,3216.0,3248.0,3453.0,-1.82,9.18,3.65,-0.22,-0.01,0.06,1.0,a
