hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3760.0,4095.0,2989.0,3163.0,4095.0,4095.0,4095.0,4095.0,-0.86,8.64,8.95,0.08,-0.05,-0.16,b
3760.0,4095.0,2993.0,3167.0,4095.0,4095.0,4095.0,4095.0,-0.94,8.63,9.01,0.09,0.05,-0.21,b
3774.0,4095.0,2997.0,3175.0,4095.0,4095.0,4095.0,4095.0,-1.13,8.61,8.85,0.06,0.01,-0.15,b
3760.0,4095.0,2982.0,3174.0,4095.0,4095.0,4095.0,4095.0,-0.77,8.62,8.81,0.03,0.02,-0.13,b
3733.0,4095.0,2992.0,3171.0,4095.0,4095.0,4095.0,4095.0,-1.01,8.68,8.91,0.05,0.05,-0.13,b
3742.0,4095.0,2985.0,3174.0,4095.0,4095.0,4095.0,4095.0,-0.86,8.74,8.87,0.04,-0.02,-0.09,b
3746.0,4095.0,2995.0,3181.0,4095.0,4095.0,4095.0,4095.0,-0.83,8.66,8.96,0.09,-0.0,-0.15,b
3721.0,4095.0,2986.0,3178.0,4095.0,4095.0,4095.0,4095.0,-0.81,8.63,8.36,0.03,-0.06,-0.19,b
3723.0,4095.0,2989.0,3178.0,4095.0,4095.0,4095.0,4095.0,-2.1,8.69,7.93,-0.07,0.16,-0.16,b
3711.0,4095.0,2992.0,3179.0,4095.0,4095.0,4095.0,4095.0,-2.49,8.67,8.38,-0.31,0.41,0.28,b
3711.0,4095.0,2975.0,3183.0,4095.0,4095.0,4095.0,4095.0,-1.41,8.56,8.73,-0.38,0.49,0.53,b
3710.0,4095.0,2991.0,3188.0,4095.0,4095.0,4095.0,4095.0,-0.04,8.66,8.74,-0.45,0.41,0.53,b
3709.0,4095.0,2978.0,3184.0,4095.0,4095.0,4095.0,4095.0,0.53,8.38,9.6,-0.42,0.19,0.29,b
3711.0,4095.0,2992.0,3191.0,4095.0,4095.0,4095.0,4095.0,1.46,8.5,8.9,-0.39,-0.23,0.01,b
3695.0,4095.0,2987.0,3191.0,4095.0,4095.0,4095.0,4095.0,1.73,7.91,9.63,-0.51,-0.36,-0.36,b
3696.0,4095.0,2991.0,3198.0,4095.0,4095.0,4095.0,4095.0,1.44,7.84,10.67,-0.52,-0.58,-0.69,b
3683.0,4095.0,2991.0,3194.0,4095.0,4095.0,4095.0,4095.0,1.46,7.71,11.4,-0.37,-0.75,-1.02,b
3696.0,4095.0,2995.0,3200.0,4095.0,4095.0,4095.0,4095.0,-0.7,7.66,12.51,-0.02,-0.64,-1.2,b
