hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3555.0,4095.0,991.0,3115.0,4095.0,4095.0,4095.0,4095.0,-0.8,9.33,7.34,-0.02,0.03,-0.14,0.0,b
3546.0,4095.0,992.0,3111.0,4095.0,4095.0,4095.0,4095.0,-0.68,9.26,7.35,0.0,-0.07,-0.17,0.0,b
3568.0,4095.0,986.0,3118.0,4095.0,4095.0,4095.0,4095.0,-0.64,9.32,7.39,0.02,0.01,-0.15,0.0,b
3562.0,4095.0,989.0,3107.0,4095.0,4095.0,4095.0,4095.0,-0.75,9.32,7.28,0.02,-0.04,-0.15,0.0,b
3559.0,4095.0,998.0,3115.0,4095.0,4095.0,4095.0,4095.0,-0.67,9.31,7.24,0.02,-0.05,-0.16,0.0,b
3554.0,4095.0,1001.0,3111.0,4095.0,4095.0,4095.0,4095.0,-0.81,9.32,7.32,0.01,0.07,-0.14,0.0,b
3533.0,4095.0,993.0,3114.0,4095.0,4095.0,4095.0,4095.0,-0.84,9.3,7.41,0.02,0.0,-0.15,0.0,b
3497.0,4095.0,975.0,3118.0,4095.0,4095.0,4095.0,4095.0,-0.75,9.28,7.26,0.01,0.01,-0.17,0.0,b
3471.0,4095.0,967.0,3120.0,4095.0,4095.0,4095.0,4095.0,-0.68,9.3,7.2,0.02,-0.03,-0.15,0.0,b
3498.0,4095.0,966.0,3125.0,4095.0,4095.0,4095.0,4095.0,-0.66,9.33,7.2,-0.01,0.02,-0.15,0.0,b
3490.0,4095.0,954.0,3118.0,4095.0,4095.0,4095.0,4095.0,-0.87,9.34,7.36,-0.02,0.06,-0.14,0.0,b
3549.0,4095.0,961.0,3123.0,4095.0,4095.0,4095.0,4095.0,-0.81,9.36,7.13,-0.07,0.01,-0.06,0.0,b
3605.0,4095.0,1020.0,3124.0,4095.0,4095.0,4095.0,4095.0,-0.61,9.21,7.52,-0.06,-0.05,-0.14,0.0,b
3650.0,4095.0,1143.0,3119.0,4095.0,3949.0,4095.0,4095.0,-0.52,9.38,6.88,0.02,-0.06,-0.14,0.0,b
3663.0,4095.0,2054.0,3120.0,4095.0,3705.0,4095.0,4095.0,-0.6,9.37,7.36,0.07,0.02,-0.15,0.0,b
3689.0,4095.0,2827.0,3122.0,4095.0,3568.0,4095.0,4095.0,-0.77,9.3,7.39,0.03,-0.03,-0.16,0.0,b
3728.0,4095.0,3487.0,3119.0,4095.0,3437.0,4095.0,4095.0,-0.75,9.33,7.34,0.05,0.01,-0.14,0.0,b
3746.0,4095.0,3710.0,3117.0,4095.0,3392.0,4095.0,4095.0,-0.69,9.31,7.36,0.03,-0.0,-0.15,0.0,b
3750.0,4095.0,3884.0,3121.0,4095.0,3334.0,4095.0,4095.0,-0.69,9.36,7.47,0.03,0.03,-0.14,0.0,b
3796.0,4095.0,4037.0,3123.0,4095.0,3295.0,4095.0,4095.0,-0.66,9.31,7.25,0.04,0.03,-0.13,0.0,b
3308.0,4095.0,1037.0,3293.0,4095.0,4095.0,4095.0,4095.0,-0.69,9.24,7.76,0.02,-0.08,-0.14,0.0,b
3319.0,4095.0,1009.0,3299.0,4095.0,4095.0,4095.0,4095.0,-0.7,9.22,7.56,0.04,-0.05,-0.13,0.0,b
3302.0,4095.0,1007.0,3294.0,4095.0,4095.0,4095.0,4095.0,-0.59,9.32,7.5,0.01,-0.08,-0.15,0.0,b
3303.0,4095.0,1035.0,3297.0,4095.0,4095.0,4095.0,4095.0,-0.78,9.23,7.75,-0.0,-0.06,-0.13,0.0,b
3291.0,4095.0,1045.0,3296.0,4095.0,4095.0,4095.0,4095.0,-0.92,9.29,7.81,0.03,-0.07,-0.09,0.0,b
3297.0,4095.0,1072.0,3303.0,4095.0,4095.0,4095.0,4095.0,-0.24,9.25,7.21,-0.03,-0.16,-0.16,0.0,b
3284.0,4095.0,1058.0,3302.0,4095.0,4095.0,4095.0,4095.0,0.99,9.72,6.89,-0.21,-0.31,-0.33,0.0,b
3283.0,4095.0,1057.0,3307.0,4095.0,4095.0,4095.0,4095.0,0.08,8.89,8.07,-0.34,-0.26,-0.69,0.0,b
3280.0,4095.0,1130.0,3310.0,4095.0,4095.0,4095.0,4095.0,-1.86,8.72,8.62,-0.06,-0.23,-0.53,0.0,b
3293.0,4095.0,1146.0,3313.0,4095.0,4095.0,4095.0,4095.0,-2.34,8.7,8.21,0.01,-0.22,-0.42,0.0,b
3290.0,4095.0,1181.0,3312.0,4095.0,4095.0,4095.0,4095.0,-2.33,8.65,8.4,0.02,0.01,0.04,0.0,b
3280.0,4095.0,1178.0,3310.0,4095.0,4095.0,4095.0,4095.0,-1.24,8.99,7.75,0.03,-0.04,0.17,0.0,b
3282.0,4095.0,1154.0,3313.0,4095.0,4095.0,4095.0,4095.0,-0.0,9.02,7.68,-0.08,-0.08,0.14,0.0,b
3262.0,4095.0,1147.0,3307.0,4095.0,4095.0,4095.0,4095.0,0.2,9.17,7.91,-0.09,0.08,0.09,0.0,b
3264.0,4095.0,1104.0,3297.0,4095.0,4095.0,4095.0,4095.0,2.33,8.98,7.04,-0.2,0.04,0.01,0.0,b
3269.0,4095.0,1170.0,3299.0,4095.0,4095.0,4095.0,4095.0,-0.52,8.57,8.54,0.03,-0.16,-0.5,0.0,b
3295.0,4095.0,1427.0,3312.0,4095.0,4095.0,4095.0,4095.0,-2.29,8.84,8.24,0.2,-0.16,-0.34,0.0,b
3289.0,4095.0,1385.0,3312.0,4095.0,4095.0,4095.0,4095.0,-1.5,9.07,8.01,0.11,-0.01,0.07,0.0,b
3280.0,4095.0,1386.0,3310.0,4095.0,4095.0,4095.0,4095.0,-0.91,8.84,8.2,-0.04,0.37,0.14,0.0,b
3281.0,4095.0,1312.0,3309.0,4095.0,4095.0,4095.0,4095.0,-0.12,9.12,8.68,-0.14,0.24,0.12,0.0,b
