hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1527.0,877.0,914.0,2625.0,4095.0,4095.0,4095.0,4095.0,0.1,9.79,2.38,-0.13,-0.01,0.05,1.0,b
1503.0,878.0,913.0,2629.0,4095.0,4095.0,4095.0,4095.0,0.19,9.71,2.92,-0.15,0.02,-0.05,1.0,b
1479.0,870.0,915.0,2629.0,4095.0,4095.0,4095.0,4095.0,-0.01,9.69,3.06,-0.12,-0.01,-0.05,1.0,b
1478.0,878.0,914.0,2629.0,4095.0,4095.0,4095.0,4095.0,0.04,9.63,3.02,-0.05,0.05,-0.02,1.0,b
1491.0,865.0,909.0,2636.0,4095.0,4095.0,4095.0,4095.0,-0.05,9.7,2.68,-0.08,0.17,0.01,1.0,b
1511.0,880.0,914.0,2645.0,4095.0,4095.0,4095.0,4095.0,0.12,9.75,2.75,-0.1,0.1,0.05,1.0,b
1615.0,871.0,913.0,2638.0,4095.0,4095.0,4095.0,4095.0,0.19,9.72,2.83,-0.1,0.01,-0.05,1.0,b
1726.0,878.0,912.0,2641.0,4095.0,4095.0,4095.0,4095.0,0.07,9.62,3.04,-0.13,0.02,-0.06,1.0,b
1730.0,878.0,912.0,2643.0,4095.0,4095.0,4095.0,4095.0,0.14,9.66,3.09,-0.07,0.08,-0.05,1.0,b
1753.0,873.0,913.0,2651.0,4095.0,4095.0,4095.0,4095.0,0.02,9.65,2.95,-0.04,0.08,-0.04,1.0,b
1766.0,871.0,912.0,2665.0,4095.0,4095.0,4095.0,4095.0,0.21,9.79,2.76,-0.06,0.03,-0.02,1.0,b
1795.0,871.0,914.0,2659.0,4095.0,4095.0,4095.0,4095.0,0.06,9.68,3.04,-0.1,0.01,-0.08,1.0,b
1803.0,875.0,912.0,2665.0,4095.0,4095.0,4095.0,4095.0,-0.33,9.6,2.97,-0.09,0.06,-0.01,1.0,b
1811.0,878.0,911.0,2659.0,4095.0,4095.0,4095.0,4095.0,0.23,9.67,3.22,-0.04,0.03,-0.0,1.0,b
1840.0,881.0,917.0,2667.0,4095.0,4095.0,4095.0,4095.0,-0.22,9.63,2.79,-0.07,0.09,-0.01,1.0,b
1836.0,869.0,912.0,2665.0,4095.0,4095.0,4095.0,4095.0,0.11,9.69,3.07,-0.09,0.09,0.02,1.0,b
1838.0,878.0,911.0,2673.0,4095.0,4095.0,4095.0,4095.0,0.11,9.66,3.09,-0.06,0.03,-0.03,1.0,b
1837.0,871.0,911.0,2661.0,4095.0,4095.0,4095.0,4095.0,0.09,9.65,3.03,-0.05,0.04,-0.03,1.0,b
1877.0,867.0,912.0,2661.0,4095.0,4095.0,4095.0,4095.0,0.1,9.72,2.92,-0.03,-0.03,-0.05,1.0,b
1887.0,877.0,912.0,2666.0,4095.0,4095.0,4095.0,4095.0,0.04,9.71,2.91,-0.08,0.0,-0.03,1.0,b
1885.0,870.0,910.0,2672.0,4095.0,4095.0,4095.0,4095.0,0.25,9.72,3.04,-0.08,-0.0,-0.01,1.0,b
1881.0,881.0,911.0,2672.0,4095.0,4095.0,4095.0,4095.0,0.06,9.63,3.01,-0.06,0.06,-0.02,1.0,b
1877.0,875.0,909.0,2672.0,4095.0,4095.0,4095.0,4095.0,0.3,9.71,3.01,-0.04,-0.05,-0.05,1.0,b
1871.0,880.0,911.0,2667.0,4095.0,4095.0,4095.0,4095.0,0.01,9.65,2.94,-0.03,0.02,-0.05,1.0,b
1874.0,876.0,912.0,2672.0,4095.0,4095.0,4095.0,4095.0,0.3,9.77,2.92,-0.05,-0.06,-0.02,1.0,b
1875.0,877.0,912.0,2676.0,4095.0,4095.0,4095.0,4095.0,0.0,9.61,3.09,-0.03,0.01,-0.08,1.0,b
1870.0,885.0,912.0,2677.0,4095.0,4095.0,4095.0,4095.0,-0.05,9.74,2.75,-0.05,0.05,0.0,1.0,b
