hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1361.0,946.0,3123.0,3403.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.72,5.48,0.03,0.07,-0.16,0.0,b
1377.0,960.0,3115.0,3398.0,4095.0,4095.0,4095.0,4095.0,-0.76,9.74,5.59,0.05,-0.02,-0.16,0.0,b
1339.0,958.0,3123.0,3407.0,4095.0,4095.0,4095.0,4095.0,-0.79,9.68,5.65,-0.0,-0.07,-0.13,0.0,b
1321.0,967.0,3121.0,3399.0,4095.0,4095.0,4095.0,4095.0,-0.62,9.79,5.65,0.02,0.03,-0.15,0.0,b
1516.0,953.0,3127.0,3390.0,4095.0,4095.0,4095.0,4095.0,-0.61,9.67,5.7,0.03,-0.03,-0.17,0.0,b
1929.0,972.0,3043.0,3387.0,4095.0,4095.0,4095.0,4095.0,-0.76,9.69,5.64,0.0,0.07,-0.17,0.0,b
2288.0,971.0,2912.0,3377.0,4095.0,4095.0,4095.0,4095.0,-0.95,9.73,5.63,0.0,0.05,-0.15,0.0,b
2526.0,1104.0,2910.0,3383.0,4095.0,4095.0,4095.0,4095.0,-0.87,9.75,5.68,-0.02,-0.01,-0.14,0.0,b
2582.0,1246.0,2912.0,3373.0,4095.0,4095.0,4095.0,4095.0,-0.91,9.69,5.55,-0.02,-0.02,-0.13,0.0,b
2589.0,973.0,2905.0,3379.0,4095.0,4095.0,4095.0,4095.0,-0.63,9.74,5.78,0.01,-0.02,-0.15,0.0,b
2559.0,966.0,2902.0,3366.0,4095.0,4095.0,4095.0,4095.0,-0.62,9.71,5.7,0.01,0.01,-0.14,0.0,b
2583.0,960.0,2931.0,3373.0,4095.0,4095.0,4095.0,4095.0,-0.69,9.77,5.73,0.03,0.01,-0.14,0.0,b
2637.0,959.0,3057.0,3382.0,4095.0,4095.0,4095.0,4095.0,-0.75,9.71,5.76,0.03,0.04,-0.14,0.0,b
2635.0,964.0,3136.0,3398.0,4095.0,4095.0,4095.0,4095.0,-0.74,9.57,5.76,0.01,-0.04,-0.16,0.0,b
2603.0,964.0,3120.0,3391.0,4095.0,4095.0,4095.0,4095.0,-0.84,9.66,5.6,-0.01,-0.02,-0.15,0.0,b
2598.0,960.0,3120.0,3375.0,4095.0,4095.0,4095.0,4095.0,-0.71,9.76,5.71,0.02,0.01,-0.15,0.0,b
2595.0,957.0,3120.0,3394.0,4095.0,4095.0,4095.0,4095.0,-0.74,9.68,5.72,-0.01,-0.02,-0.13,0.0,b
2617.0,954.0,3120.0,3378.0,4095.0,4095.0,4095.0,4095.0,-0.68,9.7,5.71,0.03,-0.02,-0.15,0.0,b
2579.0,955.0,3129.0,3376.0,4095.0,4095.0,4095.0,4095.0,-0.71,9.7,5.68,0.03,-0.0,-0.17,0.0,b
2559.0,957.0,3120.0,3376.0,4095.0,4095.0,4095.0,4095.0,-0.71,9.73,5.68,-0.0,-0.03,-0.15,0.0,b
2298.0,973.0,3030.0,3391.0,4095.0,4095.0,4095.0,4095.0,-1.13,9.76,5.64,-0.0,-0.06,-0.16,0.0,b
2337.0,971.0,3033.0,3408.0,4095.0,4095.0,4095.0,4095.0,-1.07,9.69,5.86,0.0,-0.02,-0.12,0.0,b
2314.0,979.0,3026.0,3408.0,4095.0,4095.0,4095.0,4095.0,-0.81,9.69,5.88,0.04,-0.05,-0.14,0.0,b
2308.0,965.0,3020.0,3403.0,4095.0,4095.0,4095.0,4095.0,-0.99,9.71,5.65,0.04,0.08,-0.13,0.0,b
2387.0,973.0,3039.0,3401.0,4095.0,4095.0,4095.0,4095.0,-0.94,9.76,5.48,0.03,-0.0,-0.13,0.0,b
2369.0,973.0,3021.0,3402.0,4095.0,4095.0,4095.0,4095.0,-0.87,9.75,5.46,-0.02,0.0,-0.13,0.0,b
2366.0,980.0,3030.0,3409.0,4095.0,4095.0,4095.0,4095.0,-0.87,9.69,5.75,0.0,0.02,-0.13,0.0,b
2321.0,977.0,3023.0,3399.0,4095.0,4095.0,4095.0,4095.0,-0.85,9.66,5.75,-0.02,-0.02,-0.15,0.0,b
2320.0,976.0,3024.0,3408.0,4095.0,4095.0,4095.0,4095.0,-0.89,9.69,5.81,0.01,0.04,-0.14,0.0,b
2298.0,979.0,3024.0,3420.0,4095.0,4095.0,4095.0,4095.0,-0.73,9.71,5.8,0.01,-0.02,-0.17,0.0,b
2306.0,976.0,3035.0,3408.0,4095.0,4095.0,4095.0,4095.0,-0.88,9.63,5.63,-0.04,0.09,-0.14,0.0,b
2325.0,979.0,3038.0,3422.0,4095.0,4095.0,4095.0,4095.0,-0.95,9.67,5.83,-0.03,0.04,-0.14,0.0,b
2384.0,974.0,3033.0,3424.0,4095.0,4095.0,4095.0,4095.0,-0.86,9.71,5.81,-0.01,-0.02,-0.15,0.0,b
2369.0,987.0,3024.0,3419.0,4095.0,4095.0,4095.0,4095.0,-0.99,9.73,5.79,0.02,0.0,-0.17,0.0,b
2317.0,967.0,3043.0,3418.0,4095.0,4095.0,4095.0,4095.0,-0.98,9.74,5.75,0.02,-0.08,-0.14,0.0,b
2337.0,966.0,3045.0,3433.0,4095.0,4095.0,4095.0,4095.0,-0.71,9.67,5.79,0.01,-0.03,-0.15,0.0,b
2351.0,976.0,3029.0,3427.0,4095.0,4095.0,4095.0,4095.0,-0.78,9.72,5.84,0.03,0.04,-0.17,0.0,b
2384.0,976.0,3025.0,3440.0,4095.0,4095.0,4095.0,4095.0,-0.9,9.67,5.77,0.03,-0.02,-0.16,0.0,b
2463.0,976.0,3039.0,3428.0,4095.0,4095.0,4095.0,4095.0,-0.92,9.71,5.71,-0.0,0.0,-0.15,0.0,b
2486.0,982.0,3039.0,3444.0,4095.0,4095.0,4095.0,4095.0,-0.87,9.65,5.88,0.02,-0.05,-0.16,0.0,b
1040.0,974.0,3087.0,3255.0,4095.0,4095.0,4095.0,4095.0,-0.96,9.79,5.73,0.04,-0.0,-0.16,0.0,b
1018.0,974.0,3097.0,3248.0,4095.0,4095.0,4095.0,4095.0,-1.11,9.71,5.59,-0.0,0.04,-0.14,0.0,b
1014.0,976.0,3090.0,3255.0,4095.0,4095.0,4095.0,4095.0,-1.11,9.69,5.75,0.02,-0.02,-0.15,0.0,b
1022.0,978.0,3095.0,3261.0,4095.0,4095.0,4095.0,4095.0,-1.04,9.68,5.78,0.0,0.0,-0.14,0.0,b
1009.0,967.0,3088.0,3261.0,4095.0,4095.0,4095.0,4095.0,-0.98,9.71,5.73,0.02,0.01,-0.14,0.0,b
1014.0,965.0,3109.0,3264.0,4095.0,4095.0,4095.0,4095.0,-1.03,9.72,5.7,0.01,0.0,-0.14,0.0,b
1035.0,964.0,3101.0,3254.0,4095.0,4095.0,4095.0,4095.0,-1.06,9.66,5.75,0.01,-0.02,-0.15,0.0,b
1037.0,971.0,3088.0,3271.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.68,5.73,0.0,0.04,-0.14,0.0,b
1040.0,982.0,3094.0,3265.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.63,5.82,0.03,-0.02,-0.16,0.0,b
1033.0,965.0,3101.0,3262.0,4095.0,4095.0,4095.0,4095.0,-0.95,9.68,5.7,0.01,0.04,-0.15,0.0,b
1030.0,978.0,3102.0,3261.0,4095.0,4095.0,4095.0,4095.0,-1.08,9.73,5.67,0.01,-0.03,-0.16,0.0,b
1011.0,981.0,3099.0,3269.0,4095.0,4095.0,4095.0,4095.0,-1.0,9.67,5.78,0.0,0.03,-0.14,0.0,b
1041.0,966.0,3088.0,3269.0,4095.0,4095.0,4095.0,4095.0,-0.96,9.64,5.86,0.02,0.01,-0.14,0.0,b
1033.0,989.0,3093.0,3279.0,4095.0,4095.0,4095.0,4095.0,-1.05,9.7,5.71,0.03,-0.01,-0.15,0.0,b
1018.0,978.0,3090.0,3274.0,4095.0,4095.0,4095.0,4095.0,-0.97,9.67,5.78,0.03,-0.0,-0.15,0.0,b
1023.0,982.0,3089.0,3279.0,4095.0,4095.0,4095.0,4095.0,-1.02,9.68,5.66,0.0,0.01,-0.14,0.0,b
1038.0,982.0,3111.0,3287.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.73,5.6,-0.02,0.02,-0.15,0.0,b
1079.0,967.0,3098.0,3280.0,4095.0,4095.0,4095.0,4095.0,-0.96,9.68,5.75,0.0,0.03,-0.14,0.0,b
1094.0,978.0,3106.0,3283.0,4095.0,4095.0,4095.0,4095.0,-1.01,9.7,5.76,-0.01,-0.0,-0.15,0.0,b
1108.0,975.0,3098.0,3280.0,4095.0,4095.0,4095.0,4095.0,-1.03,9.66,5.82,-0.0,0.0,-0.15,0.0,b
1654.0,4095.0,3088.0,3218.0,4095.0,4095.0,4095.0,4095.0,-0.96,9.62,5.81,0.01,-0.0,-0.14,0.0,b
1649.0,4095.0,3086.0,3230.0,4095.0,4095.0,4095.0,4095.0,-0.88,9.62,5.85,-0.01,-0.01,-0.14,0.0,b
1661.0,4095.0,3071.0,3222.0,4095.0,4095.0,4095.0,4095.0,-0.81,9.67,5.85,0.04,0.04,-0.14,0.0,b
