hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3429.0,3870.0,1330.0,2852.0,4095.0,4095.0,4095.0,4095.0,0.18,9.77,2.59,-0.07,-0.05,-0.06,1.0,b
3440.0,3872.0,1319.0,2859.0,4095.0,4095.0,4095.0,4095.0,0.28,9.73,2.69,-0.04,-0.04,-0.04,1.0,b
3454.0,3855.0,1330.0,2850.0,4095.0,4095.0,4095.0,4095.0,0.28,9.75,2.7,-0.04,0.03,-0.04,1.0,b
3443.0,3838.0,1325.0,2853.0,4095.0,4095.0,4095.0,4095.0,0.26,9.75,2.63,-0.05,-0.04,-0.05,1.0,b
3418.0,3843.0,1322.0,2847.0,4095.0,4095.0,4095.0,4095.0,0.25,9.8,2.64,-0.07,0.0,-0.05,1.0,b
3421.0,3843.0,1311.0,2839.0,4095.0,4095.0,4095.0,4095.0,0.21,9.73,2.61,-0.09,0.04,-0.04,1.0,b
3411.0,3840.0,1300.0,2838.0,4095.0,4095.0,4095.0,4095.0,0.19,9.79,2.64,-0.03,-0.01,-0.05,1.0,b
3439.0,3815.0,1317.0,2849.0,4095.0,4095.0,4095.0,4095.0,0.17,9.78,2.56,-0.06,0.01,-0.04,1.0,b
3430.0,3810.0,1296.0,2851.0,4095.0,4095.0,4095.0,4095.0,0.21,9.75,2.72,-0.03,-0.04,-0.05,1.0,b
3409.0,3830.0,1295.0,2847.0,4095.0,4095.0,4095.0,4095.0,0.23,9.73,2.7,-0.04,-0.0,-0.04,1.0,b
3413.0,3827.0,1290.0,2851.0,4095.0,4095.0,4095.0,4095.0,0.29,9.8,2.59,-0.02,-0.02,-0.06,1.0,b
3414.0,3797.0,1287.0,2850.0,4095.0,4095.0,4095.0,4095.0,0.14,9.76,2.57,-0.02,-0.0,-0.06,1.0,b
3410.0,3701.0,1278.0,2851.0,4095.0,4095.0,4095.0,4095.0,0.19,9.72,2.51,-0.08,-0.01,-0.06,1.0,b
3413.0,3684.0,1263.0,2850.0,4095.0,4095.0,4095.0,4095.0,0.14,9.75,2.61,-0.05,0.03,-0.07,1.0,b
3392.0,3683.0,1259.0,2845.0,4095.0,4095.0,4095.0,4095.0,0.04,9.79,2.58,-0.07,0.05,-0.06,1.0,b
3383.0,3666.0,1261.0,2849.0,4095.0,4095.0,4095.0,4095.0,-0.06,9.65,2.77,-0.06,-0.0,-0.03,1.0,b
3402.0,3696.0,1269.0,2845.0,4095.0,4095.0,4095.0,4095.0,0.29,9.78,2.72,-0.02,-0.0,-0.01,1.0,b
3392.0,3676.0,1279.0,2838.0,4095.0,4095.0,4095.0,4095.0,0.24,9.77,2.51,-0.04,0.02,-0.04,1.0,b
3382.0,3664.0,1296.0,2861.0,4095.0,4095.0,4095.0,4095.0,0.08,9.8,2.44,-0.08,0.04,-0.03,1.0,b
3396.0,3674.0,1322.0,2851.0,4095.0,4095.0,4095.0,4095.0,0.12,9.76,2.52,-0.05,-0.05,-0.03,1.0,b
3377.0,3678.0,1295.0,2863.0,4095.0,4095.0,4095.0,4095.0,0.16,9.73,2.44,-0.07,0.02,-0.03,1.0,b
3375.0,3651.0,1298.0,2862.0,4095.0,4095.0,4095.0,4095.0,0.12,9.72,2.56,-0.06,-0.03,-0.05,1.0,b
3367.0,3667.0,1296.0,2851.0,4095.0,4095.0,4095.0,4095.0,0.24,9.73,2.71,-0.06,0.02,-0.02,1.0,b
3369.0,3651.0,1289.0,2853.0,4095.0,4095.0,4095.0,4095.0,0.19,9.81,2.51,-0.06,0.06,-0.03,1.0,b
3373.0,3655.0,1296.0,2858.0,4095.0,4095.0,4095.0,4095.0,0.11,9.77,2.5,-0.06,-0.0,-0.03,1.0,b
3358.0,3666.0,1281.0,2862.0,4095.0,4095.0,4095.0,4095.0,0.21,9.78,2.56,-0.06,0.03,-0.02,1.0,b
3377.0,3681.0,1290.0,2863.0,4095.0,4095.0,4095.0,4095.0,0.29,9.78,2.61,-0.06,-0.0,-0.03,1.0,b
3371.0,3686.0,1296.0,2864.0,4095.0,4095.0,4095.0,4095.0,0.11,9.77,2.58,-0.1,0.05,-0.03,1.0,b
3371.0,3682.0,1283.0,2857.0,4095.0,4095.0,4095.0,4095.0,0.08,9.75,2.59,-0.04,-0.03,-0.04,1.0,b
3371.0,3685.0,1280.0,2863.0,4095.0,4095.0,4095.0,4095.0,0.16,9.78,2.57,-0.07,0.03,-0.03,1.0,b
3376.0,3679.0,1283.0,2855.0,4095.0,4095.0,4095.0,4095.0,0.25,9.82,2.52,-0.04,-0.05,-0.04,1.0,b
3376.0,3664.0,1283.0,2855.0,4095.0,4095.0,4095.0,4095.0,0.21,9.81,2.53,-0.08,0.03,-0.03,1.0,b
3362.0,3663.0,1285.0,2850.0,4095.0,4095.0,4095.0,4095.0,0.1,9.76,2.64,-0.07,0.0,-0.03,1.0,b
3365.0,3689.0,1279.0,2859.0,4095.0,4095.0,4095.0,4095.0,0.19,9.76,2.6,-0.06,0.04,-0.03,1.0,b
3350.0,3679.0,1273.0,2859.0,4095.0,4095.0,4095.0,4095.0,0.19,9.8,2.56,-0.08,0.02,-0.05,1.0,b
3376.0,3667.0,1270.0,2858.0,4095.0,4095.0,4095.0,4095.0,0.1,9.76,2.62,-0.05,0.01,-0.05,1.0,b
3367.0,3689.0,1264.0,2864.0,4095.0,4095.0,4095.0,4095.0,0.15,9.8,2.52,-0.05,-0.01,-0.03,1.0,b
3375.0,3667.0,1262.0,2863.0,4095.0,4095.0,4095.0,4095.0,0.18,9.8,2.53,-0.06,-0.01,-0.03,1.0,b
3348.0,3674.0,1241.0,2861.0,4095.0,4095.0,4095.0,4095.0,0.2,9.74,2.65,-0.05,-0.03,-0.03,1.0,b
3357.0,3678.0,1232.0,2864.0,4095.0,4095.0,4095.0,4095.0,0.18,9.78,2.67,-0.03,0.02,-0.03,1.0,b
3599.0,3972.0,2559.0,2894.0,4095.0,4095.0,4095.0,4095.0,-0.01,9.82,2.58,-0.07,0.03,-0.03,1.0,b
3601.0,3968.0,2545.0,2891.0,4095.0,4095.0,4095.0,4095.0,0.13,9.78,2.69,-0.06,-0.01,-0.04,1.0,b
3581.0,3952.0,2544.0,2891.0,4095.0,4095.0,4095.0,4095.0,0.08,9.76,2.74,-0.04,0.02,-0.03,1.0,b
3600.0,3954.0,2533.0,2900.0,4095.0,4095.0,4095.0,4095.0,0.08,9.79,2.52,-0.05,0.02,-0.04,1.0,b
3607.0,3952.0,2519.0,2905.0,4095.0,4095.0,4095.0,4095.0,0.17,9.82,2.56,-0.05,-0.01,-0.05,1.0,b
3605.0,3944.0,2503.0,2895.0,4095.0,4095.0,4095.0,4095.0,0.17,9.82,2.53,-0.06,-0.01,-0.04,1.0,b
3573.0,3963.0,2486.0,2896.0,4095.0,4095.0,4095.0,4095.0,0.02,9.83,2.52,-0.06,0.02,-0.04,1.0,b
3614.0,3947.0,2478.0,2896.0,4095.0,4095.0,4095.0,4095.0,-0.02,9.71,2.59,-0.04,-0.01,-0.03,1.0,b
3598.0,3919.0,2459.0,2903.0,4095.0,4095.0,4095.0,4095.0,0.16,9.75,2.65,-0.05,-0.0,-0.03,1.0,b
3606.0,3905.0,2440.0,2911.0,4095.0,4095.0,4095.0,4095.0,0.15,9.75,2.66,-0.09,0.01,-0.02,1.0,b
3612.0,3903.0,2432.0,2919.0,4095.0,4095.0,4095.0,4095.0,0.14,9.76,2.56,-0.06,-0.0,-0.04,1.0,b
