hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2791.0,4095.0,2480.0,3166.0,4095.0,4095.0,4095.0,4095.0,-2.15,9.2,7.1,-0.01,0.05,-0.1,0.0,b
2794.0,4095.0,2446.0,3163.0,4095.0,4095.0,4095.0,4095.0,-2.19,9.2,7.07,-0.04,0.01,-0.12,0.0,b
2784.0,4095.0,2450.0,3168.0,4095.0,4095.0,4095.0,4095.0,-2.18,9.12,7.3,0.02,0.04,-0.15,0.0,b
2801.0,4095.0,2457.0,3162.0,4095.0,4095.0,4095.0,4095.0,-2.39,9.13,7.38,-0.0,-0.03,-0.12,0.0,b
2800.0,4095.0,2429.0,3162.0,4095.0,4095.0,4095.0,4095.0,-2.07,9.13,7.38,0.03,-0.01,-0.16,0.0,b
2798.0,4095.0,2398.0,3163.0,4095.0,4095.0,4095.0,4095.0,-1.93,9.32,7.27,0.03,-0.05,-0.19,0.0,b
2800.0,4095.0,2346.0,3165.0,4095.0,4095.0,4095.0,4095.0,-1.76,9.16,7.43,0.05,-0.06,-0.24,0.0,b
2799.0,4095.0,2363.0,3163.0,4095.0,4095.0,4095.0,4095.0,-2.06,9.25,7.41,0.08,0.02,-0.22,0.0,b
2802.0,4095.0,2320.0,3167.0,4095.0,4095.0,4095.0,4095.0,-1.69,9.42,7.25,0.13,-0.23,-0.26,0.0,b
2803.0,4095.0,2318.0,3165.0,4095.0,4095.0,4095.0,4095.0,-2.25,9.11,7.26,0.16,0.03,-0.22,0.0,b
2800.0,4095.0,2335.0,3171.0,4095.0,4095.0,4095.0,4095.0,-2.6,9.21,6.67,0.23,0.11,-0.22,0.0,b
2800.0,4095.0,2320.0,3172.0,4095.0,4095.0,4095.0,4095.0,-2.2,9.38,6.48,0.09,-0.16,-0.26,0.0,b
2795.0,4095.0,2336.0,3162.0,4095.0,4095.0,4095.0,4095.0,-2.16,8.97,7.06,-0.06,-0.02,-0.35,0.0,b
2800.0,4095.0,2355.0,3166.0,4095.0,4095.0,4095.0,4095.0,-2.92,8.71,7.3,-0.03,-0.07,-0.4,0.0,b
2812.0,4095.0,2362.0,3168.0,4095.0,4095.0,4095.0,4095.0,-3.18,8.62,7.4,0.05,-0.23,-0.34,0.0,b
2813.0,4095.0,2353.0,3168.0,4095.0,4095.0,4095.0,4095.0,-3.16,8.6,7.25,0.09,-0.15,-0.14,0.0,b
2802.0,4095.0,2355.0,3168.0,4095.0,4095.0,4095.0,4095.0,-2.92,8.74,6.77,0.11,-0.29,-0.07,0.0,b
2801.0,4095.0,2356.0,3167.0,4095.0,4095.0,4095.0,4095.0,-2.54,8.82,6.73,-0.02,-0.15,-0.07,0.0,b
2806.0,4095.0,2336.0,3175.0,4095.0,4095.0,4095.0,4095.0,-2.83,8.9,6.86,-0.1,-0.22,-0.13,0.0,b
2803.0,4095.0,2339.0,3177.0,4095.0,4095.0,4095.0,4095.0,-3.04,8.71,6.92,-0.21,-0.1,-0.05,0.0,b
2805.0,4095.0,2347.0,3177.0,4095.0,4095.0,4095.0,4095.0,-2.88,8.91,7.09,-0.22,-0.16,-0.04,0.0,b
2774.0,4095.0,2341.0,3171.0,4095.0,4083.0,4095.0,4095.0,-2.7,8.83,7.15,-0.22,0.04,-0.08,0.0,b
2759.0,4095.0,2332.0,3175.0,4095.0,4046.0,4095.0,4095.0,-3.19,8.77,6.89,-0.34,0.24,-0.21,0.0,b
2763.0,4095.0,2335.0,3169.0,4095.0,4058.0,4095.0,4095.0,-3.59,8.99,7.34,-0.51,0.47,-0.12,0.0,b
2781.0,4095.0,2339.0,3169.0,4095.0,4078.0,4095.0,4095.0,-3.5,9.05,8.3,-0.55,0.35,-0.06,0.0,b
2776.0,4095.0,2359.0,3175.0,4095.0,4080.0,4095.0,4095.0,-3.39,8.84,8.93,-0.42,0.51,0.1,0.0,b
2784.0,4095.0,2371.0,3181.0,4095.0,4080.0,4095.0,4095.0,-2.97,9.0,8.89,-0.26,0.4,0.17,0.0,b
2794.0,4095.0,2415.0,3173.0,4095.0,4048.0,4095.0,4095.0,-2.77,8.69,8.99,-0.16,0.51,0.29,0.0,b
2800.0,4095.0,2390.0,3173.0,4095.0,4053.0,4095.0,4095.0,-2.4,8.7,8.86,-0.12,0.54,0.33,0.0,b
2802.0,4095.0,2389.0,3174.0,4095.0,4055.0,4095.0,4095.0,-2.24,8.78,8.18,-0.02,0.42,0.25,0.0,b
2817.0,4095.0,2387.0,3172.0,4095.0,4049.0,4095.0,4095.0,-1.94,8.75,7.64,-0.08,0.29,0.21,0.0,b
2816.0,4095.0,2379.0,3175.0,4095.0,4048.0,4095.0,4095.0,-1.77,8.32,8.0,-0.22,0.29,0.27,0.0,b
2829.0,4095.0,2367.0,3173.0,4095.0,4063.0,4095.0,4095.0,-1.4,8.4,8.61,-0.07,-0.17,0.3,0.0,b
2832.0,4095.0,2355.0,3171.0,4095.0,4060.0,4095.0,4095.0,-1.54,8.54,8.03,0.1,-0.45,0.16,0.0,b
2834.0,4095.0,2330.0,3171.0,4095.0,4067.0,4095.0,4095.0,-1.08,8.35,7.64,-0.27,0.02,0.44,0.0,b
2837.0,4095.0,2329.0,3182.0,4095.0,4050.0,4095.0,4095.0,-0.22,8.83,8.11,-0.27,-0.02,0.21,0.0,b
2849.0,4095.0,2357.0,3183.0,4095.0,4041.0,4095.0,4095.0,-0.23,8.39,8.41,-0.37,0.11,0.09,0.0,b
2851.0,4095.0,2354.0,3182.0,4095.0,4048.0,4095.0,4095.0,-0.22,8.53,9.12,-0.46,0.08,0.08,0.0,b
2837.0,4095.0,2357.0,3181.0,4095.0,4048.0,4095.0,4095.0,-0.26,8.55,9.49,-0.34,-0.05,-0.1,0.0,b
2864.0,4095.0,2382.0,3180.0,4095.0,4032.0,4095.0,4095.0,-0.02,8.67,9.64,-0.37,-0.02,0.03,0.0,b
2842.0,4095.0,2369.0,3181.0,4095.0,4031.0,4095.0,4095.0,0.38,8.69,10.32,-0.24,-0.05,-0.12,0.0,b
2849.0,4095.0,2378.0,3178.0,4095.0,4042.0,4095.0,4095.0,0.59,8.46,10.98,-0.05,-0.21,-0.18,0.0,b
2869.0,4095.0,2365.0,3185.0,4095.0,4043.0,4095.0,4095.0,0.57,8.54,10.04,0.23,-0.11,-0.2,0.0,b
2868.0,4095.0,2352.0,3172.0,4095.0,4023.0,4095.0,4095.0,0.79,9.11,9.5,0.32,-0.37,-0.38,0.0,b
2870.0,4095.0,2355.0,3178.0,4095.0,4032.0,4095.0,4095.0,0.09,8.87,9.56,0.38,-0.26,-0.53,0.0,b
2864.0,4095.0,2355.0,3184.0,4095.0,4046.0,4095.0,4095.0,-0.36,9.04,9.39,0.42,-0.38,-0.62,0.0,b
2867.0,4095.0,2356.0,3184.0,4095.0,4034.0,4095.0,4095.0,-1.18,8.96,9.16,0.5,-0.28,-0.6,0.0,b
2862.0,4095.0,2311.0,3185.0,4095.0,4045.0,4095.0,4095.0,-1.42,8.85,8.84,0.49,-0.39,-0.52,0.0,b
2865.0,4095.0,2293.0,3189.0,4095.0,4041.0,4095.0,4095.0,-0.83,9.01,8.24,0.56,-0.48,-0.49,0.0,b
2878.0,4095.0,2278.0,3187.0,4095.0,4035.0,4095.0,4095.0,-1.38,8.92,8.11,0.36,-0.34,-0.6,0.0,b
2861.0,4095.0,2296.0,3184.0,4095.0,4037.0,4095.0,4095.0,-1.77,9.13,7.77,0.32,-0.47,-0.43,0.0,b
2859.0,4095.0,2294.0,3191.0,4095.0,4029.0,4095.0,4095.0,-1.34,8.84,7.87,0.17,-0.43,-0.43,0.0,b
2863.0,4095.0,2303.0,3197.0,4095.0,4044.0,4095.0,4095.0,-1.55,8.83,8.15,0.2,-0.41,-0.46,0.0,b
2864.0,4095.0,2306.0,3200.0,4095.0,4046.0,4095.0,4095.0,-1.48,8.82,8.11,0.21,-0.41,-0.51,0.0,b
2854.0,4095.0,2303.0,3192.0,4095.0,4033.0,4095.0,4095.0,-1.72,8.61,8.15,0.22,-0.35,-0.53,0.0,b
2853.0,4095.0,2298.0,3195.0,4095.0,4047.0,4095.0,4095.0,-1.67,8.55,7.95,0.19,-0.3,-0.54,0.0,b
2851.0,4095.0,2299.0,3197.0,4095.0,4047.0,4095.0,4095.0,-2.36,8.26,7.98,0.21,-0.24,-0.61,0.0,b
2860.0,4095.0,2317.0,3197.0,4095.0,4051.0,4095.0,4095.0,-2.94,8.29,7.84,0.23,-0.2,-0.68,0.0,b
