hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,3639.0,3612.0,2825.0,4095.0,4095.0,4095.0,4095.0,-0.02,9.79,2.57,-0.05,-0.01,-0.04,1.0,b
4066.0,3641.0,3622.0,2819.0,4095.0,4095.0,4095.0,4095.0,-0.08,9.67,2.7,-0.09,-0.0,-0.03,1.0,b
4074.0,3647.0,3625.0,2822.0,4095.0,4095.0,4095.0,4095.0,0.06,9.72,2.72,-0.05,-0.01,-0.03,1.0,b
4070.0,3645.0,3618.0,2818.0,4095.0,4095.0,4095.0,4095.0,-0.03,9.73,2.59,-0.06,-0.0,-0.05,1.0,b
4062.0,3641.0,3618.0,2823.0,4095.0,4095.0,4095.0,4095.0,0.01,9.78,2.62,-0.05,-0.0,-0.03,1.0,b
4074.0,3655.0,3635.0,2825.0,4095.0,4095.0,4095.0,4095.0,0.08,9.74,2.73,-0.07,-0.01,-0.03,1.0,b
4055.0,3665.0,3615.0,2823.0,4095.0,4095.0,4095.0,4095.0,-0.07,9.73,2.58,-0.06,-0.01,-0.02,1.0,b
4049.0,3648.0,3610.0,2820.0,4095.0,4095.0,4095.0,4095.0,-0.01,9.84,2.62,-0.06,-0.01,-0.05,1.0,b
4071.0,3658.0,3605.0,2825.0,4095.0,4095.0,4095.0,4095.0,-0.06,9.71,2.7,-0.09,0.01,-0.03,1.0,b
4069.0,3655.0,3612.0,2826.0,4095.0,4095.0,4095.0,4095.0,-0.04,9.72,2.63,-0.1,0.01,-0.03,1.0,b
4054.0,3661.0,3599.0,2821.0,4095.0,4095.0,4095.0,4095.0,0.03,9.7,2.69,-0.06,-0.0,-0.03,1.0,b
4077.0,3653.0,3603.0,2825.0,4095.0,4095.0,4095.0,4095.0,-0.03,9.72,2.65,-0.07,0.01,-0.04,1.0,b
4058.0,3649.0,3607.0,2823.0,4095.0,4095.0,4095.0,4095.0,-0.02,9.68,2.75,-0.09,-0.0,-0.02,1.0,b
4080.0,3654.0,3610.0,2825.0,4095.0,4095.0,4095.0,4095.0,0.06,9.75,2.7,-0.06,-0.01,-0.04,1.0,b
4059.0,3648.0,3583.0,2825.0,4095.0,4095.0,4095.0,4095.0,-0.05,9.67,2.84,-0.07,0.0,-0.04,1.0,b
4079.0,3649.0,3606.0,2823.0,4095.0,4095.0,4095.0,4095.0,-0.04,9.73,2.77,-0.08,0.0,-0.02,1.0,b
4050.0,3655.0,3603.0,2831.0,4095.0,4095.0,4095.0,4095.0,0.05,9.75,2.71,-0.06,0.01,-0.04,1.0,b
4064.0,3651.0,3605.0,2823.0,4095.0,4095.0,4095.0,4095.0,-0.05,9.73,2.77,-0.08,0.01,-0.04,1.0,b
4054.0,3651.0,3599.0,2826.0,4095.0,4095.0,4095.0,4095.0,0.0,9.69,2.85,-0.08,0.02,-0.03,1.0,b
4077.0,3653.0,3617.0,2831.0,4095.0,4095.0,4095.0,4095.0,0.26,9.71,2.92,-0.03,0.05,-0.04,1.0,b
3088.0,891.0,3718.0,2853.0,4095.0,4095.0,4095.0,4095.0,0.21,9.55,2.79,-0.21,-0.09,-0.04,1.0,b
3088.0,880.0,3721.0,2871.0,4095.0,4095.0,4095.0,4095.0,-0.03,9.71,2.81,-0.03,0.02,-0.04,1.0,b
3088.0,878.0,3709.0,2874.0,4095.0,4095.0,4095.0,4095.0,0.29,9.72,2.88,-0.04,-0.03,-0.03,1.0,b
3090.0,881.0,3721.0,2871.0,4095.0,4095.0,4095.0,4095.0,0.04,9.65,2.75,-0.06,-0.03,-0.06,1.0,b
3071.0,890.0,3699.0,2869.0,4095.0,4095.0,4095.0,4095.0,0.14,9.74,2.72,-0.06,-0.01,-0.03,1.0,b
3088.0,880.0,3707.0,2876.0,4095.0,4095.0,4095.0,4095.0,-0.08,10.24,1.52,-0.38,0.4,-0.0,1.0,b
3085.0,880.0,3714.0,2880.0,4095.0,4095.0,4095.0,4095.0,0.78,9.53,3.93,-0.21,-0.58,-0.08,1.0,b
3088.0,882.0,3712.0,2880.0,4095.0,4095.0,4095.0,4095.0,0.4,8.94,2.87,-0.38,-0.08,-0.02,1.0,b
3095.0,886.0,3713.0,2869.0,4095.0,4095.0,4095.0,4095.0,0.4,9.13,4.17,-0.3,-0.46,-0.45,1.0,b
3088.0,880.0,3696.0,2877.0,4095.0,4095.0,4095.0,4095.0,-1.12,9.35,3.44,-0.13,0.28,-0.3,1.0,b
3071.0,884.0,3707.0,2879.0,4095.0,4095.0,4095.0,4095.0,-0.88,9.36,3.77,-0.11,-0.14,0.04,1.0,b
3071.0,887.0,3728.0,2878.0,4095.0,4095.0,4095.0,4095.0,-0.1,9.48,3.77,0.04,-0.1,-0.03,1.0,b
3088.0,902.0,3760.0,2862.0,4095.0,4095.0,4095.0,4095.0,0.16,9.52,3.42,-0.03,-0.04,-0.09,1.0,b
3071.0,905.0,3770.0,2863.0,4095.0,4095.0,4095.0,4095.0,-0.26,9.58,3.24,-0.08,-0.04,-0.07,1.0,b
3066.0,899.0,3770.0,2864.0,4095.0,4095.0,4095.0,4095.0,-0.3,9.51,3.48,-0.11,-0.01,-0.06,1.0,b
3071.0,902.0,3765.0,2868.0,4095.0,4095.0,4095.0,4095.0,-0.58,9.35,3.79,-0.06,-0.01,-0.04,1.0,b
3086.0,896.0,3780.0,2869.0,4095.0,4095.0,4095.0,4095.0,-0.27,9.41,3.71,-0.02,-0.01,-0.0,1.0,b
3088.0,900.0,3758.0,2866.0,4095.0,4095.0,4095.0,4095.0,-0.23,9.51,3.43,-0.01,-0.02,-0.02,1.0,b
3086.0,897.0,3749.0,2874.0,4095.0,4095.0,4095.0,4095.0,-0.4,9.48,3.37,-0.07,0.02,-0.03,1.0,b
3071.0,902.0,3755.0,2876.0,4095.0,4095.0,4095.0,4095.0,-0.29,9.5,3.48,-0.09,-0.0,-0.03,1.0,b
3371.0,2759.0,3766.0,2924.0,4095.0,4095.0,4095.0,4095.0,-3.73,7.37,5.64,-0.1,0.04,-0.01,1.0,b
