hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3182.0,2953.0,3106.0,4095.0,2818.0,3047.0,2288.0,2515.0,2.7,8.78,2.03,0.48,-0.13,0.34,c3
3309.0,3045.0,3195.0,4095.0,2822.0,3088.0,2339.0,2739.0,2.47,9.12,0.53,0.33,0.43,0.01,c3
3498.0,3066.0,3212.0,4095.0,2831.0,3121.0,2375.0,2855.0,1.82,9.27,0.65,0.71,0.83,-0.11,c3
3863.0,3010.0,3155.0,4095.0,2832.0,3067.0,2320.0,2887.0,2.21,9.23,1.1,1.2,1.62,-0.44,c3
3853.0,3002.0,3151.0,4095.0,2862.0,3056.0,2305.0,2898.0,0.09,10.01,-0.24,0.58,1.6,-0.56,c3
3824.0,3009.0,3166.0,4095.0,2878.0,3093.0,2337.0,2934.0,0.39,9.57,-0.85,1.02,0.62,-0.18,c3
3792.0,2960.0,3114.0,4095.0,2915.0,3050.0,2295.0,2842.0,2.03,10.59,-1.82,-0.26,-0.64,-0.1,c3
3719.0,2949.0,3106.0,4095.0,3013.0,3091.0,2337.0,2620.0,2.45,9.15,0.03,-0.34,-0.89,-0.33,c3
3712.0,2931.0,3071.0,4095.0,3063.0,3138.0,2415.0,2667.0,2.56,10.6,-1.58,0.93,1.42,-1.74,c3
3295.0,2997.0,3145.0,4095.0,3163.0,3231.0,2559.0,2809.0,-5.88,8.85,-1.84,0.53,3.0,-1.92,c3
3152.0,2941.0,3099.0,4095.0,3136.0,3280.0,2621.0,2813.0,-1.35,9.4,-0.92,0.8,0.82,0.29,c3
3089.0,2919.0,3061.0,4095.0,3136.0,3285.0,2559.0,2702.0,0.97,10.82,0.23,-0.71,0.71,-0.22,c3
3149.0,2955.0,3105.0,4095.0,3090.0,3234.0,2449.0,2613.0,0.07,9.56,0.47,-0.25,-1.89,0.46,c3
3408.0,3003.0,3146.0,4095.0,2961.0,3050.0,2354.0,2523.0,-1.03,8.19,-0.61,0.05,0.54,-0.22,c3
3989.0,2997.0,3146.0,4095.0,2875.0,2987.0,2271.0,2644.0,-1.66,10.19,-2.31,-0.6,-0.28,0.83,c3
4071.0,3043.0,3196.0,4095.0,2858.0,3030.0,2305.0,2815.0,0.93,8.71,-0.11,-0.83,-0.66,0.99,c3
4059.0,3034.0,3184.0,4095.0,2889.0,3030.0,2300.0,2837.0,1.66,10.03,-0.56,-1.03,-1.88,0.56,c3
4043.0,3010.0,3164.0,4095.0,2898.0,3024.0,2295.0,2831.0,1.37,9.18,0.58,-1.06,-1.72,0.86,c3
4095.0,3015.0,3157.0,4095.0,2974.0,3043.0,2331.0,2811.0,3.21,9.08,1.83,-1.04,-1.37,0.41,c3
4095.0,2990.0,3134.0,4095.0,3058.0,2993.0,2335.0,2805.0,2.45,10.95,2.0,-0.76,-0.65,-0.62,c3
2907.0,2999.0,3157.0,4095.0,3136.0,3023.0,2405.0,2811.0,0.73,9.95,1.77,-0.28,-1.19,-0.69,c3
3131.0,3008.0,3153.0,4095.0,3174.0,3165.0,2512.0,2794.0,-0.19,10.34,0.62,0.37,-1.24,-0.51,c3
3136.0,3007.0,3139.0,4095.0,3139.0,3181.0,2512.0,2741.0,-0.06,9.31,0.38,0.31,-0.49,-0.79,c3
