hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,3024.0,3007.0,2400.0,3341.0,3324.0,2878.0,3855.0,1.04,9.22,-0.19,-0.2,-0.07,-0.22,c3
4095.0,3022.0,3013.0,2414.0,3413.0,3381.0,3008.0,4034.0,0.62,9.71,0.62,-0.29,-0.12,0.2,c3
3573.0,3025.0,2963.0,2436.0,3647.0,3504.0,3175.0,4095.0,0.54,9.0,0.45,-0.54,0.23,0.27,c3
2861.0,3019.0,3025.0,2449.0,3986.0,3735.0,3447.0,4095.0,1.68,10.33,1.21,-0.56,0.0,-0.02,c3
2896.0,2933.0,3090.0,2466.0,4095.0,3900.0,3614.0,4095.0,0.84,9.66,1.15,-0.27,0.14,-0.19,c3
2850.0,2969.0,3086.0,2475.0,4095.0,4037.0,3854.0,4095.0,0.78,9.67,1.31,-0.04,0.23,0.01,c3
2722.0,2975.0,3008.0,2462.0,4095.0,4095.0,4095.0,4095.0,1.03,9.73,1.09,-0.21,0.02,0.01,c3
1822.0,2969.0,2714.0,2442.0,4095.0,4095.0,4095.0,4095.0,1.04,9.07,1.44,-0.65,0.03,-0.18,c3
1498.0,2970.0,2653.0,2423.0,4095.0,4095.0,4095.0,4095.0,1.04,10.01,1.87,-0.22,-0.21,-0.01,c3
1319.0,2956.0,2638.0,2426.0,4095.0,4095.0,4095.0,4095.0,0.34,8.81,1.44,-0.42,0.39,-0.02,c3
1321.0,2947.0,2640.0,2429.0,4095.0,4095.0,4095.0,4095.0,0.7,9.5,1.78,-0.22,0.06,-0.03,c3
1305.0,2958.0,2643.0,2441.0,4095.0,4095.0,4095.0,4095.0,0.43,9.2,2.18,-0.09,0.02,0.1,c3
1310.0,2953.0,2645.0,2447.0,4095.0,4095.0,4095.0,4095.0,0.49,9.36,1.85,0.01,0.04,0.07,c3
1358.0,2958.0,2641.0,2458.0,4095.0,4095.0,4095.0,4095.0,0.85,9.47,2.24,0.01,-0.01,0.23,c3
2545.0,2963.0,2640.0,2459.0,4095.0,4095.0,4095.0,4095.0,0.69,9.33,2.18,-0.19,0.21,0.14,c3
2530.0,2957.0,2640.0,2462.0,4095.0,4095.0,4095.0,4095.0,1.21,9.8,2.08,0.0,-0.08,0.01,c3
1856.0,2954.0,2640.0,2459.0,4095.0,4095.0,4095.0,4095.0,1.37,9.52,2.45,-0.07,-0.17,0.05,c3
1888.0,2958.0,2641.0,2469.0,4095.0,4095.0,4095.0,4095.0,1.35,9.51,2.35,-0.18,0.01,-0.03,c3
1905.0,2952.0,2647.0,2466.0,4095.0,4095.0,4095.0,4095.0,1.0,9.71,1.95,0.16,-0.1,0.08,c3
1895.0,2951.0,2643.0,2479.0,4095.0,4095.0,4095.0,4095.0,0.34,9.33,0.51,0.15,0.02,0.1,c3
1833.0,2960.0,2665.0,2480.0,4095.0,4095.0,4095.0,4095.0,0.13,9.14,0.83,-0.09,0.12,0.23,c3
2480.0,2803.0,3142.0,2511.0,4095.0,4095.0,4095.0,4095.0,0.91,9.44,2.34,0.02,0.41,0.04,c3
2623.0,2881.0,3149.0,2518.0,4095.0,4095.0,4095.0,4095.0,1.19,8.73,2.48,0.23,0.49,-0.36,c3
2012.0,2957.0,3094.0,2445.0,4095.0,4095.0,4038.0,4095.0,1.65,8.41,2.77,0.16,0.12,-0.09,c3
2611.0,2966.0,2953.0,2389.0,3938.0,3882.0,3113.0,3959.0,0.62,7.93,2.34,0.93,-0.2,-0.03,c3
2853.0,2983.0,2917.0,2364.0,4093.0,3827.0,3061.0,4013.0,2.36,9.27,2.88,-0.14,-0.09,0.12,c3
2810.0,2987.0,2901.0,2368.0,4095.0,3990.0,3331.0,4095.0,1.13,9.01,2.49,0.36,-0.22,0.07,c3
2797.0,2988.0,2815.0,2384.0,4095.0,4095.0,3897.0,4095.0,1.73,10.0,1.85,0.02,-0.28,-0.02,c3
2783.0,2958.0,2725.0,2413.0,4095.0,4095.0,4095.0,4095.0,1.02,9.5,1.99,-0.22,-0.22,-0.08,c3
2810.0,2950.0,2715.0,2426.0,4095.0,4095.0,4095.0,4095.0,1.92,8.87,1.33,-0.23,-0.52,0.06,c3
2822.0,2959.0,2715.0,2418.0,4095.0,4095.0,4095.0,4095.0,2.3,10.15,0.09,0.06,-0.51,-0.18,c3
2835.0,2950.0,2631.0,2426.0,4095.0,4095.0,4095.0,4095.0,0.88,10.12,0.44,-0.21,-0.08,-0.46,c3
1330.0,2942.0,2863.0,2358.0,4095.0,4095.0,4095.0,4095.0,-0.56,8.87,1.51,-0.0,0.32,-0.13,c3
1325.0,2949.0,2891.0,2279.0,4095.0,4095.0,4095.0,4095.0,-0.14,8.29,0.42,0.23,0.69,-0.07,c3
1322.0,2938.0,2640.0,2272.0,4095.0,4095.0,4095.0,4095.0,0.2,11.73,1.35,-0.66,0.25,0.83,c3
1321.0,2941.0,2534.0,2288.0,4095.0,4095.0,4095.0,4095.0,4.29,8.66,2.67,-0.32,-0.79,0.43,c3
1332.0,2944.0,2521.0,2314.0,4095.0,4095.0,4095.0,4095.0,2.22,8.63,1.8,-0.35,-0.28,0.07,c3
1331.0,2947.0,2517.0,2338.0,4095.0,4095.0,4095.0,4095.0,1.83,9.86,1.18,-0.05,-0.22,0.14,c3
1328.0,2943.0,2517.0,2351.0,4095.0,4095.0,4095.0,4095.0,1.95,9.75,1.47,0.26,-0.44,0.16,c3
1331.0,2947.0,2532.0,2354.0,4095.0,4095.0,4095.0,4095.0,1.78,9.84,0.16,0.41,-0.02,0.0,c3
1333.0,2982.0,2558.0,2391.0,4095.0,4095.0,4095.0,4095.0,1.12,9.92,0.07,0.51,-0.09,0.0,c3
1330.0,2975.0,2533.0,2399.0,4095.0,4095.0,4095.0,4095.0,0.82,10.26,0.63,0.22,0.44,-0.34,c3
1328.0,2979.0,2538.0,2386.0,4095.0,4095.0,4095.0,4095.0,0.26,10.03,0.84,0.45,0.37,-0.2,c3
1322.0,2966.0,2431.0,2354.0,4095.0,4095.0,4095.0,4095.0,0.19,8.92,0.55,0.46,0.45,-0.03,c3
1328.0,2960.0,2382.0,2369.0,4095.0,4095.0,4095.0,4095.0,1.84,8.88,0.07,0.59,0.21,-0.18,c3
1334.0,2960.0,2444.0,2401.0,4095.0,4095.0,4095.0,4095.0,-0.14,8.75,0.69,-0.43,0.99,-0.6,c3
1803.0,2959.0,2896.0,2432.0,4095.0,4095.0,4095.0,4095.0,0.7,8.68,1.61,-0.23,-0.13,-0.13,c3
1899.0,2912.0,3091.0,2429.0,4095.0,4095.0,4095.0,4095.0,-0.25,10.22,1.38,-0.07,0.61,-0.48,c3
1328.0,2934.0,2745.0,2433.0,4095.0,4095.0,4095.0,4095.0,-0.73,8.98,1.05,-0.63,0.31,0.24,c3
1322.0,2960.0,2471.0,2385.0,4095.0,4095.0,4095.0,4095.0,0.15,8.97,-0.08,0.35,-0.22,0.1,c3
1343.0,2967.0,2455.0,2416.0,4095.0,4095.0,4095.0,4095.0,0.79,9.37,-0.63,-0.34,0.08,-0.15,c3
1344.0,2971.0,2480.0,2429.0,4095.0,4095.0,4095.0,4095.0,-0.57,9.55,-0.58,-0.91,0.08,0.09,c3
1349.0,2977.0,2464.0,2451.0,4095.0,4095.0,4095.0,4095.0,1.29,9.04,2.06,-1.27,0.18,-0.05,c3
1355.0,2981.0,2459.0,2471.0,4095.0,4095.0,4095.0,4095.0,1.0,10.14,2.79,-0.94,0.2,0.24,c3
1358.0,2987.0,2459.0,2471.0,4095.0,4095.0,4095.0,4095.0,2.25,8.59,3.98,-0.59,0.33,0.06,c3
1357.0,2977.0,2451.0,2465.0,4095.0,4095.0,4095.0,4095.0,0.2,8.36,2.56,-0.32,0.45,0.08,c3
1355.0,2989.0,2454.0,2466.0,4095.0,4095.0,4095.0,4095.0,2.13,9.43,3.86,-0.83,0.29,0.23,c3
1355.0,2979.0,2449.0,2461.0,4095.0,4095.0,4095.0,4095.0,1.99,9.73,4.4,0.21,0.02,0.37,c3
1344.0,2983.0,2451.0,2466.0,4095.0,4095.0,4095.0,4095.0,1.66,9.38,2.35,-0.97,0.77,-0.22,c3
1319.0,2972.0,2439.0,2448.0,4095.0,4095.0,4095.0,4095.0,1.58,9.0,2.06,-0.28,-0.4,0.06,c3
1322.0,2971.0,2437.0,2448.0,4095.0,4095.0,4095.0,4095.0,1.85,8.02,2.76,-0.51,0.1,-0.08,c3
1323.0,2966.0,2443.0,2451.0,4095.0,4095.0,4095.0,4095.0,1.23,9.49,5.24,-0.26,0.12,-0.03,c3
1322.0,2974.0,2434.0,2452.0,4095.0,4095.0,4095.0,4095.0,0.17,8.74,5.46,0.06,0.28,-0.28,c3
1312.0,2980.0,2443.0,2451.0,4095.0,4095.0,4095.0,4095.0,0.57,8.49,4.39,0.05,-0.1,-0.17,c3
1309.0,2974.0,2448.0,2448.0,4095.0,4095.0,4095.0,4095.0,1.34,8.71,4.12,0.06,-0.19,-0.2,c3
1312.0,2973.0,2445.0,2435.0,4095.0,4095.0,4095.0,4095.0,0.54,8.25,2.91,0.25,-0.24,-0.13,c3
1307.0,2976.0,2458.0,2433.0,4095.0,4095.0,4095.0,4095.0,0.19,8.13,1.33,-0.24,-0.02,-0.19,c3
1295.0,2977.0,2491.0,2398.0,4095.0,4095.0,4095.0,4095.0,-0.02,8.54,2.6,-0.39,-0.14,0.06,c3
1302.0,2983.0,2496.0,2398.0,4095.0,4095.0,4095.0,4095.0,0.43,8.85,4.86,-0.4,0.02,-0.05,c3
1300.0,2981.0,2500.0,2379.0,4095.0,4095.0,4095.0,4095.0,-0.02,8.9,6.0,0.16,-0.15,-0.0,c3
1297.0,2981.0,2497.0,2367.0,4095.0,4095.0,4095.0,4095.0,0.28,8.81,5.91,0.19,-0.16,0.2,c3
1299.0,2979.0,2486.0,2352.0,4095.0,4095.0,4095.0,4095.0,1.42,8.95,4.86,0.29,-0.15,-0.11,c3
1299.0,2966.0,2495.0,2342.0,4095.0,4095.0,4095.0,4095.0,0.54,8.41,3.53,0.35,0.05,-0.06,c3
1299.0,2973.0,2509.0,2361.0,4095.0,4095.0,4095.0,4095.0,1.16,9.35,4.53,0.37,0.11,0.1,c3
1296.0,2960.0,2513.0,2375.0,4095.0,4095.0,4095.0,4095.0,-0.2,9.15,4.88,0.98,0.57,0.3,c3
1307.0,2976.0,2583.0,2391.0,4095.0,4095.0,4095.0,4095.0,0.36,8.93,3.57,0.57,1.08,0.13,c3
1299.0,2997.0,2640.0,2389.0,4095.0,4095.0,4095.0,4095.0,0.39,9.2,1.88,1.04,0.81,0.14,c3
1310.0,3027.0,2672.0,2416.0,4095.0,4095.0,4095.0,4095.0,0.09,8.33,1.1,0.52,0.05,0.27,c3
1307.0,3019.0,2672.0,2421.0,4095.0,4095.0,4095.0,4095.0,1.61,9.36,0.77,0.55,-0.71,0.24,c3
1296.0,3021.0,2677.0,2430.0,4095.0,4095.0,4095.0,4095.0,2.61,8.79,0.91,0.63,-0.5,-0.18,c3
1296.0,3028.0,2673.0,2451.0,4095.0,4095.0,4095.0,4095.0,0.79,9.85,0.26,0.45,0.19,-0.09,c3
1307.0,3029.0,2677.0,2471.0,4095.0,4095.0,4095.0,4095.0,0.83,9.35,0.36,0.33,-0.18,0.17,c3
1313.0,3031.0,2675.0,2461.0,4095.0,4095.0,4095.0,4095.0,0.12,9.51,-0.23,0.03,-0.06,-0.01,c3
1305.0,3098.0,2743.0,2446.0,4095.0,4095.0,4095.0,4095.0,0.9,9.88,0.79,0.41,-0.32,0.49,c3
1328.0,3040.0,2682.0,2453.0,4095.0,4095.0,4095.0,4095.0,0.98,10.27,-0.23,0.6,0.11,-0.17,c3
1323.0,3056.0,2705.0,2445.0,4095.0,4095.0,4095.0,4095.0,0.3,10.04,-0.47,0.95,0.69,-0.2,c3
2419.0,2928.0,2657.0,2459.0,4095.0,4095.0,4095.0,4095.0,1.05,8.54,-1.63,0.55,0.47,-0.06,c3
2242.0,2919.0,2666.0,2474.0,4095.0,4095.0,4095.0,4095.0,1.94,9.8,-1.72,0.71,0.4,-0.29,c3
2845.0,2913.0,2657.0,2480.0,4095.0,4095.0,4095.0,4095.0,1.41,9.15,-1.02,0.19,0.62,-0.26,c3
3162.0,2913.0,2667.0,2486.0,4095.0,4095.0,4095.0,4095.0,1.94,9.88,-0.53,0.02,0.08,0.07,c3
3424.0,2923.0,2671.0,2487.0,4095.0,4095.0,4095.0,4095.0,1.51,9.3,-0.7,-0.24,0.14,-0.46,c3
4095.0,2941.0,2677.0,2484.0,4095.0,4095.0,4095.0,4095.0,0.87,10.12,-0.71,-0.06,0.06,-0.37,c3
4095.0,2933.0,2678.0,2485.0,4095.0,4095.0,4095.0,4095.0,-0.12,9.14,-1.38,-0.39,0.53,-0.35,c3
3236.0,2937.0,2823.0,2485.0,4095.0,4095.0,4095.0,4095.0,1.21,10.06,-0.27,-0.17,-0.2,-0.18,c3
3656.0,2914.0,2831.0,2470.0,4095.0,4095.0,4095.0,4095.0,-0.08,9.94,-1.39,-0.24,0.46,-0.51,c3
3270.0,2934.0,2816.0,2486.0,4095.0,4095.0,4095.0,4095.0,-1.55,9.19,-1.62,0.16,0.28,-0.45,c3
3223.0,2907.0,2670.0,2496.0,4095.0,4095.0,4095.0,4095.0,-0.76,9.78,-1.22,-0.18,-0.12,-0.17,c3
3467.0,2893.0,2706.0,2499.0,4095.0,4095.0,4095.0,4095.0,-0.28,9.72,-0.64,0.0,0.16,0.12,c3
2114.0,2902.0,2781.0,2511.0,4095.0,4095.0,4095.0,4095.0,0.15,8.99,-0.66,-0.01,0.21,-0.01,c3
1378.0,2873.0,2795.0,2528.0,4095.0,4095.0,4095.0,4095.0,0.07,10.1,-0.55,0.09,0.0,0.02,c3
1354.0,2915.0,2835.0,2544.0,4095.0,4095.0,4095.0,4095.0,-0.77,9.45,-0.7,-0.35,-0.05,0.03,c3
1375.0,2903.0,2805.0,2550.0,4095.0,4095.0,4095.0,4095.0,0.03,9.8,-0.27,-0.01,-0.24,0.02,c3
1401.0,2896.0,2807.0,2550.0,4095.0,4095.0,4095.0,4095.0,-0.28,9.4,-0.71,0.03,0.14,-0.09,c3
1386.0,2894.0,2803.0,2559.0,4095.0,4095.0,4095.0,4095.0,-0.06,10.18,-0.81,-0.04,-0.06,0.12,c3
1782.0,2894.0,2800.0,2559.0,4095.0,4095.0,4095.0,4095.0,-0.0,9.52,-0.9,-0.21,0.08,-0.01,c3
1821.0,2898.0,2799.0,2559.0,4095.0,4095.0,4095.0,4095.0,-0.13,9.63,-0.72,-0.02,0.0,-0.04,c3
1783.0,2952.0,2755.0,2559.0,4095.0,4095.0,4095.0,4095.0,-0.75,9.1,-1.78,-0.02,0.04,-0.15,c3
1453.0,3083.0,2717.0,2559.0,4095.0,4095.0,4095.0,4095.0,-1.81,9.58,-2.3,-0.5,-1.61,0.65,c3
2019.0,3025.0,2631.0,2579.0,4095.0,4095.0,4095.0,4095.0,1.48,10.08,0.49,-0.7,-1.12,0.33,c3
