hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3402.0,4095.0,2320.0,4095.0,3376.0,2719.0,3284.0,3248.0,0.12,7.95,10.35,0.04,0.03,-0.11,c
3415.0,4095.0,2326.0,4095.0,3382.0,2723.0,3283.0,3244.0,-0.0,7.98,10.32,0.06,0.0,-0.13,c
3412.0,4095.0,2321.0,4095.0,3382.0,2725.0,3293.0,3245.0,-0.11,7.97,10.31,0.06,0.03,-0.13,c
3409.0,4095.0,2318.0,4095.0,3385.0,2725.0,3294.0,3245.0,-0.28,8.0,10.11,0.08,0.01,-0.08,c
3398.0,4095.0,2320.0,4095.0,3378.0,2727.0,3293.0,3248.0,-0.1,7.94,10.12,0.06,-0.01,-0.06,c
3408.0,4095.0,2316.0,4095.0,3376.0,2725.0,3284.0,3247.0,0.09,8.0,9.99,0.06,0.01,-0.04,c
3408.0,4095.0,2320.0,4095.0,3376.0,2721.0,3282.0,3243.0,0.28,8.02,9.97,0.05,-0.02,-0.05,c
3419.0,4095.0,2321.0,4095.0,3380.0,2727.0,3289.0,3248.0,0.53,8.03,9.94,0.06,-0.12,-0.11,c
3401.0,4095.0,2315.0,4095.0,3377.0,2724.0,3286.0,3241.0,0.59,8.19,10.07,0.05,-0.09,-0.19,c
3425.0,4095.0,2318.0,4095.0,3382.0,2730.0,3289.0,3248.0,0.26,8.21,9.91,0.06,-0.06,-0.25,c
3407.0,4095.0,2327.0,4095.0,3381.0,2726.0,3280.0,3242.0,-0.67,8.11,9.76,0.02,0.05,-0.18,c
3408.0,4095.0,2320.0,4095.0,3379.0,2731.0,3289.0,3247.0,-1.14,8.0,9.57,-0.07,0.13,0.01,c
3407.0,4095.0,2308.0,4095.0,3376.0,2727.0,3289.0,3249.0,-0.55,7.73,9.6,-0.16,-0.14,0.22,c
3408.0,4095.0,2315.0,4095.0,3380.0,2729.0,3289.0,3253.0,-0.13,7.64,9.95,-0.26,-0.25,0.34,c
3404.0,4095.0,2314.0,4095.0,3377.0,2730.0,3291.0,3250.0,0.69,7.56,10.61,-0.1,-0.32,0.34,c
3417.0,4095.0,2297.0,4095.0,3381.0,2733.0,3289.0,3248.0,1.32,7.92,10.27,-0.02,-0.5,0.33,c
3413.0,4095.0,2288.0,4095.0,3382.0,2731.0,3293.0,3237.0,2.35,8.02,10.31,-0.06,-0.38,0.28,c
3409.0,4095.0,2291.0,4095.0,3376.0,2727.0,3286.0,3236.0,3.25,7.93,10.78,-0.15,-0.35,0.17,c
3415.0,4095.0,2314.0,4095.0,3376.0,2729.0,3294.0,3222.0,3.68,7.81,10.97,-0.08,-0.07,-0.12,c
3408.0,4091.0,2340.0,4095.0,3374.0,2719.0,3286.0,3213.0,3.13,7.81,10.76,0.02,0.05,-0.37,c
3435.0,4070.0,2349.0,4095.0,3375.0,2721.0,3289.0,3215.0,2.31,7.79,10.43,0.09,0.28,-0.51,c
3419.0,4071.0,2354.0,4095.0,3378.0,2722.0,3287.0,3216.0,1.56,7.75,10.29,0.06,0.37,-0.57,c
3417.0,4075.0,2348.0,4095.0,3376.0,2722.0,3282.0,3216.0,1.06,7.61,10.22,0.07,0.27,-0.6,c
3413.0,4060.0,2343.0,4095.0,3373.0,2724.0,3289.0,3222.0,0.93,7.57,10.37,0.06,0.08,-0.61,c
3417.0,4063.0,2345.0,4095.0,3377.0,2721.0,3285.0,3227.0,1.18,7.67,10.19,0.08,0.05,-0.63,c
3435.0,4083.0,2347.0,4095.0,3380.0,2730.0,3293.0,3227.0,0.72,7.75,10.06,0.04,0.19,-0.67,c
3424.0,4083.0,2334.0,4095.0,3376.0,2726.0,3283.0,3222.0,-0.07,7.79,10.27,0.02,0.18,-0.67,c
3417.0,4070.0,2348.0,4095.0,3375.0,2729.0,3283.0,3231.0,-0.8,7.82,10.36,0.02,0.1,-0.59,c
3410.0,4083.0,2351.0,4095.0,3376.0,2729.0,3281.0,3223.0,-1.46,7.82,10.55,0.11,-0.17,-0.5,c
3411.0,4069.0,2339.0,4095.0,3371.0,2726.0,3281.0,3228.0,-1.12,7.76,10.75,0.21,-1.11,-0.47,c
3429.0,4069.0,2352.0,4095.0,3375.0,2729.0,3286.0,3237.0,-0.91,7.97,10.4,0.29,-1.7,-0.46,c
3411.0,4047.0,2365.0,4095.0,3377.0,2725.0,3280.0,3222.0,-0.16,8.02,10.37,0.29,-2.71,-0.49,c
3411.0,4054.0,2369.0,4095.0,3376.0,2722.0,3283.0,3227.0,0.83,8.33,9.35,0.2,-2.94,-0.65,c
3413.0,4043.0,2375.0,4095.0,3385.0,2729.0,3271.0,3248.0,2.73,8.21,9.37,0.28,-2.44,-0.55,c
3418.0,4016.0,2386.0,4095.0,3383.0,2725.0,3279.0,3250.0,2.67,8.22,9.65,0.3,-1.29,-0.39,c
