hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1290.0,3099.0,3986.0,4079.0,3264.0,2726.0,3127.0,3168.0,-0.28,7.94,10.03,0.05,0.01,-0.18,0.0,c
1282.0,3102.0,3984.0,4073.0,3260.0,2721.0,3123.0,3167.0,-0.34,7.95,10.07,0.02,0.02,-0.15,0.0,c
1306.0,3114.0,3995.0,4074.0,3263.0,2730.0,3137.0,3175.0,-0.27,7.91,10.19,0.01,0.01,-0.14,0.0,c
1283.0,3120.0,3999.0,4071.0,3249.0,2725.0,3125.0,3170.0,-0.18,7.89,10.23,0.01,-0.0,-0.14,0.0,c
1282.0,3118.0,4006.0,4070.0,3250.0,2722.0,3126.0,3168.0,-0.15,7.88,10.25,0.01,-0.0,-0.15,0.0,c
1291.0,3120.0,4013.0,4074.0,3263.0,2733.0,3134.0,3179.0,-0.18,7.86,10.21,0.02,0.0,-0.14,0.0,c
1305.0,3114.0,3978.0,4069.0,3255.0,2727.0,3131.0,3168.0,-0.18,7.9,10.2,0.04,-0.02,-0.15,0.0,c
1287.0,3102.0,3984.0,4074.0,3263.0,2726.0,3123.0,3167.0,-0.02,7.83,10.41,0.04,-0.16,-0.19,0.0,c
1287.0,3105.0,3987.0,4086.0,3264.0,2730.0,3131.0,3175.0,0.1,7.88,10.27,0.08,-0.19,-0.24,0.0,c
1289.0,3111.0,3989.0,4053.0,3254.0,2722.0,3136.0,3171.0,0.15,7.88,10.48,0.12,-0.35,-0.3,0.0,c
1279.0,3109.0,4013.0,4083.0,3263.0,2730.0,3132.0,3179.0,0.21,7.93,10.2,0.19,-0.4,-0.41,0.0,c
1285.0,3110.0,3986.0,4086.0,3266.0,2735.0,3125.0,3167.0,0.1,8.08,9.9,0.16,-0.3,-0.4,0.0,c
1296.0,3111.0,3952.0,4063.0,3250.0,2725.0,3127.0,3171.0,-0.12,8.1,9.78,0.12,-0.08,-0.36,0.0,c
1302.0,3099.0,3984.0,4075.0,3263.0,2736.0,3134.0,3173.0,-0.32,8.09,9.81,0.11,-0.06,-0.35,0.0,c
1306.0,3105.0,3972.0,4069.0,3254.0,2727.0,3134.0,3171.0,-0.42,8.08,9.88,0.1,-0.13,-0.32,0.0,c
1302.0,3109.0,3956.0,4067.0,3259.0,2730.0,3131.0,3169.0,-0.51,8.16,9.75,0.08,-0.09,-0.29,0.0,c
1308.0,3118.0,3967.0,4085.0,3265.0,2730.0,3139.0,3178.0,-0.51,8.16,9.58,0.1,-0.15,-0.27,0.0,c
1313.0,3097.0,3943.0,4068.0,3257.0,2729.0,3136.0,3172.0,-0.57,8.15,9.75,0.09,-0.2,-0.24,0.0,c
1308.0,3111.0,3950.0,4073.0,3263.0,2739.0,3138.0,3181.0,-0.19,8.15,9.78,0.11,-0.27,-0.24,0.0,c
1314.0,3106.0,3963.0,4087.0,3264.0,2732.0,3140.0,3177.0,-0.23,8.24,9.65,0.09,-0.12,-0.22,0.0,c
1357.0,3107.0,3936.0,3899.0,3269.0,2735.0,3136.0,3172.0,0.44,8.25,9.67,0.08,0.15,-0.2,0.0,c
1345.0,3104.0,3902.0,3664.0,3259.0,2738.0,3126.0,3163.0,0.38,8.34,9.59,0.08,0.09,-0.22,0.0,c
1348.0,3127.0,3920.0,3698.0,3269.0,2741.0,3146.0,3174.0,0.62,8.38,9.35,0.06,0.34,-0.21,0.0,c
1344.0,3088.0,3911.0,3718.0,3280.0,2739.0,3136.0,3171.0,0.79,8.43,8.87,-0.03,1.52,-0.13,0.0,c
1360.0,3096.0,3906.0,3919.0,3310.0,2752.0,3142.0,3179.0,-0.52,8.53,9.24,-0.27,1.62,0.05,0.0,c
1344.0,3119.0,3920.0,3952.0,3322.0,2758.0,3152.0,3194.0,-1.29,8.32,9.78,-0.09,0.58,-0.14,0.0,c
1365.0,3091.0,3867.0,3699.0,3303.0,2723.0,3110.0,3137.0,-0.73,8.15,9.41,0.06,0.04,-0.3,0.0,c
1387.0,3098.0,3829.0,3787.0,3227.0,2657.0,2979.0,3050.0,-1.17,8.4,9.33,0.11,0.05,-0.28,0.0,c
1408.0,3111.0,3759.0,3795.0,3120.0,2554.0,2848.0,2955.0,-1.12,8.3,9.18,0.13,0.04,-0.29,0.0,c
1422.0,3113.0,3622.0,3711.0,3053.0,2495.0,2779.0,2875.0,-1.4,8.42,9.28,0.11,-0.02,-0.22,0.0,c
1439.0,3122.0,3601.0,3661.0,3051.0,2485.0,2761.0,2841.0,-1.06,8.31,9.32,0.06,0.01,-0.16,0.0,c
1446.0,3113.0,3568.0,3621.0,3059.0,2493.0,2776.0,2845.0,-1.07,8.37,9.26,0.01,0.0,-0.13,0.0,c
1452.0,3118.0,3546.0,3632.0,3071.0,2510.0,2799.0,2863.0,-1.0,8.41,9.33,0.03,-0.11,-0.16,0.0,c
1471.0,3123.0,3573.0,3682.0,3099.0,2526.0,2828.0,2896.0,-0.96,8.43,9.35,0.05,-0.19,-0.16,0.0,c
1476.0,3118.0,3555.0,3712.0,3127.0,2547.0,2860.0,2927.0,-0.89,8.39,9.3,0.0,-0.12,-0.14,0.0,c
1501.0,3105.0,3562.0,3701.0,3152.0,2559.0,2896.0,2959.0,-0.9,8.39,9.28,-0.02,0.02,-0.09,0.0,c
1497.0,3103.0,3566.0,3625.0,3188.0,2610.0,2955.0,3015.0,-0.9,8.4,9.45,-0.03,0.03,-0.09,0.0,c
1495.0,3113.0,3557.0,3671.0,3202.0,2633.0,2981.0,3038.0,-0.88,8.35,9.44,0.01,-0.04,-0.12,0.0,c
1489.0,3109.0,3565.0,3730.0,3229.0,2635.0,3003.0,3054.0,-0.8,8.33,9.44,-0.0,-0.05,-0.11,0.0,c
1492.0,3103.0,3571.0,3737.0,3231.0,2647.0,3004.0,3056.0,-0.78,8.38,9.36,0.02,-0.03,-0.12,0.0,c
16.0,3390.0,3408.0,-1.0,7.9,10.06,-0.0,0.0,-0.12,0.0,c
1136.0,3063.0,3615.0,4079.0,3505.0,2831.0,3399.0,3410.0,-0.95,7.84,10.17,0.02,-0.03,-0.14,0.0,c
1148.0,3071.0,3613.0,4095.0,3494.0,2821.0,3405.0,3408.0,-0.96,7.79,10.2,0.02,-0.03,-0.17,0.0,c
1154.0,3062.0,3519.0,4080.0,3481.0,2815.0,3375.0,3380.0,-1.07,7.82,10.14,0.07,0.0,-0.22,0.0,c
1194.0,3082.0,3493.0,4095.0,3490.0,2832.0,3365.0,3373.0,-1.1,7.89,10.13,0.1,-0.05,-0.24,0.0,c
1221.0,3071.0,3458.0,4095.0,3474.0,2833.0,3354.0,3363.0,-1.14,7.92,9.94,0.11,-0.04,-0.23,0.0,c
1279.0,3054.0,3371.0,4095.0,3472.0,2845.0,3347.0,3367.0,-1.21,7.93,10.0,0.1,-0.17,-0.22,0.0,c
1431.0,3067.0,3345.0,4095.0,3482.0,2862.0,3370.0,3392.0,-1.02,7.99,9.73,0.06,-0.11,-0.21,0.0,c
1520.0,3058.0,3312.0,4095.0,3475.0,2862.0,3350.0,3348.0,-0.92,7.9,10.06,0.14,0.01,-0.2,0.0,c
1535.0,3053.0,3327.0,4095.0,3472.0,2865.0,3353.0,3323.0,-1.19,7.97,9.87,0.04,-0.09,-0.19,0.0,c
