hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1216.0,2816.0,2912.0,3251.0,3825.0,3650.0,3062.0,4095.0,2.64,8.93,1.07,-0.03,-0.02,0.0,c
1255.0,2816.0,2917.0,3253.0,3789.0,3648.0,3065.0,4095.0,2.74,9.39,1.18,-0.08,0.0,0.01,c
1255.0,2807.0,2914.0,3249.0,3781.0,3648.0,3055.0,4095.0,2.92,9.38,1.36,0.01,0.06,-0.03,c
1232.0,2809.0,2907.0,3250.0,3792.0,3643.0,3039.0,4095.0,2.45,8.74,1.24,-0.04,0.01,0.01,c
1216.0,2815.0,2912.0,3246.0,3818.0,3615.0,3010.0,4095.0,2.78,9.81,1.07,0.02,0.03,-0.04,c
1205.0,2815.0,2900.0,3248.0,3821.0,3574.0,2963.0,4095.0,2.87,8.81,1.25,-0.02,-0.08,0.03,c
1214.0,2820.0,2918.0,3248.0,3811.0,3582.0,2970.0,4095.0,2.69,9.45,1.02,-0.01,0.05,-0.07,c
1213.0,2809.0,2906.0,3248.0,3804.0,3583.0,2976.0,4095.0,2.73,9.02,1.16,0.08,-0.05,-0.02,c
1212.0,2816.0,2910.0,3252.0,3813.0,3583.0,2986.0,4095.0,2.72,9.3,1.16,-0.01,-0.05,-0.04,c
1201.0,2813.0,2907.0,3253.0,3763.0,3596.0,2992.0,4095.0,2.75,9.11,1.06,0.01,-0.11,0.04,c
1199.0,2818.0,2914.0,3250.0,3767.0,3583.0,3001.0,4095.0,3.0,9.45,0.9,0.08,-0.01,-0.06,c
1200.0,2816.0,2905.0,3250.0,3795.0,3600.0,3008.0,4095.0,2.76,9.28,0.8,-0.08,-0.01,0.02,c
1200.0,2815.0,2894.0,3250.0,3792.0,3606.0,2992.0,4095.0,2.97,9.22,1.12,-0.11,0.08,-0.06,c
1200.0,2826.0,2885.0,3249.0,3794.0,3611.0,2978.0,4095.0,2.36,9.39,1.01,-0.05,0.24,-0.11,c
1206.0,2831.0,2896.0,3239.0,3796.0,3632.0,3006.0,4095.0,2.79,9.17,1.25,-0.01,-0.12,0.02,c
1203.0,2815.0,2896.0,3235.0,3802.0,3648.0,3029.0,4095.0,2.39,9.34,1.06,-0.03,0.05,-0.0,c
1207.0,2822.0,2925.0,3231.0,3797.0,3646.0,3042.0,4095.0,2.85,9.38,1.12,0.08,-0.14,0.07,c
1200.0,2818.0,2943.0,3227.0,3826.0,3659.0,3063.0,4095.0,2.72,9.24,0.93,-0.16,0.11,-0.08,c
1201.0,2810.0,2935.0,3216.0,3824.0,3670.0,3081.0,4095.0,2.78,9.3,1.19,-0.02,-0.03,0.06,c
1204.0,2817.0,2946.0,3214.0,3830.0,3667.0,3071.0,4095.0,2.84,9.18,1.3,-0.03,-0.02,-0.0,c
1205.0,2815.0,2939.0,3199.0,3835.0,3669.0,3071.0,4095.0,2.79,9.43,1.14,-0.03,0.05,-0.05,c
1200.0,2814.0,2939.0,3185.0,3839.0,3671.0,3071.0,4095.0,2.58,9.01,1.07,-0.06,-0.0,0.0,c
1201.0,2819.0,2951.0,3170.0,3829.0,3678.0,3071.0,4095.0,2.65,9.29,1.02,-0.07,0.03,-0.04,c
1200.0,2817.0,2938.0,3153.0,3834.0,3671.0,3070.0,4095.0,2.94,9.24,1.17,-0.0,-0.01,-0.01,c
1200.0,2815.0,2942.0,3151.0,3836.0,3667.0,3057.0,4095.0,2.67,9.06,1.12,-0.05,0.0,-0.01,c
1200.0,2816.0,2935.0,3150.0,3834.0,3653.0,3047.0,4095.0,2.72,9.37,1.09,-0.08,0.01,-0.02,c
1202.0,2818.0,2940.0,3152.0,3837.0,3638.0,3013.0,4095.0,2.78,9.04,1.41,0.04,-0.03,0.0,c
1202.0,2812.0,2934.0,3159.0,3785.0,3605.0,2966.0,4095.0,2.87,9.37,1.23,-0.07,-0.06,0.01,c
1204.0,2822.0,2935.0,3161.0,3738.0,3583.0,2959.0,4095.0,2.85,9.4,1.13,0.01,0.01,-0.03,c
1197.0,2826.0,2941.0,3146.0,3622.0,3519.0,2864.0,4058.0,2.72,9.14,0.98,-0.07,-0.0,-0.04,c
1195.0,2819.0,2944.0,3071.0,3579.0,3499.0,2829.0,4006.0,2.79,9.36,1.25,-0.1,0.02,-0.0,c
1196.0,2815.0,2949.0,3051.0,3582.0,3501.0,2803.0,3877.0,2.54,8.72,1.1,-0.18,0.14,0.02,c
1206.0,2814.0,2933.0,3061.0,3583.0,3486.0,2775.0,3615.0,2.74,9.4,1.32,-0.02,-0.1,0.09,c
1211.0,2813.0,2922.0,3092.0,3573.0,3475.0,2768.0,3427.0,2.67,8.85,1.39,0.03,0.02,0.0,c
