hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
4095.0,2544.0,2615.0,3816.0,3617.0,3553.0,3010.0,4095.0,1.2,9.4,1.77,0.44,-0.38,0.02,c
4095.0,2550.0,2619.0,3797.0,3627.0,3566.0,3012.0,4095.0,0.91,9.66,1.38,-0.11,-0.43,-0.13,c
4095.0,2549.0,2611.0,3795.0,3647.0,3566.0,3019.0,4095.0,0.44,9.37,1.91,-0.47,-0.22,-0.23,c
4095.0,2550.0,2608.0,3819.0,3651.0,3578.0,3023.0,4095.0,0.11,8.93,2.5,-0.84,0.61,-0.18,c
4095.0,2542.0,2609.0,3827.0,3659.0,3573.0,3029.0,4095.0,0.23,8.8,3.54,-0.07,0.48,0.13,c
4095.0,2537.0,2608.0,3802.0,3653.0,3579.0,3022.0,4095.0,0.52,9.17,2.85,-0.54,0.26,-0.04,c
4095.0,2544.0,2617.0,3750.0,3633.0,3568.0,3020.0,4095.0,-0.26,8.48,4.1,-1.05,0.64,-0.14,c
4095.0,2543.0,2618.0,3720.0,3629.0,3558.0,3022.0,4095.0,0.0,7.85,5.26,-0.83,0.07,-0.28,c
4095.0,2547.0,2619.0,3820.0,3632.0,3581.0,3025.0,4095.0,-0.04,7.46,6.12,0.71,0.03,0.42,c
4095.0,2539.0,2624.0,3839.0,3631.0,3573.0,3022.0,4095.0,0.23,8.7,3.45,1.16,0.11,0.42,c
4095.0,2545.0,2618.0,3814.0,3618.0,3574.0,3021.0,4095.0,0.45,9.26,2.33,0.76,-0.35,0.13,c
4095.0,2544.0,2623.0,3818.0,3637.0,3574.0,3014.0,4095.0,0.61,9.24,2.44,0.52,-0.28,0.05,c
4095.0,2544.0,2610.0,3783.0,3634.0,3578.0,3012.0,4095.0,0.81,9.45,1.83,0.41,0.08,-0.07,c
4095.0,2543.0,2613.0,3765.0,3627.0,3570.0,3022.0,4095.0,1.13,9.74,1.06,-0.37,-0.65,-0.51,c
4095.0,2544.0,2611.0,3763.0,3632.0,3578.0,3021.0,4095.0,-0.54,9.43,1.84,-1.06,-0.43,-0.66,c
4095.0,2543.0,2612.0,3841.0,3661.0,3578.0,3031.0,4095.0,-1.58,8.41,3.94,-0.62,0.03,-0.2,c
4095.0,2544.0,2608.0,3845.0,3646.0,3579.0,3031.0,4095.0,-0.36,8.75,4.22,0.18,0.73,0.56,c
4095.0,2544.0,2621.0,3849.0,3629.0,3579.0,3024.0,4095.0,-0.1,9.32,3.48,0.36,1.03,0.72,c
4095.0,2545.0,2621.0,3834.0,3607.0,3558.0,3003.0,4095.0,0.55,9.21,2.56,0.4,0.34,0.46,c
4095.0,2545.0,2615.0,3853.0,3603.0,3563.0,2993.0,4095.0,0.19,9.32,2.03,0.19,0.6,0.34,c
4095.0,2544.0,2610.0,3865.0,3612.0,3555.0,3015.0,4095.0,0.43,9.23,1.74,-0.14,0.42,0.14,c
4095.0,2535.0,2621.0,3872.0,3607.0,3568.0,3013.0,4095.0,0.69,9.12,2.89,-0.37,-0.04,0.09,c
4095.0,2544.0,2624.0,3858.0,3614.0,3566.0,3023.0,4095.0,1.37,9.06,3.59,-0.14,-1.25,-0.37,c
4095.0,2550.0,2608.0,3858.0,3613.0,3570.0,3024.0,4095.0,1.41,9.17,2.76,-0.06,-1.89,-0.37,c
4095.0,2544.0,2608.0,3846.0,3621.0,3568.0,3018.0,4095.0,1.33,9.06,2.66,0.18,-1.31,-0.21,c
4095.0,2544.0,2615.0,3729.0,3623.0,3571.0,3013.0,4095.0,1.82,9.08,2.02,0.2,-0.97,-0.31,c
4095.0,2545.0,2608.0,3810.0,3625.0,3568.0,3010.0,4095.0,2.05,9.01,2.23,0.05,-0.17,-0.13,c
4095.0,2552.0,2614.0,3806.0,3642.0,3579.0,3010.0,4095.0,0.92,9.37,1.84,0.07,0.56,0.15,c
4095.0,2554.0,2623.0,3811.0,3625.0,3571.0,3018.0,4095.0,1.47,9.24,2.11,0.02,0.64,0.16,c
