hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2705.0,4085.0,3135.0,3289.0,4095.0,3211.0,3437.0,4093.0,1.88,8.65,5.23,-0.11,-0.04,0.0,1.0,c
2787.0,4095.0,3124.0,3312.0,4095.0,3209.0,3424.0,3967.0,1.98,8.56,5.27,-0.13,-0.15,-0.07,1.0,c
2845.0,4095.0,3120.0,3354.0,4095.0,3222.0,3426.0,4016.0,2.07,8.46,5.5,-0.13,-0.12,-0.08,1.0,c
2518.0,4095.0,3118.0,3388.0,4095.0,3243.0,3435.0,4054.0,1.96,8.43,5.45,-0.03,-0.04,-0.07,1.0,c
2032.0,4080.0,3127.0,3409.0,4095.0,3247.0,3447.0,4095.0,1.93,8.5,5.2,-0.0,0.05,-0.03,1.0,c
1819.0,4095.0,3133.0,3429.0,4095.0,3251.0,3438.0,4095.0,1.97,8.54,5.25,-0.02,0.04,-0.03,1.0,c
1721.0,4064.0,3124.0,3408.0,4095.0,3261.0,3427.0,4095.0,2.03,8.56,5.18,-0.03,0.02,-0.09,1.0,c
1709.0,4073.0,3120.0,3431.0,4095.0,3243.0,3407.0,4071.0,1.91,8.49,5.12,-0.05,-0.01,-0.06,1.0,c
1755.0,4065.0,3119.0,3419.0,4095.0,3231.0,3397.0,4095.0,1.91,8.55,5.26,-0.07,-0.0,-0.04,1.0,c
1872.0,4060.0,3117.0,3419.0,4095.0,3243.0,3407.0,4095.0,1.86,8.53,5.2,-0.07,-0.05,-0.06,1.0,c
1866.0,4046.0,3117.0,3415.0,4095.0,3235.0,3402.0,4095.0,2.06,8.57,5.3,-0.04,-0.05,-0.04,1.0,c
1853.0,4031.0,3108.0,3422.0,4095.0,3238.0,3412.0,4095.0,1.99,8.61,5.21,-0.06,0.03,-0.05,1.0,c
1835.0,4050.0,3105.0,3422.0,4095.0,3234.0,3409.0,4095.0,1.94,8.53,5.27,-0.06,-0.01,-0.08,1.0,c
1829.0,4023.0,3123.0,3423.0,4095.0,3241.0,3421.0,4095.0,1.93,8.51,5.34,-0.05,0.03,-0.04,1.0,c
1821.0,4029.0,3120.0,3421.0,4095.0,3229.0,3417.0,4095.0,1.97,8.58,5.19,-0.04,-0.01,-0.05,1.0,c
1808.0,4042.0,3110.0,3407.0,4095.0,3244.0,3422.0,4095.0,1.91,8.54,5.16,-0.06,0.03,-0.04,1.0,c
1808.0,4021.0,3120.0,3426.0,4095.0,3245.0,3416.0,4095.0,1.88,8.57,5.32,-0.05,-0.01,-0.05,1.0,c
1818.0,4018.0,3113.0,3433.0,4095.0,3248.0,3427.0,4095.0,1.87,8.57,5.15,-0.06,0.02,-0.03,1.0,c
1819.0,4037.0,3111.0,3413.0,4095.0,3248.0,3431.0,4095.0,1.86,8.49,5.25,-0.04,0.01,-0.04,1.0,c
1827.0,4034.0,3120.0,3430.0,4095.0,3238.0,3449.0,4095.0,2.05,8.61,5.19,-0.05,-0.01,-0.04,1.0,c
2003.0,4037.0,3115.0,3425.0,4095.0,3244.0,3440.0,4095.0,1.95,8.55,5.16,-0.12,0.07,-0.06,1.0,c
2695.0,4050.0,3093.0,3427.0,4095.0,3245.0,3452.0,4095.0,1.9,8.57,5.28,-0.07,0.02,-0.07,1.0,c
2743.0,4027.0,3094.0,3422.0,4095.0,3231.0,3443.0,4095.0,1.76,8.56,5.35,0.0,0.08,-0.02,1.0,c
2651.0,3851.0,3071.0,3422.0,4095.0,3211.0,3440.0,4095.0,1.73,8.31,5.12,-0.06,0.14,0.01,1.0,c
2629.0,3214.0,3054.0,3438.0,4095.0,3164.0,3381.0,4095.0,1.85,8.61,5.36,-0.04,0.08,-0.02,1.0,c
2615.0,3153.0,3049.0,3401.0,4095.0,3174.0,3405.0,4095.0,1.9,8.5,5.22,-0.11,0.01,-0.01,1.0,c
2721.0,2999.0,3027.0,3390.0,4095.0,3152.0,3393.0,4095.0,1.69,8.58,5.54,-0.05,0.18,0.07,1.0,c
2749.0,2958.0,3024.0,3383.0,4095.0,3136.0,3397.0,4095.0,1.83,8.46,5.5,-0.06,-0.08,-0.09,1.0,c
2688.0,3071.0,3017.0,3312.0,4095.0,3127.0,3390.0,4095.0,1.87,8.61,5.12,-0.04,-0.25,-0.05,1.0,c
2583.0,3170.0,3023.0,3280.0,4095.0,3123.0,3407.0,4095.0,1.87,8.43,5.71,-0.09,-0.35,-0.11,1.0,c
2317.0,3359.0,3023.0,3241.0,4095.0,3119.0,3383.0,3968.0,1.99,8.26,5.68,0.28,-0.44,-0.12,1.0,c
2143.0,3579.0,3015.0,3228.0,4095.0,3071.0,3335.0,3874.0,1.94,8.83,4.76,0.08,-0.01,-0.03,1.0,c
