hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1568.0,3906.0,3140.0,3751.0,4095.0,3294.0,3573.0,4065.0,1.67,7.56,6.67,-0.03,0.02,-0.06,1.0,c
1604.0,3898.0,3131.0,3726.0,4095.0,3270.0,3536.0,4095.0,1.67,7.6,6.71,-0.04,0.02,-0.05,1.0,c
1557.0,3907.0,3120.0,3750.0,4095.0,3269.0,3525.0,4095.0,1.46,7.58,6.62,-0.1,0.0,-0.04,1.0,c
1518.0,3899.0,3134.0,3726.0,4095.0,3251.0,3526.0,4095.0,1.28,7.54,6.84,-0.03,-0.02,-0.07,1.0,c
1558.0,3888.0,3143.0,3723.0,4095.0,3251.0,3530.0,4095.0,1.59,7.63,6.56,-0.05,0.01,-0.02,1.0,c
1515.0,3943.0,3127.0,3727.0,4095.0,3251.0,3518.0,4095.0,1.43,7.58,6.74,-0.07,-0.04,-0.07,1.0,c
1559.0,3906.0,3131.0,3696.0,4095.0,3246.0,3515.0,4095.0,1.48,7.56,6.77,-0.07,-0.0,-0.01,1.0,c
1583.0,3921.0,3131.0,3703.0,4095.0,3249.0,3517.0,4095.0,1.57,7.55,6.78,-0.08,-0.01,-0.01,1.0,c
1574.0,3911.0,3135.0,3728.0,4095.0,3245.0,3502.0,4095.0,1.31,7.54,6.75,-0.06,-0.01,-0.07,1.0,c
1571.0,3907.0,3127.0,3712.0,4095.0,3232.0,3504.0,4095.0,1.52,7.64,6.61,-0.05,-0.02,-0.07,1.0,c
1555.0,3934.0,3143.0,3742.0,4095.0,3259.0,3510.0,4095.0,1.41,7.62,6.68,-0.08,-0.0,-0.02,1.0,c
1535.0,3914.0,3125.0,3718.0,4095.0,3251.0,3504.0,4095.0,1.53,7.57,6.71,-0.07,-0.0,-0.02,1.0,c
1561.0,3920.0,3124.0,3711.0,4095.0,3248.0,3503.0,4095.0,1.43,7.53,6.81,-0.05,-0.01,-0.04,1.0,c
1566.0,3931.0,3136.0,3740.0,4095.0,3246.0,3507.0,4095.0,1.48,7.6,6.67,-0.06,-0.01,-0.04,1.0,c
1584.0,3890.0,3143.0,3727.0,4095.0,3251.0,3515.0,4095.0,1.48,7.62,6.63,-0.06,-0.01,-0.06,1.0,c
1561.0,3908.0,3137.0,3751.0,4095.0,3227.0,3504.0,4095.0,1.47,7.65,6.64,-0.06,-0.01,-0.03,1.0,c
1525.0,3911.0,3131.0,3733.0,4095.0,3247.0,3502.0,4095.0,1.53,7.58,6.73,-0.07,0.0,-0.02,1.0,c
1518.0,3907.0,3149.0,3742.0,4095.0,3246.0,3519.0,4095.0,1.49,7.58,6.72,-0.07,-0.02,-0.05,1.0,c
1517.0,3920.0,3122.0,3749.0,4095.0,3249.0,3495.0,4095.0,1.46,7.6,6.68,-0.06,-0.01,-0.03,1.0,c
1501.0,3911.0,3136.0,3729.0,4095.0,3242.0,3509.0,4095.0,1.47,7.62,6.7,-0.09,-0.0,-0.04,1.0,c
2128.0,3871.0,3056.0,3905.0,4095.0,3136.0,3277.0,4095.0,1.54,7.74,6.51,-0.05,0.01,-0.03,1.0,c
2121.0,3888.0,3062.0,3920.0,4095.0,3137.0,3286.0,4095.0,1.47,7.71,6.54,-0.09,-0.0,-0.05,1.0,c
2043.0,3882.0,3071.0,3920.0,4095.0,3123.0,3278.0,4095.0,1.34,7.72,6.56,-0.11,-0.0,-0.02,1.0,c
2107.0,3907.0,3057.0,3927.0,4095.0,3133.0,3286.0,4095.0,1.51,7.68,6.63,-0.05,0.03,-0.01,1.0,c
2112.0,3920.0,3071.0,3914.0,4095.0,3142.0,3277.0,4095.0,1.61,7.74,6.58,-0.05,-0.03,-0.01,1.0,c
2124.0,3920.0,3066.0,3935.0,4095.0,3136.0,3295.0,4095.0,1.68,7.68,6.62,-0.08,-0.04,-0.02,1.0,c
2099.0,3899.0,3058.0,3950.0,4095.0,3149.0,3281.0,4095.0,1.54,7.66,6.57,-0.06,-0.02,-0.06,1.0,c
2095.0,3920.0,3069.0,3947.0,4095.0,3151.0,3295.0,4095.0,1.6,7.69,6.58,-0.04,0.0,-0.05,1.0,c
2087.0,3939.0,3079.0,3919.0,4095.0,3152.0,3298.0,4095.0,1.41,7.7,6.57,-0.08,0.01,-0.05,1.0,c
2075.0,3921.0,3079.0,3931.0,4095.0,3137.0,3303.0,4095.0,1.37,7.64,6.62,-0.05,-0.02,-0.05,1.0,c
2053.0,3952.0,3063.0,3941.0,4095.0,3150.0,3306.0,4095.0,1.51,7.65,6.61,-0.03,-0.02,-0.07,1.0,c
2040.0,3938.0,3059.0,3945.0,4095.0,3138.0,3285.0,4095.0,1.54,7.67,6.58,-0.07,0.01,-0.05,1.0,c
2038.0,3919.0,3056.0,3983.0,4095.0,3152.0,3301.0,4095.0,1.41,7.64,6.73,-0.07,-0.0,-0.06,1.0,c
2010.0,3920.0,3066.0,3952.0,4095.0,3152.0,3290.0,4095.0,1.4,7.69,6.58,-0.03,-0.02,-0.04,1.0,c
2012.0,3940.0,3067.0,3965.0,4095.0,3155.0,3285.0,4095.0,1.46,7.69,6.59,-0.04,0.0,-0.05,1.0,c
2031.0,3946.0,3062.0,3967.0,4095.0,3141.0,3285.0,4095.0,1.35,7.67,6.67,-0.08,-0.01,-0.03,1.0,c
2038.0,3936.0,3054.0,3952.0,4095.0,3153.0,3295.0,4095.0,1.37,7.63,6.66,-0.08,0.02,-0.01,1.0,c
1995.0,3935.0,3079.0,3952.0,4095.0,3158.0,3295.0,4095.0,1.5,7.6,6.76,-0.04,-0.0,-0.02,1.0,c
2000.0,3952.0,3059.0,3950.0,4095.0,3151.0,3301.0,4095.0,1.49,7.69,6.54,-0.07,-0.01,-0.05,1.0,c
2003.0,3945.0,3061.0,3917.0,4095.0,3142.0,3291.0,4095.0,1.39,7.61,6.72,-0.06,-0.02,-0.04,1.0,c
1203.0,4095.0,3058.0,4002.0,4095.0,3011.0,3235.0,4095.0,1.53,7.69,6.46,-0.06,0.03,-0.01,1.0,c
1207.0,4095.0,3054.0,4007.0,4095.0,3021.0,3234.0,4078.0,1.56,7.66,6.67,-0.07,0.01,-0.03,1.0,c
1214.0,4095.0,3054.0,3989.0,4095.0,3018.0,3245.0,4095.0,1.46,7.64,6.62,-0.04,0.05,-0.01,1.0,c
1259.0,4095.0,3042.0,4011.0,4095.0,3017.0,3239.0,4095.0,1.64,7.68,6.57,-0.07,0.03,-0.04,1.0,c
1254.0,4095.0,3056.0,4003.0,4095.0,3017.0,3248.0,4095.0,1.53,7.65,6.56,-0.07,-0.02,-0.04,1.0,c
1255.0,4095.0,3061.0,4031.0,4095.0,3024.0,3249.0,4095.0,1.43,7.7,6.58,-0.05,-0.03,-0.03,1.0,c
1263.0,4095.0,3053.0,4020.0,4095.0,3024.0,3248.0,4095.0,1.55,7.7,6.54,-0.11,-0.01,-0.02,1.0,c
1261.0,4095.0,3059.0,4032.0,4095.0,3024.0,3246.0,4095.0,1.62,7.65,6.63,-0.06,-0.0,-0.03,1.0,c
