hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3611.0,931.0,1419.0,4095.0,3846.0,3152.0,4095.0,4095.0,-1.93,8.25,9.32,0.01,0.02,-0.15,0.0,c
3617.0,922.0,1403.0,4095.0,3840.0,3150.0,4095.0,4095.0,-2.11,8.09,9.45,-0.05,0.03,-0.15,0.0,c
3583.0,927.0,1399.0,4095.0,3847.0,3155.0,4095.0,4095.0,-2.03,8.1,9.52,0.05,-0.01,-0.18,0.0,c
3583.0,917.0,1392.0,4095.0,3845.0,3155.0,4095.0,4095.0,-2.2,8.12,9.31,-0.01,-0.05,-0.13,0.0,c
3601.0,913.0,1406.0,4095.0,3844.0,3153.0,4095.0,4095.0,-1.93,8.05,9.72,0.06,0.08,-0.16,0.0,c
3600.0,918.0,1403.0,4095.0,3842.0,3152.0,4095.0,4095.0,-2.08,8.2,9.3,0.01,-0.1,-0.2,0.0,c
3583.0,924.0,1411.0,4095.0,3853.0,3161.0,4095.0,4095.0,-1.96,8.1,9.48,0.01,0.01,-0.16,0.0,c
3583.0,917.0,1401.0,4095.0,3846.0,3155.0,4095.0,4095.0,-2.17,8.12,9.38,0.01,0.01,-0.15,0.0,c
3607.0,925.0,1402.0,4095.0,3827.0,3164.0,4095.0,4095.0,-1.91,8.06,9.6,-0.01,0.03,-0.11,0.0,c
3600.0,927.0,1456.0,4095.0,3843.0,3156.0,4095.0,4095.0,-2.05,8.11,9.38,-0.02,0.01,-0.12,0.0,c
3619.0,918.0,1242.0,4095.0,3841.0,3166.0,4095.0,4095.0,-1.96,8.18,9.23,-0.08,0.06,-0.05,0.0,c
3608.0,926.0,1309.0,4095.0,3841.0,3167.0,4095.0,4095.0,-1.96,7.88,9.74,-0.07,0.08,-0.07,0.0,c
3611.0,914.0,1321.0,4095.0,3839.0,3161.0,4095.0,4095.0,-1.83,8.04,9.6,0.02,0.02,-0.16,0.0,c
3600.0,920.0,1293.0,4095.0,3838.0,3165.0,4095.0,4095.0,-1.96,8.14,9.42,-0.06,-0.03,-0.18,0.0,c
3613.0,928.0,1307.0,4095.0,3841.0,3168.0,4095.0,4095.0,-1.98,7.77,9.99,-0.07,0.0,-0.14,0.0,c
3607.0,914.0,1328.0,4095.0,3847.0,3172.0,4095.0,4095.0,-2.11,7.9,9.85,0.09,0.01,-0.18,0.0,c
3610.0,914.0,1343.0,4095.0,3841.0,3163.0,4095.0,4095.0,-2.05,8.06,9.52,0.02,-0.07,-0.16,0.0,c
3600.0,915.0,1339.0,4095.0,3839.0,3164.0,4095.0,4095.0,-1.85,7.97,9.97,0.08,0.01,-0.16,0.0,c
3611.0,917.0,1332.0,4095.0,3838.0,3164.0,4095.0,4095.0,-2.0,8.09,9.41,-0.02,-0.08,-0.18,0.0,c
3617.0,919.0,1328.0,4095.0,3830.0,3163.0,4095.0,4095.0,-1.87,7.88,9.96,0.0,0.02,-0.14,0.0,c
3613.0,921.0,1331.0,4095.0,3848.0,3170.0,4095.0,4095.0,-2.01,8.14,9.37,0.0,0.09,-0.14,0.0,c
3603.0,929.0,1328.0,4095.0,3839.0,3167.0,4095.0,4095.0,-1.98,7.84,9.88,-0.05,0.1,-0.07,0.0,c
3621.0,927.0,1297.0,4095.0,3849.0,3167.0,4095.0,4095.0,-2.02,8.03,9.68,0.09,-0.07,-0.21,0.0,c
3618.0,925.0,1306.0,4095.0,3842.0,3167.0,4095.0,4095.0,-2.02,8.03,9.68,-0.05,-0.04,-0.13,0.0,c
3629.0,913.0,1302.0,4095.0,3836.0,3165.0,4095.0,4095.0,-1.83,7.9,9.96,-0.01,-0.02,-0.16,0.0,c
3600.0,919.0,1276.0,4095.0,3839.0,3165.0,4095.0,4095.0,-1.8,7.96,9.79,-0.01,-0.12,-0.26,0.0,c
3605.0,928.0,1296.0,4095.0,3838.0,3167.0,4095.0,4095.0,-2.24,7.95,9.7,-0.07,0.29,-0.06,0.0,c
