hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2448.0,3063.0,2492.0,4095.0,3860.0,3187.0,3731.0,4095.0,-3.85,7.44,9.48,0.01,-0.04,-0.16,0.0,c
2448.0,3058.0,2491.0,4095.0,3862.0,3187.0,3744.0,4095.0,-3.74,7.4,9.5,-0.03,0.06,-0.14,0.0,c
2453.0,3071.0,2485.0,4095.0,3861.0,3191.0,3726.0,4095.0,-3.73,7.36,9.55,-0.01,0.01,-0.14,0.0,c
2466.0,3071.0,2475.0,4095.0,3861.0,3193.0,3734.0,4095.0,-3.57,7.43,9.61,-0.01,-0.0,-0.16,0.0,c
2471.0,3059.0,2514.0,4095.0,3853.0,3197.0,3734.0,4095.0,-3.7,7.32,9.58,-0.04,0.01,-0.14,0.0,c
2459.0,3066.0,2523.0,4095.0,3852.0,3191.0,3735.0,4095.0,-3.56,7.35,9.49,0.03,-0.09,-0.22,0.0,c
2464.0,3056.0,2518.0,4095.0,3824.0,3195.0,3735.0,4095.0,-3.72,7.24,9.58,-0.05,0.01,-0.2,0.0,c
2471.0,3065.0,2525.0,4095.0,3820.0,3191.0,3743.0,4095.0,-3.9,7.21,9.81,-0.03,-0.05,-0.21,0.0,c
2480.0,3067.0,2519.0,4095.0,3827.0,3191.0,3737.0,4095.0,-3.93,7.24,9.73,-0.04,-0.02,-0.19,0.0,c
2482.0,3079.0,2525.0,4095.0,3826.0,3194.0,3738.0,4095.0,-3.89,7.24,9.85,0.0,0.04,-0.11,0.0,c
2494.0,3065.0,2585.0,4095.0,3824.0,3189.0,3725.0,4095.0,-3.71,7.3,9.74,0.03,-0.01,-0.15,0.0,c
2479.0,3053.0,2661.0,4095.0,3777.0,3186.0,3715.0,4095.0,-3.44,7.22,9.45,-0.07,-0.01,-0.18,0.0,c
2480.0,3071.0,2690.0,4095.0,3783.0,3184.0,3698.0,4095.0,-3.73,7.14,9.84,-0.02,0.07,-0.18,0.0,c
2512.0,3070.0,2704.0,4095.0,3766.0,3193.0,3695.0,4095.0,-4.1,7.13,9.78,0.06,-0.09,-0.21,0.0,c
2512.0,3060.0,2735.0,4095.0,3693.0,3188.0,3681.0,4095.0,-3.89,7.26,9.75,0.01,-0.01,-0.16,0.0,c
2506.0,3057.0,2740.0,4095.0,3673.0,3162.0,3658.0,4095.0,-3.88,7.23,9.63,0.01,0.03,-0.17,0.0,c
2481.0,3059.0,2757.0,4095.0,3664.0,3154.0,3633.0,4095.0,-3.76,7.33,9.64,0.01,0.05,-0.13,0.0,c
2480.0,3055.0,2786.0,4095.0,3605.0,3136.0,3606.0,4069.0,-3.99,7.26,9.88,0.0,0.1,-0.13,0.0,c
2485.0,3063.0,2821.0,3995.0,3615.0,3119.0,3577.0,4051.0,-3.89,7.13,9.92,-0.01,-0.03,-0.2,0.0,c
2489.0,3059.0,2859.0,3967.0,3541.0,3088.0,3520.0,3979.0,-3.75,7.16,9.74,0.1,-0.06,-0.21,0.0,c
2496.0,3051.0,2928.0,3994.0,3536.0,3069.0,3482.0,3895.0,-3.85,7.12,9.82,0.03,-0.03,-0.16,0.0,c
2519.0,3058.0,2937.0,4030.0,3552.0,3063.0,3472.0,3839.0,-3.82,7.23,9.64,-0.03,-0.03,-0.17,0.0,c
2553.0,3057.0,2935.0,3991.0,3565.0,3079.0,3471.0,3837.0,-3.95,7.16,9.72,-0.02,-0.0,-0.12,0.0,c
2619.0,3061.0,2946.0,4000.0,3571.0,3086.0,3472.0,3843.0,-3.88,7.15,9.77,0.01,-0.03,-0.14,0.0,c
2622.0,3061.0,2967.0,3952.0,3571.0,3081.0,3474.0,3855.0,-3.66,7.22,9.68,0.04,-0.04,-0.11,0.0,c
2625.0,3061.0,2963.0,3986.0,3583.0,3070.0,3472.0,3856.0,-3.63,7.23,9.75,0.01,0.06,-0.13,0.0,c
2592.0,3058.0,2949.0,3970.0,3575.0,3039.0,3443.0,3851.0,-3.79,7.19,9.73,0.03,-0.09,-0.22,0.0,c
2559.0,3053.0,2960.0,3907.0,3547.0,3028.0,3411.0,3770.0,-4.02,7.21,9.75,0.03,-0.08,-0.21,0.0,c
2555.0,3059.0,3004.0,3825.0,3543.0,3031.0,3426.0,3754.0,-3.95,7.19,9.63,0.01,-0.08,-0.17,0.0,c
2590.0,3058.0,3223.0,3809.0,3552.0,3025.0,3426.0,3939.0,-3.82,7.17,9.84,-0.02,-0.05,-0.11,0.0,c
2649.0,3056.0,3386.0,3846.0,3561.0,3046.0,3464.0,4011.0,-3.84,6.97,9.82,0.03,0.08,-0.09,0.0,c
2706.0,3053.0,3372.0,3871.0,3554.0,3039.0,3477.0,4082.0,-3.93,7.25,9.64,-0.01,0.03,-0.09,0.0,c
2745.0,3047.0,3381.0,3999.0,3566.0,3047.0,3490.0,4086.0,-3.68,7.29,9.71,-0.08,-0.02,-0.13,0.0,c
2768.0,3056.0,3394.0,4032.0,3565.0,3049.0,3493.0,4095.0,-3.89,7.08,9.77,-0.09,0.1,-0.11,0.0,c
2770.0,3051.0,3392.0,4042.0,3565.0,3039.0,3498.0,4095.0,-3.82,7.25,10.0,0.01,-0.08,-0.14,0.0,c
2768.0,3056.0,3379.0,4095.0,3599.0,3049.0,3494.0,4095.0,-3.68,7.07,10.22,0.01,-0.08,-0.15,0.0,c
2783.0,3043.0,3309.0,4095.0,3600.0,3042.0,3504.0,4095.0,-3.74,7.06,10.06,0.06,0.05,-0.13,0.0,c
2799.0,3046.0,3274.0,4095.0,3610.0,3045.0,3504.0,4095.0,-4.11,7.35,9.89,0.08,0.02,-0.13,0.0,c
2813.0,3050.0,3290.0,4095.0,3632.0,3041.0,3505.0,4095.0,-3.54,7.08,9.85,-0.16,0.07,0.05,0.0,c
2814.0,3038.0,3236.0,4095.0,3648.0,3018.0,3534.0,4095.0,-3.55,7.13,10.24,-0.01,-0.05,-0.13,0.0,c
2839.0,3038.0,3237.0,4095.0,3651.0,3006.0,3551.0,4095.0,-3.53,7.2,9.87,0.04,-0.09,-0.15,0.0,c
2857.0,3051.0,3225.0,4095.0,3686.0,3018.0,3565.0,4095.0,-3.54,7.22,9.77,-0.01,0.02,-0.12,0.0,c
2894.0,3036.0,3215.0,4095.0,3710.0,3019.0,3583.0,4095.0,-3.63,7.15,9.89,0.03,0.02,-0.2,0.0,c
2893.0,3042.0,3152.0,4095.0,3728.0,3024.0,3583.0,4095.0,-3.8,7.12,9.84,0.0,0.04,-0.15,0.0,c
2916.0,3029.0,3143.0,4095.0,3757.0,3040.0,3629.0,4095.0,-3.79,7.06,10.15,0.07,0.05,-0.14,0.0,c
2895.0,3036.0,3150.0,4095.0,3762.0,3044.0,3645.0,4095.0,-3.51,7.22,9.84,-0.01,-0.02,-0.16,0.0,c
2880.0,3044.0,3120.0,4095.0,3766.0,3050.0,3647.0,4095.0,-3.81,7.19,9.88,0.04,0.08,-0.15,0.0,c
2886.0,3046.0,3223.0,4095.0,3747.0,3046.0,3626.0,4095.0,-3.7,7.22,9.62,-0.0,0.01,-0.18,0.0,c
2881.0,3042.0,3283.0,4095.0,3719.0,3056.0,3601.0,4095.0,-3.83,7.07,9.74,0.04,-0.03,-0.26,0.0,c
2876.0,3039.0,3391.0,4095.0,3727.0,3042.0,3504.0,4095.0,-3.89,7.0,9.79,0.05,-0.07,-0.18,0.0,c
2914.0,3045.0,3501.0,4095.0,3671.0,3023.0,3446.0,3959.0,-3.81,7.11,9.85,0.11,0.05,-0.12,0.0,c
2929.0,3047.0,3518.0,4095.0,3613.0,3019.0,3439.0,3978.0,-3.63,7.0,9.79,0.21,0.03,-0.14,0.0,c
2959.0,3052.0,3541.0,4095.0,3580.0,2951.0,3383.0,3939.0,-3.93,7.34,9.61,0.03,0.04,-0.06,0.0,c
2962.0,3034.0,3599.0,4058.0,3583.0,2946.0,3369.0,3867.0,-3.87,7.17,9.52,0.01,0.1,0.05,0.0,c
2977.0,3034.0,3607.0,4095.0,3583.0,2957.0,3357.0,3856.0,-3.9,7.11,9.98,0.02,0.01,-0.02,0.0,c
3017.0,3025.0,3623.0,4061.0,3551.0,2954.0,3350.0,3809.0,-3.74,6.75,9.64,0.18,-0.02,0.04,0.0,c
3024.0,3024.0,3629.0,4052.0,3551.0,2955.0,3344.0,3792.0,-3.4,7.05,9.69,0.12,0.05,0.03,0.0,c
3014.0,3038.0,3618.0,4020.0,3558.0,2960.0,3341.0,3813.0,-3.78,7.34,9.06,0.06,0.01,-0.11,0.0,c
3047.0,3037.0,3578.0,4039.0,3566.0,2961.0,3352.0,3827.0,-3.98,6.64,9.27,-0.06,0.21,0.02,0.0,c
3027.0,3029.0,3479.0,4095.0,3571.0,2966.0,3393.0,3857.0,-4.76,6.84,9.46,-0.29,0.7,0.23,0.0,c
2991.0,3034.0,3478.0,4095.0,3583.0,2967.0,3417.0,3921.0,-4.47,7.14,9.44,-0.59,0.42,0.33,0.0,c
2975.0,3033.0,3450.0,4095.0,3639.0,2983.0,3446.0,4033.0,-3.78,7.33,10.34,-0.63,0.47,0.41,0.0,c
2960.0,3019.0,3358.0,4095.0,3696.0,3002.0,3500.0,4095.0,-3.32,7.35,11.09,-0.6,0.51,0.32,0.0,c
2962.0,3027.0,3280.0,4095.0,3738.0,3009.0,3517.0,4095.0,-2.95,7.5,11.03,-0.35,0.1,0.11,0.0,c
2967.0,3033.0,3094.0,4095.0,3743.0,3006.0,3526.0,4095.0,-3.23,7.59,10.34,-0.3,0.63,0.19,0.0,c
2928.0,3029.0,3056.0,4095.0,3792.0,3018.0,3542.0,4095.0,-3.46,7.54,10.18,-0.29,0.62,0.18,0.0,c
2939.0,3024.0,3103.0,4095.0,3813.0,3019.0,3549.0,4095.0,-2.88,7.31,10.26,-0.23,0.41,0.13,0.0,c
2930.0,3024.0,2989.0,4095.0,3820.0,3023.0,3551.0,4095.0,-3.13,7.14,10.07,-0.2,0.58,0.04,0.0,c
2919.0,3026.0,2980.0,4095.0,3831.0,2979.0,3556.0,4095.0,-3.29,7.12,9.83,-0.23,0.4,0.1,0.0,c
2927.0,3042.0,3019.0,4095.0,3832.0,2943.0,3563.0,4095.0,-3.65,7.16,9.5,-0.29,0.55,0.07,0.0,c
2939.0,3024.0,3193.0,4095.0,3823.0,2949.0,3568.0,4095.0,-3.91,7.1,9.77,-0.31,0.73,0.24,0.0,c
2989.0,3040.0,3314.0,4095.0,3739.0,2922.0,3528.0,4095.0,-3.48,7.33,9.89,-0.31,0.58,0.22,0.0,c
3024.0,3030.0,3411.0,4095.0,3598.0,2845.0,3435.0,4095.0,-3.53,7.16,9.84,-0.39,0.73,0.34,0.0,c
3033.0,3039.0,3502.0,4081.0,3569.0,2815.0,3369.0,3990.0,-3.1,7.3,9.98,-0.27,0.28,0.13,0.0,c
3047.0,3040.0,3553.0,4036.0,3557.0,2832.0,3382.0,3968.0,-3.36,6.78,10.08,-0.16,0.05,-0.04,0.0,c
3071.0,3024.0,3568.0,3927.0,3513.0,2834.0,3394.0,4003.0,-3.39,6.84,9.95,-0.09,-0.09,-0.07,0.0,c
3119.0,3029.0,3601.0,3918.0,3533.0,2839.0,3391.0,4013.0,-3.49,7.11,9.74,-0.13,0.07,0.0,0.0,c
3135.0,3031.0,3611.0,3453.0,3550.0,2845.0,3386.0,4018.0,-3.52,7.01,10.1,-0.14,-0.08,-0.03,0.0,c
3155.0,3039.0,3627.0,3454.0,3554.0,2836.0,3371.0,3943.0,-3.35,7.05,10.22,0.1,-0.1,-0.13,0.0,c
