hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3056.0,4095.0,4095.0,3839.0,4095.0,2754.0,3110.0,2863.0,2.59,8.77,7.9,0.02,0.62,-0.01,d
3054.0,4095.0,4095.0,3836.0,4095.0,2756.0,3111.0,2860.0,2.5,8.73,8.12,-0.02,0.29,-0.06,d
3042.0,4095.0,4086.0,3835.0,4095.0,2755.0,3119.0,2863.0,3.29,8.76,8.07,-0.0,0.12,-0.11,d
3039.0,4095.0,4091.0,3834.0,4095.0,2753.0,3110.0,2859.0,2.34,9.07,7.6,0.03,1.53,0.09,d
3046.0,4095.0,4095.0,3837.0,4095.0,2754.0,3117.0,2868.0,2.3,8.67,8.49,-0.09,1.07,0.03,d
3043.0,4095.0,4074.0,3837.0,4095.0,2753.0,3114.0,2857.0,2.0,8.75,8.62,-0.03,0.78,-0.09,d
3039.0,4095.0,4086.0,3838.0,4095.0,2752.0,3117.0,2855.0,2.23,8.85,8.37,-0.03,1.19,-0.01,d
3042.0,4095.0,4085.0,3829.0,4095.0,2754.0,3113.0,2861.0,1.09,8.79,8.79,-0.05,1.49,0.11,d
3040.0,4095.0,4052.0,3829.0,4095.0,2749.0,3110.0,2855.0,2.0,8.67,8.63,-0.09,1.31,0.07,d
3047.0,4095.0,4045.0,3694.0,4095.0,2750.0,3105.0,2799.0,1.26,9.07,8.16,-0.08,3.09,0.14,d
3041.0,4095.0,4075.0,3835.0,4095.0,2743.0,3109.0,2863.0,0.52,8.36,9.9,-0.34,2.21,0.34,d
3039.0,4095.0,4095.0,3837.0,4095.0,2745.0,3105.0,2867.0,-0.87,8.42,9.9,-0.04,0.24,-0.1,d
3039.0,4095.0,4095.0,3835.0,4095.0,2743.0,3118.0,2870.0,-1.67,8.75,9.47,0.03,-1.53,-0.21,d
3043.0,4095.0,4095.0,3837.0,4095.0,2753.0,3121.0,2866.0,0.97,8.27,9.42,-0.15,-3.55,-0.46,d
3047.0,4095.0,4095.0,3812.0,4095.0,2753.0,3109.0,2842.0,2.47,8.28,8.77,0.03,-3.2,-0.45,d
3052.0,4095.0,4095.0,3824.0,4095.0,2755.0,3113.0,2843.0,2.76,8.68,8.47,0.03,-2.3,-0.46,d
3051.0,4095.0,4095.0,3835.0,4095.0,2750.0,3126.0,2830.0,2.63,8.68,8.13,-0.06,-2.58,-0.57,d
3043.0,4095.0,4095.0,3830.0,4095.0,2752.0,3131.0,2826.0,3.59,8.72,7.92,-0.12,-2.68,-0.64,d
3050.0,4095.0,4095.0,3783.0,4095.0,2761.0,3123.0,2825.0,4.27,8.74,7.23,-0.29,-1.76,-0.5,d
3056.0,4095.0,4095.0,3645.0,4095.0,2762.0,3118.0,2822.0,4.39,8.61,6.68,-0.28,-0.31,-0.23,d
3038.0,4095.0,4095.0,3574.0,4095.0,2766.0,3105.0,2822.0,3.45,8.53,7.36,-0.25,0.74,-0.01,d
3041.0,4095.0,4095.0,3766.0,4095.0,2765.0,3114.0,2818.0,2.95,8.46,7.62,-0.47,0.6,0.08,d
3050.0,4095.0,4095.0,3787.0,4095.0,2761.0,3105.0,2831.0,3.47,7.88,8.53,-0.67,-0.02,-0.06,d
3041.0,4095.0,4095.0,3786.0,4095.0,2762.0,3103.0,2845.0,3.47,7.88,8.74,-0.64,-0.09,-0.02,d
3050.0,4095.0,4095.0,3779.0,4095.0,2767.0,3106.0,2845.0,3.68,7.7,9.06,-0.61,-0.01,-0.02,d
3051.0,4095.0,4095.0,3799.0,4095.0,2768.0,3104.0,2851.0,3.63,7.72,10.24,-0.57,-0.04,0.01,d
3056.0,4095.0,4095.0,3824.0,4095.0,2769.0,3117.0,2853.0,3.81,7.88,10.72,-0.15,0.06,-0.06,d
3042.0,4095.0,4095.0,3829.0,4095.0,2769.0,3117.0,2851.0,3.78,8.07,10.95,0.26,0.27,-0.13,d
3053.0,4095.0,4095.0,3824.0,4095.0,2768.0,3113.0,2849.0,3.51,8.07,10.42,0.58,0.29,-0.21,d
3049.0,4095.0,4095.0,3824.0,4095.0,2770.0,3115.0,2864.0,3.75,8.13,9.69,0.47,0.26,-0.22,d
3053.0,4095.0,4095.0,3837.0,4095.0,2768.0,3114.0,2864.0,3.62,8.18,9.47,0.58,0.34,-0.31,d
3047.0,4095.0,4095.0,3846.0,4095.0,2769.0,3117.0,2868.0,3.14,7.95,9.49,0.72,0.36,-0.32,d
3056.0,4095.0,4095.0,3846.0,4095.0,2773.0,3120.0,2864.0,2.99,8.0,8.99,0.8,0.46,-0.3,d
3052.0,4095.0,4095.0,3851.0,4095.0,2773.0,3120.0,2870.0,3.11,7.94,8.91,0.93,0.63,-0.2,d
3051.0,4095.0,4095.0,3840.0,4095.0,2768.0,3119.0,2879.0,2.99,8.03,8.28,1.03,0.5,-0.23,d
3042.0,4095.0,4095.0,3856.0,4095.0,2773.0,3117.0,2870.0,2.79,8.07,7.85,1.11,0.33,-0.23,d
3055.0,4095.0,4095.0,3856.0,4095.0,2775.0,3118.0,2870.0,2.64,8.28,7.0,1.31,0.44,-0.18,d
3053.0,4095.0,4095.0,3850.0,4095.0,2773.0,3102.0,2877.0,2.7,8.77,5.77,1.34,0.42,-0.11,d
3054.0,4095.0,4095.0,3856.0,4095.0,2770.0,3098.0,2875.0,2.59,9.19,4.97,1.3,0.48,-0.07,d
3046.0,4095.0,4095.0,3851.0,4095.0,2774.0,3107.0,2881.0,2.72,9.73,3.91,1.17,0.66,-0.04,d
3057.0,4095.0,4095.0,3835.0,4095.0,2773.0,3109.0,2876.0,2.61,9.92,3.79,0.84,0.81,0.09,d
3045.0,4095.0,4095.0,3829.0,4095.0,2774.0,3114.0,2881.0,2.5,9.93,3.9,0.68,0.46,0.04,d
3062.0,4095.0,4095.0,3825.0,4095.0,2769.0,3111.0,2879.0,2.6,9.79,3.57,0.67,-0.01,0.02,d
3052.0,4095.0,4095.0,3837.0,4095.0,2767.0,3112.0,2883.0,3.16,10.57,1.06,0.4,-0.35,-0.23,d
3049.0,4095.0,4095.0,3836.0,4095.0,2757.0,3114.0,2886.0,3.08,10.44,0.61,-0.53,-0.59,-0.38,d
3039.0,4095.0,4095.0,3851.0,4095.0,2763.0,3120.0,2891.0,2.28,9.21,4.42,-1.14,-0.26,-0.22,d
3047.0,4095.0,4095.0,3858.0,4095.0,2768.0,3119.0,2883.0,2.21,9.67,4.08,-0.93,-0.34,-0.21,d
3040.0,4095.0,4095.0,3861.0,4095.0,2766.0,3110.0,2887.0,1.99,9.13,5.96,-1.3,-0.76,-0.19,d
3053.0,4095.0,4095.0,3866.0,4095.0,2766.0,3111.0,2885.0,2.89,9.21,5.26,-1.05,-0.97,-0.18,d
3049.0,4095.0,4095.0,3857.0,4095.0,2767.0,3117.0,2894.0,3.28,8.69,7.01,-1.24,-0.42,-0.02,d
3039.0,4095.0,4095.0,3856.0,4095.0,2763.0,3115.0,2895.0,3.53,8.72,7.03,-0.87,-0.1,0.01,d
3043.0,4095.0,4095.0,3866.0,4095.0,2761.0,3111.0,2889.0,3.48,8.58,7.32,-0.9,-0.35,-0.12,d
3041.0,4095.0,4095.0,3854.0,4095.0,2759.0,3107.0,2896.0,2.98,8.51,8.27,-0.79,-0.25,-0.11,d
3050.0,4095.0,4095.0,3845.0,4095.0,2766.0,3109.0,2897.0,2.97,8.49,7.97,-0.69,-0.25,-0.09,d
3041.0,4095.0,4095.0,3849.0,4095.0,2765.0,3104.0,2895.0,2.73,8.25,9.23,-0.51,-0.17,-0.0,d
3047.0,4095.0,4095.0,3856.0,4095.0,2763.0,3108.0,2897.0,3.78,8.53,9.44,-0.04,-0.03,-0.03,d
3042.0,4095.0,4095.0,3856.0,4095.0,2761.0,3107.0,2894.0,3.19,8.88,10.41,0.57,0.7,-0.02,d
3055.0,4095.0,4095.0,3872.0,4095.0,2766.0,3103.0,2884.0,3.73,8.46,8.74,0.95,0.78,-0.09,d
3052.0,4095.0,4095.0,3846.0,4095.0,2758.0,3103.0,2871.0,4.91,8.68,7.55,0.91,1.5,-0.24,d
3056.0,4095.0,4090.0,3826.0,4095.0,2747.0,3115.0,2853.0,2.16,9.33,6.47,0.79,3.24,0.07,d
3052.0,4095.0,4058.0,3840.0,4095.0,2747.0,3111.0,2859.0,1.31,9.25,6.71,0.59,3.57,0.27,d
3052.0,4095.0,4037.0,3843.0,4095.0,2745.0,3111.0,2864.0,1.76,9.23,6.78,0.24,2.46,0.28,d
3042.0,4095.0,4051.0,3856.0,4095.0,2736.0,3114.0,2867.0,0.32,9.2,7.49,0.02,0.94,0.17,d
3053.0,4095.0,4051.0,3849.0,4095.0,2737.0,3119.0,2869.0,-0.04,9.26,7.79,0.02,-0.82,-0.11,d
3040.0,4095.0,4091.0,3859.0,4095.0,2747.0,3127.0,2879.0,1.63,8.99,7.76,-0.08,-3.29,-0.33,d
3045.0,4095.0,4067.0,3857.0,4095.0,2752.0,3121.0,2871.0,2.61,9.27,6.94,0.03,-3.01,-0.38,d
3042.0,4095.0,4073.0,3867.0,4095.0,2757.0,3122.0,2880.0,3.78,9.19,6.65,-0.07,-1.5,-0.15,d
3050.0,4095.0,4095.0,3870.0,4095.0,2755.0,3124.0,2881.0,3.16,9.19,6.94,0.03,-0.93,-0.2,d
3046.0,4095.0,4095.0,3872.0,4095.0,2754.0,3131.0,2885.0,2.94,9.19,6.76,-0.05,-1.35,-0.32,d
3050.0,4095.0,4094.0,3862.0,4095.0,2756.0,3129.0,2891.0,3.6,9.14,6.55,-0.03,-1.7,-0.43,d
3055.0,4095.0,4089.0,3874.0,4095.0,2753.0,3131.0,2896.0,3.36,9.33,6.15,0.07,-1.05,-0.37,d
3056.0,4095.0,4085.0,3883.0,4095.0,2734.0,3125.0,2890.0,3.45,9.28,6.35,0.13,0.08,-0.21,d
3053.0,4095.0,4048.0,3831.0,4095.0,2708.0,3125.0,2896.0,3.12,9.39,6.24,0.33,0.96,-0.12,d
3040.0,4095.0,4095.0,3763.0,4095.0,2695.0,3122.0,2887.0,2.69,9.56,6.17,-0.01,0.71,-0.07,d
3041.0,4095.0,4095.0,3645.0,4095.0,2645.0,3083.0,2783.0,2.72,9.29,6.42,-0.25,0.14,-0.14,d
3046.0,4095.0,4095.0,3559.0,4095.0,2614.0,3052.0,2759.0,3.06,9.18,6.71,-0.07,-0.06,-0.2,d
3053.0,4095.0,4095.0,3536.0,4095.0,2608.0,3033.0,2751.0,2.77,9.17,6.81,-0.01,-0.01,-0.16,d
3046.0,4095.0,4095.0,3504.0,4095.0,2592.0,3010.0,2753.0,2.81,9.19,6.44,-0.02,-0.02,-0.13,d
3047.0,4095.0,4095.0,3453.0,4095.0,2595.0,3003.0,2743.0,2.91,9.27,6.46,-0.13,-0.05,-0.16,d
3053.0,4095.0,4095.0,3419.0,4095.0,2588.0,2995.0,2737.0,2.96,9.06,6.72,-0.1,-0.1,-0.14,d
3051.0,4095.0,4095.0,3383.0,4095.0,2583.0,2987.0,2739.0,2.9,9.26,6.64,-0.05,-0.08,-0.15,d
3043.0,4095.0,4095.0,3373.0,4095.0,2559.0,2969.0,2729.0,2.84,9.32,6.63,-0.09,-0.04,-0.17,d
3048.0,4095.0,4095.0,3349.0,4095.0,2559.0,2947.0,2726.0,2.92,9.25,6.81,-0.05,-0.04,-0.14,d
3039.0,4095.0,4095.0,3305.0,4095.0,2546.0,2918.0,2714.0,3.0,9.22,6.77,-0.04,-0.01,-0.1,d
3051.0,4095.0,4095.0,3317.0,4095.0,2549.0,2915.0,2724.0,2.98,9.24,6.88,-0.05,-0.07,-0.16,d
3052.0,4095.0,4095.0,3313.0,4095.0,2554.0,2902.0,2726.0,3.07,9.12,6.92,-0.03,-0.03,-0.18,d
3031.0,4095.0,4095.0,3306.0,4095.0,2546.0,2890.0,2724.0,2.9,9.19,6.8,-0.04,-0.03,-0.2,d
3050.0,4095.0,4095.0,3318.0,4095.0,2559.0,2897.0,2737.0,2.81,9.08,7.16,0.06,-0.03,-0.17,d
3046.0,4095.0,4095.0,3415.0,4095.0,2633.0,2994.0,2774.0,2.87,9.15,6.88,0.12,-0.07,-0.17,d
3054.0,4095.0,4095.0,3635.0,4095.0,2731.0,3142.0,2833.0,2.88,9.25,6.74,0.07,-0.1,-0.11,d
3055.0,4095.0,4071.0,4036.0,4095.0,2815.0,3246.0,2880.0,2.93,9.16,6.52,0.07,0.15,-0.06,d
3040.0,4095.0,4049.0,4053.0,4095.0,2902.0,3323.0,2897.0,2.8,9.23,6.69,0.07,-0.01,-0.1,d
3056.0,4095.0,4009.0,4095.0,4095.0,2941.0,3345.0,2915.0,2.99,9.24,6.6,0.05,-0.22,-0.13,d
3052.0,4095.0,3974.0,4095.0,4095.0,2971.0,3366.0,2922.0,3.1,9.18,6.65,0.02,-0.11,-0.12,d
3047.0,4095.0,3948.0,4095.0,4095.0,2997.0,3389.0,2928.0,3.08,9.22,6.57,0.02,-0.03,-0.1,d
3038.0,4095.0,3970.0,4095.0,4095.0,3002.0,3393.0,2937.0,3.2,9.13,6.62,-0.03,-0.0,-0.14,d
3039.0,4095.0,3947.0,4095.0,4095.0,2997.0,3387.0,2939.0,3.07,9.18,6.83,0.03,0.0,-0.15,d
3044.0,4095.0,3952.0,4095.0,4095.0,2993.0,3390.0,2935.0,3.02,9.13,6.63,0.0,0.09,-0.12,d
3059.0,4095.0,3973.0,4095.0,4095.0,2970.0,3390.0,2933.0,3.0,9.22,6.62,-0.03,-0.05,-0.14,d
3056.0,4095.0,4012.0,4095.0,4095.0,2950.0,3376.0,2926.0,3.1,9.13,6.73,-0.01,-0.03,-0.14,d
3056.0,4095.0,4016.0,4095.0,4095.0,2925.0,3349.0,2912.0,3.05,9.1,6.87,-0.0,-0.02,-0.12,d
3046.0,4095.0,4038.0,4095.0,4095.0,2905.0,3344.0,2911.0,2.9,9.21,6.63,0.03,-0.03,-0.14,d
3038.0,4095.0,4045.0,3911.0,4095.0,2882.0,3318.0,2901.0,2.98,9.21,6.63,0.06,-0.04,-0.12,d
3045.0,4095.0,4095.0,3779.0,4095.0,2833.0,3273.0,2890.0,3.22,9.12,6.79,0.09,-0.06,-0.13,d
3040.0,4095.0,4095.0,3633.0,4095.0,2782.0,3217.0,2866.0,3.21,9.14,6.72,0.24,-0.01,-0.21,d
3038.0,4095.0,4095.0,3569.0,4095.0,2728.0,3152.0,2842.0,3.22,9.26,6.35,0.1,-0.08,-0.19,d
3047.0,4095.0,4095.0,3539.0,4095.0,2706.0,3120.0,2837.0,3.13,9.31,6.29,-0.0,0.02,-0.18,d
3037.0,4095.0,4095.0,3509.0,4095.0,2694.0,3097.0,2846.0,2.98,9.25,6.45,-0.06,0.04,-0.12,d
3050.0,4095.0,4095.0,3504.0,4095.0,2684.0,3083.0,2842.0,3.16,9.25,6.65,-0.04,-0.01,-0.14,d
3045.0,4095.0,4095.0,3490.0,4095.0,2684.0,3067.0,2845.0,3.15,9.18,6.62,-0.0,-0.02,-0.17,d
3035.0,4095.0,4095.0,3479.0,4095.0,2672.0,3041.0,2832.0,3.1,9.19,6.47,-0.0,0.06,-0.17,d
3040.0,4095.0,4095.0,3502.0,4095.0,2674.0,3047.0,2832.0,3.12,9.22,6.57,0.01,0.04,-0.18,d
3043.0,4095.0,4095.0,3521.0,4095.0,2693.0,3067.0,2842.0,3.02,9.13,6.54,0.0,0.15,-0.12,d
3030.0,4095.0,4095.0,3536.0,4095.0,2721.0,3103.0,2851.0,2.89,9.24,6.64,0.11,0.01,-0.15,d
3047.0,4095.0,4095.0,3526.0,4095.0,2746.0,3136.0,2853.0,3.12,9.27,6.31,-0.07,-0.02,-0.12,d
3045.0,4095.0,4095.0,3547.0,4095.0,2789.0,3170.0,2864.0,3.13,9.23,6.45,-0.05,0.07,-0.08,d
3041.0,4095.0,4095.0,3566.0,4095.0,2809.0,3190.0,2877.0,2.98,9.14,6.67,0.0,0.03,-0.1,d
3039.0,4095.0,4095.0,3575.0,4095.0,2810.0,3191.0,2882.0,2.97,9.28,6.62,0.01,-0.08,-0.11,d
3053.0,4095.0,4095.0,3599.0,4095.0,2811.0,3200.0,2883.0,3.12,9.13,6.52,-0.0,-0.05,-0.09,d
3039.0,4095.0,4095.0,3600.0,4095.0,2811.0,3194.0,2887.0,3.22,9.29,6.34,-0.11,0.05,-0.06,d
3028.0,4095.0,4095.0,3600.0,4095.0,2811.0,3196.0,2896.0,3.25,8.94,6.93,-0.02,0.1,-0.11,d
3025.0,4095.0,4095.0,3598.0,4095.0,2797.0,3179.0,2893.0,3.22,9.05,6.8,-0.11,0.12,-0.08,d
3046.0,4095.0,4095.0,3583.0,4095.0,2798.0,3175.0,2896.0,3.11,9.08,7.02,-0.03,0.08,-0.11,d
3027.0,4095.0,4095.0,3577.0,4095.0,2790.0,3177.0,2896.0,3.39,9.06,6.97,-0.0,-0.03,-0.13,d
3050.0,4095.0,4095.0,3583.0,4095.0,2786.0,3167.0,2891.0,3.37,9.18,6.75,-0.07,-0.01,-0.09,d
3042.0,4095.0,4095.0,3583.0,4095.0,2794.0,3175.0,2893.0,3.29,8.96,7.04,0.01,0.04,-0.14,d
3045.0,4095.0,4095.0,3583.0,4095.0,2785.0,3168.0,2889.0,3.43,9.07,6.92,-0.01,-0.03,-0.15,d
3033.0,4095.0,4095.0,3583.0,4095.0,2783.0,3163.0,2886.0,3.34,9.06,6.96,0.06,-0.01,-0.18,d
3045.0,4095.0,4095.0,3570.0,4095.0,2768.0,3152.0,2878.0,3.31,9.12,6.72,0.02,-0.01,-0.14,d
3031.0,4095.0,4095.0,3568.0,4095.0,2716.0,3103.0,2853.0,3.38,8.99,6.86,0.0,0.06,-0.15,d
3041.0,4095.0,4095.0,3553.0,4095.0,2671.0,3042.0,2805.0,3.17,9.07,6.96,-0.03,0.17,-0.13,d
