hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3083.0,4064.0,2692.0,4095.0,4095.0,1744.0,3043.0,2763.0,-0.96,8.84,8.24,0.22,0.16,0.08,0.0,d
3071.0,4094.0,2704.0,4095.0,4095.0,1748.0,3037.0,2763.0,-0.48,9.05,8.19,-0.01,0.08,-0.0,0.0,d
3085.0,4095.0,2706.0,4095.0,4095.0,1714.0,3024.0,2772.0,-0.57,8.87,9.05,-0.08,-0.04,-0.1,0.0,d
3087.0,4075.0,2710.0,4095.0,4095.0,1758.0,3044.0,2799.0,-0.55,8.74,8.56,0.0,-0.09,-0.19,0.0,d
3088.0,4063.0,2717.0,4095.0,4095.0,1744.0,3044.0,2793.0,-1.01,8.62,8.93,-0.01,-0.1,-0.25,0.0,d
3081.0,4047.0,2721.0,4095.0,4095.0,1759.0,3051.0,2802.0,-0.74,8.57,9.06,-0.02,0.01,-0.12,0.0,d
3081.0,4065.0,2708.0,4095.0,4095.0,1758.0,3043.0,2798.0,-0.6,8.76,8.63,0.0,-0.08,-0.13,0.0,d
3063.0,4047.0,2702.0,4095.0,4095.0,1759.0,3036.0,2795.0,-0.63,8.78,8.88,0.02,-0.07,-0.26,0.0,d
3071.0,4065.0,2685.0,4095.0,4095.0,1761.0,3042.0,2803.0,-0.94,8.71,8.92,-0.03,-0.06,-0.27,0.0,d
3084.0,4027.0,2672.0,4095.0,4095.0,1749.0,3045.0,2803.0,-1.07,8.63,9.05,0.01,0.01,-0.16,0.0,d
3088.0,4031.0,2688.0,4095.0,4095.0,1757.0,3045.0,2812.0,-0.8,8.61,9.02,-0.01,-0.02,-0.15,0.0,d
3071.0,4011.0,2687.0,4095.0,4095.0,1744.0,3037.0,2803.0,-0.86,8.6,8.99,-0.02,-0.04,-0.16,0.0,d
3086.0,4017.0,2703.0,4095.0,4095.0,1759.0,3039.0,2823.0,-0.94,8.67,8.84,-0.01,0.0,-0.17,0.0,d
3083.0,4030.0,2694.0,4095.0,4095.0,1746.0,3030.0,2805.0,-0.84,8.52,9.19,-0.03,-0.02,-0.15,0.0,d
3081.0,4030.0,2699.0,4095.0,4095.0,1744.0,3042.0,2815.0,-0.7,8.62,9.03,-0.03,-0.04,-0.2,0.0,d
3070.0,3999.0,2690.0,4095.0,4095.0,1761.0,3039.0,2815.0,-1.08,8.58,9.28,-0.04,-0.03,-0.22,0.0,d
3089.0,4016.0,2699.0,4095.0,4095.0,1751.0,3045.0,2813.0,-0.85,8.64,9.34,-0.02,-0.09,-0.1,0.0,d
3079.0,3973.0,2691.0,4095.0,4095.0,1694.0,3036.0,2814.0,-1.88,8.81,9.72,-0.07,-0.35,0.22,0.0,d
3088.0,3996.0,2677.0,4095.0,4095.0,1742.0,3038.0,2811.0,0.74,8.09,7.98,0.05,-0.02,0.12,0.0,d
3095.0,3975.0,2686.0,4095.0,4095.0,1765.0,3049.0,2823.0,-0.37,8.44,9.84,-0.31,-0.2,-0.54,0.0,d
3086.0,3933.0,2643.0,4095.0,4095.0,1749.0,3042.0,2840.0,-0.64,8.4,9.51,0.03,0.02,-0.13,0.0,d
3067.0,3914.0,2641.0,4095.0,4095.0,1755.0,3031.0,2834.0,-0.63,8.24,9.59,-0.02,-0.03,-0.19,0.0,d
3084.0,3924.0,2656.0,4095.0,4095.0,1747.0,3043.0,2842.0,-0.89,8.26,9.71,0.04,-0.0,-0.18,0.0,d
3088.0,3925.0,2642.0,4095.0,4095.0,1744.0,3034.0,2839.0,-0.74,8.32,9.51,0.01,0.01,-0.14,0.0,d
3086.0,3919.0,2646.0,4095.0,4095.0,1760.0,3043.0,2838.0,-0.66,8.31,9.65,-0.01,-0.02,-0.16,0.0,d
3089.0,3933.0,2644.0,4095.0,4095.0,1754.0,3039.0,2842.0,-0.72,8.29,9.59,0.01,-0.07,-0.19,0.0,d
3088.0,3914.0,2653.0,4095.0,4095.0,1757.0,3041.0,2839.0,-0.74,8.27,9.62,0.0,0.01,-0.16,0.0,d
3088.0,3922.0,2647.0,4095.0,4095.0,1751.0,3034.0,2839.0,-0.74,8.3,9.67,0.01,-0.02,-0.17,0.0,d
3089.0,3925.0,2647.0,4095.0,4095.0,1729.0,3043.0,2841.0,-0.68,8.28,9.55,-0.01,-0.01,-0.17,0.0,d
3089.0,3935.0,2655.0,4095.0,4095.0,1751.0,3052.0,2847.0,-0.8,8.14,9.78,-0.06,-0.09,-0.21,0.0,d
3066.0,3935.0,2642.0,4095.0,4095.0,1744.0,3040.0,2837.0,-0.86,8.33,9.67,-0.08,-0.02,-0.2,0.0,d
3089.0,3919.0,2649.0,4095.0,4095.0,1761.0,3047.0,2851.0,-0.85,7.8,9.89,-0.01,0.04,-0.12,0.0,d
3071.0,3922.0,2640.0,4095.0,4095.0,1758.0,3041.0,2847.0,-0.62,8.1,10.22,-0.08,0.03,-0.14,0.0,d
3070.0,3902.0,2645.0,4095.0,4095.0,1759.0,3043.0,2851.0,-0.93,7.86,10.28,0.12,-0.03,-0.16,0.0,d
3071.0,3918.0,2625.0,4095.0,4095.0,1750.0,3041.0,2845.0,-0.79,8.11,9.32,0.02,0.02,-0.14,0.0,d
3088.0,3920.0,2619.0,4095.0,4095.0,1711.0,3046.0,2852.0,-1.12,8.0,9.8,0.0,0.07,-0.08,0.0,d
3070.0,3914.0,2609.0,4095.0,4095.0,1725.0,3040.0,2839.0,-0.65,8.18,9.92,-0.06,0.16,-0.05,0.0,d
3083.0,3907.0,2608.0,4095.0,4095.0,1727.0,3046.0,2844.0,-0.79,7.96,10.5,0.04,0.06,-0.07,0.0,d
3083.0,3903.0,2608.0,4095.0,4095.0,1759.0,3043.0,2836.0,-0.3,8.11,9.41,0.04,-0.04,-0.14,0.0,d
3088.0,3917.0,2608.0,4095.0,4095.0,1697.0,3041.0,2837.0,-0.82,8.17,10.08,-0.06,-0.15,-0.27,0.0,d
3086.0,3914.0,2606.0,4095.0,4095.0,1741.0,3045.0,2845.0,-0.82,8.45,9.43,0.07,-0.06,-0.18,0.0,d
3094.0,3915.0,2608.0,4095.0,4095.0,1761.0,3056.0,2855.0,-0.87,8.29,9.73,-0.02,-0.04,-0.16,0.0,d
3082.0,3901.0,2607.0,4095.0,4095.0,1747.0,3041.0,2843.0,-0.52,8.36,9.5,0.09,-0.02,-0.13,0.0,d
3071.0,3905.0,2608.0,4095.0,4095.0,1747.0,3049.0,2846.0,-0.75,8.36,9.48,-0.01,-0.04,-0.2,0.0,d
3088.0,3900.0,2608.0,4095.0,4095.0,1746.0,3056.0,2853.0,-0.75,8.4,9.47,0.0,0.01,-0.14,0.0,d
