hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3031.0,926.0,4095.0,3876.0,4095.0,2739.0,3219.0,2853.0,1.01,9.12,8.09,0.17,-0.14,-0.18,0.0,d
3026.0,927.0,4095.0,3866.0,4095.0,2745.0,3216.0,2849.0,0.52,8.98,8.31,-0.05,0.0,-0.24,0.0,d
3030.0,930.0,4095.0,3883.0,4095.0,2752.0,3222.0,2850.0,0.48,8.84,8.67,-0.09,-0.02,-0.18,0.0,d
3026.0,918.0,4095.0,3864.0,4095.0,2737.0,3209.0,2844.0,0.58,8.8,8.77,-0.05,-0.08,-0.16,0.0,d
3047.0,917.0,4095.0,3879.0,4095.0,2749.0,3217.0,2851.0,0.77,8.84,8.64,-0.0,-0.16,-0.16,0.0,d
3037.0,912.0,4095.0,3857.0,4095.0,2743.0,3213.0,2848.0,0.93,8.83,8.56,-0.03,-0.15,-0.18,0.0,d
3024.0,912.0,4095.0,3865.0,4095.0,2746.0,3216.0,2858.0,0.83,8.76,8.85,-0.0,-0.13,-0.17,0.0,d
3023.0,913.0,4095.0,3829.0,4095.0,2743.0,3210.0,2850.0,0.74,8.78,8.74,-0.02,-0.03,-0.14,0.0,d
3027.0,914.0,4095.0,3825.0,4095.0,2758.0,3212.0,2855.0,0.61,8.67,8.89,-0.05,-0.11,-0.04,0.0,d
3031.0,915.0,4095.0,3819.0,4095.0,2743.0,3201.0,2849.0,1.12,8.73,8.76,0.02,-0.15,-0.03,0.0,d
3027.0,909.0,4095.0,3843.0,4095.0,2746.0,3205.0,2846.0,1.38,8.72,8.67,-0.02,-0.08,0.03,0.0,d
3040.0,916.0,4095.0,3867.0,4095.0,2754.0,3216.0,2864.0,1.51,8.68,8.78,-0.03,-0.06,0.03,0.0,d
3024.0,915.0,4095.0,3852.0,4095.0,2752.0,3210.0,2858.0,1.66,8.63,8.88,-0.03,-0.12,-0.01,0.0,d
3034.0,911.0,4095.0,3873.0,4095.0,2753.0,3214.0,2858.0,1.82,8.58,8.81,-0.06,-0.06,0.03,0.0,d
