hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2931.0,4095.0,3989.0,3491.0,4095.0,3456.0,3723.0,3983.0,-0.26,7.21,7.17,-0.05,-0.05,-0.04,1.0,d
2933.0,4095.0,4001.0,3495.0,4095.0,3461.0,3728.0,4016.0,-0.24,7.2,7.29,0.02,-0.0,-0.04,1.0,d
2939.0,4095.0,4006.0,3497.0,4095.0,3446.0,3711.0,4030.0,-0.4,7.32,7.09,0.03,-0.03,-0.05,1.0,d
2930.0,4095.0,4013.0,3500.0,4095.0,3457.0,3725.0,4030.0,-0.3,7.39,7.03,-0.03,-0.08,-0.02,1.0,d
2933.0,4095.0,4004.0,3503.0,4095.0,3451.0,3712.0,4016.0,-0.13,7.34,7.18,-0.03,-0.02,0.01,1.0,d
2941.0,4095.0,4003.0,3503.0,4095.0,3452.0,3715.0,4016.0,-0.05,7.44,7.02,0.01,-0.07,-0.01,1.0,d
2927.0,4095.0,3984.0,3493.0,4095.0,3457.0,3728.0,3983.0,0.02,7.48,7.02,-0.01,-0.09,-0.04,1.0,d
2943.0,4095.0,4015.0,3504.0,4095.0,3456.0,3728.0,3968.0,-0.03,7.49,6.94,-0.01,-0.01,-0.0,1.0,d
2942.0,4095.0,3997.0,3503.0,4095.0,3445.0,3728.0,3953.0,-0.02,7.47,6.98,-0.05,-0.02,-0.03,1.0,d
2942.0,4095.0,4001.0,3494.0,4095.0,3456.0,3731.0,3985.0,0.13,7.52,6.93,-0.08,-0.04,-0.03,1.0,d
2934.0,4095.0,3994.0,3490.0,4095.0,3456.0,3742.0,3989.0,0.06,7.44,7.13,-0.05,0.0,-0.03,1.0,d
2933.0,4095.0,3994.0,3503.0,4095.0,3455.0,3735.0,3991.0,0.04,7.56,6.84,-0.04,-0.03,-0.03,1.0,d
2951.0,4095.0,4015.0,3516.0,4095.0,3472.0,3728.0,4023.0,0.09,7.55,6.84,-0.06,0.04,-0.03,1.0,d
2928.0,4095.0,3985.0,3504.0,4095.0,3462.0,3726.0,4020.0,-0.02,7.46,7.0,-0.09,-0.01,-0.05,1.0,d
2933.0,4095.0,4003.0,3511.0,4095.0,3461.0,3714.0,4015.0,-0.04,7.44,7.03,-0.07,-0.04,-0.03,1.0,d
2939.0,4095.0,3995.0,3507.0,4095.0,3440.0,3728.0,4003.0,0.14,7.48,6.99,-0.06,-0.0,0.01,1.0,d
2934.0,4095.0,4007.0,3503.0,4095.0,3461.0,3741.0,4039.0,0.22,7.41,7.09,-0.03,-0.04,-0.02,1.0,d
2929.0,4095.0,4014.0,3502.0,4095.0,3456.0,3725.0,4033.0,0.26,7.57,6.81,-0.04,-0.02,-0.04,1.0,d
2939.0,4095.0,4010.0,3513.0,4095.0,3471.0,3745.0,4058.0,0.19,7.55,6.88,-0.08,-0.0,-0.03,1.0,d
2928.0,4095.0,3969.0,3504.0,4095.0,3453.0,3730.0,4035.0,0.14,7.44,7.03,-0.11,0.02,-0.02,1.0,d
2931.0,4095.0,3989.0,3511.0,4095.0,3456.0,3719.0,4043.0,0.03,7.43,7.04,-0.07,-0.01,-0.05,1.0,d
2944.0,4095.0,4013.0,3537.0,4095.0,3461.0,3728.0,4073.0,0.12,7.4,7.08,-0.08,-0.01,-0.01,1.0,d
2933.0,4095.0,3994.0,3495.0,4095.0,3449.0,3728.0,4068.0,0.23,7.37,7.12,-0.07,-0.01,-0.03,1.0,d
2949.0,4095.0,4005.0,3514.0,4095.0,3472.0,3739.0,4071.0,0.21,7.47,6.93,-0.07,0.04,-0.07,1.0,d
2943.0,4095.0,3995.0,3509.0,4095.0,3456.0,3715.0,4048.0,-0.04,7.32,7.18,-0.06,-0.0,-0.07,1.0,d
2933.0,4095.0,3989.0,3510.0,4095.0,3476.0,3761.0,4078.0,0.06,7.4,7.03,-0.08,-0.03,-0.02,1.0,d
2928.0,4095.0,3984.0,3503.0,4095.0,3466.0,3729.0,4063.0,0.24,7.41,7.08,-0.1,0.03,-0.02,1.0,d
2939.0,4095.0,4010.0,3513.0,4095.0,3481.0,3751.0,4080.0,0.18,7.18,7.39,-0.07,0.01,-0.03,1.0,d
2944.0,4095.0,3988.0,3511.0,4095.0,3463.0,3727.0,4062.0,0.26,7.42,7.21,0.01,0.02,-0.04,1.0,d
2945.0,4095.0,4000.0,3520.0,4095.0,3461.0,3742.0,4095.0,-0.06,7.41,6.98,-0.04,-0.01,-0.05,1.0,d
2951.0,4095.0,3984.0,3518.0,4095.0,3475.0,3744.0,4080.0,0.2,7.44,7.05,-0.04,0.06,-0.02,1.0,d
2930.0,4095.0,3968.0,3504.0,4095.0,3468.0,3739.0,4080.0,0.0,7.3,7.22,-0.04,-0.03,-0.07,1.0,d
2929.0,4095.0,4013.0,3520.0,4095.0,3471.0,3729.0,4086.0,0.09,7.43,7.02,-0.02,-0.02,-0.02,1.0,d
2940.0,4095.0,3980.0,3498.0,4095.0,3460.0,3730.0,4069.0,0.11,7.41,7.13,-0.03,-0.0,-0.05,1.0,d
2933.0,4095.0,4021.0,3529.0,4095.0,3474.0,3746.0,4086.0,0.06,7.47,6.98,-0.01,-0.02,-0.06,1.0,d
2935.0,4095.0,3985.0,3504.0,4095.0,3455.0,3727.0,4061.0,0.01,7.48,6.97,-0.03,-0.01,-0.07,1.0,d
2930.0,4095.0,3995.0,3525.0,4095.0,3475.0,3755.0,4075.0,-0.1,7.58,6.86,-0.06,-0.03,-0.08,1.0,d
2927.0,4095.0,3973.0,3504.0,4095.0,3463.0,3733.0,4075.0,-0.12,7.47,6.95,-0.07,0.04,-0.02,1.0,d
2938.0,4095.0,3987.0,3522.0,4095.0,3468.0,3731.0,4075.0,0.01,7.43,7.03,-0.05,-0.0,-0.03,1.0,d
2929.0,4095.0,3985.0,3517.0,4095.0,3456.0,3722.0,4050.0,0.08,7.52,6.92,-0.04,-0.02,-0.02,1.0,d
2939.0,4095.0,3994.0,3541.0,4095.0,3469.0,3735.0,4095.0,-0.27,7.38,7.11,-0.03,0.0,-0.05,1.0,d
2941.0,4095.0,3970.0,3527.0,4095.0,3468.0,3729.0,4091.0,-0.13,7.45,6.95,-0.05,0.01,-0.06,1.0,d
2934.0,4095.0,3973.0,3543.0,4095.0,3467.0,3756.0,4095.0,-0.19,7.47,6.91,-0.06,0.01,-0.04,1.0,d
2929.0,4095.0,3973.0,3536.0,4095.0,3466.0,3742.0,4093.0,-0.26,7.33,7.18,-0.08,0.01,-0.02,1.0,d
2933.0,4095.0,3994.0,3547.0,4095.0,3469.0,3759.0,4095.0,-0.08,7.43,7.0,-0.06,-0.04,-0.01,1.0,d
2933.0,4095.0,3984.0,3525.0,4095.0,3471.0,3748.0,4095.0,-0.05,7.48,6.88,-0.08,0.01,-0.04,1.0,d
2939.0,4095.0,3984.0,3547.0,4095.0,3472.0,3746.0,4095.0,-0.15,7.46,6.98,-0.07,0.03,-0.03,1.0,d
2937.0,4095.0,3967.0,3524.0,4095.0,3462.0,3739.0,4091.0,-0.14,7.25,7.29,-0.09,0.0,-0.03,1.0,d
2935.0,4095.0,3984.0,3530.0,4095.0,3471.0,3747.0,4095.0,-0.18,7.37,7.11,-0.03,-0.01,-0.04,1.0,d
2937.0,4095.0,3979.0,3531.0,4095.0,3469.0,3759.0,4095.0,-0.04,7.44,7.01,-0.04,-0.0,-0.01,1.0,d
