hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3056.0,4095.0,1184.0,3505.0,4095.0,2381.0,2624.0,2495.0,0.22,9.56,6.77,0.02,0.0,-0.19,0.0,d
3055.0,4095.0,1179.0,3499.0,4095.0,2366.0,2615.0,2489.0,0.15,9.61,6.77,0.03,0.01,-0.18,0.0,d
3042.0,4095.0,1184.0,3505.0,4095.0,2368.0,2618.0,2494.0,0.11,9.6,6.76,0.01,0.03,-0.16,0.0,d
3056.0,4095.0,1190.0,3515.0,4095.0,2370.0,2622.0,2493.0,0.17,9.59,6.66,0.05,0.02,-0.16,0.0,d
3053.0,4095.0,1182.0,3504.0,4095.0,2374.0,2635.0,2502.0,-0.03,9.59,6.71,0.02,0.0,-0.16,0.0,d
3039.0,4095.0,1191.0,3488.0,4095.0,2374.0,2626.0,2499.0,0.18,9.61,6.74,0.01,0.01,-0.14,0.0,d
3053.0,4095.0,1186.0,3505.0,4095.0,2369.0,2623.0,2498.0,0.12,9.63,6.75,0.02,0.0,-0.16,0.0,d
3051.0,4095.0,1184.0,3510.0,4095.0,2369.0,2624.0,2497.0,0.07,9.58,6.59,0.04,0.01,-0.14,0.0,d
3056.0,4095.0,1195.0,3524.0,4095.0,2375.0,2624.0,2506.0,-0.04,9.56,6.75,0.02,0.01,-0.14,0.0,d
3050.0,4095.0,1187.0,3518.0,4095.0,2373.0,2626.0,2503.0,0.27,9.43,6.67,-0.02,0.02,-0.12,0.0,d
3051.0,4095.0,1174.0,3516.0,4095.0,2380.0,2627.0,2502.0,0.21,9.72,6.67,0.11,0.03,-0.05,0.0,d
3051.0,4095.0,1199.0,3519.0,4095.0,2382.0,2629.0,2508.0,0.28,9.66,6.28,0.04,0.02,-0.2,0.0,d
3040.0,4095.0,1187.0,3515.0,4095.0,2380.0,2629.0,2508.0,-0.16,9.6,6.75,0.03,0.01,-0.13,0.0,d
3051.0,4095.0,1190.0,3507.0,4095.0,2383.0,2626.0,2502.0,0.38,9.74,6.38,0.07,0.0,-0.14,0.0,d
3055.0,4095.0,1193.0,3522.0,4095.0,2379.0,2633.0,2501.0,0.02,9.33,6.49,-0.09,0.04,-0.18,0.0,d
3042.0,4095.0,1197.0,3518.0,4095.0,2384.0,2638.0,2502.0,0.46,9.59,6.81,-0.13,-0.01,-0.14,0.0,d
3043.0,4095.0,1195.0,3518.0,4095.0,2383.0,2630.0,2509.0,0.24,9.83,6.97,-0.0,-0.04,-0.2,0.0,d
3056.0,4095.0,1198.0,3520.0,4095.0,2386.0,2638.0,2512.0,0.33,9.56,6.43,0.08,-0.09,-0.21,0.0,d
3047.0,4095.0,1189.0,3518.0,4095.0,2383.0,2641.0,2506.0,0.31,9.42,6.49,0.03,-0.03,-0.19,0.0,d
