hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2914.0,3280.0,3087.0,3805.0,4095.0,3231.0,3455.0,3439.0,-1.0,9.46,3.34,0.05,0.01,-0.06,1.0,d
2922.0,3280.0,3071.0,3792.0,4095.0,3236.0,3431.0,3479.0,-1.11,9.55,3.05,-0.03,-0.04,-0.06,1.0,d
2916.0,3266.0,3071.0,3792.0,4095.0,3223.0,3428.0,3645.0,-1.14,9.48,3.14,0.0,-0.02,-0.02,1.0,d
2927.0,3258.0,3084.0,3803.0,4095.0,3216.0,3418.0,3722.0,-1.12,9.56,3.19,0.03,0.02,-0.02,1.0,d
2925.0,3270.0,3088.0,3810.0,4095.0,3216.0,3423.0,3683.0,-1.03,9.49,2.96,-0.07,0.01,-0.02,1.0,d
2919.0,3259.0,3085.0,3806.0,4095.0,3226.0,3437.0,3733.0,-1.07,9.55,3.12,-0.1,-0.02,-0.02,1.0,d
2915.0,3254.0,3084.0,3798.0,4095.0,3223.0,3427.0,3743.0,-1.09,9.44,3.29,-0.03,-0.05,-0.04,1.0,d
2927.0,3262.0,3067.0,3794.0,4095.0,3216.0,3419.0,3799.0,-1.07,9.51,3.17,-0.02,-0.01,-0.03,1.0,d
2926.0,3256.0,3089.0,3807.0,4095.0,3210.0,3440.0,3839.0,-1.07,9.48,3.1,-0.08,0.01,-0.03,1.0,d
2915.0,3257.0,3083.0,3809.0,4095.0,3202.0,3423.0,3818.0,-0.98,9.49,3.27,-0.06,-0.01,-0.02,1.0,d
2928.0,3227.0,3069.0,3915.0,4095.0,3184.0,3423.0,3834.0,-1.12,9.51,3.3,0.02,-0.12,-0.03,1.0,d
2920.0,3236.0,3083.0,4005.0,4095.0,3184.0,3425.0,3845.0,-0.96,9.65,3.0,-0.09,0.02,-0.03,1.0,d
2923.0,3248.0,3071.0,4081.0,4095.0,3202.0,3438.0,3864.0,-0.92,9.53,3.26,-0.08,0.08,0.02,1.0,d
2928.0,3222.0,3085.0,4095.0,4095.0,3272.0,3527.0,3820.0,-1.22,9.34,3.29,0.28,0.03,0.04,1.0,d
2930.0,3221.0,3058.0,4095.0,4095.0,3314.0,3619.0,3529.0,-0.99,9.63,2.78,0.28,-0.14,-0.04,1.0,d
2921.0,3200.0,3071.0,4095.0,4095.0,3299.0,3628.0,3637.0,-0.68,9.65,2.65,0.06,-0.08,-0.09,1.0,d
2921.0,3198.0,3071.0,4095.0,4095.0,3307.0,3647.0,3599.0,-0.92,9.8,2.61,0.08,0.01,-0.04,1.0,d
2915.0,3198.0,3060.0,4095.0,4095.0,3287.0,3669.0,3526.0,-0.97,9.6,2.52,0.0,-0.02,-0.01,1.0,d
2926.0,3201.0,3054.0,4095.0,4095.0,3298.0,3697.0,3621.0,-0.99,9.62,2.62,-0.08,-0.04,-0.04,1.0,d
2925.0,3196.0,3056.0,4095.0,4095.0,3314.0,3696.0,3607.0,-0.97,9.62,2.66,-0.03,0.02,-0.03,1.0,d
2922.0,3198.0,3057.0,4095.0,4095.0,3327.0,3680.0,3635.0,-0.99,9.67,2.66,-0.05,0.01,-0.04,1.0,d
2924.0,3202.0,3059.0,4095.0,4095.0,3309.0,3648.0,3744.0,-0.99,9.7,2.65,-0.06,-0.04,-0.07,1.0,d
2930.0,3206.0,3058.0,4095.0,4095.0,3301.0,3622.0,3763.0,-1.0,9.61,2.6,-0.07,-0.07,0.0,1.0,d
2930.0,3199.0,3062.0,4095.0,4095.0,3253.0,3573.0,3582.0,-0.94,9.55,2.74,0.02,0.0,-0.05,1.0,d
2928.0,3213.0,3067.0,4095.0,4095.0,3238.0,3531.0,3802.0,-1.09,9.78,2.48,-0.12,-0.06,-0.05,1.0,d
2928.0,3209.0,3081.0,4095.0,4095.0,3181.0,3431.0,3832.0,-1.0,9.67,2.61,-0.12,-0.27,-0.0,1.0,d
2928.0,3241.0,3069.0,4095.0,4095.0,3091.0,3323.0,3786.0,-0.81,9.71,2.76,-0.1,-0.13,-0.0,1.0,d
2934.0,3237.0,3068.0,4095.0,4095.0,3067.0,3307.0,3739.0,-0.81,9.56,2.82,-0.18,-0.06,0.0,1.0,d
2939.0,3235.0,3059.0,4079.0,4095.0,3042.0,3282.0,3728.0,-0.95,9.56,2.94,-0.09,0.03,0.01,1.0,d
2942.0,3231.0,3070.0,3919.0,4095.0,3024.0,3269.0,3696.0,-0.75,9.65,2.83,-0.04,-0.06,-0.03,1.0,d
2924.0,3222.0,3059.0,3683.0,4095.0,2978.0,3245.0,3669.0,-0.79,9.71,2.84,-0.06,-0.03,-0.03,1.0,d
2937.0,3206.0,3071.0,3518.0,4095.0,2971.0,3234.0,3702.0,-0.77,9.62,2.84,-0.06,-0.01,-0.01,1.0,d
2928.0,3218.0,3083.0,3476.0,4095.0,2973.0,3226.0,3714.0,-0.71,9.64,2.95,-0.0,-0.05,-0.01,1.0,d
2935.0,3215.0,3071.0,3405.0,4095.0,2960.0,3227.0,3696.0,-0.92,9.64,2.72,-0.03,0.07,-0.01,1.0,d
2928.0,3216.0,3069.0,3357.0,4095.0,2960.0,3220.0,3681.0,-0.81,9.67,2.71,-0.09,0.02,0.0,1.0,d
2938.0,3216.0,3081.0,3297.0,4095.0,2929.0,3198.0,3664.0,-0.7,9.66,2.77,-0.08,0.07,-0.03,1.0,d
2934.0,3211.0,3089.0,3248.0,4095.0,2928.0,3181.0,3634.0,-0.8,9.68,2.69,-0.12,-0.01,-0.01,1.0,d
2928.0,3210.0,3085.0,3226.0,4095.0,2911.0,3177.0,3635.0,-0.8,9.63,2.81,-0.14,0.03,-0.01,1.0,d
2928.0,3203.0,3100.0,3174.0,4095.0,2891.0,3152.0,3583.0,-0.75,9.64,2.94,-0.11,-0.0,0.01,1.0,d
2934.0,3206.0,3091.0,3137.0,4095.0,2875.0,3141.0,3568.0,-0.62,9.72,2.89,-0.04,0.01,0.02,1.0,d
2928.0,3221.0,3104.0,3152.0,4095.0,2883.0,3157.0,3561.0,-0.6,9.7,2.79,-0.07,0.03,-0.0,1.0,d
2935.0,3216.0,3100.0,3155.0,4095.0,2887.0,3149.0,3582.0,-0.59,9.58,2.89,-0.06,0.02,0.01,1.0,d
2934.0,3213.0,3107.0,3173.0,4095.0,2907.0,3148.0,3622.0,-0.69,9.6,3.0,-0.05,0.01,0.02,1.0,d
2931.0,3226.0,3108.0,3199.0,4095.0,2905.0,3153.0,3534.0,-0.61,9.65,2.96,-0.02,-0.03,-0.02,1.0,d
2943.0,3238.0,3119.0,3216.0,4095.0,2915.0,3158.0,3472.0,-0.68,9.63,2.78,-0.01,0.02,-0.01,1.0,d
2935.0,3249.0,3091.0,3223.0,4095.0,2931.0,3155.0,3364.0,-0.62,9.66,2.68,-0.02,0.0,-0.01,1.0,d
2930.0,3278.0,3091.0,3245.0,4095.0,2934.0,3154.0,3371.0,-0.45,9.73,2.74,-0.08,-0.06,-0.06,1.0,d
2928.0,3289.0,3104.0,3248.0,4095.0,2928.0,3154.0,3366.0,-0.62,9.72,2.72,-0.06,0.0,-0.05,1.0,d
2928.0,3319.0,3038.0,3247.0,4095.0,2930.0,3145.0,3238.0,-0.56,9.7,2.85,-0.06,-0.15,-0.08,1.0,d
2930.0,3407.0,2842.0,3248.0,4095.0,2944.0,3139.0,3472.0,-0.75,9.59,2.98,-0.13,-0.12,-0.0,1.0,d
2930.0,3449.0,2691.0,3250.0,4095.0,2950.0,3148.0,3526.0,-0.61,9.64,2.91,-0.08,-0.02,-0.01,1.0,d
2931.0,3441.0,2638.0,3269.0,4095.0,2945.0,3154.0,3456.0,-0.42,9.7,2.97,-0.05,-0.03,-0.08,1.0,d
2927.0,3466.0,2736.0,3261.0,4095.0,2950.0,3134.0,3583.0,-0.5,9.6,2.81,-0.12,0.02,-0.14,1.0,d
2931.0,3518.0,2862.0,3258.0,4095.0,2947.0,3111.0,3526.0,-0.64,9.62,2.95,-0.09,-0.01,-0.05,1.0,d
2925.0,3557.0,3028.0,3263.0,4095.0,2944.0,3114.0,3391.0,-0.68,9.61,2.98,-0.07,-0.08,-0.06,1.0,d
2923.0,3575.0,3408.0,3264.0,4095.0,2957.0,3107.0,3475.0,-0.55,9.7,3.01,-0.09,-0.02,-0.01,1.0,d
2928.0,3598.0,3561.0,3271.0,4095.0,2953.0,3119.0,3451.0,-0.7,9.57,3.08,-0.07,0.09,-0.01,1.0,d
2931.0,3625.0,3726.0,3263.0,4095.0,2957.0,3120.0,3524.0,-0.6,9.55,3.12,-0.09,-0.01,-0.0,1.0,d
2934.0,3618.0,4037.0,3269.0,4095.0,2951.0,3130.0,3522.0,-0.6,9.63,3.0,-0.05,-0.01,-0.03,1.0,d
2928.0,3639.0,4095.0,3275.0,4095.0,2958.0,3127.0,3522.0,-0.63,9.58,2.98,-0.07,-0.01,-0.01,1.0,d
2933.0,3623.0,4095.0,3287.0,4095.0,2960.0,3126.0,3553.0,-0.57,9.61,3.04,-0.06,0.02,-0.03,1.0,d
2918.0,3606.0,4095.0,3286.0,4095.0,2957.0,3125.0,3571.0,-0.5,9.62,3.04,-0.03,0.0,-0.04,1.0,d
2929.0,3611.0,4095.0,3302.0,4095.0,2970.0,3130.0,3550.0,-0.57,9.72,2.94,-0.07,-0.01,-0.05,1.0,d
2937.0,3583.0,4095.0,3309.0,4095.0,2975.0,3155.0,3619.0,-0.64,9.55,3.13,-0.04,-0.02,-0.04,1.0,d
2935.0,3567.0,4050.0,3352.0,4095.0,2992.0,3166.0,3654.0,-0.56,9.64,3.04,0.03,0.01,-0.06,1.0,d
2928.0,3538.0,3931.0,3406.0,4095.0,3025.0,3202.0,3706.0,-0.56,9.72,2.78,-0.02,0.02,-0.04,1.0,d
2926.0,3536.0,3802.0,3479.0,4095.0,3057.0,3233.0,3721.0,-0.57,9.69,2.83,-0.05,-0.02,-0.06,1.0,d
2924.0,3536.0,3696.0,3579.0,4095.0,3102.0,3257.0,3750.0,-0.47,9.66,3.02,-0.04,-0.03,-0.11,1.0,d
2930.0,3511.0,3625.0,3661.0,4095.0,3138.0,3310.0,3753.0,-0.68,9.63,2.86,-0.07,-0.05,-0.07,1.0,d
2931.0,3512.0,3567.0,3695.0,4095.0,3152.0,3314.0,3756.0,-0.73,9.66,3.0,-0.03,-0.06,-0.09,1.0,d
2926.0,3492.0,3536.0,3712.0,4095.0,3169.0,3329.0,3730.0,-0.78,9.62,2.9,-0.08,-0.01,-0.1,1.0,d
