hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2924.0,3104.0,3177.0,3825.0,4095.0,3185.0,3330.0,3321.0,-0.87,9.22,3.99,-0.05,0.01,-0.04,1.0,d
2914.0,3107.0,3169.0,3826.0,4095.0,3190.0,3341.0,3363.0,-1.07,9.19,3.96,-0.09,-0.03,-0.03,1.0,d
2922.0,3109.0,3152.0,3808.0,4095.0,3189.0,3330.0,3344.0,-0.88,9.27,4.0,-0.07,0.0,-0.03,1.0,d
2928.0,3098.0,3170.0,3834.0,4095.0,3194.0,3351.0,3354.0,-0.87,9.28,3.85,-0.11,-0.02,-0.02,1.0,d
2915.0,3101.0,3157.0,3829.0,4095.0,3195.0,3340.0,3354.0,-0.91,9.23,3.97,-0.09,0.04,-0.04,1.0,d
2928.0,3101.0,3169.0,3829.0,4095.0,3184.0,3333.0,3345.0,-0.93,9.21,4.04,-0.07,0.0,-0.04,1.0,d
2915.0,3066.0,3173.0,3815.0,4095.0,3186.0,3335.0,3376.0,-0.86,9.25,4.01,-0.05,-0.02,-0.04,1.0,d
2919.0,3024.0,3161.0,3825.0,4095.0,3180.0,3321.0,3390.0,-0.95,9.26,4.06,0.03,0.04,-0.05,1.0,d
2928.0,2989.0,3165.0,3866.0,4095.0,3172.0,3312.0,3389.0,-0.79,9.3,3.91,-0.02,0.04,-0.02,1.0,d
2928.0,2995.0,3184.0,3877.0,4095.0,3178.0,3302.0,3568.0,-0.92,9.31,3.84,-0.03,-0.04,-0.05,1.0,d
2928.0,3097.0,3161.0,3856.0,4095.0,3174.0,3310.0,3574.0,-1.0,9.18,3.89,-0.09,-0.04,-0.03,1.0,d
2918.0,3105.0,3183.0,3873.0,4095.0,3173.0,3322.0,3558.0,-0.99,9.23,3.88,-0.06,-0.01,-0.01,1.0,d
2921.0,3095.0,3169.0,3873.0,4095.0,3181.0,3339.0,3571.0,-0.95,9.15,4.09,-0.08,-0.01,-0.03,1.0,d
2915.0,3105.0,3182.0,3879.0,4095.0,3156.0,3339.0,3600.0,-0.88,9.26,3.93,-0.08,0.01,-0.03,1.0,d
2928.0,3119.0,3167.0,3872.0,4095.0,3173.0,3337.0,3581.0,-0.97,9.22,3.99,-0.07,-0.02,-0.03,1.0,d
2930.0,3153.0,3174.0,3872.0,4095.0,3183.0,3325.0,3600.0,-0.97,9.21,3.93,-0.1,0.02,-0.01,1.0,d
2917.0,3152.0,3162.0,3885.0,4095.0,3187.0,3323.0,3583.0,-0.9,9.32,3.96,-0.07,-0.0,-0.04,1.0,d
2928.0,3103.0,3168.0,3886.0,4095.0,3178.0,3317.0,3599.0,-0.92,9.28,3.95,-0.05,0.01,-0.03,1.0,d
2915.0,3100.0,3167.0,3867.0,4095.0,3183.0,3330.0,3621.0,-0.85,9.28,3.9,-0.08,-0.01,-0.03,1.0,d
2919.0,3093.0,3169.0,3889.0,4095.0,3177.0,3335.0,3606.0,-0.92,9.23,4.04,-0.08,-0.0,-0.02,1.0,d
2901.0,3440.0,3067.0,3779.0,4095.0,3069.0,3244.0,3566.0,-0.44,9.08,4.41,-0.04,-0.03,-0.07,1.0,d
2913.0,3519.0,3058.0,3790.0,4095.0,3066.0,3237.0,3566.0,-0.65,9.01,4.51,-0.08,-0.06,-0.08,1.0,d
2922.0,3445.0,3071.0,3799.0,4095.0,3069.0,3235.0,3601.0,-0.64,9.08,4.49,-0.09,-0.04,-0.06,1.0,d
2905.0,3440.0,3067.0,3792.0,4095.0,3068.0,3242.0,3616.0,-0.57,9.05,4.55,-0.09,-0.01,-0.07,1.0,d
2911.0,3443.0,3063.0,3796.0,4095.0,3071.0,3234.0,3644.0,-0.73,9.02,4.5,-0.09,-0.0,-0.05,1.0,d
2919.0,3413.0,3061.0,3795.0,4095.0,3067.0,3248.0,3629.0,-0.57,9.0,4.64,-0.09,-0.0,-0.04,1.0,d
