hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3037.0,928.0,2448.0,3792.0,4095.0,2725.0,3472.0,3312.0,0.37,9.31,9.08,-0.14,-0.46,-0.38,0.0,d
3033.0,916.0,2448.0,3794.0,4095.0,2729.0,3473.0,3318.0,0.39,9.36,8.68,0.04,-0.66,-0.68,0.0,d
3039.0,919.0,2448.0,3806.0,4095.0,2731.0,3475.0,3319.0,-0.78,9.45,8.48,0.21,-0.46,-0.62,0.0,d
3030.0,919.0,2455.0,3797.0,4095.0,2733.0,3472.0,3316.0,0.46,9.34,7.83,0.01,-1.01,-0.92,0.0,d
3031.0,919.0,2447.0,3795.0,4095.0,2727.0,3481.0,3326.0,-0.86,8.39,8.67,-0.0,-0.68,-0.87,0.0,d
3031.0,912.0,2459.0,3793.0,4095.0,2726.0,3471.0,3327.0,-2.15,8.14,9.84,0.07,-0.79,-0.8,0.0,d
3046.0,923.0,2457.0,3806.0,4095.0,2736.0,3481.0,3331.0,-1.9,7.92,9.33,0.35,-0.75,-0.79,0.0,d
3041.0,919.0,2448.0,3802.0,4095.0,2727.0,3474.0,3328.0,-2.92,8.44,9.1,0.37,-0.6,-0.55,0.0,d
3037.0,918.0,2447.0,3802.0,4095.0,2735.0,3475.0,3329.0,-0.92,8.5,8.06,0.31,-0.62,-0.51,0.0,d
3033.0,925.0,2448.0,3806.0,4095.0,2726.0,3472.0,3329.0,-1.06,8.42,8.1,0.06,-0.61,-0.69,0.0,d
3025.0,927.0,2445.0,3797.0,4095.0,2729.0,3478.0,3333.0,-1.27,7.88,8.45,0.01,-0.64,-0.93,0.0,d
3042.0,920.0,2448.0,3803.0,4095.0,2735.0,3482.0,3333.0,-3.85,7.92,9.22,-0.0,-0.47,-0.87,0.0,d
3038.0,922.0,2447.0,3793.0,4095.0,2733.0,3475.0,3329.0,-1.98,8.02,8.55,0.13,-0.5,-0.64,0.0,d
