hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
8.0,2281.0,2928.0,2736.0,2823.0,3151.0,2243.0,2833.0,2.93,8.5,3.59,-0.01,-0.16,-0.06,e
209.0,2273.0,2905.0,2727.0,2813.0,3141.0,2234.0,2826.0,2.57,8.2,3.95,0.04,0.04,-0.11,e
603.0,2271.0,2919.0,2739.0,2819.0,3149.0,2237.0,2826.0,2.55,8.53,3.65,0.05,0.01,-0.11,e
1442.0,2263.0,2913.0,2735.0,2818.0,3149.0,2240.0,2832.0,2.18,8.48,3.83,-0.0,0.07,-0.15,e
385.0,2267.0,2910.0,2750.0,2815.0,3143.0,2240.0,2829.0,2.07,8.31,4.12,0.03,0.13,-0.03,e
0.0,2273.0,2926.0,2767.0,2815.0,3150.0,2239.0,2834.0,2.05,8.67,3.53,0.09,0.23,-0.01,e
0.0,2273.0,2922.0,2775.0,2810.0,3138.0,2229.0,2832.0,2.28,8.5,3.61,0.0,0.07,0.02,e
1106.0,2271.0,2913.0,2799.0,2832.0,3152.0,2240.0,2836.0,2.32,8.44,3.76,-0.12,-0.13,-0.02,e
686.0,2273.0,2913.0,2800.0,2838.0,3151.0,2251.0,2842.0,2.32,8.29,3.99,-0.14,-0.14,-0.06,e
433.0,2270.0,2927.0,2816.0,2859.0,3167.0,2256.0,2851.0,2.34,8.55,3.75,-0.13,-0.29,-0.04,e
105.0,2263.0,2914.0,2831.0,2862.0,3159.0,2263.0,2854.0,2.41,8.33,4.12,-0.07,-0.35,-0.08,e
7.0,2262.0,2912.0,2831.0,2874.0,3173.0,2279.0,2865.0,2.49,8.43,3.94,-0.07,-0.16,-0.02,e
131.0,2265.0,2914.0,2791.0,2885.0,3173.0,2279.0,2870.0,2.42,8.21,4.12,-0.12,0.02,0.09,e
390.0,2263.0,2908.0,2761.0,2895.0,3187.0,2300.0,2881.0,2.44,8.23,3.89,-0.07,0.0,0.04,e
455.0,2250.0,2903.0,2761.0,2896.0,3193.0,2307.0,2885.0,3.04,8.29,3.87,-0.15,-0.08,0.07,e
