hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2593.0,2688.0,1136.0,2381.0,3424.0,2498.0,2979.0,3265.0,0.73,9.94,2.07,-0.09,-0.1,-0.12,1.0,e
2586.0,2681.0,1138.0,2370.0,3425.0,2495.0,2973.0,3255.0,0.77,9.95,1.89,-0.18,0.0,-0.14,1.0,e
2589.0,2649.0,1132.0,2366.0,3430.0,2501.0,2986.0,3254.0,0.25,9.77,2.49,-0.24,0.03,-0.12,1.0,e
2559.0,2630.0,1121.0,2361.0,3414.0,2498.0,2972.0,3248.0,0.23,9.63,3.06,-0.19,0.06,-0.05,1.0,e
2593.0,2626.0,1136.0,2362.0,3425.0,2499.0,2977.0,3243.0,0.48,9.74,2.91,-0.09,-0.04,-0.04,1.0,e
2593.0,2620.0,1123.0,2362.0,3413.0,2496.0,2970.0,3215.0,0.64,9.69,2.84,-0.06,-0.09,-0.06,1.0,e
2598.0,2608.0,1130.0,2342.0,3424.0,2513.0,2987.0,3249.0,0.47,9.79,2.68,-0.08,-0.02,-0.06,1.0,e
2592.0,2608.0,1136.0,2343.0,3429.0,2505.0,2980.0,3248.0,0.39,9.74,2.72,-0.06,-0.07,-0.1,1.0,e
2599.0,2590.0,1129.0,2351.0,3427.0,2497.0,2982.0,3242.0,0.45,9.74,2.83,-0.09,-0.1,-0.12,1.0,e
2614.0,2559.0,1136.0,2354.0,3431.0,2506.0,2981.0,3236.0,0.19,9.85,2.56,-0.13,-0.15,-0.1,1.0,e
2640.0,2533.0,1136.0,2363.0,3415.0,2497.0,2981.0,3229.0,0.35,9.7,2.89,-0.13,-0.31,-0.09,1.0,e
2644.0,2482.0,1126.0,2377.0,3434.0,2500.0,2986.0,3242.0,0.22,9.59,3.17,-0.16,-0.09,-0.07,1.0,e
2645.0,2450.0,1109.0,2363.0,3424.0,2499.0,2983.0,3243.0,0.3,9.48,3.48,-0.14,-0.05,-0.04,1.0,e
2658.0,2441.0,1103.0,2371.0,3439.0,2503.0,2987.0,3248.0,0.14,9.33,3.47,-0.07,-0.13,-0.04,1.0,e
2667.0,2453.0,1102.0,2374.0,3427.0,2508.0,2988.0,3247.0,0.27,9.52,3.53,-0.12,0.02,-0.02,1.0,e
2689.0,2449.0,1095.0,2383.0,3439.0,2510.0,2993.0,3237.0,0.28,9.57,3.34,-0.05,0.08,0.02,1.0,e
2705.0,2436.0,1101.0,2380.0,3416.0,2501.0,2981.0,3251.0,0.33,9.61,3.31,-0.04,-0.05,0.01,1.0,e
2709.0,2423.0,1098.0,2381.0,3453.0,2511.0,2992.0,3249.0,0.46,9.58,3.38,-0.11,0.17,-0.01,1.0,e
2711.0,2422.0,1088.0,2378.0,3445.0,2503.0,2990.0,3249.0,0.36,9.45,3.61,0.01,-0.08,-0.03,1.0,e
2707.0,2432.0,1088.0,2375.0,3433.0,2502.0,2987.0,3250.0,0.47,9.57,3.43,-0.07,0.09,-0.03,1.0,e
