hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
1333.0,3166.0,3436.0,2497.0,3155.0,3403.0,2800.0,3363.0,-0.03,9.2,2.08,-0.2,0.12,0.02,e
1326.0,3173.0,3438.0,2502.0,3153.0,3399.0,2789.0,3337.0,0.23,9.29,2.18,0.03,0.17,0.07,e
1312.0,3167.0,3438.0,2503.0,3151.0,3389.0,2778.0,3306.0,0.06,9.22,1.95,-0.1,0.24,0.1,e
1330.0,3168.0,3431.0,2512.0,3150.0,3394.0,2783.0,3312.0,0.53,9.27,1.97,-0.14,0.14,0.05,e
1327.0,3165.0,3437.0,2533.0,3152.0,3396.0,2781.0,3313.0,-0.69,9.07,1.79,-0.17,0.67,0.05,e
1326.0,3161.0,3424.0,2534.0,3152.0,3399.0,2780.0,3319.0,0.53,9.32,2.6,-0.24,0.38,0.1,e
1329.0,3158.0,3440.0,2531.0,3157.0,3397.0,2783.0,3323.0,-0.26,8.98,2.87,-0.13,0.79,0.04,e
1328.0,3161.0,3434.0,2533.0,3162.0,3398.0,2789.0,3328.0,0.34,9.32,2.75,0.04,0.13,0.13,e
1328.0,3168.0,3429.0,2523.0,3164.0,3407.0,2789.0,3345.0,0.81,8.88,3.34,-0.04,0.25,0.05,e
1327.0,3189.0,3457.0,2511.0,3163.0,3427.0,2817.0,3405.0,0.04,9.48,2.94,0.14,0.31,-0.03,e
1333.0,3185.0,3441.0,2514.0,3167.0,3426.0,2823.0,3408.0,0.48,9.07,2.36,0.03,0.43,-0.08,e
1344.0,3279.0,3547.0,2522.0,3184.0,3514.0,2921.0,3509.0,0.43,9.51,1.59,0.04,1.16,-0.12,e
1362.0,3217.0,3477.0,2550.0,3191.0,3465.0,2876.0,3472.0,-0.59,9.17,2.16,0.05,0.78,0.02,e
1370.0,3249.0,3517.0,2555.0,3191.0,3503.0,2912.0,3517.0,-0.22,9.39,2.32,0.03,0.47,-0.01,e
1364.0,3338.0,3602.0,2546.0,3185.0,3600.0,2992.0,3603.0,-0.86,9.04,2.58,0.06,-0.21,0.01,e
1363.0,3411.0,3693.0,2547.0,3189.0,3670.0,3060.0,3683.0,-0.36,9.39,2.49,-0.05,0.07,-0.09,e
1355.0,3190.0,3442.0,2543.0,3186.0,3433.0,2846.0,3449.0,-0.78,9.33,2.23,0.24,0.21,0.04,e
1360.0,3180.0,3437.0,2532.0,3183.0,3421.0,2833.0,3440.0,-0.51,9.34,1.86,0.11,0.29,0.0,e
1355.0,3184.0,3434.0,2534.0,3184.0,3425.0,2839.0,3456.0,-0.68,9.51,1.77,0.24,0.08,0.09,e
1359.0,3202.0,3460.0,2540.0,3184.0,3445.0,2864.0,3489.0,0.02,9.33,1.71,-0.04,0.1,0.01,e
1355.0,3196.0,3450.0,2545.0,3182.0,3440.0,2853.0,3483.0,-0.23,9.5,1.59,-0.02,0.16,0.06,e
1353.0,3211.0,3469.0,2547.0,3184.0,3454.0,2865.0,3494.0,-0.11,9.2,1.83,-0.17,0.16,0.03,e
1355.0,3152.0,3456.0,2547.0,3184.0,3447.0,2857.0,3487.0,-0.23,9.5,1.97,0.01,0.11,0.04,e
1357.0,3163.0,3434.0,2551.0,3184.0,3412.0,2829.0,3459.0,-0.47,9.22,1.93,-0.08,0.14,0.03,e
1370.0,3184.0,3440.0,2544.0,3189.0,3434.0,2846.0,3479.0,-0.11,9.49,1.93,0.06,0.12,0.01,e
1375.0,3190.0,3449.0,2542.0,3205.0,3447.0,2866.0,3531.0,-0.4,9.4,1.89,-0.1,0.4,0.03,e
1392.0,3217.0,3486.0,2593.0,3217.0,3476.0,2902.0,3583.0,-0.46,9.45,1.73,-0.04,0.36,0.08,e
1399.0,3238.0,3493.0,2614.0,3221.0,3498.0,2918.0,3612.0,-0.17,9.43,1.73,0.05,0.04,-0.01,e
1406.0,3248.0,3511.0,2625.0,3227.0,3504.0,2922.0,3621.0,-0.21,9.33,1.78,-0.07,-0.17,-0.05,e
1394.0,3151.0,3397.0,2624.0,3230.0,3409.0,2823.0,3495.0,-0.34,9.5,1.91,0.04,-0.0,-0.06,e
1398.0,3245.0,3504.0,2623.0,3227.0,3507.0,2921.0,3565.0,-0.52,9.2,1.87,0.12,0.0,-0.01,e
1397.0,3267.0,3515.0,2617.0,3223.0,3521.0,2930.0,3567.0,-0.34,9.57,1.81,0.01,-0.04,-0.01,e
1402.0,3206.0,3457.0,2605.0,3233.0,3470.0,2883.0,3514.0,-0.39,9.33,1.87,0.06,-0.07,0.0,e
1405.0,3198.0,3455.0,2591.0,3234.0,3456.0,2870.0,3504.0,-0.25,9.44,1.77,-0.01,-0.06,0.04,e
1402.0,3190.0,3449.0,2583.0,3233.0,3453.0,2864.0,3502.0,-0.4,9.39,1.67,0.16,-0.0,0.02,e
1397.0,3185.0,3442.0,2592.0,3234.0,3456.0,2866.0,3498.0,-0.23,9.52,1.48,0.06,-0.1,-0.02,e
1411.0,3082.0,3301.0,2593.0,3233.0,3311.0,2717.0,3346.0,-0.17,9.45,1.51,0.09,-0.15,-0.07,e
1405.0,3184.0,3437.0,2587.0,3237.0,3454.0,2859.0,3485.0,-0.16,9.42,1.81,0.11,-0.12,-0.06,e
1394.0,3192.0,3449.0,2603.0,3237.0,3456.0,2867.0,3490.0,-0.23,9.57,1.21,0.13,-0.18,-0.09,e
1398.0,3202.0,3461.0,2591.0,3235.0,3472.0,2885.0,3510.0,-0.42,9.4,0.86,-0.13,-0.32,-0.09,e
1399.0,3191.0,3443.0,2559.0,3233.0,3455.0,2876.0,3504.0,-0.59,9.56,1.21,0.02,-0.47,0.0,e
1399.0,3201.0,3456.0,2535.0,3223.0,3472.0,2887.0,3518.0,-0.21,9.56,1.36,0.2,-0.54,0.02,e
1401.0,3177.0,3434.0,2525.0,3220.0,3423.0,2823.0,3440.0,-0.3,9.48,1.04,0.0,-0.08,-0.01,e
1405.0,3013.0,3259.0,2522.0,3209.0,3274.0,2666.0,3317.0,-0.02,9.51,1.14,0.1,-0.23,-0.01,e
1402.0,3187.0,3440.0,2513.0,3200.0,3442.0,2846.0,3472.0,0.09,9.48,1.17,-0.1,-0.05,-0.06,e
1399.0,3325.0,3583.0,2499.0,3207.0,3601.0,2989.0,3618.0,0.04,9.42,1.37,-0.05,0.07,-0.06,e
1406.0,3152.0,3409.0,2511.0,3221.0,3429.0,2828.0,3428.0,-0.64,9.65,1.04,-0.14,0.43,-0.09,e
1394.0,3156.0,3421.0,2554.0,3226.0,3431.0,2784.0,3381.0,0.07,9.82,1.07,-0.76,0.43,-0.07,e
1441.0,3136.0,3381.0,2624.0,3254.0,3408.0,2743.0,3299.0,-1.97,8.99,1.89,-0.5,0.31,0.08,e
1438.0,3133.0,3366.0,2640.0,3254.0,3385.0,2726.0,3252.0,-0.47,9.65,2.16,-0.21,-0.06,0.09,e
1447.0,3120.0,3362.0,2655.0,3262.0,3383.0,2720.0,3248.0,-0.24,9.28,1.96,-0.17,0.07,-0.01,e
1441.0,3109.0,3365.0,2659.0,3262.0,3387.0,2717.0,3248.0,0.05,9.28,2.18,-0.25,-0.1,-0.0,e
1441.0,3108.0,3369.0,2669.0,3266.0,3389.0,2713.0,3254.0,-0.15,9.39,2.27,-0.21,0.12,-0.05,e
1439.0,3108.0,3357.0,2672.0,3269.0,3389.0,2705.0,3248.0,-0.6,8.96,2.48,-0.17,0.08,-0.03,e
1444.0,3118.0,3353.0,2672.0,3274.0,3393.0,2742.0,3312.0,-0.78,9.14,2.07,-0.04,-0.0,-0.01,e
1426.0,3163.0,3371.0,2675.0,3294.0,3471.0,2849.0,3489.0,-0.13,9.77,2.26,-0.02,-0.13,0.03,e
1407.0,3179.0,3355.0,2672.0,3308.0,3490.0,2878.0,3606.0,-0.56,9.17,2.21,0.01,-0.19,-0.07,e
1361.0,3195.0,3356.0,2657.0,3302.0,3517.0,2919.0,3778.0,-0.1,9.44,2.27,0.05,0.05,-0.12,e
1371.0,3210.0,3369.0,2659.0,3309.0,3532.0,2950.0,3906.0,-0.62,9.13,2.14,-0.16,0.09,-0.03,e
1865.0,3216.0,3361.0,2672.0,3305.0,3549.0,2964.0,3939.0,-0.59,9.15,2.29,-0.11,-0.16,0.11,e
3729.0,3203.0,3345.0,2668.0,3312.0,3553.0,2971.0,3876.0,-0.34,9.05,2.5,-0.08,-0.19,0.25,e
4095.0,3198.0,3351.0,2639.0,3305.0,3558.0,2960.0,3760.0,0.16,9.43,2.56,-0.12,-0.36,0.09,e
4095.0,3198.0,3355.0,2644.0,3268.0,3514.0,2928.0,3760.0,-0.07,9.47,2.33,0.12,-0.17,0.07,e
4095.0,3202.0,3371.0,2653.0,3216.0,3469.0,2896.0,3790.0,0.22,9.52,2.32,-0.1,-0.19,-0.11,e
4095.0,3216.0,3399.0,2663.0,3198.0,3483.0,2932.0,3863.0,-0.58,9.07,2.12,-0.19,-0.16,0.01,e
3856.0,3150.0,3361.0,2668.0,3168.0,3467.0,2951.0,4007.0,0.18,9.47,2.62,-0.13,-0.4,0.07,e
3704.0,2894.0,3335.0,2663.0,3140.0,3429.0,2992.0,4095.0,-0.28,9.18,2.45,-0.23,0.01,-0.06,e
3853.0,2935.0,3412.0,2662.0,3152.0,3486.0,3088.0,4095.0,0.28,9.0,2.55,-0.09,-0.56,0.06,e
3971.0,2999.0,3507.0,2657.0,3178.0,3600.0,3171.0,4095.0,0.16,9.02,3.05,0.13,-0.36,0.11,e
4095.0,3035.0,3504.0,2662.0,3189.0,3600.0,3150.0,4095.0,0.03,9.37,2.86,-0.08,-0.04,0.1,e
4095.0,3071.0,3541.0,2654.0,3218.0,3612.0,3119.0,4095.0,0.36,9.02,2.96,0.17,-0.39,0.35,e
4095.0,2947.0,3381.0,2659.0,3246.0,3468.0,2881.0,3664.0,0.43,9.35,2.77,0.1,-0.16,0.16,e
4095.0,2969.0,3376.0,2647.0,3263.0,3466.0,2832.0,3511.0,0.34,9.33,2.68,0.18,-0.17,0.19,e
4095.0,2967.0,3354.0,2639.0,3263.0,3451.0,2822.0,3472.0,0.91,9.32,2.34,0.29,-0.28,0.13,e
4095.0,3035.0,3413.0,2623.0,3259.0,3493.0,2868.0,3501.0,2.48,9.06,1.82,0.28,-0.5,-0.06,e
4095.0,3248.0,3570.0,2615.0,3248.0,3481.0,2830.0,3493.0,1.82,9.26,0.89,-0.12,-0.59,-0.52,e
4095.0,3376.0,3703.0,2618.0,3254.0,3471.0,2797.0,3386.0,3.28,9.45,1.68,0.08,-0.92,-0.58,e
4095.0,3488.0,3719.0,2597.0,3247.0,3454.0,2739.0,3269.0,1.82,8.78,1.99,0.14,-0.68,-0.71,e
4095.0,3312.0,3466.0,2589.0,3227.0,3458.0,2736.0,3229.0,1.12,9.18,1.72,0.02,-0.15,-0.75,e
4095.0,3328.0,3467.0,2578.0,3184.0,3478.0,2752.0,3236.0,-0.58,9.32,1.67,0.62,-0.13,-0.6,e
4095.0,3177.0,3321.0,2617.0,3151.0,3373.0,2635.0,3164.0,-1.71,9.19,1.56,0.52,-0.73,-0.49,e
4095.0,3119.0,3338.0,2624.0,3135.0,3440.0,2730.0,3280.0,-1.36,10.69,0.9,0.34,-0.6,-0.42,e
3841.0,2983.0,3290.0,2623.0,3108.0,3419.0,2713.0,3314.0,-1.0,10.32,0.05,0.12,-1.06,0.27,e
3605.0,2960.0,3291.0,2623.0,3088.0,3429.0,2725.0,3348.0,-0.61,9.24,-0.1,-0.08,-0.5,0.39,e
3398.0,2973.0,3294.0,2608.0,3088.0,3437.0,2718.0,3370.0,-0.04,9.6,-0.27,-0.1,-0.26,0.35,e
3234.0,2894.0,3299.0,2559.0,3068.0,3415.0,2688.0,3355.0,-0.79,9.55,-0.04,0.15,-0.21,0.2,e
3216.0,2845.0,3335.0,2530.0,3111.0,3439.0,2704.0,3296.0,-0.52,9.61,-0.79,-0.3,0.15,0.14,e
3227.0,2864.0,3343.0,2555.0,3120.0,3418.0,2693.0,3222.0,0.22,9.65,-0.0,0.09,0.43,0.14,e
3294.0,2910.0,3332.0,2559.0,3089.0,3382.0,2699.0,3190.0,-0.5,8.86,1.18,-0.17,0.64,-0.19,e
3381.0,2915.0,3329.0,2559.0,3088.0,3333.0,2761.0,3162.0,-0.87,9.61,1.05,0.21,0.42,-0.22,e
3696.0,2911.0,3330.0,2559.0,3124.0,3331.0,2723.0,3157.0,0.49,9.26,2.68,0.19,0.15,-0.31,e
3651.0,2890.0,3303.0,2559.0,3146.0,3305.0,2725.0,3105.0,0.14,10.1,1.91,0.19,0.54,-0.6,e
3715.0,2891.0,3307.0,2559.0,3153.0,3290.0,2646.0,3071.0,-0.3,10.36,1.04,0.68,0.54,-0.29,e
4095.0,2899.0,3296.0,2559.0,3159.0,3270.0,2633.0,3071.0,-0.68,8.97,0.38,-0.12,0.19,-0.04,e
