hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3313.0,3568.0,1006.0,3103.0,2624.0,2299.0,2669.0,2639.0,-1.04,9.3,7.2,-0.01,-0.02,-0.15,e
3341.0,3577.0,1008.0,3115.0,2625.0,2303.0,2672.0,2640.0,-1.01,9.6,7.07,0.01,0.02,-0.1,e
3312.0,3574.0,1006.0,3109.0,2624.0,2299.0,2668.0,2640.0,-0.72,9.42,7.3,0.01,0.04,-0.08,e
3317.0,3569.0,1003.0,3111.0,2626.0,2301.0,2672.0,2643.0,-0.61,9.36,7.18,0.07,0.06,-0.13,e
3323.0,3568.0,1009.0,3109.0,2626.0,2300.0,2672.0,2638.0,-0.86,9.49,7.0,0.07,0.02,-0.19,e
3326.0,3570.0,1008.0,3110.0,2621.0,2299.0,2667.0,2631.0,-0.87,9.32,7.01,0.07,0.08,-0.2,e
3327.0,3569.0,1002.0,3117.0,2627.0,2301.0,2670.0,2633.0,-0.89,9.33,6.91,0.05,-0.01,-0.18,e
3323.0,3583.0,998.0,3118.0,2629.0,2302.0,2669.0,2638.0,-0.98,9.36,6.74,0.05,0.03,-0.17,e
3325.0,3573.0,1007.0,3107.0,2625.0,2302.0,2671.0,2639.0,-1.02,9.32,6.83,0.03,0.03,-0.16,e
3318.0,3578.0,1006.0,3109.0,2625.0,2301.0,2669.0,2637.0,-1.2,9.4,6.97,-0.01,-0.02,-0.13,e
3325.0,3601.0,1013.0,3109.0,2624.0,2298.0,2663.0,2637.0,-0.98,9.27,7.11,0.05,0.01,-0.1,e
3331.0,3597.0,1009.0,3111.0,2626.0,2300.0,2667.0,2631.0,-0.98,9.26,6.92,0.02,-0.04,-0.08,e
3325.0,3573.0,1008.0,3104.0,2624.0,2301.0,2670.0,2637.0,-0.9,9.48,6.74,-0.01,0.08,-0.07,e
3313.0,3568.0,1006.0,3102.0,2624.0,2301.0,2667.0,2640.0,-1.01,9.5,6.58,-0.03,0.03,-0.06,e
3315.0,3578.0,1006.0,3107.0,2626.0,2303.0,2672.0,2639.0,-1.18,9.66,6.72,-0.01,0.05,-0.03,e
3318.0,3568.0,1008.0,3109.0,2630.0,2304.0,2668.0,2637.0,-0.85,9.54,6.78,0.01,-0.04,-0.02,e
3313.0,3583.0,1008.0,3116.0,2626.0,2302.0,2663.0,2635.0,-0.66,9.52,6.79,-0.03,-0.04,-0.08,e
3329.0,3568.0,1011.0,3119.0,2632.0,2303.0,2670.0,2633.0,-0.5,9.37,7.09,0.0,-0.04,-0.09,e
3330.0,3575.0,1008.0,3109.0,2623.0,2299.0,2663.0,2637.0,-0.47,9.34,7.29,0.08,0.0,-0.14,e
3323.0,3579.0,1010.0,3110.0,2629.0,2302.0,2670.0,2639.0,-0.61,9.48,7.04,0.09,-0.03,-0.13,e
3323.0,3574.0,1006.0,3107.0,2627.0,2303.0,2670.0,2639.0,-0.52,9.39,6.87,0.06,-0.03,-0.15,e
3329.0,3579.0,1013.0,3117.0,2627.0,2299.0,2667.0,2631.0,-0.73,9.54,6.91,0.01,0.01,-0.12,e
3312.0,3579.0,1014.0,3114.0,2628.0,2302.0,2670.0,2638.0,-0.49,9.42,6.92,-0.02,-0.02,-0.08,e
3321.0,3563.0,1008.0,3111.0,2626.0,2302.0,2670.0,2633.0,-0.4,9.14,7.06,-0.03,-0.02,-0.07,e
3319.0,3568.0,1008.0,3115.0,2628.0,2304.0,2672.0,2637.0,-0.44,9.05,6.92,0.01,-0.03,-0.14,e
