hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
3222.0,3550.0,3226.0,3003.0,2422.0,2210.0,2430.0,2256.0,-1.79,9.46,6.66,0.02,0.09,-0.15,e
3216.0,3554.0,3233.0,2994.0,2428.0,2208.0,2423.0,2261.0,-1.65,9.39,6.55,0.01,-0.02,-0.15,e
3211.0,3545.0,3231.0,3008.0,2418.0,2197.0,2421.0,2257.0,-1.72,9.4,6.58,0.01,0.1,-0.14,e
3217.0,3571.0,3229.0,3015.0,2428.0,2207.0,2420.0,2263.0,-1.68,9.37,6.5,0.04,-0.02,-0.15,e
3217.0,3559.0,3237.0,3006.0,2422.0,2208.0,2431.0,2260.0,-1.73,9.48,6.34,0.0,-0.03,-0.16,e
3216.0,3557.0,3237.0,3011.0,2419.0,2212.0,2417.0,2266.0,-1.72,9.42,6.56,-0.03,-0.01,-0.13,e
3213.0,3554.0,3233.0,3015.0,2421.0,2214.0,2419.0,2260.0,-1.57,9.35,6.75,-0.02,-0.01,-0.15,e
3216.0,3549.0,3234.0,3008.0,2431.0,2205.0,2428.0,2256.0,-1.65,9.38,6.73,0.02,-0.01,-0.16,e
3219.0,3567.0,3248.0,3007.0,2427.0,2210.0,2427.0,2258.0,-1.73,9.34,6.69,0.03,0.0,-0.16,e
3211.0,3554.0,3242.0,3013.0,2427.0,2208.0,2419.0,2267.0,-1.72,9.44,6.52,0.03,-0.03,-0.16,e
3221.0,3557.0,3225.0,3010.0,2426.0,2205.0,2423.0,2257.0,-1.74,9.44,6.58,0.03,-0.03,-0.14,e
3211.0,3555.0,3216.0,3012.0,2420.0,2203.0,2422.0,2269.0,-1.74,9.43,6.6,0.0,-0.0,-0.14,e
3206.0,3536.0,3233.0,3008.0,2423.0,2209.0,2419.0,2263.0,-1.6,9.4,6.54,0.02,-0.02,-0.15,e
3216.0,3561.0,3227.0,3011.0,2422.0,2215.0,2428.0,2261.0,-1.62,9.43,6.49,0.02,0.02,-0.16,e
3207.0,3562.0,3232.0,3011.0,2426.0,2211.0,2429.0,2263.0,-1.69,9.41,6.61,-0.0,-0.01,-0.15,e
3216.0,3562.0,3233.0,3007.0,2430.0,2206.0,2421.0,2259.0,-1.65,9.4,6.56,0.02,0.03,-0.15,e
3210.0,3570.0,3234.0,3018.0,2429.0,2214.0,2423.0,2269.0,-1.76,9.38,6.56,0.01,-0.02,-0.14,e
3218.0,3574.0,3221.0,3011.0,2423.0,2216.0,2419.0,2256.0,-1.72,9.36,6.61,0.03,-0.0,-0.16,e
3219.0,3536.0,3219.0,3014.0,2423.0,2215.0,2418.0,2272.0,-1.75,9.4,6.6,0.0,0.01,-0.15,e
