hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
971.0,3734.0,3219.0,2769.0,3467.0,2640.0,2992.0,3266.0,0.7,9.31,3.92,-0.06,0.01,-0.02,1.0,e
973.0,3726.0,3219.0,2771.0,3485.0,2643.0,2991.0,3263.0,0.85,9.32,4.0,-0.06,0.01,-0.03,1.0,e
965.0,3727.0,3239.0,2768.0,3477.0,2647.0,2992.0,3263.0,0.78,9.32,4.05,-0.07,-0.01,-0.05,1.0,e
975.0,3739.0,3220.0,2775.0,3473.0,2646.0,2992.0,3273.0,0.63,9.22,4.19,-0.07,0.0,-0.03,1.0,e
969.0,3728.0,3223.0,2768.0,3473.0,2651.0,2987.0,3283.0,0.77,9.26,4.19,-0.04,-0.01,-0.03,1.0,e
969.0,3735.0,3218.0,2775.0,3469.0,2646.0,2992.0,3276.0,0.76,9.27,4.05,-0.07,-0.05,-0.05,1.0,e
967.0,3726.0,3223.0,2771.0,3475.0,2644.0,2987.0,3278.0,0.73,9.25,4.12,-0.07,0.01,-0.03,1.0,e
973.0,3735.0,3234.0,2774.0,3475.0,2658.0,2994.0,3264.0,0.72,9.27,4.08,-0.07,-0.01,-0.04,1.0,e
971.0,3733.0,3216.0,2768.0,3492.0,2649.0,2992.0,3279.0,0.64,9.3,3.98,-0.08,0.04,-0.01,1.0,e
964.0,3723.0,3221.0,2779.0,3472.0,2646.0,2990.0,3270.0,0.79,9.29,4.02,-0.06,-0.01,-0.03,1.0,e
961.0,3721.0,3215.0,2768.0,3475.0,2655.0,2992.0,3275.0,0.89,9.26,4.08,-0.07,0.02,-0.03,1.0,e
975.0,3735.0,3235.0,2768.0,3477.0,2653.0,2995.0,3275.0,0.83,9.26,4.12,-0.08,-0.04,-0.06,1.0,e
969.0,3734.0,3232.0,2775.0,3485.0,2655.0,2991.0,3271.0,0.7,9.23,4.21,-0.05,0.02,-0.03,1.0,e
977.0,3718.0,3233.0,2768.0,3494.0,2651.0,2994.0,3267.0,0.67,9.25,4.17,-0.06,-0.01,-0.04,1.0,e
976.0,3729.0,3231.0,2782.0,3490.0,2650.0,2999.0,3270.0,0.73,9.27,4.12,-0.06,0.0,-0.02,1.0,e
962.0,3725.0,3232.0,2778.0,3495.0,2650.0,2986.0,3278.0,0.83,9.26,4.1,-0.08,-0.02,-0.03,1.0,e
965.0,3733.0,3211.0,2780.0,3490.0,2651.0,2993.0,3279.0,0.74,9.27,4.11,-0.08,0.01,-0.03,1.0,e
967.0,3729.0,3226.0,2779.0,3492.0,2654.0,2997.0,3277.0,0.7,9.27,4.1,-0.09,0.01,-0.02,1.0,e
976.0,3743.0,3223.0,2771.0,3488.0,2661.0,2992.0,3271.0,0.79,9.25,4.16,-0.07,0.01,-0.02,1.0,e
978.0,3738.0,3229.0,2785.0,3489.0,2647.0,2994.0,3277.0,0.82,9.22,4.22,-0.06,-0.02,-0.02,1.0,e
971.0,3745.0,3231.0,2775.0,3493.0,2663.0,3004.0,3277.0,0.75,9.25,4.11,-0.08,-0.01,-0.01,1.0,e
983.0,3743.0,3236.0,2768.0,3497.0,2659.0,2994.0,3283.0,0.6,9.18,4.01,-0.08,0.06,0.03,1.0,e
995.0,3737.0,3222.0,2768.0,3519.0,2645.0,2994.0,3279.0,0.75,9.29,4.08,-0.09,-0.01,0.04,1.0,e
999.0,3735.0,3219.0,2769.0,3511.0,2669.0,3005.0,3280.0,0.83,9.24,4.12,-0.06,-0.03,-0.0,1.0,e
995.0,3761.0,3220.0,2775.0,3517.0,2661.0,3008.0,3274.0,0.85,9.22,4.17,-0.12,-0.06,0.03,1.0,e
993.0,3722.0,3227.0,2763.0,3522.0,2671.0,2992.0,3291.0,0.9,9.17,4.34,-0.09,0.02,0.1,1.0,e
1004.0,3739.0,3230.0,2768.0,3525.0,2675.0,3005.0,3297.0,1.01,9.15,4.31,-0.06,0.01,0.02,1.0,e
