hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3965.0,4095.0,3054.0,2588.0,3439.0,2590.0,2960.0,3207.0,0.0,8.76,5.23,-0.06,0.03,-0.04,1.0,e
3981.0,4095.0,3080.0,2559.0,3425.0,2591.0,2969.0,3211.0,0.1,8.75,5.3,-0.04,0.05,-0.0,1.0,e
3966.0,4095.0,3055.0,2582.0,3433.0,2590.0,2966.0,3213.0,0.07,8.8,5.07,-0.08,0.04,-0.02,1.0,e
3980.0,4095.0,3050.0,2587.0,3440.0,2595.0,2960.0,3205.0,0.11,8.75,5.32,-0.04,0.01,-0.04,1.0,e
3931.0,4095.0,3051.0,2588.0,3431.0,2594.0,2960.0,3207.0,0.12,8.79,5.14,0.0,-0.03,-0.04,1.0,e
3968.0,4095.0,3054.0,2586.0,3440.0,2607.0,2963.0,3214.0,0.1,8.79,5.17,-0.05,-0.03,-0.03,1.0,e
3984.0,4095.0,3043.0,2590.0,3434.0,2603.0,2970.0,3223.0,0.08,8.84,5.01,-0.08,-0.01,-0.01,1.0,e
3973.0,4095.0,3043.0,2590.0,3442.0,2598.0,2971.0,3221.0,0.57,8.91,4.94,-0.05,-0.07,-0.08,1.0,e
3980.0,4095.0,3061.0,2601.0,3442.0,2603.0,2962.0,3213.0,0.13,8.82,5.05,-0.05,-0.25,-0.13,1.0,e
3979.0,4095.0,3056.0,2594.0,3453.0,2607.0,2962.0,3199.0,-0.13,8.71,5.29,-0.11,-0.14,-0.1,1.0,e
3952.0,4095.0,3043.0,2591.0,3446.0,2599.0,2960.0,3216.0,0.13,8.68,5.42,-0.03,-0.1,-0.07,1.0,e
3984.0,4095.0,3047.0,2595.0,3440.0,2606.0,2975.0,3216.0,0.11,8.73,5.17,-0.05,-0.0,-0.02,1.0,e
3970.0,4095.0,3053.0,2603.0,3445.0,2599.0,2975.0,3201.0,0.18,8.84,5.14,-0.04,-0.01,0.0,1.0,e
3990.0,4095.0,3046.0,2595.0,3442.0,2607.0,2978.0,3210.0,0.18,8.82,5.12,-0.06,0.07,-0.02,1.0,e
3952.0,4095.0,3069.0,2597.0,3447.0,2606.0,2967.0,3210.0,0.06,8.77,5.14,-0.05,0.05,-0.02,1.0,e
3972.0,4095.0,3047.0,2589.0,3438.0,2598.0,2960.0,3213.0,0.3,8.82,5.17,0.02,0.0,-0.03,1.0,e
3984.0,4095.0,3062.0,2596.0,3450.0,2603.0,2973.0,3207.0,0.3,8.86,5.06,-0.03,0.01,-0.0,1.0,e
3951.0,4095.0,3055.0,2604.0,3435.0,2611.0,2979.0,3209.0,0.21,8.88,4.98,-0.08,0.02,-0.01,1.0,e
3963.0,4095.0,3049.0,2608.0,3442.0,2607.0,2975.0,3222.0,0.22,8.84,5.02,-0.06,0.01,-0.02,1.0,e
3952.0,4095.0,3043.0,2594.0,3447.0,2609.0,2970.0,3218.0,0.25,8.84,5.09,-0.04,0.0,-0.02,1.0,e
4001.0,4095.0,3058.0,2605.0,3449.0,2599.0,2981.0,3221.0,0.28,8.88,4.86,-0.07,0.08,-0.05,1.0,e
3954.0,4095.0,3050.0,2610.0,3440.0,2608.0,2975.0,3209.0,0.2,8.87,5.04,-0.07,-0.02,-0.02,1.0,e
3967.0,4095.0,3047.0,2605.0,3457.0,2609.0,2986.0,3223.0,0.39,8.93,4.93,-0.09,0.02,-0.02,1.0,e
3968.0,4095.0,3046.0,2605.0,3439.0,2603.0,2975.0,3222.0,0.17,8.82,5.06,-0.06,0.0,-0.04,1.0,e
3959.0,4095.0,3058.0,2608.0,3447.0,2613.0,2982.0,3216.0,0.32,8.86,5.02,-0.04,-0.01,-0.03,1.0,e
3980.0,4095.0,3049.0,2608.0,3438.0,2605.0,2977.0,3222.0,0.28,8.87,5.05,-0.07,0.0,-0.04,1.0,e
3943.0,4095.0,3055.0,2605.0,3444.0,2608.0,2991.0,3221.0,0.15,8.85,4.93,-0.05,0.01,-0.03,1.0,e
3964.0,4095.0,3056.0,2608.0,3451.0,2608.0,2957.0,3220.0,0.28,8.9,4.96,-0.07,0.02,-0.02,1.0,e
3969.0,4095.0,3056.0,2608.0,3462.0,2608.0,2978.0,3218.0,0.29,8.89,4.97,-0.08,0.01,-0.03,1.0,e
3951.0,4095.0,3065.0,2606.0,3447.0,2617.0,2980.0,3223.0,0.26,8.86,5.02,-0.08,0.01,-0.03,1.0,e
3978.0,4095.0,3053.0,2606.0,3440.0,2608.0,2978.0,3219.0,0.24,8.83,5.09,-0.06,-0.0,-0.03,1.0,e
3970.0,4095.0,3062.0,2602.0,3455.0,2618.0,2981.0,3230.0,0.31,8.86,4.96,-0.04,-0.01,-0.05,1.0,e
3952.0,4095.0,3055.0,2608.0,3462.0,2611.0,2981.0,3226.0,0.24,8.83,5.09,-0.03,-0.0,-0.04,1.0,e
3978.0,4095.0,3055.0,2608.0,3456.0,2610.0,2992.0,3217.0,0.19,8.9,4.91,-0.06,-0.01,-0.04,1.0,e
3965.0,4095.0,3042.0,2599.0,3459.0,2610.0,2986.0,3215.0,0.25,8.84,5.05,-0.04,-0.01,-0.04,1.0,e
