hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,956.0,953.0,2768.0,2601.0,2198.0,2512.0,2379.0,-2.12,8.96,7.73,-0.07,0.08,-0.17,0.0,e
4095.0,946.0,950.0,2779.0,2607.0,2199.0,2514.0,2383.0,-2.01,8.82,8.12,0.02,0.06,-0.2,0.0,e
4095.0,960.0,947.0,2785.0,2608.0,2204.0,2514.0,2383.0,-1.88,9.13,7.18,0.1,0.07,-0.3,0.0,e
4095.0,960.0,939.0,2775.0,2607.0,2199.0,2512.0,2371.0,-2.42,8.88,7.32,0.08,0.14,-0.26,0.0,e
4095.0,954.0,947.0,2783.0,2610.0,2201.0,2512.0,2368.0,-2.31,8.91,7.68,0.07,-0.03,-0.34,0.0,e
4095.0,953.0,955.0,2787.0,2608.0,2199.0,2512.0,2373.0,-2.98,8.68,7.76,0.02,-0.07,-0.32,0.0,e
4095.0,953.0,943.0,2787.0,2608.0,2202.0,2513.0,2378.0,-3.17,8.58,7.78,0.03,-0.1,-0.26,0.0,e
4095.0,945.0,949.0,2783.0,2608.0,2203.0,2515.0,2380.0,-3.24,8.79,7.35,-0.05,-0.01,-0.1,0.0,e
4095.0,961.0,944.0,2779.0,2609.0,2203.0,2513.0,2380.0,-2.69,8.7,7.99,-0.06,-0.08,-0.08,0.0,e
4095.0,945.0,944.0,2778.0,2608.0,2202.0,2513.0,2378.0,-2.57,8.71,8.03,0.01,-0.12,-0.15,0.0,e
4095.0,947.0,944.0,2791.0,2613.0,2206.0,2515.0,2380.0,-2.56,8.83,7.65,-0.02,-0.06,-0.13,0.0,e
4095.0,967.0,942.0,2789.0,2611.0,2210.0,2517.0,2381.0,-2.57,8.7,7.99,-0.05,-0.02,-0.15,0.0,e
4095.0,948.0,944.0,2787.0,2608.0,2203.0,2518.0,2382.0,-2.64,8.56,8.29,-0.06,0.01,-0.12,0.0,e
4095.0,961.0,949.0,2789.0,2597.0,2208.0,2518.0,2383.0,-2.68,8.58,8.27,0.01,0.02,-0.13,0.0,e
4095.0,964.0,955.0,2795.0,2593.0,2206.0,2512.0,2381.0,-2.66,8.6,8.26,-0.02,0.06,-0.12,0.0,e
4095.0,959.0,943.0,2797.0,2606.0,2209.0,2518.0,2383.0,-2.21,8.68,8.13,0.15,-0.06,-0.2,0.0,e
4095.0,953.0,944.0,2790.0,2610.0,2205.0,2518.0,2384.0,-2.78,8.57,8.25,-0.04,0.05,-0.12,0.0,e
4095.0,950.0,928.0,2765.0,2623.0,2209.0,2514.0,2371.0,-2.61,8.62,8.32,0.07,-0.06,-0.18,0.0,e
4095.0,944.0,955.0,2756.0,2634.0,2214.0,2527.0,2379.0,-2.77,8.65,8.23,-0.06,0.06,-0.13,0.0,e
4095.0,945.0,998.0,2753.0,2640.0,2219.0,2526.0,2406.0,-2.67,8.67,8.37,0.05,-0.04,-0.2,0.0,e
4095.0,942.0,1046.0,2777.0,2641.0,2224.0,2534.0,2423.0,-2.6,8.63,7.98,-0.03,-0.05,-0.19,0.0,e
4095.0,943.0,1631.0,2722.0,2645.0,2225.0,2534.0,2444.0,-2.7,8.7,7.97,-0.02,0.09,-0.07,0.0,e
4095.0,935.0,1580.0,2777.0,2645.0,2228.0,2533.0,2454.0,-2.52,8.78,7.7,-0.01,0.07,-0.1,0.0,e
4095.0,948.0,984.0,2800.0,2634.0,2225.0,2534.0,2432.0,-2.4,8.64,8.26,0.01,-0.06,-0.16,0.0,e
4095.0,944.0,921.0,2778.0,2635.0,2206.0,2521.0,2346.0,-2.34,8.76,8.03,0.07,-0.09,-0.11,0.0,e
4095.0,946.0,930.0,2775.0,2631.0,2208.0,2523.0,2365.0,-2.29,8.72,8.09,-0.05,-0.04,-0.17,0.0,e
