hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2758.0,2880.0,2799.0,2919.0,2963.0,4095.0,4095.0,4095.0,1.36,7.39,5.83,0.32,0.29,0.03,f
2752.0,2909.0,2791.0,2896.0,2960.0,4095.0,4095.0,4095.0,0.56,7.97,5.38,0.26,1.23,0.36,f
2758.0,2902.0,2795.0,2913.0,2969.0,4095.0,4095.0,4095.0,-0.22,8.1,5.02,0.27,1.64,0.34,f
2832.0,2909.0,2791.0,2997.0,3049.0,4095.0,4095.0,4095.0,-0.45,8.31,4.39,0.08,1.02,0.32,f
2839.0,2915.0,2790.0,3012.0,3063.0,4095.0,4095.0,4095.0,-0.64,7.95,4.57,0.16,0.37,0.04,f
2838.0,2903.0,2791.0,3024.0,3066.0,4095.0,4095.0,4095.0,-1.06,7.97,4.47,0.12,-0.08,-0.15,f
2837.0,2910.0,2793.0,3029.0,3069.0,4095.0,4095.0,4095.0,-0.53,8.31,4.49,0.04,-1.41,-0.06,f
2838.0,2907.0,2787.0,3033.0,3070.0,4095.0,4095.0,4095.0,0.89,8.46,4.73,-0.24,-2.41,0.05,f
2850.0,2891.0,2785.0,3055.0,3088.0,4095.0,4095.0,4095.0,1.98,8.25,4.85,-0.19,-1.62,0.03,f
2855.0,2903.0,2801.0,3060.0,3095.0,4095.0,4095.0,4095.0,2.16,8.02,4.69,-0.17,-0.82,0.01,f
2926.0,2960.0,2861.0,3155.0,3174.0,4095.0,4095.0,4095.0,2.26,8.03,4.31,-0.22,-0.59,-0.11,f
2924.0,2933.0,2864.0,3151.0,3159.0,4095.0,4095.0,4095.0,2.65,7.8,4.75,-0.54,-0.46,-0.2,f
2960.0,2955.0,2914.0,3213.0,3201.0,4095.0,4095.0,4095.0,2.5,7.76,5.25,-0.34,-0.3,-0.32,f
2950.0,2936.0,2898.0,3200.0,3193.0,4095.0,4095.0,4095.0,2.14,7.87,5.28,-0.11,0.16,-0.11,f
2949.0,2929.0,2893.0,3190.0,3197.0,4095.0,4095.0,4095.0,1.9,7.6,5.69,0.31,1.97,0.42,f
2926.0,2943.0,2889.0,3183.0,3189.0,4095.0,4095.0,4095.0,1.42,7.98,4.93,0.53,1.76,0.29,f
2926.0,2949.0,2875.0,3195.0,3197.0,4095.0,4095.0,4095.0,0.61,8.32,4.77,0.24,1.12,0.19,f
2951.0,2973.0,2884.0,3211.0,3209.0,4095.0,4095.0,4095.0,0.29,8.32,4.53,0.26,1.23,0.26,f
2928.0,2960.0,2863.0,3210.0,3203.0,4095.0,4095.0,4095.0,-0.02,8.24,4.63,0.09,1.08,0.23,f
2935.0,2969.0,2860.0,3216.0,3211.0,4095.0,4095.0,4095.0,-0.44,8.4,4.27,0.07,1.14,0.22,f
2934.0,2977.0,2853.0,3216.0,3216.0,4095.0,4095.0,4095.0,-1.04,8.42,4.16,0.09,1.54,0.16,f
2931.0,2975.0,2848.0,3217.0,3216.0,4095.0,4095.0,4095.0,-1.35,8.56,3.89,-0.07,0.23,-0.05,f
2934.0,2966.0,2847.0,3222.0,3228.0,4095.0,4095.0,4095.0,-1.32,8.5,4.03,-0.13,-0.94,-0.18,f
2929.0,2970.0,2841.0,3241.0,3227.0,4095.0,4095.0,4095.0,-0.75,8.47,4.53,-0.18,-1.13,-0.14,f
2943.0,2979.0,2853.0,3236.0,3226.0,4095.0,4095.0,4095.0,-0.36,8.41,4.57,-0.17,-1.32,-0.18,f
2943.0,2972.0,2846.0,3247.0,3223.0,4095.0,4095.0,4095.0,0.56,8.33,4.75,-0.25,-1.61,-0.17,f
2943.0,2979.0,2841.0,3254.0,3241.0,4095.0,4095.0,4095.0,1.34,8.19,4.76,-0.31,-1.75,-0.22,f
2937.0,2964.0,2837.0,3257.0,3220.0,4095.0,4095.0,4095.0,1.69,8.07,4.53,-0.37,-1.82,-0.18,f
2945.0,2992.0,2861.0,3259.0,3229.0,4095.0,4095.0,4095.0,2.93,7.63,4.61,-0.21,-0.92,-0.18,f
2935.0,2959.0,2871.0,3269.0,3218.0,4095.0,4095.0,4095.0,2.61,7.8,4.96,-0.14,-0.23,-0.09,f
2931.0,2960.0,2896.0,3270.0,3222.0,4095.0,4095.0,4095.0,2.48,7.94,4.79,-0.07,0.04,-0.08,f
2930.0,2957.0,2887.0,3271.0,3227.0,4095.0,4095.0,4095.0,0.94,7.96,4.66,0.42,1.88,0.25,f
2928.0,2995.0,2832.0,3265.0,3226.0,4095.0,4095.0,4095.0,2.12,7.91,4.79,0.1,1.51,0.06,f
2933.0,3008.0,2793.0,3271.0,3232.0,4095.0,4095.0,4095.0,0.97,8.06,5.11,0.26,0.97,0.14,f
2929.0,3136.0,2736.0,3253.0,3226.0,4095.0,4095.0,4095.0,0.27,8.46,4.48,0.27,0.75,0.35,f
2935.0,3109.0,2726.0,3267.0,3217.0,4095.0,4055.0,4095.0,1.3,8.15,5.15,0.22,-0.55,0.21,f
