hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3067.0,3414.0,2972.0,3632.0,3295.0,1594.0,4095.0,4095.0,0.16,9.83,5.38,0.1,0.22,0.07,0.0,f
3056.0,3408.0,2975.0,3605.0,3261.0,1583.0,4063.0,4095.0,0.62,9.81,4.88,0.22,0.64,0.13,0.0,f
3057.0,3233.0,2973.0,3575.0,3235.0,1569.0,4095.0,4095.0,0.2,9.98,4.75,0.11,0.16,-0.24,0.0,f
3056.0,3275.0,2971.0,3570.0,3216.0,1565.0,4095.0,4095.0,-0.17,9.92,4.98,0.14,0.35,-0.27,0.0,f
3066.0,3194.0,2963.0,3567.0,3184.0,1535.0,4095.0,4095.0,0.17,9.95,5.07,-0.23,0.33,0.05,0.0,f
3056.0,3152.0,2957.0,3494.0,3114.0,1521.0,4095.0,4095.0,0.73,9.7,5.13,0.1,0.05,-0.2,0.0,f
3059.0,3099.0,2973.0,3558.0,3061.0,1501.0,4095.0,4095.0,0.05,9.81,5.39,0.06,0.05,-0.32,0.0,f
3054.0,3068.0,2960.0,3538.0,2910.0,1399.0,4095.0,4095.0,-0.17,9.92,5.18,0.1,-0.11,-0.32,0.0,f
3063.0,3059.0,2979.0,3498.0,2827.0,1418.0,4095.0,4095.0,-0.38,9.88,4.99,0.1,-0.08,-0.24,0.0,f
3044.0,3065.0,2970.0,3457.0,2815.0,1423.0,4095.0,4095.0,-0.15,9.86,4.84,0.01,-0.09,-0.24,0.0,f
3043.0,3037.0,2966.0,3430.0,2816.0,1419.0,4095.0,4095.0,-0.4,9.92,4.85,-0.02,-0.05,-0.19,0.0,f
3048.0,3044.0,2969.0,3434.0,2832.0,1426.0,4095.0,4095.0,-0.49,9.86,5.02,-0.05,0.03,-0.15,0.0,f
3043.0,3026.0,2960.0,3433.0,2877.0,1444.0,4095.0,4095.0,-0.41,9.95,5.18,-0.1,-0.01,-0.2,0.0,f
3053.0,3027.0,2961.0,3440.0,2939.0,1466.0,4095.0,4095.0,-0.32,9.81,5.31,-0.03,-0.03,-0.19,0.0,f
3056.0,3023.0,2970.0,3426.0,2943.0,1465.0,4095.0,4095.0,-0.39,9.8,5.29,0.21,-0.08,-0.26,0.0,f
3058.0,3039.0,2975.0,3418.0,2961.0,1475.0,4095.0,4095.0,-0.82,10.08,4.64,0.13,-0.05,-0.18,0.0,f
3056.0,3035.0,2970.0,3408.0,2992.0,1488.0,4095.0,4095.0,-0.57,9.91,4.86,-0.06,0.0,-0.11,0.0,f
3056.0,3029.0,2971.0,3417.0,3033.0,1490.0,4095.0,4095.0,-0.51,9.82,5.18,-0.0,-0.04,-0.17,0.0,f
3047.0,3021.0,2956.0,3408.0,3043.0,1502.0,4095.0,4095.0,-0.43,9.94,5.11,0.04,-0.05,-0.21,0.0,f
3051.0,3008.0,2964.0,3419.0,3071.0,1506.0,4095.0,4095.0,-0.7,9.86,5.09,0.02,-0.1,-0.2,0.0,f
3053.0,2910.0,2928.0,3571.0,3176.0,1535.0,4095.0,4095.0,-0.69,9.66,5.62,-0.01,-0.01,-0.14,0.0,f
3056.0,2896.0,2928.0,3579.0,3164.0,1535.0,4095.0,4095.0,-0.62,9.71,5.57,0.07,0.0,-0.16,0.0,f
3041.0,2909.0,2936.0,3566.0,3120.0,1527.0,4095.0,4095.0,-0.79,9.85,5.4,0.01,-0.02,-0.15,0.0,f
3058.0,2893.0,2930.0,3547.0,3133.0,1535.0,4095.0,4095.0,-0.61,9.88,5.59,0.03,-0.04,-0.17,0.0,f
3040.0,2880.0,2923.0,3543.0,3147.0,1535.0,4095.0,4095.0,-0.69,9.62,5.5,-0.15,-0.07,0.01,0.0,f
3061.0,2877.0,2926.0,3562.0,3177.0,1535.0,4095.0,4095.0,-0.15,9.68,5.6,-0.08,-0.17,-0.07,0.0,f
3050.0,2863.0,2928.0,3561.0,3187.0,1554.0,4095.0,4095.0,-0.44,9.58,5.97,-0.01,-0.08,-0.09,0.0,f
3059.0,2853.0,2928.0,3575.0,3202.0,1491.0,4095.0,4095.0,-0.48,9.68,5.66,-0.03,-0.1,-0.1,0.0,f
3049.0,2841.0,2925.0,3566.0,3200.0,1557.0,4095.0,4095.0,-0.25,9.74,5.7,-0.05,-0.08,-0.11,0.0,f
3061.0,2843.0,2938.0,3583.0,3211.0,1564.0,4095.0,4095.0,-0.25,9.77,5.89,0.01,-0.05,-0.19,0.0,f
3040.0,2842.0,2926.0,3583.0,3210.0,1566.0,4095.0,4095.0,-0.46,9.92,5.53,-0.05,0.02,-0.08,0.0,f
3045.0,2814.0,2928.0,3583.0,3197.0,1560.0,4095.0,4095.0,-0.19,9.71,5.82,0.17,0.18,-0.21,0.0,f
3051.0,1872.0,2923.0,3597.0,3185.0,1559.0,4095.0,4095.0,-0.56,9.79,5.63,-0.04,0.12,-0.03,0.0,f
3051.0,1423.0,2908.0,3583.0,3175.0,1552.0,4095.0,4095.0,-0.35,9.73,5.68,-0.07,0.07,-0.08,0.0,f
3054.0,1529.0,2899.0,3583.0,3181.0,1535.0,4095.0,4095.0,-0.26,9.75,5.6,-0.04,0.0,-0.1,0.0,f
3044.0,1646.0,2907.0,3607.0,3189.0,1553.0,4095.0,4095.0,-0.06,9.74,5.66,0.02,0.04,-0.14,0.0,f
3054.0,1663.0,2896.0,3617.0,3189.0,1559.0,4095.0,4095.0,-0.27,9.76,5.73,0.05,-0.02,-0.17,0.0,f
3047.0,1040.0,2896.0,3611.0,3185.0,1552.0,4095.0,4095.0,-0.28,9.86,5.58,0.02,-0.04,-0.16,0.0,f
3056.0,954.0,2898.0,3620.0,3190.0,1559.0,4095.0,4095.0,-0.14,9.79,5.73,-0.0,-0.09,-0.22,0.0,f
3056.0,953.0,2896.0,3613.0,3182.0,1535.0,4095.0,4095.0,-0.38,9.76,5.8,0.02,0.04,-0.17,0.0,f
3060.0,3314.0,2895.0,3663.0,3191.0,1561.0,4095.0,4095.0,-0.99,9.68,5.83,-0.03,-0.03,-0.18,0.0,f
3041.0,3428.0,2886.0,3652.0,3193.0,1558.0,4095.0,4095.0,-0.84,9.73,5.5,0.01,-0.03,-0.21,0.0,f
3046.0,3502.0,2899.0,3660.0,3195.0,1561.0,4095.0,4095.0,-1.2,9.73,5.52,-0.01,-0.01,-0.21,0.0,f
3050.0,3357.0,2896.0,3664.0,3193.0,1552.0,4095.0,4095.0,-1.53,9.76,5.81,0.02,-0.13,-0.23,0.0,f
3047.0,3030.0,2918.0,3675.0,3205.0,1554.0,4095.0,4095.0,-1.17,9.68,5.77,0.01,-0.1,-0.16,0.0,f
3061.0,2501.0,2908.0,3670.0,3200.0,1554.0,4095.0,4095.0,-0.96,9.73,5.49,0.03,-0.06,-0.13,0.0,f
3047.0,2430.0,2903.0,3664.0,3197.0,1557.0,4095.0,4095.0,-0.95,9.68,5.64,-0.03,-0.12,-0.18,0.0,f
3051.0,2435.0,2907.0,3676.0,3211.0,1520.0,4095.0,4095.0,-1.05,9.65,5.86,0.01,-0.07,-0.2,0.0,f
3055.0,2475.0,2910.0,3677.0,3203.0,1535.0,4095.0,4095.0,-1.24,9.69,5.76,0.01,-0.05,-0.14,0.0,f
3056.0,2626.0,2917.0,3670.0,3207.0,1555.0,4095.0,4095.0,-1.14,9.69,5.71,0.02,0.0,-0.14,0.0,f
3053.0,2583.0,2899.0,3673.0,3198.0,1562.0,4095.0,4095.0,-1.03,9.68,5.74,0.01,-0.04,-0.14,0.0,f
3056.0,2610.0,2912.0,3681.0,3213.0,1568.0,4095.0,4095.0,-1.06,9.66,5.77,-0.02,-0.1,-0.13,0.0,f
3047.0,2727.0,2919.0,3686.0,3211.0,1567.0,4095.0,4095.0,-1.15,9.67,5.86,-0.06,-0.06,-0.08,0.0,f
3051.0,2742.0,2928.0,3696.0,3215.0,1553.0,4095.0,4095.0,-0.98,9.68,5.88,-0.01,-0.01,-0.13,0.0,f
3056.0,2736.0,2927.0,3687.0,3216.0,1535.0,4095.0,4095.0,-0.91,9.65,5.84,0.01,-0.02,-0.18,0.0,f
3055.0,2747.0,2924.0,3700.0,3219.0,1566.0,4095.0,4095.0,-1.41,9.64,6.15,-0.01,-0.09,-0.1,0.0,f
3054.0,2775.0,2925.0,3670.0,3218.0,1556.0,4095.0,4095.0,-0.52,9.65,5.94,0.08,-0.01,-0.02,0.0,f
3047.0,2773.0,2928.0,3675.0,3220.0,1554.0,4095.0,4095.0,-0.56,9.71,5.68,0.02,-0.12,-0.16,0.0,f
3081.0,2773.0,2928.0,3664.0,3223.0,1571.0,4095.0,4095.0,-0.79,9.66,5.77,0.02,-0.06,-0.12,0.0,f
3046.0,2814.0,2921.0,3619.0,3225.0,1561.0,4095.0,4095.0,-0.6,9.77,5.83,0.08,-0.12,-0.18,0.0,f
