hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2980.0,4095.0,3239.0,3903.0,3745.0,4095.0,4095.0,4095.0,-0.93,9.76,0.88,-0.11,-0.04,0.01,f
2986.0,4095.0,3218.0,3889.0,3740.0,4095.0,4095.0,4095.0,0.05,9.55,1.26,-0.08,-0.14,0.11,f
2990.0,4095.0,3216.0,3893.0,3743.0,4095.0,4095.0,4095.0,0.83,9.41,1.4,0.12,-0.09,0.07,f
2981.0,4095.0,3209.0,3887.0,3732.0,4095.0,4095.0,4095.0,0.56,9.99,0.95,0.32,0.15,-0.0,f
2978.0,4095.0,3219.0,3901.0,3745.0,4095.0,4095.0,4095.0,0.55,8.96,0.03,0.37,0.26,0.0,f
2973.0,4095.0,3225.0,3951.0,3739.0,4095.0,4095.0,4095.0,-0.11,9.44,0.23,-0.12,0.28,0.19,f
2963.0,3714.0,3184.0,3953.0,3761.0,4095.0,4095.0,4095.0,0.63,9.9,-0.8,0.16,-0.05,0.28,f
2965.0,3272.0,3139.0,3984.0,3794.0,4095.0,4095.0,4095.0,0.35,8.88,-0.17,-0.22,0.4,-0.19,f
2965.0,3250.0,3142.0,4048.0,3803.0,4095.0,4095.0,4095.0,0.32,9.0,0.92,0.07,0.17,-0.05,f
2962.0,3267.0,3133.0,4048.0,3824.0,4095.0,4095.0,4095.0,0.96,10.1,0.05,-0.04,0.28,-0.23,f
2963.0,3477.0,3141.0,4016.0,3808.0,4095.0,4095.0,4095.0,0.72,8.73,0.65,0.22,-0.09,-0.43,f
2960.0,4095.0,3174.0,4015.0,3808.0,4095.0,4095.0,4095.0,0.13,9.7,0.27,-0.07,0.1,-0.07,f
3285.0,4095.0,3643.0,4037.0,3792.0,4095.0,4095.0,4095.0,0.24,10.56,-0.41,0.0,-0.02,0.02,f
3952.0,4095.0,3537.0,3991.0,3760.0,4095.0,4095.0,4095.0,-0.32,10.04,-0.14,0.05,0.11,0.06,f
4095.0,4095.0,3367.0,3968.0,3751.0,4095.0,4095.0,4095.0,-0.27,9.76,-0.77,-0.17,0.3,0.25,f
4095.0,4095.0,3349.0,3961.0,3718.0,4095.0,4095.0,4095.0,0.7,9.4,-0.21,-0.14,0.4,0.16,f
4095.0,4095.0,3329.0,3931.0,3701.0,4095.0,4095.0,4095.0,0.29,9.93,-0.45,-0.25,0.36,0.07,f
4095.0,4095.0,3329.0,3942.0,3695.0,4095.0,4095.0,4095.0,-0.1,9.7,0.24,-0.19,0.28,0.03,f
4095.0,4095.0,3279.0,3982.0,3698.0,4095.0,4095.0,4095.0,0.21,9.73,0.25,-0.09,0.05,0.08,f
4095.0,4095.0,3237.0,3987.0,3709.0,4095.0,4095.0,4095.0,0.13,9.66,0.11,-0.03,0.05,0.02,f
4095.0,4095.0,3265.0,3991.0,3703.0,4095.0,4095.0,4095.0,0.19,9.56,-0.16,-0.12,0.09,-0.21,f
2965.0,3536.0,3198.0,4033.0,3751.0,4095.0,4095.0,4095.0,0.25,9.86,0.62,-0.14,-0.09,-0.16,f
2959.0,3297.0,3190.0,4054.0,3765.0,4095.0,4095.0,4095.0,0.2,9.78,0.39,-0.01,-0.17,-0.08,f
2963.0,3186.0,3152.0,4048.0,3790.0,4095.0,4095.0,4095.0,-0.02,9.65,0.28,0.05,-0.16,-0.1,f
