hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3047.0,2981.0,2952.0,4095.0,3648.0,4095.0,4095.0,4095.0,-2.07,9.22,6.82,0.08,-0.04,-0.19,0.0,f
3026.0,2975.0,2944.0,4095.0,3644.0,4095.0,4095.0,4095.0,-2.08,9.3,6.67,0.07,-0.07,-0.22,0.0,f
3038.0,2975.0,2937.0,4095.0,3647.0,4095.0,4095.0,4095.0,-2.19,9.3,6.62,0.02,-0.09,-0.19,0.0,f
3030.0,2966.0,2951.0,4095.0,3647.0,4095.0,4095.0,4095.0,-2.21,9.28,6.74,0.06,-0.07,-0.2,0.0,f
3046.0,2963.0,2948.0,4095.0,3643.0,4095.0,4095.0,4095.0,-2.27,9.3,6.58,0.05,-0.01,-0.18,0.0,f
3045.0,2975.0,2943.0,4095.0,3632.0,4095.0,4095.0,4095.0,-2.16,9.32,6.57,-0.01,-0.03,-0.16,0.0,f
3030.0,2978.0,2946.0,4095.0,3638.0,4095.0,4095.0,4095.0,-2.13,9.34,6.56,0.01,-0.03,-0.17,0.0,f
3049.0,2962.0,2943.0,4095.0,3632.0,4095.0,4095.0,4095.0,-2.24,9.31,6.59,-0.03,0.0,-0.15,0.0,f
3045.0,2960.0,2949.0,4095.0,3632.0,4095.0,4095.0,4095.0,-2.16,9.36,6.52,-0.0,-0.04,-0.15,0.0,f
3026.0,2974.0,2939.0,4095.0,3626.0,4095.0,4095.0,4095.0,-2.23,9.28,6.56,-0.0,-0.02,-0.16,0.0,f
3042.0,2980.0,2938.0,4095.0,3627.0,4095.0,4095.0,4095.0,-2.17,9.28,6.7,-0.03,0.02,-0.14,0.0,f
3026.0,2971.0,2947.0,4095.0,3615.0,4095.0,4095.0,4095.0,-2.17,9.36,6.5,0.03,-0.05,-0.18,0.0,f
3043.0,2971.0,2949.0,4095.0,3607.0,4095.0,4095.0,4095.0,-2.16,9.23,6.7,0.03,-0.05,-0.19,0.0,f
3031.0,2964.0,2944.0,4095.0,3618.0,4095.0,4095.0,4095.0,-2.37,9.26,6.51,0.06,-0.04,-0.19,0.0,f
3027.0,2969.0,2942.0,4095.0,3614.0,4095.0,4095.0,4095.0,-2.29,9.28,6.6,-0.02,0.03,-0.13,0.0,f
3024.0,2960.0,2942.0,4095.0,3609.0,4095.0,4095.0,4095.0,-2.18,9.22,6.84,0.06,0.05,-0.14,0.0,f
3045.0,2955.0,2934.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.27,9.3,6.51,0.06,-0.03,-0.17,0.0,f
3046.0,2958.0,2937.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.29,9.27,6.58,0.02,-0.07,-0.16,0.0,f
3055.0,2962.0,2949.0,4095.0,3598.0,4095.0,4095.0,4095.0,-2.21,9.22,6.78,0.01,-0.02,-0.17,0.0,f
3042.0,2969.0,2953.0,4095.0,3602.0,4095.0,4095.0,4095.0,-2.25,9.23,6.72,0.04,-0.0,-0.16,0.0,f
3034.0,2951.0,2935.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.21,9.27,6.65,0.05,-0.06,-0.17,0.0,f
3037.0,2957.0,2939.0,4095.0,3599.0,4095.0,4095.0,4095.0,-2.15,9.33,6.49,0.01,-0.08,-0.17,0.0,f
3039.0,2960.0,2928.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.2,9.35,6.61,0.02,-0.03,-0.17,0.0,f
3028.0,2953.0,2951.0,4095.0,3599.0,4095.0,4095.0,4095.0,-2.09,9.32,6.62,-0.04,-0.01,-0.17,0.0,f
3043.0,2960.0,2954.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.37,9.22,6.69,-0.05,-0.06,-0.18,0.0,f
3039.0,2960.0,2955.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.32,9.13,6.91,-0.01,-0.01,-0.17,0.0,f
3042.0,2975.0,2939.0,4095.0,3575.0,4095.0,4095.0,4095.0,-2.34,9.3,6.62,-0.04,-0.05,-0.18,0.0,f
3033.0,2967.0,2944.0,4095.0,3573.0,4095.0,4095.0,4095.0,-2.21,9.11,7.13,-0.04,-0.02,-0.16,0.0,f
3031.0,2960.0,2950.0,4095.0,3573.0,4095.0,4095.0,4095.0,-2.33,9.2,6.82,0.04,-0.03,-0.2,0.0,f
3042.0,2963.0,2935.0,4095.0,3573.0,4095.0,4095.0,4095.0,-2.46,9.08,6.96,-0.01,-0.0,-0.14,0.0,f
3031.0,2977.0,2935.0,4095.0,3581.0,4095.0,4095.0,4095.0,-2.26,9.26,6.69,0.05,0.03,-0.14,0.0,f
3040.0,2960.0,2939.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.37,9.24,6.7,-0.02,-0.07,-0.16,0.0,f
3042.0,2971.0,2932.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.25,9.15,6.98,-0.0,-0.07,-0.18,0.0,f
3043.0,2957.0,2946.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.29,9.24,6.83,0.02,-0.01,-0.18,0.0,f
3038.0,2979.0,2943.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.4,9.13,6.9,-0.03,-0.0,-0.15,0.0,f
3051.0,2981.0,2946.0,4095.0,3600.0,4095.0,4095.0,4095.0,-2.3,9.16,6.98,0.02,0.03,-0.13,0.0,f
3024.0,2960.0,2933.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.41,9.27,6.62,0.0,-0.0,-0.15,0.0,f
3031.0,2971.0,2946.0,4095.0,3597.0,4095.0,4095.0,4095.0,-2.39,9.15,6.95,0.0,0.0,-0.14,0.0,f
3040.0,2976.0,2944.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.37,9.19,6.83,0.01,-0.01,-0.15,0.0,f
3042.0,2981.0,2943.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.28,9.26,6.72,0.03,-0.02,-0.15,0.0,f
3037.0,2962.0,2943.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.38,9.17,6.94,-0.01,-0.01,-0.15,0.0,f
3031.0,2962.0,2951.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.22,9.32,6.48,-0.14,0.55,0.03,0.0,f
3047.0,2974.0,2942.0,4095.0,3598.0,4095.0,4095.0,4095.0,-2.65,8.99,7.41,-0.07,-0.05,-0.17,0.0,f
3034.0,2977.0,2946.0,4095.0,3583.0,4095.0,4095.0,4095.0,-1.56,9.44,6.26,-0.05,0.74,-0.04,0.0,f
3039.0,2981.0,2939.0,4095.0,3599.0,4095.0,4095.0,4095.0,-2.81,9.0,7.14,0.14,-0.68,-0.33,0.0,f
3030.0,2971.0,2939.0,4095.0,3582.0,4095.0,4095.0,4095.0,-2.17,9.3,6.52,-0.29,1.15,0.14,0.0,f
3042.0,2975.0,2934.0,4095.0,3576.0,4095.0,4095.0,4095.0,-2.29,8.92,7.77,0.18,-0.73,-0.27,0.0,f
3054.0,2966.0,2945.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.58,8.97,6.87,0.1,0.06,-0.14,0.0,f
3043.0,2975.0,2946.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.04,9.09,7.25,-0.05,0.06,-0.08,0.0,f
3030.0,2967.0,2942.0,4095.0,3581.0,4095.0,4095.0,4095.0,-2.36,9.17,6.83,0.07,-0.07,-0.19,0.0,f
3031.0,2979.0,2937.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.07,9.12,7.2,0.02,-0.08,-0.19,0.0,f
3041.0,2960.0,2929.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.32,9.09,7.02,0.09,-0.07,-0.17,0.0,f
3053.0,2979.0,2939.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.29,9.2,6.83,0.03,-0.01,-0.14,0.0,f
3044.0,2968.0,2943.0,4095.0,3577.0,4095.0,4095.0,4095.0,-2.1,8.89,7.26,0.13,-0.0,-0.15,0.0,f
3038.0,2976.0,2937.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.17,9.17,6.56,-0.01,-0.04,-0.06,0.0,f
3042.0,2947.0,2941.0,4095.0,3602.0,4095.0,4095.0,4095.0,-2.13,9.1,7.22,0.07,-0.01,-0.1,0.0,f
3029.0,2945.0,2942.0,4095.0,3583.0,4095.0,4095.0,4095.0,-2.2,9.39,6.45,0.08,0.02,-0.1,0.0,f
3034.0,2950.0,2940.0,4095.0,3562.0,4095.0,4095.0,4095.0,-1.84,9.27,6.99,-0.07,0.04,-0.15,0.0,f
3042.0,2943.0,2944.0,4095.0,3566.0,4095.0,4095.0,4095.0,-1.9,9.27,6.82,0.07,0.07,-0.15,0.0,f
3026.0,2944.0,2931.0,4095.0,3565.0,4095.0,4095.0,4095.0,-2.12,9.31,6.8,-0.01,-0.04,-0.15,0.0,f
3042.0,2950.0,2951.0,4095.0,3551.0,4095.0,4095.0,4095.0,-1.65,9.34,6.89,0.03,0.02,-0.13,0.0,f
3039.0,2951.0,2928.0,4095.0,3533.0,4095.0,4095.0,4095.0,-2.46,9.39,6.51,-0.11,-0.13,-0.17,0.0,f
3039.0,2951.0,2933.0,4095.0,3515.0,4095.0,4095.0,3760.0,-1.99,9.14,7.22,-0.01,0.01,-0.16,0.0,f
3043.0,2961.0,2934.0,4095.0,3486.0,4095.0,4095.0,3823.0,-2.1,9.43,6.33,-0.0,-0.05,-0.17,0.0,f
3024.0,2960.0,2937.0,4095.0,3469.0,4095.0,4095.0,4095.0,-1.94,9.11,7.38,-0.0,-0.04,-0.14,0.0,f
3034.0,2965.0,2933.0,4095.0,3482.0,4095.0,4095.0,4095.0,-2.13,9.44,6.65,0.06,-0.01,-0.18,0.0,f
3053.0,2963.0,2945.0,4095.0,3485.0,4095.0,4095.0,3999.0,-2.05,9.27,6.87,-0.11,0.02,-0.16,0.0,f
3031.0,2950.0,2940.0,4095.0,3487.0,4095.0,4095.0,4079.0,-2.02,9.28,6.96,0.03,-0.04,-0.15,0.0,f
3029.0,2958.0,2939.0,4095.0,3489.0,4095.0,4095.0,3979.0,-2.23,9.23,6.73,0.03,-0.13,-0.19,0.0,f
3049.0,2954.0,2947.0,4095.0,3497.0,4095.0,4095.0,4019.0,-2.06,9.08,7.39,0.0,0.01,-0.12,0.0,f
3029.0,2989.0,2947.0,4095.0,3503.0,4064.0,4095.0,4070.0,-2.25,9.38,6.46,0.04,0.02,-0.15,0.0,f
3030.0,2971.0,2930.0,4095.0,3493.0,4095.0,4095.0,4095.0,-2.0,9.32,6.83,-0.05,-0.06,-0.11,0.0,f
3039.0,2962.0,2945.0,4095.0,3491.0,4095.0,4095.0,4095.0,-2.12,9.32,6.59,0.1,-0.15,-0.22,0.0,f
3045.0,2980.0,2928.0,4095.0,3491.0,4095.0,4095.0,4095.0,-2.17,9.28,6.79,-0.03,-0.02,-0.17,0.0,f
3039.0,2965.0,2932.0,4095.0,3483.0,4095.0,4095.0,4095.0,-2.1,9.35,6.57,0.03,0.07,-0.15,0.0,f
3033.0,2967.0,2945.0,4095.0,3486.0,4095.0,4095.0,4095.0,-2.17,9.27,6.67,-0.02,0.0,-0.15,0.0,f
3031.0,2970.0,2935.0,4095.0,3486.0,4095.0,4095.0,4095.0,-2.1,9.26,6.71,0.06,-0.22,-0.18,0.0,f
3026.0,2961.0,2931.0,4095.0,3491.0,4095.0,4095.0,4095.0,-2.19,9.27,6.72,-0.02,-0.0,-0.16,0.0,f
3034.0,2964.0,2939.0,4095.0,3486.0,4095.0,4095.0,4095.0,-2.07,9.22,7.0,0.0,0.08,-0.12,0.0,f
3032.0,2957.0,2931.0,4095.0,3472.0,4095.0,4095.0,4095.0,-1.99,9.42,6.43,-0.02,-0.07,-0.2,0.0,f
3047.0,2947.0,2943.0,4058.0,3421.0,4095.0,4095.0,4095.0,-2.15,9.02,7.37,0.02,0.04,-0.15,0.0,f
3051.0,2948.0,2944.0,4045.0,3419.0,4095.0,4095.0,4095.0,-2.23,9.3,6.54,0.07,0.06,-0.13,0.0,f
3024.0,2944.0,2935.0,3984.0,3404.0,4095.0,4095.0,4095.0,-2.05,9.35,6.68,-0.02,0.02,-0.13,0.0,f
3024.0,2949.0,2943.0,3994.0,3399.0,4095.0,4095.0,4095.0,-1.94,9.24,6.77,0.07,0.08,-0.15,0.0,f
3046.0,2960.0,2938.0,4004.0,3408.0,4095.0,4095.0,4095.0,-2.14,9.35,6.51,-0.11,-0.05,-0.15,0.0,f
3041.0,2959.0,2945.0,4007.0,3410.0,4095.0,4095.0,4095.0,-2.24,9.12,7.11,-0.01,0.09,-0.14,0.0,f
3030.0,2960.0,2945.0,4005.0,3410.0,4095.0,4095.0,3855.0,-2.36,9.26,6.61,0.02,-0.02,-0.15,0.0,f
3024.0,2960.0,2944.0,4006.0,3413.0,4095.0,4095.0,3934.0,-2.1,9.2,6.92,-0.0,-0.02,-0.12,0.0,f
3037.0,2960.0,2938.0,4003.0,3419.0,4095.0,4095.0,3986.0,-2.18,9.31,6.58,0.07,-0.01,-0.16,0.0,f
3035.0,2978.0,2945.0,4015.0,3424.0,4095.0,4095.0,4095.0,-1.98,9.09,6.97,-0.03,-0.13,-0.19,0.0,f
3045.0,2985.0,2949.0,4018.0,3423.0,4095.0,4095.0,4095.0,-2.24,9.28,6.79,0.01,-0.07,-0.19,0.0,f
3046.0,2971.0,2939.0,4022.0,3429.0,4095.0,4095.0,4095.0,-2.2,9.2,6.96,-0.0,-0.04,-0.18,0.0,f
3043.0,2975.0,2943.0,4014.0,3419.0,4095.0,4095.0,4095.0,-2.08,9.28,6.74,0.07,-0.04,-0.19,0.0,f
3042.0,2983.0,2946.0,4030.0,3434.0,4095.0,4095.0,4095.0,-2.28,9.26,6.69,-0.02,-0.03,-0.18,0.0,f
3037.0,2960.0,2944.0,4013.0,3426.0,4095.0,4095.0,4095.0,-2.17,9.14,7.01,0.03,-0.04,-0.14,0.0,f
3053.0,2963.0,2938.0,4028.0,3431.0,4095.0,4095.0,4095.0,-2.29,9.22,6.84,0.0,0.01,-0.16,0.0,f
3040.0,2946.0,2949.0,4033.0,3435.0,4095.0,4095.0,4095.0,-2.18,9.11,7.16,0.04,0.03,-0.14,0.0,f
3043.0,2958.0,2940.0,4021.0,3438.0,4095.0,4095.0,4095.0,-2.32,9.27,6.65,0.06,-0.08,-0.17,0.0,f
3042.0,2953.0,2946.0,4016.0,3425.0,4095.0,4095.0,4095.0,-2.29,9.19,6.91,0.01,0.02,-0.15,0.0,f
3037.0,2958.0,2945.0,4016.0,3421.0,4095.0,4095.0,4095.0,-2.26,9.4,6.41,-0.08,0.13,-0.07,0.0,f
3034.0,2947.0,2937.0,4027.0,3427.0,4095.0,4095.0,4095.0,-2.25,9.16,6.98,0.01,-0.02,-0.17,0.0,f
3031.0,2958.0,2928.0,3995.0,3423.0,4095.0,4095.0,4095.0,-2.36,9.22,6.7,0.01,-0.04,-0.16,0.0,f
3029.0,2946.0,2947.0,3981.0,3419.0,4095.0,4095.0,4095.0,-1.97,9.32,6.6,-0.06,-0.19,-0.21,0.0,f
3033.0,2947.0,2946.0,3952.0,3419.0,4095.0,4095.0,4095.0,-2.35,9.05,7.17,0.0,-0.02,-0.23,0.0,f
3031.0,2948.0,2943.0,3919.0,3401.0,4095.0,4095.0,4095.0,-2.5,9.1,7.05,0.06,-0.06,-0.24,0.0,f
3037.0,2960.0,2938.0,3851.0,3377.0,4095.0,4095.0,4095.0,-2.33,9.1,7.11,0.04,-0.07,-0.09,0.0,f
3041.0,2943.0,2941.0,3793.0,3362.0,4095.0,4095.0,4095.0,-2.1,9.29,6.67,0.13,-0.1,-0.18,0.0,f
3040.0,2957.0,2937.0,3807.0,3379.0,4095.0,4095.0,4095.0,-2.33,8.97,7.52,0.0,0.14,-0.18,0.0,f
3041.0,2938.0,2938.0,3819.0,3377.0,4095.0,4095.0,4095.0,-2.5,9.23,6.6,0.08,0.1,-0.11,0.0,f
3039.0,2944.0,2937.0,3842.0,3390.0,4095.0,4095.0,4095.0,-2.61,9.25,6.49,0.16,0.06,-0.08,0.0,f
3030.0,2939.0,2935.0,3850.0,3392.0,4095.0,4095.0,4095.0,-1.84,9.34,6.39,0.09,0.13,-0.06,0.0,f
3029.0,2946.0,2938.0,3842.0,3389.0,4095.0,4095.0,4095.0,-2.18,9.39,6.16,0.07,-0.09,-0.2,0.0,f
3047.0,2941.0,2931.0,3825.0,3385.0,4095.0,4095.0,4095.0,-2.36,9.28,6.52,0.1,-0.07,-0.13,0.0,f
3035.0,2951.0,2935.0,3821.0,3381.0,4095.0,4095.0,4095.0,-2.23,9.4,6.16,-0.06,-0.03,-0.14,0.0,f
3039.0,2965.0,2934.0,3815.0,3377.0,4095.0,4095.0,4095.0,-2.38,9.24,6.62,0.02,-0.03,-0.18,0.0,f
