hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3024.0,3002.0,2939.0,3675.0,3873.0,3947.0,4095.0,4095.0,-2.86,8.89,6.96,0.27,-0.09,-0.34,0.0,f
3024.0,3002.0,2942.0,3654.0,3874.0,3636.0,4095.0,4095.0,-2.85,8.53,7.46,0.04,-0.29,-0.22,0.0,f
3024.0,3009.0,2930.0,3631.0,3866.0,3667.0,4095.0,4095.0,-3.21,9.17,7.36,-0.01,0.08,-0.26,0.0,f
3025.0,2999.0,2938.0,3638.0,3867.0,3691.0,4095.0,4095.0,-3.03,8.7,7.07,0.01,0.02,-0.03,0.0,f
3025.0,3007.0,2948.0,3650.0,3883.0,3748.0,4095.0,4095.0,-2.63,9.38,6.79,0.01,-0.15,-0.33,0.0,f
3024.0,3018.0,2947.0,3658.0,3874.0,3758.0,4095.0,4095.0,-1.97,9.0,6.94,-0.09,-0.19,-0.32,0.0,f
3027.0,3001.0,2947.0,3664.0,3876.0,3760.0,4095.0,4095.0,-1.63,9.02,7.46,-0.07,-0.27,-0.62,0.0,f
3024.0,3013.0,2935.0,3653.0,3890.0,3682.0,4095.0,4095.0,0.52,9.1,6.6,-0.1,-0.92,-0.98,0.0,f
3031.0,3008.0,2947.0,3678.0,3888.0,3720.0,4095.0,4095.0,-3.57,7.87,8.49,-0.05,-0.37,-1.32,0.0,f
3024.0,3020.0,2935.0,3692.0,3876.0,3719.0,4095.0,4095.0,-6.83,7.81,8.94,0.26,-0.43,-0.97,0.0,f
3024.0,3011.0,2933.0,3700.0,3871.0,3865.0,4095.0,4095.0,-6.37,8.62,8.33,0.4,-0.72,-0.45,0.0,f
3039.0,3023.0,2939.0,3713.0,3866.0,3933.0,4095.0,4095.0,-5.58,8.43,7.79,0.46,-0.31,-0.06,0.0,f
3026.0,3013.0,2941.0,3738.0,3856.0,3939.0,4095.0,4095.0,-5.11,8.45,7.3,0.46,-0.04,-0.09,0.0,f
3031.0,3024.0,2937.0,3773.0,3853.0,3949.0,4095.0,4095.0,-4.98,8.4,7.14,0.29,0.1,-0.14,0.0,f
