hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3031.0,3027.0,3023.0,4095.0,4095.0,2637.0,2928.0,2551.0,9.03,1.96,8.29,0.16,-0.04,-0.13,0.0,g
3024.0,3025.0,3002.0,4095.0,4095.0,2626.0,2922.0,2544.0,8.83,1.91,8.72,0.11,0.07,-0.13,0.0,g
3027.0,3024.0,3022.0,4095.0,4095.0,2634.0,2917.0,2544.0,8.7,1.97,8.5,0.12,-0.03,-0.12,0.0,g
3033.0,3023.0,3006.0,4095.0,4095.0,2631.0,2915.0,2535.0,9.15,1.94,8.42,0.04,-0.03,-0.15,0.0,g
3029.0,3013.0,3003.0,4095.0,4095.0,2635.0,2927.0,2545.0,8.72,1.98,8.43,-0.01,-0.01,-0.15,0.0,g
3034.0,3021.0,2994.0,4095.0,4095.0,2626.0,2922.0,2543.0,8.93,1.97,8.55,-0.01,-0.0,-0.14,0.0,g
3045.0,3024.0,3015.0,4095.0,4095.0,2637.0,2929.0,2549.0,9.0,1.81,8.67,0.02,-0.01,-0.16,0.0,g
3026.0,3023.0,2999.0,4095.0,4095.0,2631.0,2922.0,2544.0,9.17,1.93,8.57,0.02,0.07,-0.22,0.0,g
3053.0,3036.0,3023.0,4095.0,4095.0,2637.0,2931.0,2553.0,8.41,2.12,8.61,0.02,-0.01,-0.2,0.0,g
3039.0,3017.0,3023.0,4095.0,4095.0,2635.0,2928.0,2545.0,8.87,2.03,8.58,-0.01,-0.05,-0.13,0.0,g
3026.0,3024.0,2997.0,4095.0,4095.0,2637.0,2922.0,2546.0,8.82,1.99,8.58,-0.02,-0.06,-0.12,0.0,g
3029.0,3023.0,3022.0,4095.0,4095.0,2638.0,2919.0,2551.0,9.03,1.91,8.53,-0.01,-0.02,-0.1,0.0,g
3031.0,3011.0,3006.0,4095.0,4095.0,2631.0,2921.0,2548.0,9.03,1.84,8.54,-0.01,0.0,-0.15,0.0,g
3041.0,3025.0,3010.0,4095.0,4095.0,2638.0,2928.0,2548.0,8.83,1.92,8.49,-0.02,0.01,-0.16,0.0,g
3024.0,3018.0,3014.0,4095.0,4095.0,2629.0,2915.0,2544.0,8.84,1.84,8.69,0.0,-0.01,-0.15,0.0,g
3028.0,3024.0,3005.0,4095.0,4095.0,2637.0,2922.0,2551.0,8.9,1.89,8.56,0.03,-0.01,-0.14,0.0,g
