hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3024.0,2015.0,3261.0,4095.0,4095.0,2288.0,2447.0,2030.0,9.26,1.81,7.97,0.01,0.0,-0.18,0.0,g
3024.0,2045.0,3278.0,4095.0,4095.0,2283.0,2434.0,2025.0,9.19,1.81,8.15,-0.01,0.05,-0.15,0.0,g
3031.0,2047.0,3265.0,4095.0,4095.0,2292.0,2448.0,2031.0,9.0,1.85,8.11,0.04,0.03,-0.16,0.0,g
3031.0,2067.0,3271.0,4095.0,4095.0,2288.0,2449.0,2032.0,9.03,1.83,8.1,0.05,-0.02,-0.16,0.0,g
3013.0,2079.0,3264.0,4095.0,4095.0,2283.0,2451.0,2030.0,9.23,1.76,8.03,0.03,-0.01,-0.14,0.0,g
3014.0,2081.0,3263.0,4095.0,4095.0,2285.0,2449.0,2031.0,9.16,1.8,8.04,0.04,-0.02,-0.13,0.0,g
3024.0,2130.0,3275.0,4095.0,4095.0,2288.0,2443.0,2015.0,9.25,1.85,7.98,0.06,-0.0,-0.14,0.0,g
3013.0,2237.0,3278.0,4095.0,3856.0,2283.0,2432.0,2003.0,9.33,1.77,8.09,0.0,0.02,-0.15,0.0,g
3024.0,2263.0,3277.0,4095.0,3822.0,2283.0,2435.0,1996.0,9.18,1.86,8.05,0.07,0.01,-0.14,0.0,g
3037.0,2396.0,3281.0,4095.0,4095.0,2288.0,2438.0,1993.0,9.14,1.8,8.0,0.04,-0.04,-0.17,0.0,g
3008.0,2507.0,3270.0,4095.0,4095.0,2272.0,2426.0,1985.0,9.28,1.81,8.08,0.0,-0.05,-0.14,0.0,g
3023.0,2542.0,3267.0,4095.0,4095.0,2255.0,2413.0,1958.0,9.21,1.83,8.01,0.04,-0.03,-0.14,0.0,g
3015.0,2599.0,3280.0,4095.0,4095.0,2255.0,2416.0,1969.0,9.28,1.77,7.9,-0.0,-0.05,-0.17,0.0,g
3026.0,2867.0,3280.0,4095.0,4095.0,2256.0,2394.0,1957.0,9.37,1.92,7.81,0.06,-0.0,-0.16,0.0,g
3010.0,2918.0,3278.0,4095.0,4095.0,2256.0,2409.0,1936.0,9.23,1.89,7.97,-0.03,-0.01,-0.19,0.0,g
3020.0,3011.0,3274.0,4095.0,4095.0,2256.0,2410.0,1953.0,9.08,1.93,7.92,-0.06,-0.02,-0.17,0.0,g
3023.0,3141.0,3274.0,4095.0,4095.0,2240.0,2414.0,1973.0,9.22,1.9,7.87,-0.06,0.01,-0.18,0.0,g
3025.0,3189.0,3264.0,4095.0,4095.0,2250.0,2419.0,1975.0,9.27,1.83,8.03,0.0,-0.06,-0.19,0.0,g
3021.0,3267.0,3267.0,4095.0,4095.0,2259.0,2432.0,1989.0,9.16,1.99,7.9,0.05,-0.03,-0.17,0.0,g
3023.0,3289.0,3280.0,4095.0,4095.0,2267.0,2434.0,1984.0,9.27,1.92,7.82,0.05,-0.04,-0.16,0.0,g
3019.0,3284.0,3280.0,4095.0,4095.0,2281.0,2434.0,1987.0,9.3,2.02,7.83,0.07,-0.06,-0.17,0.0,g
3028.0,3306.0,3286.0,4095.0,4095.0,2286.0,2445.0,1981.0,9.21,2.09,7.73,0.05,-0.05,-0.14,0.0,g
3018.0,3301.0,3270.0,4095.0,4095.0,2291.0,2443.0,1989.0,9.18,2.13,7.63,0.02,-0.07,-0.17,0.0,g
3026.0,3300.0,3279.0,4095.0,4095.0,2295.0,2448.0,1994.0,9.27,2.05,7.81,-0.0,-0.02,-0.17,0.0,g
3022.0,3294.0,3276.0,4095.0,4095.0,2293.0,2454.0,1995.0,9.26,2.0,7.79,-0.01,-0.03,-0.2,0.0,g
3015.0,3289.0,3266.0,4095.0,4095.0,2301.0,2444.0,1998.0,9.35,1.96,7.74,-0.01,0.02,-0.15,0.0,g
3015.0,3295.0,3277.0,4095.0,4095.0,2292.0,2448.0,1989.0,9.13,1.98,7.67,0.03,-0.01,-0.13,0.0,g
3010.0,3287.0,3273.0,4095.0,4095.0,2301.0,2445.0,1995.0,9.22,2.08,7.64,0.02,-0.05,-0.16,0.0,g
3025.0,3285.0,3262.0,4095.0,4095.0,2293.0,2453.0,2001.0,9.4,2.03,7.66,0.0,-0.0,-0.18,0.0,g
3028.0,3293.0,3274.0,4095.0,4095.0,2291.0,2457.0,2014.0,9.22,2.05,7.74,0.01,0.01,-0.16,0.0,g
3014.0,3292.0,3264.0,4095.0,4095.0,2293.0,2449.0,2006.0,9.17,2.07,7.65,0.01,-0.02,-0.17,0.0,g
3025.0,3294.0,3270.0,4095.0,4095.0,2294.0,2454.0,2007.0,9.25,2.05,7.67,-0.04,-0.0,-0.15,0.0,g
3025.0,3295.0,3278.0,4095.0,4095.0,2294.0,2450.0,2000.0,9.22,2.02,7.63,-0.0,-0.01,-0.16,0.0,g
3023.0,3283.0,3270.0,4095.0,4095.0,2294.0,2447.0,2003.0,9.32,2.03,7.67,-0.02,0.04,-0.12,0.0,g
3019.0,3280.0,3262.0,4095.0,4095.0,2275.0,2448.0,1985.0,9.21,2.05,7.67,-0.06,0.03,-0.15,0.0,g
3020.0,3280.0,3248.0,4095.0,4095.0,2273.0,2429.0,1946.0,9.18,2.0,7.75,-0.05,-0.03,-0.14,0.0,g
3035.0,3315.0,3250.0,4095.0,4095.0,2249.0,2416.0,1936.0,9.29,2.01,7.62,-0.01,-0.03,-0.16,0.0,g
3021.0,3362.0,3252.0,4095.0,4095.0,2251.0,2402.0,1934.0,9.43,1.92,7.72,-0.05,-0.01,-0.16,0.0,g
3013.0,3359.0,3251.0,4095.0,4095.0,2254.0,2403.0,1924.0,9.28,1.98,7.66,-0.02,0.0,-0.15,0.0,g
3019.0,3378.0,3257.0,4095.0,4095.0,2261.0,2417.0,1929.0,9.3,1.96,7.76,0.02,-0.01,-0.17,0.0,g
3022.0,3381.0,3253.0,4095.0,4095.0,2263.0,2415.0,1936.0,9.2,1.99,7.62,0.03,0.0,-0.14,0.0,g
3029.0,3373.0,3248.0,4095.0,4095.0,2272.0,2416.0,1941.0,9.43,1.91,7.71,-0.0,0.02,-0.15,0.0,g
3021.0,3402.0,3255.0,4095.0,4095.0,2271.0,2427.0,1938.0,9.22,1.97,7.58,0.03,-0.01,-0.13,0.0,g
3026.0,3380.0,3249.0,4095.0,4095.0,2271.0,2427.0,1947.0,9.44,1.98,7.59,0.02,-0.01,-0.13,0.0,g
3026.0,3381.0,3248.0,4095.0,4095.0,2278.0,2423.0,1950.0,9.46,1.91,7.62,0.05,-0.01,-0.17,0.0,g
3026.0,3393.0,3244.0,4095.0,4095.0,2272.0,2425.0,1946.0,9.09,1.92,7.66,0.03,-0.03,-0.16,0.0,g
3024.0,3387.0,3248.0,4095.0,4095.0,2269.0,2428.0,1955.0,9.37,1.97,7.66,0.04,-0.03,-0.13,0.0,g
3024.0,3394.0,3255.0,4095.0,4095.0,2277.0,2431.0,1946.0,9.41,2.01,7.52,0.03,-0.01,-0.17,0.0,g
3030.0,3403.0,3255.0,4095.0,4095.0,2284.0,2430.0,1957.0,9.25,2.11,7.53,0.05,-0.03,-0.19,0.0,g
3011.0,3398.0,3245.0,4095.0,4095.0,2277.0,2425.0,1965.0,9.25,2.1,7.53,-0.02,-0.0,-0.15,0.0,g
3024.0,3399.0,3247.0,4095.0,4095.0,2284.0,2426.0,1968.0,9.06,2.0,7.79,0.01,-0.02,-0.15,0.0,g
3025.0,3405.0,3251.0,4095.0,4095.0,2281.0,2429.0,1958.0,9.44,2.02,7.51,0.06,-0.05,-0.14,0.0,g
3020.0,3389.0,3264.0,4095.0,4095.0,2283.0,2430.0,1967.0,9.39,1.94,7.56,0.0,-0.0,-0.15,0.0,g
3021.0,3396.0,3252.0,4095.0,4095.0,2282.0,2435.0,1966.0,9.39,1.96,7.71,-0.01,0.02,-0.16,0.0,g
3017.0,3395.0,3249.0,4095.0,4095.0,2288.0,2423.0,1966.0,9.28,2.05,7.69,0.02,-0.01,-0.2,0.0,g
3023.0,3398.0,3243.0,4095.0,4095.0,2277.0,2435.0,1968.0,9.23,2.02,7.59,-0.01,0.01,-0.17,0.0,g
3024.0,3394.0,3245.0,4095.0,4095.0,2275.0,2425.0,1974.0,9.24,1.93,7.69,-0.0,0.01,-0.17,0.0,g
3018.0,3408.0,3248.0,4095.0,4095.0,2286.0,2433.0,1969.0,9.35,2.02,7.75,0.01,0.02,-0.16,0.0,g
3023.0,3408.0,3247.0,4095.0,4095.0,2289.0,2439.0,1975.0,9.33,2.09,7.74,-0.0,0.04,-0.15,0.0,g
3024.0,3398.0,3248.0,4095.0,4095.0,2288.0,2434.0,1968.0,9.23,2.03,7.69,0.02,0.05,-0.16,0.0,g
3024.0,3414.0,3250.0,4095.0,4095.0,2290.0,2445.0,1979.0,9.15,2.01,7.81,-0.01,0.02,-0.15,0.0,g
3021.0,3392.0,3254.0,4095.0,4095.0,2289.0,2435.0,1977.0,9.28,2.03,7.67,-0.01,-0.01,-0.13,0.0,g
3019.0,3413.0,3248.0,4095.0,4095.0,2287.0,2439.0,1975.0,9.36,1.93,7.81,-0.01,0.01,-0.14,0.0,g
3027.0,3444.0,3253.0,4095.0,4095.0,2289.0,2445.0,1985.0,9.22,2.14,7.93,0.05,0.02,-0.19,0.0,g
3023.0,3440.0,3257.0,4095.0,4095.0,2275.0,2433.0,1984.0,8.76,2.57,8.23,0.13,-0.09,-0.17,0.0,g
3017.0,3463.0,3251.0,4095.0,4095.0,2294.0,2435.0,1978.0,8.46,1.99,7.76,0.07,-0.07,-0.17,0.0,g
3025.0,3471.0,3253.0,4095.0,4095.0,2290.0,2447.0,1981.0,8.36,1.88,7.98,0.07,-0.01,-0.16,0.0,g
3031.0,3470.0,3255.0,4095.0,4095.0,2288.0,2432.0,1983.0,9.51,1.84,7.47,0.09,-0.09,-0.11,0.0,g
3024.0,3449.0,3255.0,4095.0,4095.0,2285.0,2431.0,1983.0,9.38,2.07,7.56,-0.0,0.02,-0.14,0.0,g
3027.0,3470.0,3257.0,4095.0,4095.0,2284.0,2429.0,1987.0,9.35,2.0,7.83,0.04,-0.0,-0.16,0.0,g
3026.0,3450.0,3249.0,4095.0,4095.0,2293.0,2449.0,1984.0,9.14,2.17,7.7,0.04,-0.04,-0.22,0.0,g
3015.0,3472.0,3248.0,4095.0,4095.0,2296.0,2438.0,1983.0,9.27,2.1,7.54,0.03,-0.0,-0.24,0.0,g
3022.0,3459.0,3266.0,4095.0,4095.0,2294.0,2436.0,1984.0,8.66,2.45,7.22,-0.01,-0.17,-0.13,0.0,g
3023.0,3455.0,3248.0,4095.0,4095.0,2294.0,2435.0,1983.0,10.1,1.77,7.75,-0.14,-0.05,-0.27,0.0,g
3022.0,3454.0,3259.0,4095.0,4095.0,2289.0,2441.0,1979.0,9.41,2.15,7.99,0.02,0.03,-0.15,0.0,g
3015.0,3461.0,3248.0,4095.0,4095.0,2290.0,2441.0,1987.0,9.2,2.31,7.47,-0.09,0.11,-0.1,0.0,g
3024.0,3463.0,3252.0,4095.0,4095.0,2297.0,2443.0,1980.0,8.99,2.23,7.62,-0.09,0.08,-0.13,0.0,g
3019.0,3458.0,3251.0,4095.0,4095.0,2296.0,2443.0,1990.0,9.33,2.15,7.64,-0.04,0.05,-0.14,0.0,g
3030.0,3455.0,3255.0,4095.0,4095.0,2294.0,2437.0,1981.0,9.42,2.27,7.95,0.04,-0.07,-0.18,0.0,g
3026.0,3461.0,3249.0,4095.0,4095.0,2287.0,2439.0,1970.0,9.02,2.15,7.54,0.03,0.07,-0.16,0.0,g
3013.0,3457.0,3246.0,4095.0,4095.0,2295.0,2439.0,1990.0,9.56,2.21,7.55,0.09,0.01,-0.16,0.0,g
3010.0,3474.0,3257.0,4095.0,4095.0,2288.0,2449.0,1984.0,9.39,2.07,7.72,0.06,-0.06,-0.2,0.0,g
3026.0,3459.0,3253.0,4095.0,4095.0,2293.0,2443.0,1985.0,8.95,2.18,7.5,-0.03,0.02,-0.15,0.0,g
3030.0,3466.0,3248.0,4095.0,4095.0,2304.0,2441.0,1979.0,9.1,2.14,7.71,-0.0,-0.08,-0.15,0.0,g
3010.0,3451.0,3263.0,4095.0,4095.0,2289.0,2442.0,1976.0,9.58,2.34,7.51,0.05,-0.07,-0.12,0.0,g
3025.0,3456.0,3249.0,4095.0,4095.0,2289.0,2450.0,1978.0,9.14,2.34,7.68,-0.0,-0.02,-0.18,0.0,g
3017.0,3453.0,3254.0,4095.0,4095.0,2293.0,2447.0,1979.0,9.46,2.03,7.53,0.06,-0.02,-0.13,0.0,g
3028.0,3477.0,3251.0,4095.0,4095.0,2303.0,2443.0,1988.0,9.47,2.16,7.59,0.01,-0.01,-0.13,0.0,g
3024.0,3466.0,3246.0,4095.0,4095.0,2305.0,2439.0,1990.0,9.55,2.19,7.46,0.13,-0.04,-0.2,0.0,g
3019.0,3446.0,3251.0,4095.0,4095.0,2297.0,2446.0,1995.0,9.12,2.24,7.59,0.17,-0.07,-0.18,0.0,g
3036.0,3474.0,3258.0,4095.0,4095.0,2293.0,2448.0,1990.0,9.31,2.32,7.34,0.06,0.08,-0.1,0.0,g
3030.0,3451.0,3251.0,4095.0,4095.0,2289.0,2444.0,1984.0,9.1,2.32,7.7,-0.05,0.09,-0.07,0.0,g
3027.0,3453.0,3258.0,4095.0,4095.0,2291.0,2448.0,1981.0,9.26,2.23,7.6,0.06,0.09,-0.06,0.0,g
3024.0,3472.0,3251.0,4095.0,4095.0,2291.0,2434.0,1989.0,9.54,2.15,7.44,0.11,0.02,-0.15,0.0,g
3022.0,3472.0,3251.0,4095.0,4095.0,2289.0,2439.0,1982.0,9.59,2.28,7.54,0.1,0.05,-0.2,0.0,g
3018.0,3471.0,3243.0,4095.0,4095.0,2290.0,2442.0,1983.0,9.14,2.49,7.3,0.07,-0.01,-0.24,0.0,g
3018.0,3487.0,3245.0,4095.0,4095.0,2293.0,2445.0,1984.0,8.95,2.66,7.46,-0.06,-0.13,-0.1,0.0,g
3022.0,3483.0,3248.0,4095.0,4095.0,2289.0,2452.0,1983.0,9.73,2.13,7.79,-0.23,0.1,-0.21,0.0,g
3024.0,3476.0,3248.0,4095.0,4095.0,2298.0,2461.0,1983.0,8.65,2.17,7.9,-0.05,0.11,-0.15,0.0,g
3023.0,3475.0,3251.0,4095.0,4095.0,2292.0,2448.0,1970.0,9.16,2.26,7.82,0.06,-0.06,-0.16,0.0,g
3030.0,3472.0,3255.0,4095.0,4095.0,2297.0,2459.0,1986.0,9.25,2.3,7.83,0.12,-0.01,-0.16,0.0,g
3015.0,3490.0,3248.0,4095.0,4095.0,2291.0,2448.0,1987.0,8.56,2.35,7.91,0.08,-0.04,-0.38,0.0,g
3021.0,3489.0,3243.0,4095.0,4095.0,2302.0,2453.0,1987.0,9.56,2.24,7.9,0.0,0.09,-0.1,0.0,g
3015.0,3473.0,3249.0,4095.0,4095.0,2291.0,2451.0,1990.0,9.15,2.37,7.9,0.16,0.19,-0.18,0.0,g
3031.0,3500.0,3252.0,4095.0,4095.0,2294.0,2448.0,1990.0,9.11,2.73,7.62,0.08,0.07,-0.11,0.0,g
3024.0,3488.0,3255.0,4095.0,4095.0,2294.0,2453.0,1991.0,9.17,2.61,7.85,-0.01,-0.02,-0.14,0.0,g
3025.0,3490.0,3248.0,4095.0,4095.0,2294.0,2446.0,1982.0,8.79,2.62,7.78,0.06,-0.09,-0.18,0.0,g
3037.0,3504.0,3248.0,4095.0,4095.0,2291.0,2448.0,1985.0,9.06,2.2,7.91,0.02,0.16,-0.22,0.0,g
3024.0,3502.0,3242.0,4095.0,4095.0,2301.0,2453.0,1995.0,9.04,2.51,8.14,0.04,-0.01,-0.17,0.0,g
