hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2939.0,3095.0,3053.0,4095.0,4095.0,2822.0,3066.0,3328.0,-8.09,1.14,5.37,-0.11,-0.01,-0.06,1.0,g
2918.0,3098.0,3040.0,4095.0,4095.0,2829.0,3066.0,3311.0,-7.99,1.13,5.25,-0.04,0.01,-0.1,1.0,g
2928.0,3091.0,3044.0,4095.0,4095.0,2816.0,3054.0,3311.0,-7.97,1.21,4.97,-0.08,0.02,-0.09,1.0,g
2931.0,3104.0,3034.0,4095.0,4095.0,2817.0,3059.0,3313.0,-8.1,1.15,4.95,-0.06,0.03,-0.09,1.0,g
2931.0,3101.0,3045.0,4095.0,4095.0,2832.0,3060.0,3312.0,-8.13,1.06,4.97,-0.12,0.02,-0.07,1.0,g
2937.0,3089.0,3045.0,4095.0,4095.0,2818.0,3059.0,3318.0,-8.24,1.04,5.15,-0.09,-0.02,-0.08,1.0,g
2928.0,3095.0,3051.0,4095.0,4095.0,2817.0,3063.0,3312.0,-8.12,0.96,5.42,-0.08,0.02,-0.04,1.0,g
2925.0,3088.0,3042.0,4095.0,4095.0,2827.0,3069.0,3317.0,-8.18,1.01,5.19,-0.04,0.01,-0.05,1.0,g
2909.0,3094.0,3049.0,4095.0,4095.0,2819.0,3054.0,3317.0,-8.07,1.05,5.02,-0.05,0.02,-0.04,1.0,g
2930.0,2974.0,3043.0,4095.0,4095.0,2810.0,3061.0,3312.0,-8.13,1.07,4.95,-0.06,-0.0,-0.05,1.0,g
2928.0,3088.0,3035.0,4095.0,4095.0,2831.0,3059.0,3325.0,-8.08,1.01,5.03,-0.08,0.03,-0.05,1.0,g
2938.0,3105.0,3043.0,4095.0,4095.0,2832.0,3065.0,3315.0,-8.21,1.01,5.03,-0.08,0.0,-0.06,1.0,g
2917.0,3099.0,3035.0,4095.0,4095.0,2832.0,3056.0,3312.0,-8.11,1.08,5.02,-0.09,0.01,-0.05,1.0,g
2927.0,3103.0,3055.0,4095.0,4095.0,2833.0,3068.0,3312.0,-8.13,1.01,5.17,-0.12,-0.0,-0.04,1.0,g
2928.0,3101.0,3042.0,4095.0,4095.0,2829.0,3056.0,3326.0,-8.16,1.01,5.09,-0.08,0.01,-0.05,1.0,g
2926.0,3088.0,3037.0,4095.0,4095.0,2829.0,3057.0,3314.0,-8.21,1.0,5.09,-0.06,0.0,-0.03,1.0,g
2928.0,3091.0,3040.0,4095.0,4095.0,2832.0,3059.0,3318.0,-8.18,0.96,5.12,-0.06,0.01,-0.04,1.0,g
2922.0,3102.0,3046.0,4095.0,4095.0,2827.0,3059.0,3318.0,-8.16,0.99,5.07,-0.07,0.01,-0.02,1.0,g
2921.0,3091.0,3041.0,4095.0,4095.0,2834.0,3056.0,3321.0,-8.16,1.02,5.07,-0.06,-0.07,-0.01,1.0,g
2931.0,3088.0,3046.0,4095.0,4095.0,2835.0,3059.0,3319.0,-8.36,0.99,5.13,-0.02,-0.08,0.09,1.0,g
2931.0,3095.0,3056.0,4095.0,4095.0,2836.0,3070.0,3313.0,-8.06,1.18,5.07,-0.07,0.03,0.08,1.0,g
2931.0,3093.0,3038.0,4095.0,4095.0,2835.0,3057.0,3316.0,-8.2,1.09,5.23,-0.03,-0.09,0.04,1.0,g
2921.0,3089.0,3053.0,4095.0,4095.0,2829.0,3068.0,3330.0,-8.17,1.08,5.25,-0.04,-0.08,0.01,1.0,g
2934.0,3087.0,3043.0,4095.0,4095.0,2839.0,3055.0,3317.0,-8.25,1.22,5.18,-0.04,-0.08,0.02,1.0,g
2926.0,3095.0,3039.0,4095.0,4095.0,2842.0,3061.0,3312.0,-8.07,1.17,5.38,0.02,-0.3,0.08,1.0,g
2929.0,3093.0,3037.0,4095.0,4095.0,2834.0,3063.0,3328.0,-7.86,1.22,5.6,0.05,-0.25,0.02,1.0,g
2926.0,3098.0,3047.0,4095.0,4095.0,2845.0,3061.0,3323.0,-7.65,1.54,5.5,0.14,-0.37,0.03,1.0,g
2933.0,3119.0,3040.0,4095.0,4095.0,2837.0,3065.0,3314.0,-7.64,1.67,5.3,-0.1,-0.01,0.01,1.0,g
2914.0,3092.0,3048.0,4095.0,4095.0,2832.0,3069.0,3309.0,-7.69,1.33,5.76,0.02,-0.14,-0.11,1.0,g
2921.0,3091.0,3045.0,4095.0,4095.0,2833.0,3065.0,3312.0,-7.37,1.86,5.63,-0.01,0.01,-0.1,1.0,g
2917.0,3095.0,3043.0,4095.0,4095.0,2832.0,3059.0,3313.0,-7.62,1.32,5.76,-0.16,-0.01,-0.04,1.0,g
2918.0,3101.0,3040.0,4095.0,4095.0,2831.0,3063.0,3303.0,-7.67,1.47,5.74,-0.05,-0.0,-0.11,1.0,g
2931.0,3087.0,3040.0,4095.0,4095.0,2813.0,3062.0,3303.0,-7.65,1.32,5.79,-0.08,0.03,-0.11,1.0,g
2933.0,3093.0,3038.0,4095.0,4095.0,2826.0,3063.0,3313.0,-7.79,1.3,5.67,-0.04,0.04,-0.13,1.0,g
2930.0,3099.0,3039.0,4095.0,4095.0,2798.0,3056.0,3326.0,-8.03,1.32,5.63,0.04,0.06,-0.15,1.0,g
2945.0,3097.0,3044.0,4095.0,4095.0,2768.0,3042.0,3301.0,-7.68,1.21,5.73,-0.16,0.15,-0.13,1.0,g
2943.0,3081.0,3054.0,4095.0,4095.0,2781.0,3050.0,3328.0,-7.75,1.27,5.45,-0.04,0.22,-0.18,1.0,g
2949.0,3094.0,3036.0,4095.0,4095.0,2788.0,3056.0,3361.0,-8.0,1.32,5.37,-0.06,0.13,-0.11,1.0,g
2946.0,3093.0,3034.0,4095.0,4095.0,2783.0,3056.0,3359.0,-7.7,1.21,5.21,-0.31,0.54,-0.02,1.0,g
2946.0,3088.0,3050.0,4095.0,4095.0,2786.0,3054.0,3364.0,-7.92,1.04,5.32,-0.24,0.52,-0.06,1.0,g
2955.0,3095.0,3043.0,4095.0,4095.0,2783.0,3046.0,3363.0,-8.0,1.03,5.09,-0.16,0.42,-0.17,1.0,g
2945.0,3088.0,3051.0,4095.0,4095.0,2774.0,3041.0,3366.0,-8.59,0.84,4.7,-0.27,0.54,-0.06,1.0,g
2953.0,3114.0,3050.0,4095.0,4095.0,2778.0,3042.0,3349.0,-8.83,0.66,4.54,-0.07,0.08,-0.14,1.0,g
2944.0,3089.0,3051.0,4095.0,4095.0,2779.0,3020.0,3314.0,-8.45,0.92,4.36,0.01,0.02,-0.06,1.0,g
2939.0,3031.0,3054.0,4080.0,4095.0,2782.0,2994.0,3278.0,-8.58,0.72,4.6,0.04,0.06,-0.07,1.0,g
2947.0,3099.0,3051.0,4080.0,4095.0,2768.0,2991.0,3262.0,-8.45,0.89,4.45,0.07,0.01,-0.09,1.0,g
2944.0,3098.0,3056.0,3949.0,4095.0,2775.0,2987.0,3270.0,-8.52,0.8,4.41,-0.2,0.29,0.0,1.0,g
2960.0,3101.0,3056.0,3719.0,4095.0,2768.0,2998.0,3280.0,-8.48,0.83,4.35,-0.15,0.14,-0.06,1.0,g
2946.0,3099.0,3049.0,3597.0,4095.0,2768.0,3006.0,3286.0,-8.24,0.87,4.26,-0.08,0.07,-0.05,1.0,g
2947.0,3106.0,3054.0,3582.0,4095.0,2755.0,3009.0,3298.0,-8.63,0.77,4.37,-0.06,0.16,-0.03,1.0,g
2973.0,3094.0,3059.0,3618.0,4095.0,2751.0,3005.0,3297.0,-8.52,0.91,3.95,-0.1,-0.03,-0.04,1.0,g
2964.0,3106.0,3061.0,3648.0,4095.0,2704.0,2991.0,3292.0,-8.7,0.89,4.01,-0.09,-0.05,-0.02,1.0,g
2959.0,3120.0,3057.0,3715.0,4095.0,2631.0,2986.0,3293.0,-8.66,0.69,4.17,-0.19,-0.18,-0.02,1.0,g
2960.0,3134.0,3068.0,3770.0,4095.0,2621.0,2972.0,3281.0,-8.24,0.72,4.42,0.01,-0.18,-0.12,1.0,g
2959.0,3142.0,3059.0,3827.0,4095.0,2626.0,2971.0,3282.0,-8.47,1.02,4.32,-0.1,0.09,0.01,1.0,g
2966.0,3137.0,3067.0,3888.0,4095.0,2629.0,2961.0,3286.0,-8.39,0.81,4.26,-0.09,-0.15,-0.06,1.0,g
2960.0,3138.0,3063.0,3933.0,4095.0,2640.0,2966.0,3279.0,-8.53,0.81,4.48,-0.07,0.05,-0.08,1.0,g
2954.0,3137.0,3067.0,3942.0,4095.0,2657.0,2973.0,3280.0,-8.32,0.82,4.31,-0.1,-0.1,-0.1,1.0,g
2953.0,3129.0,3068.0,3987.0,4095.0,2667.0,2969.0,3287.0,-8.28,0.64,4.58,-0.09,0.1,-0.05,1.0,g
2933.0,3139.0,3061.0,4038.0,4095.0,2669.0,2976.0,3283.0,-8.71,0.68,4.47,0.02,0.09,-0.09,1.0,g
2935.0,3151.0,3066.0,4071.0,4095.0,2670.0,2990.0,3285.0,-8.56,0.85,4.16,0.09,0.09,-0.03,1.0,g
2945.0,3147.0,3071.0,4095.0,4095.0,2671.0,2992.0,3276.0,-8.59,0.54,4.29,-0.06,0.05,-0.03,1.0,g
2935.0,3163.0,3082.0,4095.0,4095.0,2673.0,2995.0,3281.0,-8.63,0.72,4.31,0.0,-0.02,-0.05,1.0,g
2928.0,3141.0,3071.0,4095.0,4095.0,2671.0,2997.0,3289.0,-8.5,0.66,4.34,-0.07,-0.07,-0.07,1.0,g
2935.0,3151.0,3065.0,4095.0,4095.0,2666.0,3006.0,3284.0,-8.48,0.74,4.4,0.04,-0.14,-0.08,1.0,g
2934.0,3152.0,3079.0,4095.0,4095.0,2668.0,3003.0,3291.0,-8.45,0.71,4.45,0.06,-0.19,-0.1,1.0,g
2941.0,3147.0,3057.0,4095.0,4095.0,2673.0,3006.0,3280.0,-8.07,0.98,4.58,0.23,-0.41,-0.19,1.0,g
2945.0,3143.0,3058.0,4095.0,4095.0,2683.0,2994.0,3287.0,-8.32,0.67,4.84,0.15,-0.2,-0.11,1.0,g
2947.0,3146.0,3069.0,4095.0,4095.0,2675.0,2995.0,3283.0,-7.97,0.83,4.69,0.11,-0.35,-0.21,1.0,g
2943.0,3152.0,3081.0,4095.0,4095.0,2693.0,2992.0,3286.0,-8.12,0.85,5.04,0.02,0.01,-0.1,1.0,g
