hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3137.0,4095.0,3251.0,4095.0,4095.0,2587.0,2833.0,3105.0,9.85,2.83,7.92,-0.22,-0.13,-0.17,0.0,g
3143.0,4095.0,3247.0,4095.0,4095.0,2594.0,2841.0,3111.0,10.03,2.84,9.06,-0.31,0.01,-0.4,0.0,g
3167.0,4095.0,3250.0,4095.0,4095.0,2597.0,2835.0,3098.0,9.89,2.69,8.9,-0.17,0.15,-0.68,0.0,g
3152.0,4095.0,3248.0,4095.0,4095.0,2593.0,2834.0,3105.0,8.16,2.61,8.63,-0.43,-0.11,-0.79,0.0,g
3156.0,4095.0,3251.0,4095.0,4095.0,2597.0,2839.0,3104.0,8.01,2.41,9.05,-0.51,-0.1,-0.7,0.0,g
3154.0,4095.0,3245.0,4095.0,4095.0,2597.0,2835.0,3109.0,7.78,2.17,8.82,-0.54,-0.11,-0.59,0.0,g
3155.0,4095.0,3257.0,4095.0,4095.0,2602.0,2836.0,3110.0,8.2,1.49,9.53,-0.69,-0.24,-0.49,0.0,g
3152.0,4095.0,3251.0,4095.0,4095.0,2598.0,2832.0,3109.0,8.5,1.46,9.77,-0.52,-0.2,-0.5,0.0,g
3150.0,4095.0,3248.0,4095.0,4095.0,2597.0,2831.0,3110.0,8.29,1.26,10.0,-0.45,-0.28,-0.56,0.0,g
3147.0,4095.0,3251.0,4095.0,4095.0,2599.0,2837.0,3111.0,7.89,1.39,9.63,-0.45,-0.23,-0.5,0.0,g
3158.0,4095.0,3245.0,4095.0,4095.0,2601.0,2830.0,3111.0,7.96,1.32,9.06,-0.36,-0.12,-0.45,0.0,g
3149.0,4095.0,3247.0,4095.0,4095.0,2593.0,2829.0,3106.0,8.19,0.97,9.68,-0.26,-0.22,-0.43,0.0,g
3146.0,4095.0,3253.0,4095.0,4095.0,2595.0,2830.0,3105.0,8.3,1.3,9.93,-0.17,-0.11,-0.35,0.0,g
3148.0,4095.0,3246.0,4095.0,4095.0,2583.0,2825.0,3105.0,8.03,1.64,10.11,-0.08,-0.04,-0.2,0.0,g
3147.0,4095.0,3243.0,4031.0,4095.0,2559.0,2827.0,3105.0,7.87,1.94,9.96,0.06,-0.04,-0.11,0.0,g
