hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3011.0,951.0,3000.0,4095.0,3209.0,3391.0,4095.0,4095.0,12.21,1.13,-0.09,0.12,-5.7,-2.2,0.0,1359.0,4095.0,961.0,3106.0,4095.0,4095.0,4095.0,3861.0,-9.49,2.24,-5.54,-0.93,-0.01,1.3,1.0,good
2887.0,964.0,2935.0,4095.0,3489.0,3698.0,4095.0,4095.0,8.46,1.18,-2.53,-0.54,-2.04,-1.7,0.0,1413.0,4095.0,1011.0,3070.0,4095.0,4095.0,4095.0,3854.0,-5.79,3.71,-3.95,-1.61,0.16,1.06,1.0,good
3536.0,994.0,2927.0,4095.0,3646.0,3913.0,4095.0,4095.0,3.51,1.87,0.3,0.35,-1.32,-0.89,0.0,1282.0,4095.0,1095.0,3113.0,4095.0,4095.0,4095.0,1183.0,-8.15,4.9,-2.24,-0.7,-0.06,0.75,1.0,good
3833.0,985.0,3290.0,4095.0,3613.0,4065.0,4095.0,4095.0,5.79,3.47,-5.64,0.48,-0.35,-0.11,0.0,1127.0,4095.0,1259.0,3216.0,4095.0,4095.0,4095.0,528.0,-6.48,6.32,-1.71,-1.98,0.24,0.36,1.0,good
3885.0,980.0,3312.0,4095.0,3600.0,4095.0,4095.0,4095.0,6.15,3.23,-5.17,0.05,0.03,-0.06,0.0,1097.0,4095.0,1084.0,3293.0,4095.0,4095.0,4095.0,696.0,-5.78,6.43,2.93,-1.9,0.05,0.11,1.0,good
3999.0,994.0,3344.0,4095.0,3685.0,4095.0,4095.0,4095.0,5.7,2.68,-3.78,-0.21,0.32,-0.46,0.0,4095.0,4095.0,896.0,3371.0,4095.0,4095.0,4095.0,986.0,-0.89,5.91,6.0,0.74,-0.19,-0.24,1.0,good
3938.0,982.0,3456.0,4095.0,3635.0,4095.0,4095.0,4006.0,6.02,2.47,-3.56,-0.27,-0.3,-0.69,0.0,4095.0,4095.0,2559.0,3189.0,4095.0,4095.0,4095.0,1251.0,-9.07,-4.72,-19.05,3.78,3.63,-1.94,1.0,good
3897.0,969.0,3408.0,4095.0,3607.0,4014.0,4095.0,4095.0,6.0,3.5,-1.97,0.16,-0.82,-0.61,0.0,4095.0,4095.0,1198.0,3376.0,4095.0,4095.0,4095.0,679.0,-5.65,-0.2,-12.9,0.18,0.81,-0.53,1.0,good
3193.0,980.0,3271.0,4095.0,3381.0,3684.0,4095.0,4095.0,9.52,4.88,-6.16,0.68,-0.03,-0.06,0.0,4095.0,4095.0,1043.0,3392.0,4095.0,4095.0,4095.0,637.0,-6.44,-1.19,-9.06,-0.19,0.16,-0.18,1.0,good
3203.0,1001.0,3285.0,4095.0,3425.0,3648.0,4095.0,4095.0,5.06,3.01,-4.01,0.03,-0.04,-0.1,0.0,4095.0,4095.0,1014.0,3408.0,4095.0,4095.0,4095.0,2033.0,-5.25,-0.39,-8.37,-0.14,0.27,-0.01,1.0,good
3211.0,1009.0,3280.0,4095.0,3439.0,3641.0,4095.0,4095.0,5.2,2.7,-4.0,-0.08,0.18,-0.06,0.0,4095.0,4095.0,990.0,3436.0,4095.0,4095.0,4095.0,1488.0,-4.36,-0.42,-7.98,-0.14,0.18,-0.03,1.0,good
3239.0,1011.0,3267.0,4095.0,3425.0,3653.0,4095.0,4095.0,5.56,2.85,-4.25,0.01,0.07,-0.13,0.0,4095.0,4095.0,982.0,3271.0,4095.0,4095.0,4095.0,1499.0,-4.89,-0.28,-8.65,-0.0,-0.03,-0.02,1.0,good
3216.0,1005.0,3241.0,4095.0,3438.0,3653.0,4095.0,4095.0,5.38,2.72,-4.1,0.03,-0.03,-0.15,0.0,4095.0,4095.0,995.0,3309.0,4095.0,4095.0,4095.0,1568.0,-4.53,-0.21,-8.31,-0.07,0.0,-0.04,1.0,good
3230.0,1012.0,3224.0,4095.0,3425.0,3663.0,4095.0,4095.0,5.46,2.84,-3.93,0.02,-0.0,-0.16,0.0,4095.0,4095.0,990.0,3290.0,4095.0,4095.0,4095.0,1611.0,-4.68,-0.27,-8.28,-0.03,0.02,-0.02,1.0,good
3220.0,1023.0,3242.0,4095.0,3429.0,3666.0,4095.0,4095.0,5.53,2.7,-3.8,0.01,0.01,-0.12,0.0,4095.0,4095.0,995.0,3313.0,4095.0,4095.0,4095.0,2039.0,-4.64,-0.22,-8.42,-0.04,0.03,-0.05,1.0,good
3223.0,1019.0,3223.0,4095.0,3423.0,3664.0,4095.0,4095.0,5.4,2.68,-3.92,-0.0,0.01,-0.12,0.0,4095.0,4095.0,993.0,3314.0,4095.0,4095.0,4095.0,2251.0,-4.49,-0.27,-8.63,-0.05,-0.04,-0.04,1.0,good
3229.0,997.0,3218.0,4095.0,3424.0,3656.0,4095.0,4095.0,5.53,2.7,-3.91,-0.01,0.05,-0.13,0.0,4095.0,4095.0,990.0,3312.0,4095.0,4095.0,4095.0,2416.0,-4.52,-0.23,-8.46,-0.05,0.0,-0.01,1.0,good
3216.0,1014.0,3206.0,4095.0,3412.0,3668.0,4095.0,4095.0,5.41,2.68,-3.94,0.02,-0.02,-0.17,0.0,4095.0,4095.0,1002.0,3330.0,4095.0,4095.0,4095.0,2415.0,-4.57,-0.26,-8.47,-0.06,-0.0,-0.02,1.0,good
