hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
2921.0,2983.0,2946.0,3239.0,4095.0,4095.0,2955.0,2504.0,9.87,2.27,5.33,0.09,-0.08,-0.11,h
2928.0,2974.0,2939.0,3237.0,4095.0,4095.0,2951.0,2503.0,9.84,2.41,5.25,-0.02,0.0,-0.08,h
2918.0,2983.0,2946.0,3245.0,4095.0,4095.0,2953.0,2506.0,9.76,2.45,5.27,0.03,-0.05,-0.13,h
2899.0,2977.0,2948.0,3254.0,4095.0,4095.0,2955.0,2502.0,9.81,2.38,5.31,-0.03,-0.02,-0.12,h
2919.0,2984.0,2948.0,3249.0,4095.0,4095.0,2946.0,2503.0,9.89,2.44,5.27,0.05,-0.05,-0.16,h
2960.0,2977.0,2955.0,3248.0,4095.0,4095.0,2950.0,2506.0,9.79,2.43,5.26,0.02,-0.03,-0.16,h
3036.0,2977.0,2939.0,3254.0,4095.0,4095.0,2950.0,2508.0,9.75,2.29,5.23,0.04,-0.1,-0.2,h
3069.0,2982.0,2943.0,3257.0,4095.0,4095.0,2955.0,2511.0,9.57,2.35,5.13,-0.03,-0.03,-0.17,h
3089.0,2980.0,2947.0,3257.0,4095.0,4095.0,2958.0,2502.0,9.8,2.29,5.21,-0.01,-0.04,-0.17,h
3085.0,2992.0,2949.0,3254.0,4095.0,4095.0,2958.0,2503.0,9.78,2.41,5.09,0.03,-0.02,-0.18,h
3100.0,2990.0,2957.0,3259.0,4095.0,4095.0,2960.0,2511.0,9.72,2.28,5.21,-0.0,-0.02,-0.17,h
3152.0,2988.0,2938.0,3248.0,4095.0,4095.0,2962.0,2511.0,9.79,2.33,5.15,0.03,-0.06,-0.19,h
3166.0,2979.0,2955.0,3219.0,4095.0,4095.0,2961.0,2512.0,9.87,2.3,5.23,0.03,-0.06,-0.14,h
3253.0,2983.0,2947.0,3207.0,4095.0,4095.0,2967.0,2512.0,9.74,2.35,5.26,0.08,0.18,-0.12,h
3306.0,2977.0,2938.0,3185.0,4095.0,4095.0,2979.0,2515.0,9.75,2.32,5.35,0.08,-0.05,-0.18,h
3299.0,2976.0,2941.0,3194.0,4095.0,4095.0,2979.0,2513.0,9.79,2.41,5.2,0.1,-0.06,-0.22,h
3303.0,2986.0,2937.0,3194.0,4095.0,4095.0,2985.0,2517.0,9.5,2.33,5.04,0.04,-0.05,-0.18,h
3271.0,2983.0,2951.0,3194.0,4095.0,4095.0,2986.0,2517.0,9.63,2.39,4.99,0.06,-0.08,-0.19,h
3198.0,2973.0,2953.0,3199.0,4095.0,4095.0,2985.0,2519.0,9.7,2.4,4.9,0.02,-0.09,-0.16,h
3163.0,2992.0,2939.0,3211.0,4095.0,4095.0,2983.0,2519.0,9.66,2.43,4.97,0.01,-0.03,-0.13,h
3121.0,2992.0,2951.0,3226.0,4095.0,4095.0,2981.0,2518.0,9.84,2.42,4.95,-0.07,-0.01,-0.1,h
3131.0,2981.0,2944.0,3194.0,4095.0,4095.0,2955.0,2516.0,9.6,2.61,5.21,-0.14,0.27,-0.02,h
3191.0,2992.0,2955.0,3145.0,4095.0,4095.0,2940.0,2529.0,10.01,2.15,5.52,-0.02,0.16,-0.1,h
3213.0,2981.0,2943.0,3113.0,4095.0,4095.0,2949.0,2544.0,9.57,2.24,5.16,-0.06,-0.05,-0.14,h
3219.0,2991.0,2935.0,3097.0,4095.0,4095.0,2946.0,2557.0,9.75,2.41,5.16,0.06,0.04,-0.2,h
3216.0,2982.0,2943.0,3101.0,4095.0,4095.0,2959.0,2559.0,9.74,2.28,5.26,-0.08,-0.06,-0.19,h
3211.0,2973.0,2947.0,3123.0,4095.0,4095.0,2961.0,2579.0,9.64,2.3,5.26,0.01,-0.16,-0.17,h
3143.0,2992.0,2948.0,3154.0,4095.0,4095.0,2981.0,2557.0,9.67,2.34,5.24,-0.04,-0.09,-0.17,h
3021.0,2991.0,2944.0,3170.0,4095.0,4095.0,2970.0,2558.0,9.95,2.36,5.22,-0.01,-0.09,-0.17,h
3021.0,2994.0,2942.0,3177.0,4095.0,4095.0,2978.0,2558.0,9.9,2.32,5.16,0.01,0.03,-0.16,h
