hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
4095.0,2992.0,4095.0,3216.0,4095.0,4095.0,3312.0,3313.0,-9.32,0.39,2.01,-0.06,0.0,-0.04,1.0,h
4095.0,2976.0,4095.0,3205.0,4095.0,4095.0,3313.0,3319.0,-9.29,0.2,2.25,-0.03,-0.03,-0.04,1.0,h
4095.0,2985.0,4095.0,3213.0,4095.0,4095.0,3312.0,3325.0,-9.2,0.49,1.99,0.07,-0.07,-0.05,1.0,h
4095.0,2971.0,4095.0,3207.0,4095.0,4095.0,3323.0,3330.0,-9.33,0.38,1.74,-0.05,0.01,-0.03,1.0,h
4095.0,2981.0,4095.0,3210.0,4095.0,4095.0,3314.0,3315.0,-9.21,0.32,2.38,-0.0,-0.01,-0.06,1.0,h
4095.0,2980.0,4095.0,3202.0,4095.0,4095.0,3329.0,3344.0,-9.55,0.21,2.39,0.06,-0.06,-0.04,1.0,h
4095.0,2970.0,4095.0,3206.0,4095.0,4095.0,3328.0,3327.0,-9.22,0.35,2.38,0.21,-0.22,-0.04,1.0,h
4095.0,2982.0,4095.0,3210.0,4095.0,4095.0,3329.0,3333.0,-9.24,0.48,2.49,0.21,-0.24,-0.05,1.0,h
4095.0,2978.0,4095.0,3213.0,4095.0,4095.0,3314.0,3332.0,-9.15,0.51,2.48,0.18,-0.17,-0.03,1.0,h
4095.0,2979.0,4095.0,3219.0,4095.0,4095.0,3322.0,3334.0,-8.81,0.79,2.34,0.06,-0.07,-0.04,1.0,h
4095.0,2963.0,4095.0,3201.0,4095.0,4095.0,3323.0,3329.0,-9.2,0.62,2.44,-0.08,0.07,-0.04,1.0,h
4095.0,2991.0,4095.0,3219.0,4095.0,4095.0,3325.0,3337.0,-9.21,0.54,2.66,-0.09,0.02,-0.03,1.0,h
4095.0,2977.0,4095.0,3230.0,4095.0,4095.0,3312.0,3327.0,-9.12,0.59,2.56,-0.1,0.02,-0.03,1.0,h
4095.0,2992.0,4095.0,3216.0,4095.0,4095.0,3322.0,3335.0,-9.09,0.58,2.54,-0.11,0.05,-0.05,1.0,h
4095.0,2982.0,4095.0,3218.0,4095.0,4095.0,3315.0,3337.0,-9.19,0.5,2.71,-0.06,0.02,-0.03,1.0,h
4095.0,2981.0,4095.0,3215.0,4095.0,4095.0,3311.0,3321.0,-9.07,0.62,2.53,-0.04,0.0,-0.03,1.0,h
4095.0,2978.0,4095.0,3217.0,4095.0,4095.0,3319.0,3331.0,-9.15,0.57,2.52,-0.1,0.01,-0.05,1.0,h
4095.0,2970.0,4095.0,3215.0,4095.0,4095.0,3315.0,3328.0,-9.21,0.54,2.53,-0.08,-0.02,-0.04,1.0,h
4095.0,2982.0,4095.0,3211.0,4095.0,4095.0,3329.0,3344.0,-9.14,0.5,2.68,-0.06,0.01,-0.04,1.0,h
4095.0,2977.0,4095.0,3214.0,4095.0,4095.0,3313.0,3326.0,-9.06,0.51,2.57,-0.06,-0.02,-0.04,1.0,h
4095.0,2982.0,4095.0,3216.0,4095.0,4095.0,3312.0,3330.0,-9.23,0.46,2.61,-0.07,0.02,-0.05,1.0,h
4095.0,2986.0,4095.0,3222.0,4095.0,4095.0,3312.0,3330.0,-9.2,0.52,2.57,-0.06,0.01,-0.02,1.0,h
4095.0,2985.0,4095.0,3222.0,4095.0,4095.0,3326.0,3340.0,-9.06,0.54,2.51,-0.07,0.01,-0.03,1.0,h
4095.0,2970.0,4095.0,3216.0,4095.0,4095.0,3322.0,3339.0,-9.18,0.51,2.58,-0.06,-0.01,-0.05,1.0,h
4095.0,2979.0,4095.0,3219.0,4095.0,4095.0,3327.0,3344.0,-9.12,0.57,2.55,-0.07,0.01,-0.03,1.0,h
4095.0,2975.0,4095.0,3214.0,4095.0,4095.0,3322.0,3337.0,-9.11,0.53,2.6,-0.07,-0.01,-0.04,1.0,h
4095.0,2987.0,4095.0,3227.0,4095.0,4095.0,3325.0,3343.0,-9.21,0.49,2.51,-0.04,-0.01,-0.03,1.0,h
4095.0,2987.0,4095.0,3219.0,4095.0,4095.0,3316.0,3330.0,-9.07,0.52,2.59,-0.06,-0.01,-0.03,1.0,h
4095.0,2977.0,4095.0,3221.0,4095.0,4095.0,3333.0,3337.0,-9.16,0.51,2.57,-0.06,-0.01,-0.04,1.0,h
4095.0,2982.0,4095.0,3219.0,4095.0,4095.0,3317.0,3328.0,-9.08,0.53,2.61,-0.06,-0.01,-0.04,1.0,h
4095.0,2987.0,4095.0,3215.0,4095.0,4095.0,3331.0,3335.0,-9.09,0.51,2.66,-0.02,-0.03,-0.06,1.0,h
4095.0,2978.0,4095.0,3216.0,4095.0,4095.0,3321.0,3330.0,-9.19,0.51,2.49,-0.05,-0.02,-0.05,1.0,h
4095.0,2974.0,4095.0,3226.0,4095.0,4095.0,3337.0,3341.0,-9.18,0.49,2.57,-0.06,0.01,-0.03,1.0,h
4095.0,2992.0,4095.0,3223.0,4095.0,4095.0,3328.0,3344.0,-9.03,0.52,2.63,-0.03,-0.04,-0.06,1.0,h
4095.0,2971.0,4095.0,3207.0,4095.0,4095.0,3323.0,3344.0,-9.23,0.45,2.71,-0.05,-0.01,-0.05,1.0,h
4095.0,2980.0,4095.0,3229.0,4095.0,4095.0,3318.0,3341.0,-9.17,0.49,2.65,-0.04,0.03,-0.02,1.0,h
4095.0,2975.0,4095.0,3210.0,4095.0,4095.0,3327.0,3337.0,-9.16,0.56,2.5,-0.05,-0.05,-0.03,1.0,h
4095.0,2974.0,4095.0,3218.0,4095.0,4095.0,3337.0,3346.0,-9.24,0.29,2.98,-0.03,-0.28,-0.02,1.0,h
4095.0,2979.0,4095.0,3216.0,4095.0,4095.0,3332.0,3333.0,-9.03,0.23,3.25,0.08,-0.67,-0.12,1.0,h
4095.0,2979.0,4095.0,3221.0,4095.0,4095.0,3329.0,3343.0,-8.15,0.58,3.88,0.04,-0.38,-0.08,1.0,h
1173.0,2992.0,4095.0,3212.0,4095.0,4095.0,3335.0,3345.0,-8.27,0.61,4.7,-0.09,0.42,-0.09,1.0,h
1171.0,2969.0,4095.0,3191.0,4095.0,4095.0,3337.0,3338.0,-8.62,0.58,4.24,-0.13,0.51,-0.09,1.0,h
1181.0,2972.0,4095.0,3205.0,4095.0,4095.0,3343.0,3354.0,-8.91,0.43,4.35,-0.1,0.48,-0.07,1.0,h
1185.0,2967.0,4095.0,3191.0,4095.0,4095.0,3331.0,3339.0,-8.87,0.53,3.53,-0.01,0.13,-0.1,1.0,h
1191.0,2985.0,4095.0,3215.0,4095.0,4095.0,3342.0,3339.0,-8.88,0.42,3.45,-0.09,0.15,-0.08,1.0,h
1179.0,2970.0,4095.0,3195.0,4095.0,4095.0,3329.0,3347.0,-9.06,0.26,3.86,0.01,0.0,-0.07,1.0,h
