hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1053.0,2963.0,2923.0,3394.0,4095.0,4095.0,2640.0,2341.0,9.75,-1.35,6.8,-0.04,-0.01,-0.19,0.0,h
1057.0,2953.0,2928.0,3392.0,4095.0,4095.0,2649.0,2342.0,9.71,-1.3,6.68,0.01,-0.04,-0.23,0.0,h
1060.0,2963.0,2934.0,3406.0,4095.0,4095.0,2646.0,2349.0,9.6,-1.19,6.65,0.0,0.02,-0.17,0.0,h
1059.0,2967.0,2923.0,3403.0,4095.0,4095.0,2653.0,2345.0,9.64,-1.23,6.7,-0.0,0.04,-0.14,0.0,h
1067.0,2951.0,2926.0,3392.0,4095.0,4095.0,2645.0,2341.0,9.67,-1.3,6.79,0.02,0.05,-0.13,0.0,h
1066.0,2961.0,2930.0,3392.0,4095.0,4095.0,2643.0,2345.0,9.73,-1.23,6.71,0.02,0.05,-0.14,0.0,h
1067.0,2960.0,2926.0,3399.0,4095.0,4095.0,2646.0,2343.0,9.6,-1.26,6.77,0.03,0.01,-0.15,0.0,h
1061.0,2953.0,2930.0,3402.0,4095.0,4095.0,2646.0,2340.0,9.63,-1.27,6.76,-0.01,-0.01,-0.15,0.0,h
1066.0,2947.0,2921.0,3403.0,4095.0,4095.0,2658.0,2341.0,9.7,-1.18,6.64,0.01,0.01,-0.13,0.0,h
1054.0,2961.0,2927.0,3395.0,4095.0,4095.0,2654.0,2346.0,9.65,-1.24,6.66,-0.03,-0.03,-0.17,0.0,h
1051.0,2949.0,2933.0,3397.0,4095.0,4095.0,2641.0,2343.0,9.87,-1.3,6.66,-0.04,-0.02,-0.17,0.0,h
1072.0,2959.0,2925.0,3393.0,4095.0,4095.0,2645.0,2346.0,9.67,-1.2,6.69,-0.02,-0.07,-0.19,0.0,h
1067.0,2953.0,2928.0,3398.0,4095.0,4095.0,2641.0,2350.0,9.73,-1.29,6.66,-0.03,-0.02,-0.18,0.0,h
1053.0,2955.0,2931.0,3394.0,4095.0,4095.0,2641.0,2351.0,9.69,-1.24,6.65,0.0,-0.03,-0.16,0.0,h
1072.0,2960.0,2928.0,3394.0,4095.0,4095.0,2646.0,2352.0,9.77,-1.28,6.63,-0.0,-0.02,-0.15,0.0,h
1061.0,2957.0,2939.0,3395.0,4095.0,4095.0,2655.0,2355.0,9.7,-1.25,6.63,0.01,-0.04,-0.16,0.0,h
1056.0,2949.0,2917.0,3390.0,4095.0,4095.0,2653.0,2349.0,9.65,-1.22,6.63,0.02,-0.03,-0.16,0.0,h
1061.0,2964.0,2928.0,3395.0,4095.0,4095.0,2655.0,2351.0,9.56,-1.18,6.69,0.01,-0.0,-0.16,0.0,h
1061.0,2960.0,2930.0,3383.0,4095.0,4095.0,2657.0,2346.0,9.8,-1.13,6.57,0.06,0.02,-0.12,0.0,h
1069.0,2955.0,2930.0,3374.0,4095.0,4095.0,2660.0,2345.0,9.66,-1.19,6.64,0.04,0.01,-0.17,0.0,h
1067.0,2963.0,2931.0,3384.0,4095.0,4095.0,2666.0,2350.0,9.6,-1.15,6.57,0.05,0.02,-0.16,0.0,h
1053.0,2970.0,2933.0,3389.0,4095.0,4095.0,2674.0,2352.0,9.66,-1.17,6.63,0.02,-0.01,-0.14,0.0,h
1062.0,2957.0,2928.0,3397.0,4095.0,4095.0,2662.0,2352.0,9.79,-1.18,6.63,0.03,-0.01,-0.16,0.0,h
1069.0,2960.0,2931.0,3394.0,4095.0,4095.0,2665.0,2352.0,9.72,-1.08,6.56,0.02,-0.0,-0.17,0.0,h
1055.0,2961.0,2929.0,3395.0,4095.0,4095.0,2675.0,2354.0,9.6,-1.14,6.58,0.05,-0.01,-0.15,0.0,h
1065.0,2960.0,2934.0,3409.0,4095.0,4095.0,2666.0,2349.0,9.84,-1.27,6.56,0.03,-0.0,-0.14,0.0,h
1061.0,2960.0,2930.0,3398.0,4095.0,4095.0,2671.0,2352.0,9.69,-1.02,6.54,0.03,-0.03,-0.17,0.0,h
1063.0,2960.0,2938.0,3398.0,4095.0,4095.0,2671.0,2353.0,9.82,-1.09,6.56,0.04,-0.01,-0.17,0.0,h
1070.0,2949.0,2928.0,3398.0,4095.0,4095.0,2659.0,2352.0,9.68,-1.04,6.59,0.02,-0.01,-0.17,0.0,h
1066.0,2961.0,2930.0,3392.0,4095.0,4095.0,2659.0,2352.0,9.79,-1.05,6.45,-0.01,0.01,-0.14,0.0,h
1068.0,2949.0,2927.0,3389.0,4095.0,4095.0,2663.0,2352.0,9.73,-1.04,6.55,0.03,0.01,-0.14,0.0,h
1081.0,2962.0,2928.0,3391.0,4095.0,4095.0,2672.0,2351.0,9.81,-1.04,6.45,-0.03,-0.01,-0.11,0.0,h
1072.0,2960.0,2933.0,3406.0,4095.0,4095.0,2662.0,2351.0,9.78,-1.17,6.6,-0.0,-0.01,-0.19,0.0,h
1083.0,2960.0,2925.0,3402.0,4095.0,4095.0,2669.0,2352.0,9.49,-1.04,6.55,0.02,-0.08,-0.18,0.0,h
1073.0,2957.0,2922.0,3408.0,4095.0,4095.0,2671.0,2357.0,9.81,-1.08,6.46,-0.01,-0.05,-0.12,0.0,h
1085.0,2963.0,2928.0,3399.0,4095.0,4095.0,2672.0,2357.0,9.82,-1.08,6.52,0.03,-0.01,-0.16,0.0,h
1083.0,2954.0,2928.0,3399.0,4095.0,4095.0,2674.0,2361.0,9.7,-1.04,6.38,0.02,0.01,-0.15,0.0,h
1085.0,2949.0,2924.0,3401.0,4095.0,4095.0,2668.0,2367.0,9.73,-1.09,6.42,0.02,0.01,-0.15,0.0,h
1082.0,2960.0,2928.0,3392.0,4095.0,4095.0,2673.0,2357.0,9.85,-1.07,6.46,0.01,-0.01,-0.16,0.0,h
1077.0,2955.0,2926.0,3389.0,4095.0,4095.0,2674.0,2357.0,9.68,-1.01,6.51,0.05,-0.01,-0.15,0.0,h
1075.0,2962.0,2926.0,3401.0,4095.0,4095.0,2677.0,2365.0,9.78,-0.93,6.4,0.11,-0.01,-0.14,0.0,h
1207.0,2946.0,3056.0,3306.0,4095.0,4095.0,3267.0,2275.0,9.73,-0.2,6.5,0.02,0.01,-0.16,0.0,h
1231.0,2945.0,3051.0,3315.0,4095.0,4095.0,3268.0,2281.0,9.7,-0.16,6.55,0.0,0.01,-0.14,0.0,h
1246.0,2962.0,3042.0,3313.0,4095.0,4095.0,3283.0,2288.0,9.91,-0.2,6.41,-0.01,-0.03,-0.16,0.0,h
1249.0,2950.0,3056.0,3315.0,4095.0,4095.0,3273.0,2287.0,9.87,-0.26,6.49,-0.03,-0.03,-0.17,0.0,h
1262.0,2958.0,3047.0,3313.0,4095.0,4095.0,3280.0,2287.0,9.87,-0.14,6.55,0.01,-0.02,-0.18,0.0,h
1264.0,2960.0,3045.0,3312.0,4095.0,4095.0,3269.0,2288.0,9.74,-0.09,6.43,-0.05,-0.03,-0.17,0.0,h
1265.0,2947.0,3058.0,3312.0,4095.0,4095.0,3280.0,2295.0,9.94,-0.16,6.49,0.02,0.0,-0.15,0.0,h
1282.0,2957.0,3046.0,3323.0,4095.0,4095.0,3277.0,2295.0,9.71,-0.06,6.4,-0.0,-0.03,-0.16,0.0,h
1266.0,2958.0,3044.0,3318.0,4095.0,4095.0,3287.0,2298.0,9.8,-0.11,6.41,-0.03,-0.02,-0.16,0.0,h
1283.0,2947.0,3047.0,3319.0,4095.0,4095.0,3280.0,2299.0,9.87,-0.11,6.42,-0.0,0.02,-0.15,0.0,h
1286.0,2957.0,3050.0,3321.0,4095.0,4095.0,3281.0,2303.0,9.74,-0.13,6.56,0.0,0.01,-0.15,0.0,h
1298.0,2953.0,3051.0,3315.0,4095.0,4095.0,3280.0,2304.0,9.81,-0.15,6.42,0.01,-0.0,-0.14,0.0,h
1296.0,2944.0,3056.0,3324.0,4095.0,4095.0,3291.0,2304.0,9.83,-0.14,6.46,0.02,-0.03,-0.16,0.0,h
1293.0,2943.0,3059.0,3329.0,4095.0,4095.0,3285.0,2296.0,9.74,-0.06,6.5,0.0,-0.05,-0.16,0.0,h
1329.0,2944.0,3056.0,3325.0,4095.0,4095.0,3280.0,2290.0,9.92,-0.19,6.42,0.01,-0.04,-0.15,0.0,h
1341.0,2958.0,3054.0,3309.0,4095.0,4095.0,3282.0,2299.0,9.97,-0.21,6.39,-0.01,-0.01,-0.16,0.0,h
1327.0,2955.0,3058.0,3330.0,4095.0,4095.0,3285.0,2301.0,9.69,-0.05,6.37,0.01,0.01,-0.16,0.0,h
1328.0,2944.0,3050.0,3328.0,4095.0,4095.0,3281.0,2299.0,9.77,-0.16,6.49,0.0,0.01,-0.13,0.0,h
1345.0,2945.0,3062.0,3338.0,4095.0,4095.0,3284.0,2301.0,9.75,-0.16,6.49,0.02,-0.0,-0.15,0.0,h
1369.0,2954.0,3056.0,3328.0,4095.0,4095.0,3281.0,2301.0,9.81,-0.11,6.36,0.02,-0.01,-0.15,0.0,h
1359.0,2948.0,3045.0,3341.0,4095.0,4095.0,3282.0,2306.0,9.93,-0.21,6.42,-0.0,-0.01,-0.15,0.0,h
1360.0,2963.0,3047.0,3329.0,4095.0,4095.0,3287.0,2309.0,9.75,-0.08,6.42,0.02,0.03,-0.16,0.0,h
1366.0,2946.0,3056.0,3329.0,4095.0,4095.0,3291.0,2307.0,9.81,-0.13,6.46,0.02,0.01,-0.15,0.0,h
1360.0,2949.0,3057.0,3332.0,4095.0,4095.0,3287.0,2305.0,9.82,-0.07,6.41,0.02,-0.01,-0.15,0.0,h
1363.0,2955.0,3062.0,3342.0,4095.0,4095.0,3291.0,2308.0,9.75,-0.12,6.46,0.02,0.01,-0.13,0.0,h
1379.0,2953.0,3054.0,3332.0,4095.0,4095.0,3287.0,2308.0,9.8,-0.12,6.31,0.04,0.01,-0.13,0.0,h
1379.0,2960.0,3059.0,3336.0,4095.0,4095.0,3295.0,2313.0,9.86,-0.17,6.37,0.01,0.02,-0.14,0.0,h
1361.0,2960.0,3057.0,3341.0,4095.0,4095.0,3283.0,2310.0,9.7,-0.11,6.39,0.0,-0.0,-0.15,0.0,h
1360.0,2960.0,3056.0,3336.0,4095.0,4095.0,3295.0,2319.0,9.81,-0.17,6.42,0.04,0.02,-0.12,0.0,h
1382.0,2946.0,3054.0,3338.0,4095.0,4095.0,3282.0,2316.0,9.85,-0.21,6.28,-0.03,0.03,-0.12,0.0,h
1379.0,2957.0,3045.0,3344.0,4095.0,4095.0,3286.0,2320.0,9.89,-0.22,6.34,0.03,-0.01,-0.15,0.0,h
1381.0,2962.0,3062.0,3344.0,4095.0,4095.0,3295.0,2320.0,9.77,-0.12,6.34,0.03,0.03,-0.14,0.0,h
1392.0,2961.0,3059.0,3343.0,4095.0,4095.0,3293.0,2320.0,9.94,-0.17,6.31,0.01,0.0,-0.16,0.0,h
1396.0,2949.0,3056.0,3343.0,4095.0,4095.0,3287.0,2320.0,9.79,-0.11,6.33,0.01,0.02,-0.15,0.0,h
1415.0,2950.0,3052.0,3339.0,4095.0,4095.0,3291.0,2320.0,9.77,-0.11,6.42,0.02,0.02,-0.14,0.0,h
1419.0,2959.0,3057.0,3346.0,4095.0,4095.0,3299.0,2321.0,9.88,-0.17,6.27,0.02,0.0,-0.14,0.0,h
1423.0,2960.0,3059.0,3341.0,4095.0,4095.0,3293.0,2318.0,9.77,-0.17,6.49,0.05,0.01,-0.14,0.0,h
1466.0,2951.0,3047.0,3346.0,4095.0,4095.0,3295.0,2327.0,9.94,-0.19,6.28,0.04,0.02,-0.15,0.0,h
1475.0,2955.0,3041.0,3350.0,4095.0,4095.0,3297.0,2331.0,9.76,-0.18,6.4,0.02,0.02,-0.14,0.0,h
1475.0,2966.0,3055.0,3352.0,4095.0,4095.0,3300.0,2331.0,10.01,-0.18,6.18,0.0,-0.02,-0.17,0.0,h
1479.0,2950.0,3055.0,3347.0,4095.0,4095.0,3297.0,2327.0,9.86,-0.23,6.42,0.0,0.03,-0.16,0.0,h
1846.0,2960.0,2945.0,3310.0,4095.0,4095.0,2715.0,2373.0,9.62,0.75,6.93,0.03,0.04,-0.13,0.0,h
1841.0,2960.0,2946.0,3303.0,4095.0,4095.0,2719.0,2379.0,9.65,0.81,6.91,0.05,0.03,-0.13,0.0,h
1808.0,2965.0,2937.0,3308.0,4095.0,4095.0,2723.0,2384.0,9.72,0.76,6.95,0.06,0.01,-0.14,0.0,h
1563.0,2960.0,2950.0,3311.0,4095.0,4095.0,2726.0,2383.0,9.67,0.76,6.94,0.08,0.03,-0.13,0.0,h
