hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1748.0,2901.0,2962.0,4095.0,4095.0,4095.0,3303.0,3024.0,9.86,2.05,4.74,0.02,-0.01,-0.17,0.0,h
1746.0,2901.0,2965.0,4095.0,4095.0,4095.0,3313.0,3025.0,9.85,2.04,4.9,-0.01,0.02,-0.16,0.0,h
1746.0,2901.0,2968.0,4095.0,4095.0,4095.0,3309.0,3025.0,9.82,2.04,4.89,0.03,-0.03,-0.18,0.0,h
1745.0,2896.0,2961.0,4095.0,4095.0,4095.0,3307.0,3024.0,9.76,2.08,4.81,0.04,0.01,-0.16,0.0,h
1744.0,2906.0,2964.0,4095.0,4095.0,4095.0,3312.0,3034.0,9.79,2.11,4.93,0.02,-0.04,-0.18,0.0,h
1757.0,2901.0,2965.0,4095.0,4095.0,4095.0,3313.0,3030.0,9.77,2.15,4.8,0.05,0.03,-0.14,0.0,h
1747.0,2896.0,2972.0,4095.0,4095.0,4095.0,3312.0,3030.0,9.72,2.15,4.79,0.0,-0.03,-0.16,0.0,h
1745.0,2896.0,2955.0,4095.0,4095.0,4095.0,3310.0,3025.0,9.81,2.18,4.86,0.05,0.02,-0.14,0.0,h
1746.0,2901.0,2964.0,4095.0,4095.0,4095.0,3309.0,3027.0,9.91,2.06,4.79,0.01,-0.01,-0.18,0.0,h
1732.0,2897.0,2960.0,4095.0,4095.0,4095.0,3309.0,3041.0,9.79,2.05,4.84,0.06,0.04,-0.13,0.0,h
1729.0,2896.0,2960.0,4095.0,4095.0,4095.0,3311.0,3025.0,9.87,2.08,4.75,-0.01,-0.01,-0.18,0.0,h
1730.0,2901.0,2963.0,4095.0,4095.0,4095.0,3310.0,3029.0,9.78,2.11,4.82,0.02,0.01,-0.18,0.0,h
1728.0,2897.0,2960.0,4095.0,4095.0,4095.0,3299.0,3026.0,9.76,2.08,4.89,0.03,0.0,-0.18,0.0,h
1730.0,2899.0,2960.0,4095.0,4095.0,4095.0,3312.0,3029.0,9.66,2.24,4.85,0.02,0.07,-0.16,0.0,h
1732.0,2896.0,2963.0,4095.0,4095.0,4095.0,3307.0,3027.0,9.68,2.18,4.85,0.09,0.07,-0.13,0.0,h
1733.0,2907.0,2955.0,4095.0,4095.0,4095.0,3302.0,3039.0,9.86,2.12,4.82,0.03,0.0,-0.16,0.0,h
1741.0,2896.0,2947.0,4095.0,4095.0,4095.0,3294.0,3051.0,9.83,2.13,4.69,0.01,0.02,-0.15,0.0,h
1747.0,2896.0,2959.0,4095.0,4095.0,4095.0,3300.0,3057.0,9.85,2.08,4.88,-0.01,-0.0,-0.17,0.0,h
1753.0,2903.0,2953.0,4095.0,4095.0,4095.0,3303.0,3062.0,9.81,2.04,4.92,-0.02,-0.03,-0.16,0.0,h
1765.0,2896.0,2955.0,4095.0,4095.0,4095.0,3301.0,3067.0,9.75,2.06,5.01,0.01,-0.04,-0.16,0.0,h
3088.0,2896.0,2962.0,4095.0,4095.0,4095.0,3059.0,2782.0,10.09,2.6,4.83,-0.32,-0.23,0.16,0.0,h
3062.0,2897.0,2960.0,4095.0,4095.0,4095.0,3011.0,2615.0,9.63,3.2,5.01,-0.08,-0.13,-0.17,0.0,h
3141.0,2903.0,2267.0,4095.0,4095.0,4095.0,3003.0,2559.0,10.14,2.66,5.14,0.15,-0.11,-0.61,0.0,h
3115.0,2904.0,2544.0,4095.0,4095.0,4095.0,2946.0,2527.0,9.07,2.9,4.57,0.4,0.18,-0.16,0.0,h
3085.0,2901.0,2583.0,4095.0,4095.0,4095.0,2928.0,2454.0,9.39,3.0,4.67,0.18,-0.35,-0.24,0.0,h
3058.0,2905.0,2559.0,4095.0,4095.0,4095.0,2917.0,2451.0,9.33,3.2,4.08,-0.07,-0.02,-0.2,0.0,h
