hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1697.0,2963.0,2994.0,3371.0,4095.0,4095.0,3036.0,2811.0,-8.67,-1.17,4.07,-0.06,0.02,-0.05,1.0,h
1712.0,2961.0,2998.0,3373.0,4095.0,4095.0,3045.0,2816.0,-8.54,-1.2,4.29,-0.07,0.05,-0.03,1.0,h
1737.0,2965.0,3002.0,3375.0,4095.0,4095.0,3043.0,2822.0,-8.58,-1.09,4.05,-0.06,0.01,-0.03,1.0,h
1659.0,2969.0,3004.0,3386.0,4095.0,4095.0,3044.0,2837.0,-8.53,-1.09,4.09,-0.03,-0.04,-0.05,1.0,h
1661.0,2982.0,2992.0,3383.0,4095.0,4095.0,3049.0,2838.0,-8.47,-1.07,4.2,-0.05,-0.01,-0.04,1.0,h
1699.0,2962.0,3003.0,3376.0,4095.0,4095.0,3046.0,2834.0,-8.54,-1.05,4.08,-0.04,-0.01,-0.06,1.0,h
1732.0,2960.0,3001.0,3386.0,4095.0,4095.0,3055.0,2857.0,-8.49,-1.08,4.07,-0.05,0.0,-0.05,1.0,h
1678.0,2967.0,3009.0,3380.0,4095.0,4095.0,3046.0,2865.0,-8.7,-1.17,4.16,-0.02,-0.01,-0.09,1.0,h
1631.0,2962.0,2995.0,3385.0,4095.0,4095.0,3053.0,2855.0,-8.63,-1.19,4.06,-0.06,-0.02,-0.05,1.0,h
1600.0,2970.0,2990.0,3379.0,4095.0,4095.0,3056.0,2846.0,-8.54,-1.17,4.17,-0.05,-0.01,-0.03,1.0,h
1779.0,2959.0,2994.0,3394.0,4095.0,4095.0,3059.0,2851.0,-8.56,-1.14,4.08,-0.08,-0.01,-0.03,1.0,h
1777.0,2963.0,2990.0,3402.0,4095.0,4095.0,3050.0,2836.0,-8.58,-1.15,4.17,-0.1,0.0,-0.02,1.0,h
1664.0,2960.0,3003.0,3402.0,4095.0,4095.0,3044.0,2845.0,-8.56,-1.22,4.18,-0.09,-0.01,-0.04,1.0,h
1479.0,2974.0,3014.0,3393.0,4095.0,4095.0,3056.0,2837.0,-8.55,-1.16,4.1,-0.07,-0.0,-0.04,1.0,h
1262.0,2970.0,3003.0,3408.0,4095.0,4095.0,3049.0,2867.0,-8.59,-1.16,4.13,-0.13,0.01,-0.01,1.0,h
1271.0,2960.0,3005.0,3399.0,4095.0,4095.0,3058.0,2863.0,-8.51,-1.24,4.16,-0.1,0.03,-0.02,1.0,h
1277.0,2958.0,2991.0,3407.0,4095.0,4095.0,3056.0,2876.0,-8.57,-1.18,4.13,-0.08,0.03,-0.02,1.0,h
1285.0,2967.0,2991.0,3410.0,4095.0,4095.0,3045.0,2864.0,-8.48,-1.13,4.22,-0.08,-0.0,-0.02,1.0,h
