hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2322.0,3022.0,2029.0,3205.0,4095.0,4095.0,2669.0,2355.0,9.14,2.3,8.1,0.15,-0.08,-0.34,0.0,h
2320.0,3018.0,2045.0,3211.0,4095.0,4095.0,2670.0,2355.0,8.91,2.7,7.74,0.38,-0.16,-0.47,0.0,h
2320.0,3029.0,2035.0,3217.0,4095.0,4095.0,2671.0,2359.0,8.71,3.02,7.43,0.25,-0.03,-0.28,0.0,h
2310.0,3014.0,2019.0,3217.0,4095.0,4095.0,2644.0,2363.0,9.37,3.15,7.37,0.28,-0.07,-0.27,0.0,h
2345.0,3019.0,2028.0,3216.0,4095.0,4095.0,2651.0,2358.0,8.78,3.62,7.0,0.17,0.01,-0.23,0.0,h
2356.0,3009.0,2026.0,3214.0,4095.0,4095.0,2651.0,2357.0,8.95,3.53,7.18,-0.08,0.01,-0.02,0.0,h
2364.0,3026.0,2032.0,3219.0,4095.0,4095.0,2665.0,2365.0,9.09,3.16,7.62,-0.08,-0.01,0.02,0.0,h
2365.0,3024.0,2025.0,3226.0,4095.0,4095.0,2658.0,2364.0,8.98,3.17,7.34,-0.05,0.04,0.01,0.0,h
2361.0,3022.0,2028.0,3226.0,4095.0,4095.0,2655.0,2366.0,8.9,2.89,7.74,-0.13,0.04,0.1,0.0,h
2365.0,3021.0,2033.0,3221.0,4095.0,4095.0,2661.0,2363.0,9.19,2.6,7.59,-0.13,-0.0,0.1,0.0,h
2354.0,3026.0,2020.0,3210.0,4095.0,4095.0,2645.0,2368.0,9.36,2.42,7.53,-0.02,-0.07,-0.02,0.0,h
2345.0,3030.0,2032.0,3220.0,4095.0,4095.0,2640.0,2375.0,9.28,2.14,7.58,-0.16,-0.14,-0.1,0.0,h
2345.0,3029.0,2020.0,3215.0,4095.0,4086.0,2644.0,2378.0,9.72,1.86,7.39,-0.19,0.04,-0.0,0.0,h
2336.0,3021.0,2027.0,3222.0,4095.0,3947.0,2640.0,2368.0,9.38,1.87,7.73,0.05,0.0,-0.12,0.0,h
2373.0,3013.0,2031.0,3227.0,4095.0,4032.0,2635.0,2381.0,9.39,1.86,7.88,-0.02,0.06,-0.11,0.0,h
2414.0,3023.0,2046.0,3233.0,4095.0,3965.0,2643.0,2384.0,9.26,1.78,7.88,-0.05,0.08,-0.1,0.0,h
2480.0,3024.0,2047.0,3241.0,4095.0,3974.0,2646.0,2384.0,9.39,1.78,7.89,0.11,0.02,-0.18,0.0,h
2480.0,3030.0,2055.0,3234.0,4095.0,3969.0,2647.0,2384.0,9.22,1.77,7.95,0.06,0.01,-0.13,0.0,h
2496.0,3027.0,2047.0,3250.0,4095.0,3981.0,2635.0,2387.0,9.31,1.81,7.82,0.1,0.01,-0.16,0.0,h
2481.0,3026.0,2038.0,3250.0,4095.0,3969.0,2608.0,2384.0,9.23,1.87,7.8,0.15,-0.02,-0.19,0.0,h
2485.0,3031.0,2037.0,3251.0,4095.0,3972.0,2610.0,2387.0,9.12,1.97,7.85,0.13,0.02,-0.13,0.0,h
2482.0,3039.0,2032.0,3251.0,4095.0,3965.0,2559.0,2384.0,9.2,2.02,7.97,0.16,0.01,-0.14,0.0,h
2491.0,3016.0,2028.0,3213.0,4095.0,3953.0,2557.0,2382.0,9.24,1.99,7.85,0.01,0.08,-0.13,0.0,h
2490.0,3035.0,2042.0,3152.0,4095.0,3952.0,2559.0,2387.0,9.24,1.97,7.79,-0.03,0.01,-0.17,0.0,h
2487.0,3033.0,2055.0,3135.0,4095.0,3893.0,2559.0,2387.0,9.1,2.02,7.71,-0.14,0.04,-0.15,0.0,h
2503.0,3023.0,2032.0,3136.0,4095.0,3852.0,2559.0,2384.0,9.12,2.0,7.62,-0.28,-0.24,-0.2,0.0,h
2491.0,3025.0,2053.0,3167.0,4095.0,3760.0,2581.0,2387.0,9.42,1.77,7.86,-0.21,0.01,-0.1,0.0,h
2515.0,3031.0,2062.0,3184.0,4049.0,3675.0,2590.0,2395.0,9.18,1.7,7.88,-0.13,0.0,-0.18,0.0,h
2534.0,3028.0,2047.0,3189.0,4095.0,3712.0,2592.0,2391.0,9.22,1.85,7.35,-0.1,-0.06,-0.27,0.0,h
2542.0,3024.0,2053.0,3189.0,4095.0,3750.0,2595.0,2394.0,9.21,1.82,7.91,-0.12,-0.07,-0.18,0.0,h
2542.0,3021.0,2055.0,3195.0,4095.0,3766.0,2596.0,2389.0,9.2,1.71,8.11,-0.06,-0.02,-0.18,0.0,h
2595.0,3035.0,2054.0,3199.0,4095.0,3770.0,2603.0,2393.0,9.29,1.62,7.97,0.15,0.03,-0.16,0.0,h
