hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3729.0,3118.0,3088.0,2816.0,4095.0,4095.0,4095.0,4095.0,18.19,7.08,-1.81,-0.1,-0.63,-1.04,1.0,hello
3659.0,3115.0,3111.0,2851.0,4095.0,4095.0,4095.0,4095.0,-2.03,-3.24,8.9,-4.63,-0.22,-3.35,1.0,hello
3598.0,3130.0,3120.0,2910.0,4095.0,4095.0,4095.0,4045.0,0.31,5.77,12.49,-0.68,-0.51,-1.04,1.0,hello
3598.0,3125.0,3121.0,2916.0,4095.0,4095.0,4095.0,4095.0,1.37,5.89,8.72,-0.22,-0.01,-0.23,1.0,hello
3598.0,3115.0,3114.0,2929.0,4095.0,4095.0,4095.0,4095.0,2.05,5.6,8.52,-0.1,0.05,-0.13,1.0,hello
3600.0,3126.0,3121.0,2925.0,4095.0,4095.0,4095.0,4095.0,2.02,5.88,7.93,-0.05,-0.0,-0.05,1.0,hello
3623.0,3129.0,3119.0,2932.0,4095.0,4095.0,4095.0,4095.0,2.37,5.96,8.47,-0.04,-0.0,-0.01,1.0,hello
3583.0,3132.0,3120.0,2938.0,4095.0,4095.0,4095.0,4095.0,1.91,5.85,8.08,0.02,0.07,-0.06,1.0,hello
3583.0,3122.0,3107.0,2929.0,4095.0,4095.0,4095.0,4095.0,2.1,5.74,8.2,-0.03,0.06,-0.03,1.0,hello
3583.0,3128.0,3105.0,2933.0,4095.0,4095.0,4095.0,4095.0,2.4,5.96,7.92,-0.01,0.02,-0.02,1.0,hello
3611.0,3118.0,3107.0,2941.0,4095.0,4095.0,4095.0,4095.0,2.11,5.81,8.18,-0.09,0.08,-0.06,1.0,hello
3606.0,3126.0,3117.0,2929.0,4095.0,4095.0,4095.0,4095.0,2.03,5.76,8.06,-0.08,-0.03,-0.06,1.0,hello
3605.0,3134.0,3105.0,2942.0,4095.0,4095.0,4095.0,4095.0,2.34,5.8,8.33,-0.08,0.03,-0.05,1.0,hello
3600.0,3120.0,3120.0,2945.0,4095.0,4095.0,4095.0,4095.0,1.92,5.97,8.23,-0.08,0.09,-0.04,1.0,hello
