hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3036.0,4095.0,2928.0,3248.0,4095.0,2027.0,2402.0,4095.0,-3.46,8.74,6.86,0.03,-0.04,-0.17,0.0,Hook'em
3035.0,4095.0,2931.0,3255.0,4095.0,2032.0,2407.0,4095.0,-3.56,8.95,6.95,0.05,-0.05,-0.14,0.0,Hook'em
3024.0,4095.0,2925.0,3278.0,4095.0,2031.0,2416.0,4095.0,-3.45,8.72,6.85,0.04,0.02,-0.16,0.0,Hook'em
3031.0,4095.0,2928.0,3280.0,4095.0,2034.0,2423.0,4095.0,-3.38,8.92,7.03,0.06,-0.01,-0.14,0.0,Hook'em
3023.0,4095.0,2915.0,3285.0,4095.0,2041.0,2432.0,4095.0,-3.43,8.87,6.65,0.04,-0.02,-0.16,0.0,Hook'em
3037.0,4095.0,2925.0,3280.0,4095.0,2046.0,2432.0,4095.0,-3.39,8.91,6.79,0.05,0.02,-0.16,0.0,Hook'em
3023.0,4095.0,2925.0,3284.0,4095.0,2046.0,2419.0,4095.0,-3.28,8.88,6.7,0.09,0.0,-0.16,0.0,Hook'em
3025.0,4095.0,2930.0,3312.0,4095.0,2041.0,2416.0,4095.0,-3.43,8.87,6.81,0.0,0.05,-0.13,0.0,Hook'em
3028.0,4095.0,2929.0,3323.0,4095.0,2033.0,2437.0,4095.0,-3.27,8.94,6.44,0.03,0.03,-0.11,0.0,Hook'em
3025.0,4095.0,2926.0,3328.0,4095.0,2037.0,2443.0,4095.0,-3.21,9.04,6.78,-0.0,0.03,-0.11,0.0,Hook'em
3018.0,4095.0,2924.0,3341.0,4095.0,2045.0,2432.0,4095.0,-3.42,9.11,6.57,0.07,0.02,-0.11,0.0,Hook'em
3027.0,4095.0,2914.0,3335.0,4095.0,2054.0,2431.0,4095.0,-3.41,8.94,6.39,0.1,0.05,-0.17,0.0,Hook'em
3027.0,4095.0,2925.0,3322.0,4095.0,2032.0,2442.0,4095.0,-3.02,9.01,6.33,0.12,0.0,-0.12,0.0,Hook'em
3023.0,4095.0,2928.0,3332.0,4095.0,2045.0,2442.0,4095.0,-3.48,8.92,6.33,-0.06,-0.03,-0.14,0.0,Hook'em
3037.0,4095.0,2924.0,3318.0,4095.0,2059.0,2448.0,4095.0,-3.16,9.18,6.51,0.01,-0.04,-0.14,0.0,Hook'em
3025.0,4095.0,2928.0,3338.0,4095.0,2059.0,2438.0,4095.0,-3.37,8.92,6.4,-0.01,-0.02,-0.17,0.0,Hook'em
3019.0,4095.0,2917.0,3322.0,4095.0,2047.0,2447.0,4095.0,-3.31,8.96,6.68,0.03,-0.01,-0.17,0.0,Hook'em
3029.0,4095.0,2917.0,3335.0,4095.0,2058.0,2445.0,4095.0,-3.45,8.98,6.47,0.05,-0.03,-0.13,0.0,Hook'em
3031.0,4095.0,2928.0,3344.0,4095.0,2064.0,2449.0,4095.0,-3.16,9.01,6.81,0.03,0.02,-0.15,0.0,Hook'em
3024.0,4095.0,2922.0,3339.0,4095.0,2061.0,2448.0,4095.0,-3.35,9.0,6.33,0.09,-0.04,-0.2,0.0,Hook'em
3025.0,4095.0,2928.0,3332.0,4095.0,2062.0,2458.0,4095.0,-3.39,8.9,6.51,0.06,-0.0,-0.15,0.0,Hook'em
3024.0,4095.0,2926.0,3334.0,4095.0,2059.0,2448.0,4095.0,-3.43,9.16,6.42,0.06,0.0,-0.17,0.0,Hook'em
3027.0,4095.0,2930.0,3338.0,4095.0,2062.0,2453.0,4095.0,-3.29,9.11,6.21,0.03,0.05,-0.16,0.0,Hook'em
3029.0,4095.0,2928.0,3350.0,4095.0,2066.0,2453.0,4095.0,-3.16,8.85,6.34,0.01,0.04,-0.15,0.0,Hook'em
3027.0,4095.0,2925.0,3351.0,4095.0,2063.0,2453.0,4095.0,-3.44,8.98,6.29,-0.05,-0.01,-0.11,0.0,Hook'em
3017.0,4095.0,2930.0,3350.0,4095.0,2064.0,2461.0,4095.0,-3.35,9.02,6.65,0.03,-0.07,-0.13,0.0,Hook'em
3023.0,4095.0,2923.0,3339.0,4095.0,2064.0,2463.0,4095.0,-3.13,9.13,6.44,0.06,-0.01,-0.16,0.0,Hook'em
3021.0,4095.0,2925.0,3345.0,4095.0,2065.0,2455.0,4095.0,-3.2,8.95,6.41,0.06,0.0,-0.17,0.0,Hook'em
3033.0,4095.0,2917.0,3339.0,4095.0,2064.0,2462.0,4095.0,-3.12,8.97,6.4,0.06,-0.04,-0.17,0.0,Hook'em
3019.0,4095.0,2922.0,3346.0,4095.0,2070.0,2464.0,4095.0,-3.28,9.03,6.2,0.03,-0.07,-0.12,0.0,Hook'em
3028.0,4095.0,2933.0,3365.0,4095.0,2063.0,2469.0,4095.0,-3.06,9.16,6.33,0.04,-0.12,-0.15,0.0,Hook'em
3027.0,4095.0,2928.0,3358.0,4095.0,2065.0,2473.0,4095.0,-3.22,9.11,6.31,0.03,-0.01,-0.14,0.0,Hook'em
3019.0,4095.0,2928.0,3363.0,4095.0,2067.0,2475.0,4095.0,-3.16,9.06,6.37,-0.0,0.03,-0.14,0.0,Hook'em
3031.0,4095.0,2922.0,3371.0,4095.0,2062.0,2480.0,4095.0,-3.23,9.02,6.43,-0.01,0.04,-0.13,0.0,Hook'em
3026.0,4095.0,2928.0,3382.0,4095.0,2071.0,2479.0,4095.0,-3.24,9.12,6.48,-0.01,0.05,-0.13,0.0,Hook'em
3026.0,4095.0,2912.0,3373.0,4095.0,2069.0,2471.0,4095.0,-3.26,8.96,6.3,0.0,0.0,-0.18,0.0,Hook'em
3030.0,4095.0,2919.0,3377.0,4095.0,2065.0,2480.0,4095.0,-3.36,9.01,6.42,0.07,-0.02,-0.18,0.0,Hook'em
3027.0,4095.0,2929.0,3376.0,4095.0,2069.0,2487.0,4095.0,-3.49,9.07,6.27,0.06,-0.01,-0.11,0.0,Hook'em
3033.0,4095.0,2926.0,3387.0,4095.0,2067.0,2489.0,4095.0,-3.18,9.07,6.38,0.09,0.02,-0.21,0.0,Hook'em
3027.0,4095.0,2928.0,3398.0,4095.0,2074.0,2490.0,4095.0,-3.31,8.96,6.15,0.05,-0.01,-0.2,0.0,Hook'em
3037.0,4095.0,2918.0,3407.0,4095.0,2064.0,2482.0,4095.0,-3.27,8.91,6.22,0.04,-0.01,-0.22,0.0,Hook'em
3021.0,4095.0,2918.0,3392.0,4095.0,2075.0,2491.0,4095.0,-3.22,9.0,6.19,0.04,-0.03,-0.21,0.0,Hook'em
3024.0,4095.0,2923.0,3397.0,4095.0,2081.0,2482.0,4095.0,-3.4,9.05,6.1,-0.0,-0.03,-0.16,0.0,Hook'em
3024.0,4095.0,2919.0,3406.0,4095.0,2077.0,2486.0,4095.0,-3.28,8.97,6.28,0.05,-0.02,-0.15,0.0,Hook'em
3026.0,4095.0,2933.0,3399.0,4095.0,2067.0,2496.0,4095.0,-3.38,8.99,6.25,-0.01,0.0,-0.17,0.0,Hook'em
3026.0,4095.0,2928.0,3402.0,4095.0,2084.0,2490.0,4095.0,-3.23,9.0,6.3,0.03,0.01,-0.14,0.0,Hook'em
3024.0,4095.0,2918.0,3417.0,4095.0,2081.0,2497.0,4095.0,-3.33,8.96,6.25,-0.01,0.01,-0.15,0.0,Hook'em
3023.0,4095.0,2928.0,3359.0,4095.0,2081.0,2485.0,4095.0,-3.38,8.83,6.11,0.04,0.04,-0.08,0.0,Hook'em
3024.0,4095.0,2930.0,3342.0,4095.0,2084.0,2480.0,4095.0,-3.41,8.84,6.17,-0.1,0.01,-0.07,0.0,Hook'em
3024.0,4095.0,2913.0,3393.0,4095.0,2080.0,2491.0,4095.0,-3.13,9.14,6.54,-0.05,0.05,-0.08,0.0,Hook'em
3031.0,4095.0,2928.0,3422.0,4095.0,2087.0,2483.0,4095.0,-3.2,9.02,6.49,-0.04,0.04,-0.1,0.0,Hook'em
3024.0,4095.0,2923.0,3466.0,4095.0,2091.0,2486.0,4095.0,-3.09,9.1,6.35,-0.06,0.06,-0.1,0.0,Hook'em
3034.0,4095.0,2930.0,3507.0,4095.0,2106.0,2478.0,4095.0,-3.22,8.95,6.66,0.06,0.0,-0.11,0.0,Hook'em
3023.0,4095.0,2923.0,3500.0,4095.0,2110.0,2479.0,4095.0,-3.02,9.09,6.55,0.06,0.0,-0.08,0.0,Hook'em
3026.0,4095.0,2923.0,3510.0,4095.0,2113.0,2466.0,4095.0,-2.94,9.25,6.48,0.09,0.03,-0.13,0.0,Hook'em
3035.0,4095.0,2919.0,3573.0,4095.0,2132.0,2463.0,4095.0,-3.28,8.99,6.35,-0.01,-0.04,-0.16,0.0,Hook'em
3024.0,4095.0,2917.0,3565.0,4095.0,2159.0,2471.0,4095.0,-3.06,9.0,6.78,0.15,-0.08,-0.18,0.0,Hook'em
3029.0,4095.0,2936.0,3560.0,4095.0,2171.0,2455.0,4095.0,-2.92,9.05,6.37,0.1,-0.02,-0.15,0.0,Hook'em
3041.0,4095.0,2929.0,3311.0,4095.0,2147.0,2419.0,4095.0,-2.93,9.29,6.33,0.04,0.05,-0.14,0.0,Hook'em
3034.0,4095.0,2915.0,3285.0,4095.0,2118.0,2416.0,4095.0,-2.77,9.15,6.31,0.01,0.05,-0.17,0.0,Hook'em
3024.0,4095.0,2928.0,3232.0,4095.0,2119.0,2433.0,4095.0,-3.03,9.22,6.12,0.03,-0.07,-0.22,0.0,Hook'em
3018.0,4095.0,2928.0,3191.0,4095.0,2093.0,2415.0,4095.0,-2.87,9.07,6.24,0.06,-0.11,-0.23,0.0,Hook'em
3029.0,4095.0,2915.0,3179.0,4095.0,2075.0,2407.0,4095.0,-3.25,9.32,6.15,-0.04,-0.09,-0.16,0.0,Hook'em
3026.0,4095.0,2929.0,3143.0,4095.0,2038.0,2385.0,4095.0,-3.09,9.03,6.43,0.02,-0.1,-0.18,0.0,Hook'em
