hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
1298.0,3248.0,3061.0,3881.0,4095.0,3319.0,3722.0,3872.0,-4.89,3.73,3.23,0.3,0.9,-0.03,1.0,hungry
1741.0,3216.0,3053.0,3845.0,4095.0,3313.0,3697.0,3884.0,-4.37,3.56,2.07,0.52,1.58,-0.24,1.0,hungry
2703.0,3135.0,3095.0,3866.0,4095.0,3314.0,3652.0,3986.0,-9.03,4.24,1.11,1.53,1.51,-0.57,1.0,hungry
3677.0,3325.0,3361.0,3889.0,4095.0,3273.0,3615.0,3630.0,-9.1,4.81,-1.54,1.27,0.95,-1.12,1.0,hungry
3664.0,3251.0,3263.0,3941.0,4095.0,3247.0,3622.0,3791.0,-12.74,5.31,-2.95,0.39,0.72,-0.7,1.0,hungry
3719.0,3223.0,2819.0,3941.0,4095.0,3263.0,3718.0,3959.0,-10.64,3.93,-1.47,0.05,0.14,0.09,1.0,hungry
3754.0,3199.0,2805.0,3965.0,4095.0,3263.0,3746.0,3943.0,-8.55,3.25,-1.83,-0.08,-0.06,-0.05,1.0,hungry
3724.0,3192.0,2959.0,3963.0,4095.0,3249.0,3710.0,3875.0,-8.7,2.88,-1.9,-0.05,-0.04,-0.08,1.0,hungry
3680.0,3167.0,3055.0,3984.0,4095.0,3245.0,3666.0,3927.0,-8.75,2.95,-1.99,0.06,-0.01,-0.03,1.0,hungry
3520.0,3087.0,3043.0,3989.0,4095.0,3210.0,3641.0,3955.0,-9.16,2.98,-1.99,0.04,-0.08,-0.07,1.0,hungry
3305.0,2816.0,2994.0,3975.0,4095.0,3071.0,3537.0,3941.0,-9.19,3.05,-2.25,0.16,-0.3,-0.09,1.0,hungry
2857.0,2423.0,2947.0,3883.0,4095.0,2825.0,3387.0,3775.0,-9.77,3.03,-2.28,0.47,-0.01,-0.27,1.0,hungry
2448.0,1078.0,2607.0,3583.0,4095.0,2741.0,3376.0,3569.0,-10.35,3.04,-1.62,0.07,-0.63,-0.53,1.0,hungry
2544.0,976.0,2705.0,3489.0,4095.0,2778.0,3501.0,4015.0,-9.0,2.28,-0.43,-0.5,-1.17,-0.07,1.0,hungry
2384.0,1066.0,2727.0,3561.0,4095.0,2848.0,3505.0,4095.0,-8.88,2.56,0.2,-0.3,-0.74,0.39,1.0,hungry
2263.0,1414.0,2736.0,3661.0,4095.0,2902.0,3529.0,4095.0,-8.59,2.92,1.33,-0.44,-0.77,0.31,1.0,hungry
2206.0,2001.0,2715.0,3730.0,4095.0,3045.0,3631.0,4095.0,-8.34,3.03,2.02,-0.45,-0.69,0.26,1.0,hungry
2132.0,2181.0,2639.0,3759.0,4095.0,3125.0,3751.0,4095.0,-8.37,3.37,3.06,-0.41,-0.65,0.09,1.0,hungry
2192.0,2211.0,2603.0,3727.0,4095.0,3188.0,3834.0,4095.0,-8.57,3.17,3.41,-0.45,-0.67,0.04,1.0,hungry
2288.0,2401.0,2624.0,3534.0,4095.0,3375.0,4095.0,4095.0,-7.67,3.11,3.94,-0.42,-0.41,0.34,1.0,hungry
