hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3026.0,3124.0,2935.0,4095.0,4095.0,2544.0,2960.0,4095.0,0.16,9.87,4.34,0.05,-0.01,0.03,0.0,i-love-you
3026.0,3124.0,2932.0,4095.0,4095.0,2544.0,2961.0,4095.0,-3.68,9.47,5.04,-0.01,-0.41,-0.47,0.0,i-love-you
3029.0,3129.0,2928.0,4095.0,4095.0,2544.0,2960.0,4095.0,0.06,10.86,5.92,-0.25,0.38,0.29,0.0,i-love-you
3022.0,3123.0,2928.0,4095.0,4095.0,2546.0,2958.0,4095.0,-1.35,10.15,7.57,0.19,0.14,-0.38,0.0,i-love-you
3029.0,3138.0,2942.0,4095.0,4095.0,2545.0,2966.0,4095.0,-0.51,8.66,6.68,0.6,-0.31,0.71,0.0,i-love-you
3029.0,3122.0,2944.0,4095.0,4095.0,2541.0,2958.0,4095.0,1.64,9.73,3.6,0.82,-0.51,0.14,0.0,i-love-you
3026.0,3135.0,2934.0,4095.0,4095.0,2544.0,2961.0,4095.0,0.06,9.16,3.47,0.14,-0.47,-0.35,0.0,i-love-you
3033.0,3143.0,2932.0,4095.0,4095.0,2545.0,2960.0,4095.0,-1.36,9.29,2.84,0.09,-0.15,-0.56,0.0,i-love-you
3030.0,3136.0,2929.0,4095.0,4095.0,2529.0,2951.0,4095.0,-2.8,9.39,4.67,-0.68,1.0,-0.82,0.0,i-love-you
3042.0,3143.0,2936.0,4095.0,4095.0,2544.0,2964.0,4095.0,1.13,9.03,5.63,-0.39,0.4,0.04,0.0,i-love-you
3029.0,3150.0,2929.0,4095.0,4095.0,2544.0,2959.0,4095.0,0.07,9.81,5.29,-0.25,-0.02,-0.42,0.0,i-love-you
3044.0,3143.0,2935.0,4095.0,4095.0,2544.0,2967.0,4095.0,-0.04,9.75,5.71,-0.12,0.18,-0.18,0.0,i-love-you
3031.0,3149.0,2931.0,4095.0,4095.0,2544.0,2965.0,4095.0,0.07,9.51,6.54,-0.1,0.06,-0.15,0.0,i-love-you
3027.0,3158.0,2951.0,4095.0,4095.0,2558.0,2978.0,4095.0,-0.33,9.61,6.47,0.12,-0.11,-0.13,0.0,i-love-you
3023.0,3139.0,2929.0,4095.0,4095.0,2545.0,2966.0,4095.0,0.38,9.81,5.51,0.24,-0.06,-0.17,0.0,i-love-you
3043.0,3149.0,2937.0,4095.0,4095.0,2553.0,2975.0,4095.0,0.96,9.22,5.61,0.22,-0.27,-0.28,0.0,i-love-you
3039.0,3148.0,2938.0,4095.0,4095.0,2546.0,2971.0,4095.0,-0.68,10.4,4.11,-0.05,-0.32,-0.36,0.0,i-love-you
3045.0,3157.0,2934.0,4095.0,4095.0,2559.0,2979.0,4095.0,-2.22,11.55,4.92,0.19,0.06,-0.46,0.0,i-love-you
3040.0,3149.0,2928.0,4095.0,4095.0,2557.0,2969.0,4095.0,-0.65,9.84,3.67,0.25,0.28,-0.05,0.0,i-love-you
3035.0,3152.0,2925.0,4095.0,4095.0,2554.0,2972.0,4095.0,-0.29,9.09,3.54,-0.02,-0.3,-0.26,0.0,i-love-you
3034.0,3152.0,2937.0,4095.0,4095.0,2559.0,2983.0,4095.0,-0.84,9.77,4.92,-0.0,-0.09,0.07,0.0,i-love-you
3038.0,3152.0,2940.0,4095.0,4095.0,2559.0,2983.0,4095.0,-0.36,9.74,4.67,0.14,0.16,0.1,0.0,i-love-you
3022.0,3149.0,2932.0,4095.0,4095.0,2559.0,2974.0,4095.0,-0.64,9.95,4.73,0.41,0.5,-0.21,0.0,i-love-you
3028.0,3153.0,2928.0,4095.0,4095.0,2545.0,2942.0,4095.0,-1.34,9.97,4.25,0.49,0.66,-0.22,0.0,i-love-you
3021.0,3146.0,2918.0,4095.0,4095.0,2545.0,2938.0,4095.0,-0.31,9.89,3.9,0.38,0.33,-0.24,0.0,i-love-you
3043.0,3154.0,2927.0,4095.0,4095.0,2544.0,2917.0,4095.0,-0.48,9.58,3.29,0.8,0.11,-0.66,0.0,i-love-you
3036.0,3145.0,2928.0,4095.0,4095.0,2546.0,2914.0,4095.0,-1.44,9.78,2.0,0.63,-0.19,-0.53,0.0,i-love-you
3039.0,3152.0,2935.0,4095.0,4095.0,2559.0,2922.0,4095.0,-1.95,9.73,1.72,0.08,-0.0,-0.12,0.0,i-love-you
3035.0,3134.0,2929.0,4095.0,4095.0,2559.0,2932.0,4095.0,-1.3,9.44,1.92,-0.17,-0.18,-0.1,0.0,i-love-you
3043.0,3133.0,2937.0,4095.0,4095.0,2582.0,2939.0,4095.0,-1.82,9.56,2.28,-0.07,-0.2,-0.08,0.0,i-love-you
3027.0,3141.0,2934.0,4095.0,4095.0,2582.0,2956.0,4095.0,-1.67,9.75,2.38,-0.18,0.28,0.09,0.0,i-love-you
3039.0,3136.0,2929.0,4095.0,4095.0,2559.0,2942.0,4095.0,-0.41,9.65,3.09,-0.22,0.04,0.03,0.0,i-love-you
3039.0,3152.0,2927.0,4095.0,4095.0,2582.0,2948.0,4095.0,-0.57,9.78,3.05,-0.05,-0.09,-0.18,0.0,i-love-you
3029.0,3141.0,2935.0,4095.0,4095.0,2580.0,2947.0,4095.0,-1.15,9.74,3.11,-0.04,-0.14,-0.2,0.0,i-love-you
3037.0,3134.0,2928.0,4095.0,4095.0,2589.0,2953.0,4095.0,-1.06,9.7,3.15,-0.01,-0.12,-0.15,0.0,i-love-you
3033.0,3129.0,2931.0,4095.0,4095.0,2589.0,2958.0,4095.0,-0.8,9.8,3.0,-0.03,-0.03,-0.18,0.0,i-love-you
3026.0,3143.0,2942.0,4095.0,4095.0,2595.0,2970.0,4095.0,-0.96,9.78,3.3,-0.09,-0.11,-0.22,0.0,i-love-you
3024.0,3123.0,2928.0,4095.0,4095.0,2592.0,2960.0,4095.0,-1.69,9.73,3.55,-0.01,-0.08,-0.17,0.0,i-love-you
3036.0,3140.0,2944.0,4095.0,4095.0,2598.0,2966.0,4095.0,-1.36,9.84,3.44,-0.0,-0.1,-0.1,0.0,i-love-you
3026.0,3125.0,2928.0,4095.0,4095.0,2592.0,2963.0,4095.0,-1.06,9.8,3.19,0.04,-0.05,-0.14,0.0,i-love-you
3027.0,3123.0,2927.0,4095.0,4095.0,2603.0,2976.0,4095.0,-1.16,9.79,3.32,0.01,0.1,-0.04,0.0,i-love-you
3038.0,3121.0,2939.0,4095.0,4095.0,2599.0,2985.0,4095.0,-0.89,9.72,3.38,0.06,0.23,-0.09,0.0,i-love-you
3046.0,3117.0,2919.0,4095.0,4095.0,2597.0,2983.0,4095.0,-0.74,9.64,2.94,0.18,1.35,-0.01,0.0,i-love-you
3031.0,3137.0,2928.0,4095.0,4095.0,2596.0,2986.0,4095.0,-0.65,9.9,2.89,-0.2,0.6,0.25,0.0,i-love-you
3024.0,3122.0,2934.0,4095.0,4095.0,2581.0,2970.0,4095.0,0.26,9.8,3.85,-0.52,-0.25,0.57,0.0,i-love-you
3036.0,3142.0,2943.0,4095.0,4095.0,2591.0,2979.0,4095.0,0.78,9.9,3.67,-0.09,0.04,-0.01,0.0,i-love-you
3030.0,3130.0,2932.0,4095.0,4095.0,2583.0,2977.0,4095.0,0.49,9.9,3.73,-0.03,-0.04,-0.26,0.0,i-love-you
3043.0,3142.0,2927.0,4095.0,4095.0,2579.0,2973.0,4095.0,-0.14,9.98,3.87,-0.15,-0.18,-0.13,0.0,i-love-you
3038.0,3126.0,2940.0,4095.0,4095.0,2591.0,2975.0,4095.0,0.48,9.88,4.13,-0.14,0.02,0.01,0.0,i-love-you
3030.0,3115.0,2935.0,4095.0,4095.0,2583.0,2982.0,4095.0,0.82,9.82,4.37,-0.06,-0.12,-0.14,0.0,i-love-you
3038.0,3147.0,2934.0,4095.0,4095.0,2585.0,2992.0,4095.0,0.59,9.89,4.34,0.1,-0.09,-0.35,0.0,i-love-you
3038.0,3118.0,2925.0,4095.0,4095.0,2582.0,2985.0,4095.0,0.3,10.01,3.92,-0.04,-0.0,-0.15,0.0,i-love-you
3046.0,3120.0,2925.0,4095.0,4095.0,2597.0,2989.0,4095.0,0.49,9.96,4.33,-0.05,-0.0,-0.14,0.0,i-love-you
3034.0,3123.0,2928.0,4095.0,4095.0,2559.0,2986.0,4095.0,0.54,9.85,4.37,0.02,-0.03,-0.23,0.0,i-love-you
3042.0,3121.0,2944.0,4095.0,4095.0,2581.0,2991.0,4095.0,0.21,9.91,4.43,0.09,-0.04,-0.34,0.0,i-love-you
3041.0,3120.0,2931.0,4095.0,4095.0,2581.0,2987.0,4095.0,0.01,9.9,4.22,0.03,0.02,-0.28,0.0,i-love-you
3042.0,3145.0,2932.0,4095.0,4095.0,2590.0,2963.0,4095.0,0.37,9.76,4.26,0.04,0.0,-0.39,0.0,i-love-you
3024.0,3152.0,2933.0,4095.0,4095.0,2592.0,2960.0,4095.0,-0.46,9.93,3.89,0.21,-0.07,-0.47,0.0,i-love-you
3043.0,3140.0,2933.0,4095.0,4095.0,2606.0,2989.0,4095.0,-0.92,9.91,3.64,0.13,-0.08,-0.28,0.0,i-love-you
3031.0,3143.0,2927.0,4095.0,4095.0,2604.0,2990.0,4095.0,-0.83,9.84,3.58,0.05,0.0,-0.16,0.0,i-love-you
3051.0,3136.0,2924.0,4095.0,4095.0,2608.0,3011.0,4095.0,-0.55,9.86,3.62,0.01,-0.01,-0.14,0.0,i-love-you
3041.0,3151.0,2933.0,4095.0,4095.0,2615.0,3015.0,4095.0,-0.75,9.88,3.73,0.01,0.01,-0.14,0.0,i-love-you
3024.0,3131.0,2928.0,4095.0,4095.0,2609.0,3018.0,4095.0,-0.67,9.85,3.77,0.01,0.01,-0.13,0.0,i-love-you
3039.0,3141.0,2938.0,4095.0,4095.0,2611.0,3010.0,4095.0,-0.49,9.87,3.65,0.01,-0.04,-0.14,0.0,i-love-you
3042.0,3152.0,2938.0,4095.0,4095.0,2609.0,3013.0,4095.0,-0.59,9.85,3.77,-0.0,-0.0,-0.15,0.0,i-love-you
3045.0,3131.0,2923.0,4095.0,4095.0,2608.0,3011.0,4095.0,-0.62,9.84,3.78,0.02,-0.01,-0.16,0.0,i-love-you
3041.0,3138.0,2928.0,4095.0,4095.0,2612.0,3024.0,4095.0,-0.59,9.88,3.64,0.01,0.0,-0.15,0.0,i-love-you
3037.0,3129.0,2931.0,4095.0,4095.0,2611.0,3015.0,4095.0,-0.64,9.9,3.68,-0.01,0.02,-0.13,0.0,i-love-you
3039.0,3130.0,2928.0,4095.0,4095.0,2620.0,3025.0,4095.0,-0.52,9.63,3.85,-0.15,-0.07,0.02,0.0,i-love-you
3030.0,3133.0,2927.0,4095.0,4095.0,2608.0,3019.0,4095.0,-0.51,9.84,3.82,0.02,-0.02,-0.17,0.0,i-love-you
3034.0,3139.0,2942.0,4095.0,4095.0,2615.0,3015.0,4095.0,-0.75,9.89,3.65,-0.01,0.04,-0.13,0.0,i-love-you
3037.0,3136.0,2927.0,4095.0,4095.0,2611.0,3013.0,4095.0,-0.99,9.88,3.75,-0.08,0.06,-0.04,0.0,i-love-you
3037.0,3143.0,2929.0,4095.0,4095.0,2610.0,3025.0,4095.0,-0.15,9.82,4.09,-0.1,0.11,0.1,0.0,i-love-you
3036.0,3134.0,2928.0,4095.0,4095.0,2613.0,3019.0,4095.0,0.18,9.89,4.18,-0.07,0.03,-0.07,0.0,i-love-you
3034.0,3138.0,2941.0,4095.0,4095.0,2610.0,3019.0,4095.0,-0.11,9.88,4.22,-0.05,0.02,-0.12,0.0,i-love-you
3040.0,3146.0,2926.0,4095.0,4095.0,2617.0,3022.0,4095.0,-0.09,9.92,4.19,-0.06,0.01,-0.08,0.0,i-love-you
3039.0,3138.0,2934.0,4095.0,4095.0,2612.0,3022.0,4095.0,0.23,9.89,4.26,-0.09,-0.04,-0.11,0.0,i-love-you
3029.0,3144.0,2931.0,4095.0,4095.0,2615.0,3024.0,4095.0,0.04,9.9,4.45,-0.09,-0.03,-0.15,0.0,i-love-you
3030.0,3131.0,2923.0,4095.0,4095.0,2612.0,3019.0,4095.0,-0.02,9.9,4.52,-0.1,-0.01,-0.13,0.0,i-love-you
3027.0,3139.0,2940.0,4095.0,4095.0,2614.0,3024.0,4095.0,0.11,9.9,4.57,-0.11,0.01,-0.11,0.0,i-love-you
3044.0,3136.0,2941.0,4095.0,4095.0,2617.0,3024.0,4095.0,0.32,9.89,5.04,-0.04,-0.04,-0.14,0.0,i-love-you
3044.0,3129.0,2921.0,4095.0,4095.0,2608.0,3023.0,4095.0,0.26,9.88,5.03,-0.07,-0.02,-0.12,0.0,i-love-you
3042.0,3146.0,2935.0,4095.0,4095.0,2614.0,3031.0,4095.0,0.36,9.83,5.18,-0.08,0.0,-0.12,0.0,i-love-you
3033.0,3136.0,2919.0,4095.0,4095.0,2623.0,3029.0,4095.0,0.56,9.86,5.25,-0.07,-0.01,-0.16,0.0,i-love-you
3031.0,3140.0,2937.0,4095.0,4095.0,2610.0,3017.0,4095.0,0.29,9.86,5.39,-0.11,-0.08,-0.14,0.0,i-love-you
3044.0,3147.0,2938.0,4095.0,4095.0,2612.0,3024.0,4095.0,0.4,9.81,5.64,-0.11,-0.07,-0.14,0.0,i-love-you
3041.0,3146.0,2927.0,4095.0,4095.0,2610.0,3022.0,4095.0,0.6,9.78,5.77,-0.06,-0.04,-0.2,0.0,i-love-you
3035.0,3143.0,2932.0,4095.0,4095.0,2615.0,3025.0,4095.0,0.34,9.79,5.75,-0.08,-0.07,-0.2,0.0,i-love-you
3026.0,3138.0,2925.0,4095.0,4095.0,2609.0,3023.0,4095.0,0.32,9.77,5.82,-0.14,-0.12,-0.13,0.0,i-love-you
3037.0,3136.0,2943.0,4095.0,4095.0,2613.0,3025.0,4095.0,0.34,9.76,6.1,-0.12,-0.02,-0.14,0.0,i-love-you
3030.0,3135.0,2931.0,4095.0,4095.0,2603.0,3014.0,4095.0,0.3,9.7,6.18,-0.14,-0.04,-0.13,0.0,i-love-you
3045.0,3149.0,2940.0,4095.0,4095.0,2608.0,3024.0,4095.0,0.55,9.69,6.4,-0.12,-0.04,-0.17,0.0,i-love-you
3033.0,3133.0,2929.0,4095.0,4095.0,2609.0,3022.0,4095.0,1.32,9.66,6.36,-0.1,-0.08,-0.26,0.0,i-love-you
3043.0,3136.0,2942.0,4095.0,4095.0,2610.0,3021.0,4095.0,0.09,9.63,6.44,-0.03,-0.14,-0.4,0.0,i-love-you
3037.0,3126.0,2927.0,4095.0,4095.0,2608.0,3022.0,4095.0,-0.24,9.58,6.7,-0.05,-0.08,-0.34,0.0,i-love-you
3025.0,3136.0,2928.0,4095.0,4095.0,2608.0,3023.0,4095.0,-0.24,9.53,6.92,-0.02,-0.08,-0.31,0.0,i-love-you
3026.0,3142.0,2934.0,4095.0,4095.0,2609.0,3025.0,4095.0,-0.23,9.59,6.65,0.05,-0.08,-0.25,0.0,i-love-you
3028.0,3138.0,2925.0,4095.0,4095.0,2608.0,3021.0,4095.0,-0.35,9.62,6.57,0.05,-0.06,-0.24,0.0,i-love-you
3044.0,3125.0,2929.0,4095.0,4095.0,2614.0,3031.0,4095.0,-0.28,9.59,6.64,0.11,-0.06,-0.21,0.0,i-love-you
3027.0,3130.0,2928.0,4095.0,4095.0,2608.0,3023.0,4095.0,-0.58,9.65,6.38,0.12,-0.04,-0.26,0.0,i-love-you
3038.0,3135.0,2935.0,4095.0,4095.0,2624.0,3033.0,4095.0,-0.89,9.38,7.06,-0.28,-0.04,-0.13,0.0,i-love-you
3039.0,3141.0,2930.0,4095.0,4095.0,2638.0,3047.0,4095.0,-0.64,9.26,7.61,-0.24,-0.07,-0.12,0.0,i-love-you
3027.0,3130.0,2929.0,4095.0,4095.0,2625.0,3035.0,4095.0,-0.7,9.19,8.06,-0.14,0.0,-0.16,0.0,i-love-you
3037.0,3148.0,2935.0,4095.0,4095.0,2626.0,3039.0,4095.0,-0.55,9.24,7.58,-0.04,-0.06,-0.25,0.0,i-love-you
3035.0,3130.0,2928.0,4095.0,4095.0,2624.0,3036.0,4095.0,-0.93,9.17,7.83,-0.09,-0.12,-0.29,0.0,i-love-you
