hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sign
3057.0,2928.0,2640.0,4095.0,4095.0,3334.0,2733.0,3959.0,0.26,9.77,-1.17,-0.03,0.04,-0.04,i-love-you
3058.0,2917.0,2641.0,4095.0,4095.0,3335.0,2741.0,3982.0,0.08,9.62,-1.08,-0.04,-0.03,0.02,i-love-you
3056.0,2915.0,2638.0,4095.0,4095.0,3334.0,2734.0,3973.0,-0.13,9.72,-1.16,-0.03,0.05,-0.07,i-love-you
3057.0,2923.0,2637.0,4095.0,4095.0,3331.0,2733.0,3969.0,-0.1,9.64,-1.17,-0.07,0.1,-0.06,i-love-you
3056.0,2922.0,2644.0,4095.0,4095.0,3328.0,2734.0,3957.0,0.24,9.59,-0.91,-0.03,-0.05,0.06,i-love-you
3050.0,2918.0,2641.0,4095.0,4095.0,3329.0,2736.0,3969.0,-0.11,9.59,-1.14,-0.05,0.01,-0.04,i-love-you
3056.0,2923.0,2639.0,4095.0,4095.0,3326.0,2730.0,3963.0,0.2,9.76,-1.02,-0.01,0.0,0.0,i-love-you
3060.0,2919.0,2638.0,4095.0,4095.0,3328.0,2737.0,3966.0,0.06,9.67,-1.07,-0.02,-0.01,0.01,i-love-you
3061.0,2917.0,2639.0,4095.0,4095.0,3341.0,2737.0,3958.0,0.16,9.72,-1.12,0.02,-0.02,0.01,i-love-you
3058.0,2917.0,2637.0,4095.0,4095.0,3329.0,2735.0,3958.0,-0.14,9.51,-0.99,-0.05,0.02,-0.05,i-love-you
3059.0,2915.0,2640.0,4095.0,4095.0,3338.0,2736.0,3986.0,0.05,9.85,-1.14,-0.04,0.02,0.05,i-love-you
3063.0,2916.0,2639.0,4095.0,4095.0,3337.0,2740.0,3966.0,0.09,9.55,-1.09,-0.04,0.0,0.06,i-love-you
3055.0,2911.0,2642.0,4095.0,4095.0,3333.0,2747.0,3970.0,0.14,9.71,-0.99,-0.01,-0.06,0.05,i-love-you
3055.0,2914.0,2643.0,4095.0,4095.0,3339.0,2752.0,3968.0,-0.07,9.59,-0.9,-0.04,0.01,0.05,i-love-you
3060.0,2917.0,2640.0,4095.0,4095.0,3335.0,2739.0,3993.0,0.44,9.78,-1.08,0.02,-0.05,0.05,i-love-you
3059.0,2917.0,2646.0,4095.0,4095.0,3344.0,2750.0,3963.0,0.3,9.55,-1.05,0.03,-0.06,-0.03,i-love-you
3055.0,2927.0,2647.0,4095.0,4095.0,3344.0,2747.0,3968.0,0.06,9.65,-1.25,-0.01,-0.03,-0.03,i-love-you
3056.0,2919.0,2653.0,4095.0,4095.0,3339.0,2750.0,3970.0,0.03,9.63,-1.1,0.0,-0.04,-0.01,i-love-you
3055.0,2928.0,2641.0,4095.0,4095.0,3344.0,2750.0,3963.0,0.26,9.76,-1.22,0.01,0.03,-0.04,i-love-you
3055.0,2917.0,2645.0,4095.0,4095.0,3344.0,2751.0,3969.0,0.36,9.57,-1.18,-0.01,-0.01,0.01,i-love-you
3058.0,2915.0,2640.0,4095.0,4095.0,3341.0,2746.0,3975.0,0.23,9.64,-1.23,-0.03,0.02,-0.03,i-love-you
3057.0,2912.0,2651.0,4095.0,4095.0,3334.0,2746.0,3969.0,0.11,9.71,-1.18,0.0,0.01,-0.02,i-love-you
3056.0,2913.0,2639.0,4095.0,4095.0,3338.0,2748.0,3962.0,0.2,9.71,-1.26,-0.01,-0.0,-0.06,i-love-you
3056.0,2919.0,2646.0,4095.0,4095.0,3335.0,2738.0,3967.0,0.16,9.66,-1.23,-0.01,0.01,0.03,i-love-you
3058.0,2915.0,2648.0,4095.0,4095.0,3344.0,2750.0,3962.0,0.46,9.64,-1.16,-0.03,-0.02,-0.04,i-love-you
3055.0,2912.0,2652.0,4095.0,4095.0,3345.0,2746.0,3962.0,0.11,9.61,-1.13,0.01,-0.05,0.01,i-love-you
3056.0,2911.0,2651.0,4095.0,4095.0,3341.0,2742.0,3963.0,0.08,9.51,-1.3,-0.01,0.01,-0.07,i-love-you
3058.0,2922.0,2647.0,4095.0,4095.0,3346.0,2749.0,3958.0,0.4,9.64,-1.23,-0.02,-0.01,-0.02,i-love-you
3061.0,2927.0,2651.0,4095.0,4095.0,3342.0,2743.0,3979.0,0.17,9.59,-1.19,-0.04,-0.01,0.01,i-love-you
3056.0,2917.0,2641.0,4095.0,4095.0,3341.0,2742.0,3979.0,-0.04,9.63,-1.3,-0.01,0.02,-0.02,i-love-you
3062.0,2923.0,2649.0,4095.0,4095.0,3344.0,2741.0,3962.0,0.23,9.61,-1.3,-0.04,0.03,-0.06,i-love-you
3058.0,2915.0,2640.0,4095.0,4095.0,3344.0,2746.0,3970.0,0.14,9.73,-1.19,-0.04,-0.01,0.02,i-love-you
3061.0,2918.0,2647.0,4095.0,4095.0,3335.0,2741.0,3953.0,0.15,9.66,-1.24,-0.02,-0.01,-0.04,i-love-you
3063.0,2918.0,2649.0,4095.0,4095.0,3341.0,2747.0,3955.0,0.14,9.7,-1.26,-0.03,0.04,-0.02,i-love-you
3059.0,2916.0,2647.0,4095.0,4095.0,3342.0,2744.0,3965.0,0.32,9.6,-1.22,-0.02,-0.04,-0.01,i-love-you
3066.0,2925.0,2640.0,4095.0,4095.0,3344.0,2750.0,3967.0,-0.01,9.68,-1.35,-0.04,0.0,-0.01,i-love-you
3059.0,2919.0,2649.0,4095.0,4095.0,3344.0,2748.0,3964.0,0.12,9.63,-1.25,-0.02,-0.01,-0.06,i-love-you
3059.0,2914.0,2643.0,4095.0,4095.0,3341.0,2750.0,3967.0,0.23,9.64,-1.23,-0.04,0.01,0.01,i-love-you
3061.0,2927.0,2639.0,4095.0,4095.0,3345.0,2747.0,3969.0,0.14,9.63,-1.24,-0.06,0.02,-0.03,i-love-you
3057.0,2922.0,2645.0,4095.0,4095.0,3347.0,2747.0,3967.0,0.04,9.73,-1.17,-0.03,0.05,-0.04,i-love-you
3058.0,2919.0,2651.0,4095.0,4095.0,3344.0,2738.0,3961.0,0.17,9.67,-1.24,-0.02,0.02,-0.04,i-love-you
3063.0,2919.0,2640.0,4095.0,4095.0,3341.0,2749.0,3967.0,0.13,9.56,-1.24,-0.03,0.01,-0.02,i-love-you
3056.0,2915.0,2643.0,4095.0,4095.0,3342.0,2737.0,3964.0,-0.07,9.63,-1.27,-0.06,0.02,0.01,i-love-you
3057.0,2923.0,2642.0,4095.0,4095.0,3339.0,2736.0,3974.0,0.2,9.63,-1.18,-0.05,0.02,-0.03,i-love-you
3055.0,2916.0,2647.0,4095.0,4095.0,3343.0,2743.0,3951.0,0.14,9.62,-1.14,-0.05,0.03,0.01,i-love-you
3053.0,2916.0,2657.0,4095.0,4095.0,3344.0,2746.0,3942.0,0.27,9.6,-1.13,-0.03,-0.01,-0.01,i-love-you
3056.0,2919.0,2647.0,4095.0,4095.0,3343.0,2742.0,3951.0,0.28,9.71,-1.18,-0.03,-0.0,-0.01,i-love-you
3062.0,2912.0,2642.0,4095.0,4095.0,3344.0,2745.0,3965.0,-0.01,9.6,-1.13,-0.04,-0.02,-0.01,i-love-you
3068.0,2923.0,2654.0,4095.0,4095.0,3347.0,2741.0,3957.0,0.01,9.71,-1.18,-0.03,0.03,-0.04,i-love-you
3061.0,2912.0,2651.0,4095.0,4095.0,3344.0,2746.0,3965.0,0.38,9.64,-1.09,-0.01,-0.01,-0.02,i-love-you
3062.0,2928.0,2645.0,4095.0,4095.0,3344.0,2745.0,3963.0,0.07,9.65,-1.18,-0.04,-0.03,0.02,i-love-you
