hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
3013.0,4095.0,2927.0,4095.0,4095.0,2497.0,2772.0,4095.0,-2.9,9.33,4.06,-0.01,0.06,-0.1,0.0,i-love-you
3018.0,4095.0,2922.0,4095.0,4095.0,2480.0,2751.0,4095.0,-2.91,9.45,4.01,0.01,0.03,-0.13,0.0,i-love-you
3014.0,4095.0,2917.0,4095.0,4095.0,2499.0,2773.0,4095.0,-2.75,9.36,4.06,0.03,0.08,-0.14,0.0,i-love-you
3023.0,4095.0,2928.0,4095.0,4095.0,2502.0,2777.0,4095.0,-2.91,9.39,3.84,0.02,0.01,-0.17,0.0,i-love-you
3021.0,4095.0,2917.0,4095.0,4095.0,2512.0,2780.0,4095.0,-2.88,9.37,3.94,-0.04,0.01,-0.16,0.0,i-love-you
3011.0,4095.0,2926.0,4095.0,4095.0,2515.0,2780.0,4095.0,-2.95,9.41,3.75,0.01,-0.05,-0.15,0.0,i-love-you
3012.0,4095.0,2911.0,4095.0,4095.0,2523.0,2784.0,4095.0,-1.76,9.62,3.54,0.05,0.03,-0.17,0.0,i-love-you
3022.0,4095.0,2914.0,4095.0,4095.0,2523.0,2783.0,4095.0,-2.99,9.42,3.88,0.04,-0.02,-0.17,0.0,i-love-you
3024.0,4095.0,2923.0,4095.0,4095.0,2527.0,2784.0,4095.0,-2.77,9.47,3.94,0.03,-0.07,-0.17,0.0,i-love-you
3022.0,4095.0,2925.0,4095.0,4095.0,2516.0,2789.0,4095.0,-2.87,9.23,3.94,0.01,-0.1,-0.19,0.0,i-love-you
3021.0,4095.0,2936.0,4095.0,4095.0,2512.0,2757.0,4095.0,-2.9,9.23,4.43,-0.03,-0.0,-0.14,0.0,i-love-you
3010.0,4095.0,2915.0,4095.0,4095.0,2512.0,2766.0,4095.0,-2.92,9.36,3.89,-0.01,-0.02,-0.13,0.0,i-love-you
3024.0,4095.0,2923.0,4095.0,4095.0,2519.0,2768.0,4095.0,-2.88,9.39,4.39,-0.11,0.06,-0.13,0.0,i-love-you
3024.0,4095.0,2924.0,4095.0,4095.0,2506.0,2751.0,4095.0,-3.01,9.5,4.05,0.04,-0.02,-0.22,0.0,i-love-you
3022.0,4095.0,2924.0,4095.0,4095.0,2506.0,2753.0,4095.0,-3.05,9.41,4.05,0.03,-0.11,-0.11,0.0,i-love-you
3015.0,4095.0,2914.0,4095.0,4095.0,2510.0,2753.0,4095.0,-3.19,9.37,4.11,-0.01,0.01,-0.14,0.0,i-love-you
3017.0,4095.0,2919.0,4095.0,4095.0,2507.0,2754.0,4095.0,-2.94,9.34,4.35,-0.01,-0.01,-0.15,0.0,i-love-you
3024.0,4095.0,2930.0,4095.0,4095.0,2496.0,2752.0,4095.0,-3.15,9.4,4.27,-0.02,-0.02,-0.12,0.0,i-love-you
3015.0,4095.0,2923.0,4095.0,4095.0,2495.0,2743.0,4095.0,-2.87,9.44,4.33,0.04,0.02,-0.19,0.0,i-love-you
3024.0,4095.0,2919.0,4095.0,4095.0,2497.0,2753.0,4095.0,-3.09,9.5,4.29,0.07,-0.01,-0.21,0.0,i-love-you
3026.0,4095.0,2922.0,4095.0,4095.0,2510.0,2761.0,4095.0,-3.01,9.22,4.14,0.01,-0.0,-0.18,0.0,i-love-you
3019.0,4095.0,2927.0,4095.0,4095.0,2507.0,2771.0,4095.0,-2.92,9.41,3.81,0.01,-0.04,-0.14,0.0,i-love-you
3023.0,4095.0,2918.0,4095.0,4095.0,2510.0,2770.0,4095.0,-2.95,9.47,4.11,0.05,-0.1,-0.17,0.0,i-love-you
3029.0,4095.0,2921.0,4095.0,4095.0,2513.0,2773.0,4095.0,-2.98,9.28,4.26,0.04,-0.09,-0.15,0.0,i-love-you
3011.0,4095.0,2913.0,4095.0,4095.0,2519.0,2779.0,4095.0,-2.93,9.4,4.1,-0.01,-0.09,-0.12,0.0,i-love-you
3009.0,4095.0,2928.0,4095.0,4095.0,2528.0,2789.0,4095.0,-3.12,9.16,4.92,0.07,0.02,-0.15,0.0,i-love-you
3025.0,4095.0,2913.0,4095.0,4095.0,2529.0,2783.0,4095.0,-2.8,9.38,4.22,0.02,-0.0,-0.09,0.0,i-love-you
3022.0,4095.0,2915.0,4095.0,4095.0,2531.0,2793.0,4095.0,-2.79,9.45,4.09,0.0,0.0,-0.11,0.0,i-love-you
3015.0,4095.0,2928.0,4095.0,4095.0,2534.0,2789.0,4095.0,-2.96,9.39,4.31,0.02,-0.04,-0.14,0.0,i-love-you
3024.0,4095.0,2930.0,4095.0,4095.0,2528.0,2785.0,4095.0,-2.83,9.41,4.18,0.04,0.02,-0.15,0.0,i-love-you
3024.0,4095.0,2927.0,4095.0,4095.0,2526.0,2789.0,4095.0,-2.81,9.45,4.26,0.01,0.09,-0.16,0.0,i-love-you
3020.0,4095.0,2917.0,4095.0,4095.0,2532.0,2794.0,4095.0,-2.76,9.46,3.89,-0.02,0.08,-0.17,0.0,i-love-you
3023.0,4095.0,2917.0,4095.0,4095.0,2531.0,2796.0,4095.0,-2.71,9.49,4.11,0.0,-0.02,-0.17,0.0,i-love-you
3008.0,4095.0,2928.0,4095.0,4095.0,2538.0,2795.0,4095.0,-2.63,9.36,4.27,-0.03,-0.02,-0.15,0.0,i-love-you
3017.0,4095.0,2921.0,4095.0,4095.0,2537.0,2794.0,4095.0,-2.86,9.42,3.98,0.0,-0.06,-0.16,0.0,i-love-you
3017.0,4095.0,2909.0,4095.0,4095.0,2535.0,2800.0,4095.0,-2.84,9.4,4.8,0.01,-0.09,-0.1,0.0,i-love-you
3019.0,4095.0,2922.0,4095.0,4095.0,2543.0,2800.0,4095.0,-3.0,9.51,4.05,0.01,-0.02,-0.14,0.0,i-love-you
3019.0,4095.0,2923.0,4095.0,4095.0,2533.0,2797.0,4095.0,-2.75,9.47,4.34,-0.02,-0.04,-0.17,0.0,i-love-you
3017.0,4095.0,2919.0,4095.0,4095.0,2538.0,2799.0,4095.0,-2.89,9.41,4.32,0.02,-0.02,-0.19,0.0,i-love-you
3018.0,4095.0,2915.0,4095.0,4095.0,2537.0,2800.0,4095.0,-2.93,9.36,4.51,0.02,-0.0,-0.19,0.0,i-love-you
3015.0,4095.0,2911.0,4095.0,4095.0,2537.0,2794.0,4095.0,-3.07,9.37,4.14,0.04,-0.03,-0.17,0.0,i-love-you
3018.0,4095.0,2915.0,4095.0,4095.0,2541.0,2800.0,4095.0,-2.9,9.4,4.2,0.01,-0.07,-0.15,0.0,i-love-you
3020.0,4095.0,2909.0,4095.0,4095.0,2543.0,2794.0,4095.0,-2.94,9.39,4.3,0.04,-0.04,-0.16,0.0,i-love-you
3023.0,4095.0,2917.0,4095.0,4095.0,2551.0,2799.0,4095.0,-3.07,9.45,4.42,0.03,-0.07,-0.16,0.0,i-love-you
3019.0,4095.0,2921.0,4095.0,4095.0,2538.0,2807.0,4095.0,-3.0,9.37,4.25,0.02,-0.02,-0.15,0.0,i-love-you
3024.0,4095.0,2915.0,4095.0,4095.0,2538.0,2802.0,4095.0,-3.04,9.37,4.38,0.01,-0.01,-0.15,0.0,i-love-you
3026.0,4095.0,2925.0,4095.0,4095.0,2544.0,2801.0,4095.0,-2.83,9.31,4.17,0.01,-0.02,-0.21,0.0,i-love-you
3027.0,4095.0,2917.0,4095.0,4095.0,2544.0,2806.0,4095.0,-3.09,9.38,4.52,-0.02,0.05,-0.16,0.0,i-love-you
3014.0,4095.0,2923.0,4095.0,4095.0,2545.0,2802.0,4095.0,-2.91,9.39,4.47,0.01,-0.03,-0.13,0.0,i-love-you
3017.0,4095.0,2912.0,4095.0,4095.0,2554.0,2820.0,4095.0,-3.17,9.33,4.5,-0.02,0.02,-0.15,0.0,i-love-you
3019.0,4095.0,2919.0,4095.0,4095.0,2542.0,2784.0,4095.0,-2.85,9.45,4.42,-0.02,0.08,-0.14,0.0,i-love-you
3011.0,4095.0,2925.0,4095.0,4095.0,2512.0,2750.0,4095.0,-3.01,9.32,4.46,0.07,-0.03,-0.2,0.0,i-love-you
3010.0,4095.0,2909.0,4095.0,4095.0,2529.0,2774.0,4095.0,-3.06,9.37,4.44,0.03,-0.01,-0.14,0.0,i-love-you
3024.0,4095.0,2925.0,4095.0,4095.0,2512.0,2754.0,4095.0,-2.92,9.36,4.52,-0.0,-0.03,-0.12,0.0,i-love-you
3023.0,4095.0,2917.0,4095.0,4095.0,2498.0,2743.0,4095.0,-2.98,9.35,4.51,0.03,0.0,-0.12,0.0,i-love-you
3023.0,4095.0,2912.0,4095.0,4095.0,2510.0,2768.0,4095.0,-2.94,9.45,4.35,0.05,-0.03,-0.15,0.0,i-love-you
3023.0,4095.0,2924.0,4095.0,4095.0,2512.0,2764.0,4095.0,-2.85,9.38,4.36,0.02,-0.04,-0.14,0.0,i-love-you
3031.0,4095.0,2922.0,4095.0,4095.0,2484.0,2720.0,4095.0,-2.88,9.33,4.4,0.01,-0.06,-0.17,0.0,i-love-you
3019.0,4095.0,2922.0,4095.0,4095.0,2493.0,2723.0,4095.0,-3.09,9.35,4.29,0.02,-0.03,-0.17,0.0,i-love-you
3024.0,4095.0,2929.0,4095.0,4095.0,2468.0,2672.0,4095.0,-2.88,9.5,4.36,-0.05,0.03,-0.11,0.0,i-love-you
3033.0,4095.0,2913.0,4095.0,4095.0,2449.0,2637.0,4095.0,-2.83,9.33,4.56,0.02,-0.05,-0.14,0.0,i-love-you
3024.0,4095.0,2920.0,4095.0,4095.0,2453.0,2641.0,4095.0,-2.79,9.39,4.35,0.02,0.01,-0.14,0.0,i-love-you
3027.0,4095.0,2928.0,4095.0,4095.0,2463.0,2649.0,4095.0,-2.81,9.5,4.54,0.05,0.02,-0.16,0.0,i-love-you
3024.0,4095.0,2925.0,4095.0,4095.0,2464.0,2661.0,4095.0,-2.82,9.28,4.32,0.05,0.04,-0.17,0.0,i-love-you
3025.0,4095.0,2921.0,4095.0,4095.0,2474.0,2704.0,4095.0,-2.71,9.41,4.09,-0.06,0.04,-0.1,0.0,i-love-you
3025.0,4095.0,2926.0,4095.0,4095.0,2480.0,2719.0,4095.0,-2.75,9.41,4.39,-0.03,0.02,-0.18,0.0,i-love-you
3018.0,4095.0,2928.0,4095.0,4095.0,2492.0,2736.0,4095.0,-3.14,9.33,4.62,0.01,0.01,-0.11,0.0,i-love-you
3009.0,4095.0,2921.0,4095.0,4095.0,2495.0,2746.0,4095.0,-3.08,9.41,4.67,-0.0,0.01,-0.1,0.0,i-love-you
3015.0,4095.0,2923.0,4095.0,4095.0,2499.0,2750.0,4095.0,-2.81,9.6,4.39,0.0,0.04,-0.14,0.0,i-love-you
3018.0,4095.0,2928.0,4095.0,4095.0,2503.0,2746.0,4095.0,-2.81,9.43,4.54,0.03,-0.02,-0.15,0.0,i-love-you
3035.0,4095.0,2923.0,4095.0,4095.0,2512.0,2759.0,4095.0,-2.6,9.44,4.44,0.05,0.01,-0.17,0.0,i-love-you
3005.0,4095.0,2925.0,4095.0,4095.0,2513.0,2755.0,4095.0,-2.7,9.48,4.37,0.04,-0.04,-0.18,0.0,i-love-you
3021.0,4095.0,2928.0,4095.0,4095.0,2507.0,2751.0,4095.0,-2.79,9.48,4.39,0.06,-0.03,-0.16,0.0,i-love-you
3015.0,4095.0,2926.0,4095.0,4095.0,2508.0,2765.0,4095.0,-2.79,9.45,4.41,0.01,-0.01,-0.18,0.0,i-love-you
3015.0,4095.0,2928.0,4095.0,4095.0,2509.0,2748.0,4095.0,-2.77,9.36,4.39,0.02,-0.01,-0.17,0.0,i-love-you
3023.0,4095.0,2921.0,4095.0,4095.0,2507.0,2757.0,4095.0,-2.79,9.42,4.35,0.0,-0.02,-0.15,0.0,i-love-you
3020.0,4095.0,2917.0,4095.0,4095.0,2507.0,2766.0,4095.0,-2.84,9.4,4.41,0.0,0.01,-0.18,0.0,i-love-you
3025.0,4095.0,2915.0,4095.0,4095.0,2510.0,2762.0,4095.0,-2.7,9.38,4.41,-0.01,-0.06,-0.15,0.0,i-love-you
3031.0,4095.0,2921.0,4095.0,4095.0,2512.0,2751.0,4095.0,-2.71,9.43,4.36,0.04,0.01,-0.17,0.0,i-love-you
3023.0,4095.0,2924.0,4095.0,4095.0,2511.0,2762.0,4095.0,-2.89,9.5,4.31,0.03,-0.05,-0.14,0.0,i-love-you
3010.0,4095.0,2927.0,4095.0,4095.0,2511.0,2754.0,4095.0,-2.71,9.5,4.44,0.02,-0.04,-0.14,0.0,i-love-you
3017.0,4095.0,2926.0,4095.0,4095.0,2521.0,2761.0,4095.0,-3.15,9.4,4.27,-0.01,-0.05,-0.15,0.0,i-love-you
3025.0,4095.0,2921.0,4095.0,4095.0,2505.0,2759.0,4095.0,-2.74,9.57,4.76,0.02,0.05,-0.18,0.0,i-love-you
3018.0,4095.0,2915.0,4095.0,4095.0,2511.0,2753.0,4095.0,-2.51,9.33,3.96,0.03,0.04,-0.17,0.0,i-love-you
3024.0,4095.0,2915.0,4095.0,4095.0,2518.0,2755.0,4095.0,-2.73,9.5,4.33,-0.02,-0.01,-0.32,0.0,i-love-you
3017.0,4095.0,2911.0,4095.0,4095.0,2513.0,2767.0,4095.0,-3.17,9.23,4.33,0.02,-0.02,-0.17,0.0,i-love-you
3015.0,4095.0,2909.0,4095.0,4095.0,2497.0,2765.0,4095.0,-2.97,9.39,4.36,-0.0,0.03,-0.12,0.0,i-love-you
3011.0,4095.0,2921.0,4095.0,4095.0,2512.0,2758.0,4095.0,-2.85,9.41,4.14,0.02,-0.04,-0.15,0.0,i-love-you
3014.0,4095.0,2917.0,4095.0,4095.0,2512.0,2766.0,4095.0,-2.81,9.37,4.41,-0.06,-0.01,-0.06,0.0,i-love-you
3017.0,4095.0,2917.0,4095.0,4095.0,2515.0,2769.0,4095.0,-2.8,9.11,4.71,0.02,-0.1,-0.14,0.0,i-love-you
3012.0,4095.0,2927.0,4095.0,4095.0,2518.0,2765.0,4095.0,-2.79,9.64,4.63,0.08,-0.03,0.02,0.0,i-love-you
3015.0,4095.0,2927.0,4095.0,4095.0,2503.0,2768.0,4095.0,-2.62,9.76,3.94,0.13,-0.1,-0.15,0.0,i-love-you
3025.0,4095.0,2921.0,4095.0,4095.0,2523.0,2777.0,4095.0,-2.83,9.5,4.48,0.01,-0.04,-0.21,0.0,i-love-you
3015.0,4095.0,2918.0,4095.0,4095.0,2512.0,2775.0,4095.0,-2.69,9.35,4.4,0.04,-0.11,-0.17,0.0,i-love-you
3031.0,4095.0,2928.0,4095.0,4095.0,2525.0,2768.0,4095.0,-2.67,9.58,4.63,0.14,-0.12,-0.15,0.0,i-love-you
3027.0,4095.0,2926.0,4095.0,4095.0,2532.0,2783.0,4095.0,-2.83,9.38,3.89,0.04,-0.08,-0.22,0.0,i-love-you
3017.0,4095.0,2926.0,4095.0,4095.0,2522.0,2778.0,4095.0,-2.8,9.56,4.57,0.02,-0.05,-0.17,0.0,i-love-you
3007.0,4095.0,2926.0,4095.0,4095.0,2525.0,2778.0,4095.0,-3.06,9.4,4.1,0.08,-0.03,-0.19,0.0,i-love-you
3013.0,4095.0,2915.0,4095.0,4095.0,2523.0,2768.0,4095.0,-2.9,9.31,4.34,0.01,-0.03,-0.16,0.0,i-love-you
3023.0,4095.0,2917.0,4095.0,4095.0,2520.0,2779.0,4095.0,-2.82,9.44,4.35,0.02,-0.01,-0.15,0.0,i-love-you
3011.0,4095.0,2926.0,4095.0,4095.0,2527.0,2775.0,4095.0,-2.87,9.31,4.27,-0.01,0.03,-0.16,0.0,i-love-you
3015.0,4095.0,2925.0,4095.0,4095.0,2528.0,2771.0,4095.0,-2.9,9.32,4.35,0.01,0.02,-0.13,0.0,i-love-you
3011.0,4095.0,2919.0,4095.0,4095.0,2534.0,2778.0,4095.0,-2.95,9.39,4.19,-0.01,0.0,-0.15,0.0,i-love-you
3021.0,4095.0,2917.0,4095.0,4095.0,2530.0,2785.0,4095.0,-2.87,9.34,4.37,-0.0,-0.05,-0.13,0.0,i-love-you
3015.0,4095.0,2913.0,4095.0,4095.0,2535.0,2787.0,4095.0,-2.83,9.42,4.34,0.01,-0.01,-0.14,0.0,i-love-you
3034.0,4095.0,2919.0,4095.0,4095.0,2531.0,2787.0,4095.0,-2.93,9.36,4.27,-0.01,-0.01,-0.15,0.0,i-love-you
3024.0,4095.0,2928.0,4095.0,4095.0,2528.0,2799.0,4095.0,-2.71,9.36,4.41,-0.02,0.0,-0.14,0.0,i-love-you
3026.0,4095.0,2927.0,4095.0,4095.0,2526.0,2786.0,4095.0,-2.91,9.34,4.45,-0.02,0.01,-0.12,0.0,i-love-you
3011.0,4095.0,2931.0,4095.0,4095.0,2540.0,2800.0,4095.0,-2.69,9.52,4.33,0.03,-0.08,-0.13,0.0,i-love-you
