hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand,sign
2927.0,3843.0,2995.0,3795.0,4095.0,2867.0,3295.0,4095.0,0.75,8.75,5.0,-0.2,-0.25,-0.21,1.0,i-love-you
2925.0,3813.0,3007.0,3814.0,4095.0,2892.0,3306.0,4095.0,0.8,8.66,5.58,-0.11,-0.23,-0.15,1.0,i-love-you
2915.0,3698.0,3007.0,3854.0,4095.0,2914.0,3325.0,4095.0,0.29,8.56,5.53,-0.07,-0.21,-0.17,1.0,i-love-you
2928.0,3652.0,3009.0,3882.0,4095.0,2963.0,3405.0,4095.0,0.92,8.65,5.59,-0.14,-0.16,-0.17,1.0,i-love-you
2927.0,3802.0,3005.0,3920.0,4095.0,2960.0,3423.0,4095.0,0.76,8.64,5.35,-0.17,-0.22,-0.25,1.0,i-love-you
2930.0,3903.0,3008.0,3968.0,4095.0,2965.0,3423.0,4095.0,0.49,8.51,5.48,-0.07,0.12,-0.09,1.0,i-love-you
2911.0,3891.0,3001.0,3974.0,4095.0,2963.0,3433.0,4095.0,0.56,8.64,5.47,0.01,-0.0,-0.08,1.0,i-love-you
2928.0,3934.0,3007.0,3967.0,4095.0,2959.0,3424.0,4095.0,0.27,8.54,5.6,0.05,0.05,-0.07,1.0,i-love-you
2919.0,3895.0,3010.0,3989.0,4095.0,2966.0,3411.0,4095.0,0.43,8.62,5.26,0.1,0.08,-0.03,1.0,i-love-you
2922.0,3938.0,3002.0,3969.0,4095.0,2957.0,3402.0,4095.0,0.83,8.75,5.15,0.06,0.04,-0.06,1.0,i-love-you
2925.0,3987.0,3008.0,3993.0,4095.0,2967.0,3398.0,4095.0,0.46,8.82,5.22,0.22,0.16,-0.08,1.0,i-love-you
2922.0,4016.0,3002.0,3987.0,4095.0,3012.0,3452.0,4095.0,0.77,8.83,4.98,0.47,-0.15,-0.06,1.0,i-love-you
2912.0,4093.0,3013.0,3965.0,4095.0,3122.0,3575.0,4095.0,0.45,8.87,4.65,0.83,-0.21,-0.13,1.0,i-love-you
2921.0,4095.0,2990.0,3968.0,4095.0,3222.0,3725.0,4095.0,0.31,9.46,3.75,0.5,-0.12,-0.18,1.0,i-love-you
2911.0,4095.0,2992.0,3969.0,4095.0,3303.0,3874.0,4095.0,0.44,9.47,3.54,0.46,-0.12,-0.13,1.0,i-love-you
2910.0,4095.0,2996.0,3907.0,4095.0,3419.0,4022.0,3503.0,0.31,9.23,3.52,0.55,-0.01,-0.05,1.0,i-love-you
2927.0,4095.0,3005.0,3888.0,4095.0,3473.0,4095.0,3280.0,0.57,9.75,2.97,0.25,-0.11,-0.06,1.0,i-love-you
2923.0,4058.0,2993.0,3877.0,4095.0,3505.0,4095.0,2716.0,0.4,9.64,2.94,0.14,-0.08,-0.13,1.0,i-love-you
2916.0,4082.0,2993.0,3873.0,4095.0,3510.0,4095.0,2825.0,0.2,9.67,2.96,0.2,-0.01,-0.02,1.0,i-love-you
2922.0,4060.0,2998.0,3877.0,4095.0,3504.0,4095.0,2875.0,0.63,9.79,2.69,0.09,-0.02,-0.14,1.0,i-love-you
2907.0,4027.0,3001.0,3898.0,4095.0,3525.0,4095.0,2797.0,0.33,9.51,2.84,0.12,-0.05,-0.08,1.0,i-love-you
2915.0,4027.0,2995.0,3921.0,4095.0,3515.0,4095.0,3141.0,0.03,9.44,2.82,-0.0,-0.08,-0.1,1.0,i-love-you
2913.0,4014.0,2994.0,3938.0,4095.0,3541.0,4095.0,3107.0,0.28,9.97,2.48,0.07,-0.26,-0.15,1.0,i-love-you
2913.0,4039.0,3005.0,3957.0,4095.0,3548.0,4095.0,3193.0,-0.66,9.43,2.7,-0.22,0.32,0.01,1.0,i-love-you
2901.0,4025.0,2997.0,3970.0,4095.0,3527.0,4095.0,3297.0,0.91,9.75,2.93,-0.29,0.15,0.02,1.0,i-love-you
2911.0,4049.0,2994.0,3968.0,4095.0,3515.0,4095.0,4095.0,0.47,9.78,3.11,-0.13,0.02,0.03,1.0,i-love-you
2928.0,4020.0,2992.0,3983.0,4095.0,3518.0,4095.0,4095.0,0.06,9.43,3.06,-0.26,0.13,0.04,1.0,i-love-you
2921.0,4031.0,2999.0,3999.0,4095.0,3536.0,4095.0,4095.0,0.29,9.64,3.26,-0.13,0.07,-0.01,1.0,i-love-you
2912.0,4095.0,2998.0,3985.0,4095.0,3362.0,4017.0,4095.0,0.05,9.65,3.13,-0.27,0.2,0.12,1.0,i-love-you
2910.0,4089.0,2992.0,3995.0,4095.0,3351.0,4005.0,4095.0,0.67,9.76,3.09,-0.15,-0.01,-0.11,1.0,i-love-you
2926.0,4078.0,2993.0,4001.0,4095.0,3335.0,3977.0,4095.0,0.09,9.63,3.02,-0.26,0.12,0.02,1.0,i-love-you
2911.0,4095.0,2990.0,3984.0,4095.0,3263.0,3850.0,4095.0,0.53,9.69,3.29,-0.23,0.12,-0.03,1.0,i-love-you
2923.0,4095.0,3004.0,4016.0,4095.0,3161.0,3696.0,4095.0,0.51,9.78,3.43,-0.39,0.07,-0.04,1.0,i-love-you
2906.0,3536.0,2983.0,3993.0,4095.0,2962.0,3342.0,4095.0,0.43,9.51,3.7,-0.48,0.24,-0.05,1.0,i-love-you
2917.0,3430.0,2999.0,3952.0,4095.0,2866.0,3214.0,4095.0,0.27,9.23,4.05,-0.24,0.07,-0.06,1.0,i-love-you
2913.0,3024.0,2985.0,3910.0,4095.0,2802.0,3134.0,4095.0,0.19,9.4,3.97,-0.15,0.11,-0.03,1.0,i-love-you
2927.0,2437.0,2994.0,3888.0,4095.0,2763.0,3089.0,4095.0,0.26,9.43,4.08,-0.11,0.09,-0.08,1.0,i-love-you
2917.0,2095.0,2992.0,3854.0,4095.0,2759.0,3086.0,4095.0,0.08,9.17,4.03,-0.03,0.07,-0.04,1.0,i-love-you
2918.0,1520.0,2977.0,3824.0,4095.0,2752.0,3082.0,4095.0,0.26,9.29,4.24,0.03,-0.03,-0.11,1.0,i-love-you
2928.0,1235.0,2972.0,3793.0,4095.0,2734.0,3071.0,4095.0,0.18,9.51,3.87,0.05,0.09,-0.07,1.0,i-love-you
2915.0,1079.0,2969.0,3813.0,4095.0,2722.0,3058.0,3999.0,0.2,9.49,3.7,0.0,0.06,-0.13,1.0,i-love-you
2924.0,951.0,2986.0,3837.0,4095.0,2736.0,3046.0,4034.0,0.2,9.61,3.74,-0.06,-0.01,-0.05,1.0,i-love-you
2928.0,942.0,2967.0,3853.0,4095.0,2731.0,3067.0,3499.0,-0.12,9.22,3.89,-0.09,-0.07,-0.1,1.0,i-love-you
2927.0,944.0,2967.0,3858.0,4095.0,2729.0,3061.0,4095.0,-0.14,9.32,4.13,-0.13,0.23,-0.0,1.0,i-love-you
2911.0,944.0,2969.0,3867.0,4095.0,2757.0,3054.0,4095.0,0.28,9.3,3.86,-0.1,-0.05,-0.07,1.0,i-love-you
2926.0,2481.0,2977.0,3869.0,4095.0,2791.0,3130.0,4095.0,0.1,9.49,4.15,0.22,-0.31,-0.19,1.0,i-love-you
2928.0,2549.0,2992.0,3875.0,4095.0,2843.0,3177.0,4095.0,-0.23,9.32,3.75,0.15,-0.2,-0.19,1.0,i-love-you
2926.0,2450.0,3008.0,3874.0,4095.0,2894.0,3203.0,4095.0,0.09,9.38,4.08,0.23,-0.19,-0.14,1.0,i-love-you
2923.0,1603.0,3009.0,3856.0,4095.0,2994.0,3269.0,4095.0,-0.06,9.46,3.57,0.32,-0.25,-0.13,1.0,i-love-you
2912.0,1104.0,3007.0,3803.0,4095.0,3052.0,3339.0,4095.0,-0.28,9.37,3.26,0.18,-0.18,-0.07,1.0,i-love-you
2912.0,956.0,3009.0,3777.0,4095.0,3098.0,3382.0,4095.0,-0.3,9.72,3.07,0.18,-0.05,-0.05,1.0,i-love-you
2919.0,906.0,3024.0,3755.0,4095.0,3135.0,3446.0,4095.0,-0.15,9.62,2.91,-0.04,-0.04,-0.02,1.0,i-love-you
2915.0,894.0,3008.0,3776.0,4095.0,3152.0,3463.0,4095.0,-0.13,9.62,3.11,-0.12,-0.01,-0.03,1.0,i-love-you
2921.0,887.0,3003.0,3810.0,4095.0,3161.0,3473.0,4090.0,-0.17,9.57,3.37,-0.12,-0.01,-0.05,1.0,i-love-you
2919.0,869.0,3008.0,3845.0,4095.0,3166.0,3520.0,4095.0,-0.19,9.37,3.58,-0.17,0.05,0.01,1.0,i-love-you
2914.0,880.0,3007.0,3873.0,4095.0,3200.0,3557.0,4095.0,0.08,9.51,3.26,-0.2,-0.03,-0.03,1.0,i-love-you
2919.0,874.0,3005.0,3862.0,4095.0,3207.0,3615.0,4095.0,-0.03,9.55,3.44,-0.19,-0.08,-0.03,1.0,i-love-you
2927.0,869.0,3009.0,3904.0,4095.0,3235.0,3705.0,4095.0,0.14,9.62,3.47,-0.14,-0.01,-0.03,1.0,i-love-you
2922.0,867.0,2996.0,3895.0,4095.0,3264.0,3806.0,4095.0,-0.17,9.52,3.51,-0.15,0.01,-0.02,1.0,i-love-you
2903.0,863.0,2997.0,3889.0,4095.0,3266.0,3825.0,4095.0,0.12,9.38,3.67,0.02,-0.04,-0.07,1.0,i-love-you
2923.0,864.0,3006.0,3920.0,4095.0,3264.0,3869.0,4095.0,0.09,9.63,3.28,-0.08,-0.08,-0.05,1.0,i-love-you
2912.0,863.0,3006.0,3910.0,4095.0,3275.0,3841.0,4095.0,0.11,9.63,3.46,-0.09,-0.01,-0.02,1.0,i-love-you
2923.0,877.0,3000.0,3923.0,4095.0,3267.0,3877.0,4095.0,-0.26,9.35,3.55,-0.13,-0.12,-0.08,1.0,i-love-you
2928.0,875.0,3008.0,3911.0,4095.0,3263.0,3910.0,4095.0,-0.01,9.31,3.84,-0.14,-0.04,0.03,1.0,i-love-you
2919.0,861.0,3001.0,3877.0,4095.0,3266.0,3927.0,4095.0,-0.08,9.36,3.64,-0.07,0.0,0.02,1.0,i-love-you
2918.0,880.0,2999.0,3890.0,4095.0,3251.0,3972.0,4095.0,0.1,9.41,3.77,-0.15,0.0,-0.04,1.0,i-love-you
2919.0,861.0,2989.0,3875.0,4095.0,3251.0,3978.0,4095.0,0.22,9.43,3.79,-0.1,-0.03,0.01,1.0,i-love-you
2907.0,861.0,2999.0,3904.0,4095.0,3252.0,4027.0,4095.0,-0.11,9.5,3.55,-0.04,0.09,0.02,1.0,i-love-you
2924.0,875.0,2997.0,3901.0,4095.0,3237.0,4010.0,4095.0,-0.03,9.61,3.71,-0.15,0.01,-0.03,1.0,i-love-you
2923.0,868.0,2992.0,3926.0,4095.0,3248.0,4071.0,4095.0,0.03,9.29,3.7,-0.11,-0.19,-0.11,1.0,i-love-you
2923.0,870.0,3005.0,3894.0,4095.0,3253.0,4075.0,4095.0,0.16,9.26,3.98,-0.03,0.02,-0.01,1.0,i-love-you
2927.0,873.0,3006.0,3927.0,4095.0,3251.0,4095.0,4095.0,0.28,9.4,3.66,-0.09,-0.04,-0.03,1.0,i-love-you
2905.0,880.0,2986.0,3901.0,4095.0,3248.0,4064.0,4095.0,0.23,9.31,4.04,0.02,-0.03,-0.08,1.0,i-love-you
2934.0,873.0,3009.0,3925.0,4095.0,3250.0,4069.0,4095.0,0.21,9.33,3.9,-0.09,0.05,-0.03,1.0,i-love-you
2913.0,896.0,3002.0,3888.0,4095.0,3248.0,3943.0,4095.0,0.22,9.45,3.78,0.04,0.01,-0.03,1.0,i-love-you
2914.0,907.0,3005.0,3887.0,4095.0,3237.0,3897.0,4095.0,-0.02,9.48,3.58,-0.04,0.07,-0.01,1.0,i-love-you
2923.0,893.0,3019.0,3871.0,4095.0,3251.0,3793.0,4095.0,0.27,9.61,3.51,-0.1,0.11,-0.03,1.0,i-love-you
2933.0,893.0,2998.0,3839.0,4095.0,3254.0,3741.0,4095.0,-0.04,9.37,3.73,-0.02,-0.05,-0.04,1.0,i-love-you
